"第一部","PART I "
"这部纪事中所叙述的不同寻常的事件发生在20世纪40年代某一年的奥兰城。由于这些事件有些特别，大家都认为它们与这座城市简直格格不入。奥兰给人的第一印象就是它的普通，只是一个法属阿尔及利亚沿海的大港口及省会罢了。","The unusual events described in this chronicle occurred in 194- at Oran.Everyone agreed that, considering their somewhat extraordinary character, they were out of place there.For its ordinariness is what strikes one first about the town of Oran, which is merely a large French port on the Algerian coast, headquarters of the Prefect of a French Department."
"必须承认的是，这个城市本身是丑陋的。它有着一副自满、平静的外表，需要花些时间才能发现它与世界其他众多商业城市之间有何不同之处。怎样才能想象出这样一幅画面，比如说，一个没有鸽子、没有树木和花园的城市，一个从未有过鸟儿展翅或树叶沙沙响的城市——总之，一个毫无特点的地方？只有通过天空，才能辨认这里的一年四季。带来春天讯息的只有那清新的空气，或是小贩们从郊区运来的一篮篮鲜花。这里的春天是在市场里叫卖的。夏天，太阳炙烤着房子，墙壁上布满了灰色的尘埃，人们只有放下百叶窗，呆在屋里，才能熬过那些炎热的日子。但是，秋天却大雨滂沱、满地泥泞。只有冬天的天气着实不错。","The town itself, let us admit, is ugly.It has a smug, placid air and you need time to discover what it is that makes it different from so many business centers in other parts of the world.How to conjure up a picture, for instance, of a town without pigeons, without any trees or gardens, where you never hear the beat of wings or the rustle of leaves—a thoroughly negative place, in short?The seasons are discriminated only in the sky.All that tells you of spring’s coming is the feel of the air, or the baskets of flowers brought in from the suburbs by peddlers; it’s a spring cried in the marketplaces.During the summer the sun bakes the houses bone-dry, sprinkles our walls with grayish dust, and you have no option but to survive those days of fire indoors, behind closed shutters.In autumn, on the other hand, we have deluges of mud.Only winter brings really pleasant weather."
"或许，了解一个城市最便捷的方式可能就是探察这个城里的人们怎么工作，怎么相爱，怎么死去。在我们这个小城里（不知是否是气候的影响），这三种活动全都是狂热而又随意地进行着。事实上，每个人都感到厌烦，但又尽力培养一些生活习惯。我们的老百姓们努力工作，但只是为了发财。他们对商业最感兴趣，如他们自己所说，人生的首要目标就是“做生意”。当然，他们也不会放弃诸如谈恋爱、海水浴、看电影等更为简单的生活享乐。但是，他们非常理智地把这些娱乐消遣安排在周六下午或周日，而在一周的其他日子，他们则尽力赚钱。傍晚下班后，在固定的某个时间，人们在咖啡馆聚会，在同一条林阴大道上散步，或者站在阳台上呼吸夜晚的空气。年轻人的热情强烈而又短暂；至于年长些的人们，他们的嗜好不过是打打保龄球，参加宴会和“社交聚会”，或是去俱乐部打牌狂赌一番。","Perhaps the easiest way of making a town’s acquaintance is to ascertain how the people in it work, how they love, and how they die.In our little town (is this, one wonders, an effect of the climate?) all three are done on much the same lines, with the same feverish yet casual air.The truth is that everyone is bored, and devotes himself to cultivating habits.Our citizens work hard, but solely with the object of getting rich.Their chief interest is in commerce, and their chief aim in life is, as they call it, “doing business.”Naturally they don’t eschew such simpler pleasures as love-making, seabathing, going to the pictures.But, very sensibly, they reserve these pastimes for Saturday afternoons and Sundays and employ the rest of the week in making money, as much as possible.In the evening, on leaving the office, they forgather, at an hour that never varies, in the cafes, stroll the same boulevard, or take the air on their balconies.The passions of the young are violent and short-lived; the vices of older men seldom range beyond an addiction to bowling, to banquets and “socials,” or clubs where large sums change hands on the fall of a card."
"毫无疑问，有人会说这些生活习惯并非是我们这个城市所特有的。其实我们同时代的人都这么生活。人们从早到晚地工作，然后把业余生活的时间耗在牌桌上、咖啡馆里或闲谈上，这在当今社会确实是最常见的事情了。然而，仍然有些城镇和乡村的人们时而会透出一丝与众不同的地方。这一般不会改变他们的生活。但是，他们已经有了这样的迹象，这就很好。而奥兰小城看起来似乎没有这种迹象。换句话说，它是个十足现代的城镇。因此，没有必要详细描述这座城里人们的恋爱方式。这里的男男女女要么短暂地在所谓的“爱的行为”里纵情欢愉，要么安于平淡的婚姻生活。除了这两个极端，几乎没有中间状态。这也没什么特别的。和其他地方一样，在奥兰，由于缺乏时间和思考，人们只能是相爱而不懂爱。","It will be said, no doubt, that these habits are not peculiar to our town; really all our contemporaries are much the same.Certainly nothing is commoner nowadays than to see people working from morn till night and then proceeding to fritter away at card-tables, in cafes and in small-talk what time is left for living.Nevertheless there still exist towns and countries where people have now and then an inkling of something different.In general it doesn’t change their lives.Still, they have had an intimation, and that’s so much to the good.Oran, however, seems to be a town without intimations; in other words, completely modern.Hence I see no need to dwell on the manner of loving in our town.The men and women consume one another rapidly in what is called “the act of love,” or else settle down to a mild habit of conjugality.We seldom find a mean between these extremes.That, too, is not exceptional.At Oran, as elsewhere, for lack of time and thinking, people have to love one another without knowing much about it."
"在我们这个城市，更为特别的地方在于垂死时人们可能经历的困难。也许“困难”二字用得不好，“难受”会更恰当些。生病总是不舒服的，但是，可以这么说，有些城市会在你生病时给你支持。在那里，你多少可以感觉自然放松。一个病人需要一些关心，想获得些支持，这很自然。但是在奥兰，严酷的气候、繁忙的生意、乏味的环境、短暂的黄昏以及各种享乐的本质等等都要求人们有个健康的身体。一个病人在那里会感到不自在。想想当全城的人们坐在咖啡馆里，或是拿着电话谈论着装船、提货单、贴现的时候，一个垂死之人关在灼热的重重围墙之后，那会是怎样的一种境况呀！即使在现代社会，在这样一个干燥炎热的地方，这种死亡将至的难受也是显而易见的。","What is more exceptional in our town is the difficulty one may experience there in dying.“Difficulty,” perhaps, is not the right word, “discomfort” would come nearer.Being ill’s never agreeable but there are towns that stand by you, so to speak, when you are sick; in which you can, after a fashion, let yourself go.An invalid needs small attentions, he likes to have something to rely on, and that’s natural enough.But at Oran the violent extremes of temperature, the exigencies of business, the uninspiring surroundings, the sudden nightfalls, and the very nature of its pleasures call for good health.An invalid feels out of it there.Think what it must be for a dying man, trapped behind hundreds of walls all sizzling with heat, while the whole population, sitting in cafes or hanging on the telephone, is discussing shipments, bills of lading, discounts!It will then be obvious what discomfort attends death, even modern death, when it waylays you under such conditions in a dry place."
"这些有点随意的观察或许可以让人对这个城市有个很好的了解。但是，我们不能过分夸大这一切。的确，这一切都表明这个城市的外表及城中的生活都是平凡无趣的。但是，一旦人们习以为常，日子也就不难打发了。而且，既然习惯是这个城市所推崇的，那么一切就都朝着好的方向发展。从这个角度来看，这里的生活不太有趣，这是毋庸置疑的。但至少这里从未有过社会不稳定的现象。坦率、友好、勤劳的本城居民总是能获得游客们理所当然的尊重。没有树木，没有魅力，没有灵魂，奥兰城归于表面的宁静；只消一会儿工夫，人们便会满意地进入梦乡。","These somewhat haphazard observations may give a fair idea of what our town is like.However, we must not exaggerate.Really, all that was to be conveyed was the banality of the town’s appearance and of life in it.But you can get through the days there without trouble, once you have formed habits.And since habits are precisely what our town encourages, all is for the best.Viewed from this angle, its life is not particularly exciting; that must be admitted.But, at least, social unrest is quite unknown among us.And our frank-spoken, amiable, and industrious citizens have always inspired a reasonable esteem in visitors.Treeless, glamour-less, soulless, the town of Oran ends by seeming restful and, after a while, you go complacently to sleep there."
"应该加句公道话，奥兰有着独特的风景，它处在一个光秃秃的高原中间，四周被阳光明媚的山丘围绕，前面是个造型完美的海湾。可令人感到遗憾的是，这座城市背着海湾而建，因此人们得走上一段路才可能看到海。","It is only fair to add that Oran is grafted on to a unique landscape, in the center of a bare plateau, ringed with luminous hills and above a perfectly shaped bay.All we may regret is the town’s being so disposed that it turns its back on the bay, with the result that it’s impossible to see the sea, you always have to go to look for it."
"知道了奥兰的日常生活，人们就不难相信，我们这座城里的居民们一点儿都不能理解发生在那年春天的事，而这些事情正是本书所要记录的重大事件的先兆（这是我们后来才意识到的）。对于一些人而言，这些事件看起来很自然；可对另外一些人而言，一切都难以置信。但是，很显然，一个叙述者是不能将这些不同的看法统统考虑在内的。他要做的只是在他知道确实发生了某件事，且这件事深切影响了全体人民的生活，还会有千万名见证人发自内心证实他所记录的真实情况的时候，说一句：“事情就是这样”。","Such being the normal life of Oran, it will be easily understood that our fellow citizens had not the faintest reason to apprehend the incidents that took place in the spring of the year in question and were (as we subsequently realized) premonitory signs of the grave events we are to chronicle.To some, these events will seem quite natural; to others, all but incredible.But, obviously, a narrator cannot take account of these differences of outlook.His business is only to say: “This is what happened,” when he knows that it actually did happen, that it closely affected the life of a whole populace, and that there are thousands of eyewitnesses who can appraise in their hearts the truth of what he writes."
"要是他没有机会收集到大量信息，要是他没有受外力所驱亲身经历他要叙述的事件，那么这位叙述者（到时候读者就会知道他的身份）无论如何也没有能力来完成这项工作。正是由于这个原因他才充当起史学家的角色。当然，一个史学家，即使是业余的，在工作中总是需要一些资料——个人收集的或二手的——给他以指导。现在这位叙述者拥有三种资料：首先是他亲眼所见的；其次是其他见证人所说的（因为他的工作，他能了解这篇纪事中提到的所有人物的个人看法）；最后就是那些他后来掌握的文字记载。他可以在任何有需要的时候引用这些资料，并以自己认为最好的方式加以利用。他也可以……","In any case the narrator (whose identity will be made known in due course) would have little claim to competence for a task like this, had not chance put him in the way of gathering much information, and had he not been, by the force of things, closely involved in all that he proposes to narrate.This is his justification for playing the part of a historian.Naturally, a historian, even an amateur, always has data, personal or at second hand, to guide him.The present narrator has three kinds of data: first, what he saw himself; secondly, the accounts of other eyewitnesses (thanks to the part he played, he was enabled to learn their personal impressions from all those figuring in this chronicle); and, lastly, documents that subsequently came into his hands.He proposes to draw on these records whenever this seems desirable, and to employ them as he thinks best.He also proposes..."
"但是，也许该结束这段开场白和上面的几句忠告了，让我们言归正传吧。发生在头几天的事情还需先详细说说。","But perhaps the time has come to drop preliminaries and cautionary remarks and to launch into the narrative proper.The account of the first days needs giving in some detail."
