"焦油博士和羽毛教授的疗法","The System of Dr. Tarr and Prof. Fether"
"作者：艾德加·爱伦·坡","by Edgar Allan Poe"
"那是一八几几年的秋天，我在法国南端的几个省份游历，途中来到距一家私立医院，也就是私立疯人院几英里的地方。我在巴黎时常听医学界的朋友们说起这家疯人院。我以前从未参观过这种地方，觉得机不可失，便向我的旅伴（几天前偶然结识的一位绅士）提议，花个把小时转过去，看看这家疯人院。他对此表示反对， 说是一来时间紧，二来，他一看到疯子就习惯性地感到恐惧。不过，他恳请我不要出于对他的礼貌就不去满足自己的好奇心，并说他会信马由缰、徐徐前行，这样，我当天，或者最迟第二天就可以赶上他。当他向我道别时，我突然想到恐怕不能轻易进入那家疯人院，就把这种担心对他说了。他说，除非我认识院长马亚尔先生，或者有一封能证明身份的信件，否则，的确可能会有困难，因为这些私立疯人院的规章制度比起公立医院来要更为苛刻。他又补充说，自己几年前就与马亚尔结识，愿意陪我到疯人院门口，把我介绍给院长，尽管他听到疯子的话题就不寒而栗，不愿进到医院里面去。","During the autumn of 18—, while on a tour through the extreme southern provinces of France, my route led me within a few miles of a certain Maison de Sante or private mad-house, about which I had heard much in Paris from my medical friends.As I had never visited a place of the kind, I thought the opportunity too good to be lost; and so proposed to my travelling companion (a gentleman with whom I had made casual acquaintance a few days before) that we should turn aside, for an hour or so, and look through the establishment.To this he objected—pleading haste in the first place, and, in the second, a very usual horror at the sight of a lunatic.He begged me, however, not to let any mere courtesy towards himself interfere with the gratification of my curiosity, and said that he would ride on leisurely, so that I might overtake him during the day, or, at all events, during the next.As he bade me good-bye, I bethought me that there might be some difficulty in obtaining access to the premises, and mentioned my fears on this point.He replied that, in fact, unless I had personal knowledge of the superintendent, Monsieur Maillard, or some credential in the way of a letter, a difficulty might be found to exist, as the regulations of these private mad-houses were more rigid than the public hospital laws.For himself, he added, he had, some years since, made the acquaintance of Maillard, and would so far assist me as to ride up to the door and introduce me; although his feelings on the subject of lunacy would not permit of his entering the house."
"我向他表示了谢意，之后，我们两人便离开大路，踏上了一条长满杂草的旁道。走了有半个小时，小路便几乎淹没在山脚下的一片密林中。在潮湿阴暗的树林里穿行了约两英里，那家私立医院便进入了我们的视野。这是一座形状怪异的城堡，破损严重，甚至因年久失修，几乎不能居住。城堡破旧的外观让我感到极度恐慌，我勒住马缰，几欲转身离去。但我很快就为自己的脆弱感到羞愧，于是继续驱马前行。","I thanked him, and, turning from the main road, we entered a grass-grown by-path, which, in half an hour, nearly lost itself in a dense forest, clothing the base of a mountain.Through this dank and gloomy wood we rode some two miles, when the Maison de Sante came in view.It was a fantastic chateau, much dilapidated, and indeed scarcely tenantable through age and neglect.Its aspect inspired me with absolute dread, and, checking my horse, I half resolved to turn back.I soon, however, grew ashamed of my weakness, and proceeded."
"来到门口，我发现大门微微开启，一个男人正在向外张望。 随即，这个男人就走上前来，喊着我同伴的名字，热情地握着他的手，请他下马。这个人就是马亚尔先生。他是个身材肥胖、相貌堂堂的老派绅士，举止温文尔雅，神态严肃、庄重又不失威严，令人印象深刻。","As we rode up to the gate-way, I perceived it slightly open, and the visage of a man peering through.In an instant afterward, this man came forth, accosted my companion by name, shook him cordially by the hand, and begged him to alight.It was Monsieur Maillard himself.He was a portly, fine-looking gentleman of the old school, with a polished manner, and a certain air of gravity, dignity, and authority which was very impressive."
"我的朋友把我引见给他，说我想到院里参观一番。在马亚尔先生承诺会对我倍加关照之后，他就告辞了，从此我们便再未相见。","My friend, having presented me, mentioned my desire to inspect the establishment, and received Monsieur Maillard’s assurance that he would show me all attention, now took leave, and I saw him no more."
"朋友走后，院长带我进入一间面积不大却异常整洁的接待室。房间的陈设彰显了高雅的品味，其中陈列着许多书籍、绘画、瓶花和乐器。壁炉里，火苗在欢快地燃烧。一位美丽动人的年轻女子，坐在钢琴旁，唱着贝利尼的咏叹调。见我进来，她便止住了歌声，优雅地接待了我。她说话时低声细语，一举一动都显得很克制。我想，我从她脸上看到了忧伤的痕迹。她脸色惨白，尽管在我看来并不让人生厌。她身披重孝，在我内心唤起一种混杂着尊敬、好奇和爱慕的情愫。","When he had gone, the superintendent ushered me into a small and exceedingly neat parlor, containing, among other indications of refined taste, many books, drawings, pots of flowers, and musical instruments.A cheerful fire blazed upon the hearth.At a piano, singing an aria from Bellini, sat a young and very beautiful woman, who, at my entrance, paused in her song, and received me with graceful courtesy.Her voice was low, and her whole manner subdued.I thought, too, that I perceived the traces of sorrow in her countenance, which was excessively, although to my taste, not unpleasingly, pale.She was attired in deep mourning, and excited in my bosom a feeling of mingled respect, interest, and admiration."
"我在巴黎时就听说，马亚尔先生的疯人院的管理方法俗称为“抚慰疗法”——要避免一切惩罚——就连关禁闭也极少使用——病人们受到秘密监视，可表面上被赋予很多自由，他们中的大多数人都可以穿着正常人的普通衣服在房间和院子里随意溜达。","I had heard, at Paris, that the institution of Monsieur Maillard was managed upon what is vulgarly termed the “system of soothing”—that all punishments were avoided—that even confinement was seldom resorted to—that the patients, while secretly watched, were left much apparent liberty, and that most of them were permitted to roam about the house and grounds in the ordinary apparel of persons in right mind."
"脑子有了这些印象，我在那位年轻女士面前说话时便有了几分谨慎，因为我不能确定她的神志是否正常。事实上，她眼睛里闪烁着一种焦躁不安的光芒，多少让我感觉她神志不正常。因此，我把谈话内容局限于一般话题，和那些我认为即使对一个疯子来说也不会引起不快或造成刺激的话题。对我所说的一切，她的应答都十分合理；甚至她自己主动发起的话题也说得头头是道、极富理性。但是，对躁狂症的深奥莫测的长期了解让我无法相信这些心智健全的迹象，因此，在整个交谈中，我一直保持着开始时的谨慎 。                                                                                                                                                                 ","Keeping these impressions in view, I was cautious in what I said before the young lady; for I could not be sure that she was sane; and, in fact, there was a certain restless brilliancy about her eyes which half led me to imagine she was not.I confined my remarks, therefore, to general topics, and to such as I thought would not be displeasing or exciting even to a lunatic.She replied in a perfectly rational manner to all that I said; and even her original observations were marked with the soundest good sense, but a long acquaintance with the metaphysics of mania, had taught me to put no faith in such evidence of sanity, and I continued to practise, throughout the interview, the caution with which I commenced it."
"不久，一个身穿制服的机敏的男仆端来一盘水果、葡萄酒和其他茶点，我吃了点。这位女士随后便离开了房间。她离开时，我转过脸，带着询问的目光看着主人。","Presently a smart footman in livery brought in a tray with fruit, wine, and other refreshments, of which I partook, the lady soon afterward leaving the room.As she departed I turned my eyes in an inquiring manner toward my host."
"“不是，”他说，“啊，不是——我的家人——我侄女，一位多才多艺的女士。”","“No,” he said, “oh, no—a member of my family—my niece, and a most accomplished woman.”"
