"钟楼里的魔鬼","The Devil in the Belfry"
"作者：埃德加·爱伦·坡","by Edgar Allan Poe"
"现在几点了？","What o’clock is it?"
"——古谚语","—Old Saying."
"一般情况下，每个人都知道世界上最美好的地方是——或者，唉，曾经是——荷兰的维奥德沃特米提斯自治镇。然而因为它远离任何一条主干道，所在的地方有点偏僻，我的读者当中可能很少有人去过那里。为了方便那些没有去过该地的人，我很有必要对它做一番描述。的确，为了赢得公众对当地人的同情，在此，我打算讲一下最近发生在这个地方的灾难性事件，因此描述这里就更有必要了。认识我的人都毫不怀疑，我会持以严格公正的态度，无比谨慎地调查事实，坚持不懈地核对典据，竭尽所能地完成我自愿承担的义务。这些特点会使那些立志要获得历史学家称号的人脱颖而出。","Everybody knows, in a general way, that the finest place in the world is—or, alas, was—the Dutch borough of Vondervotteimittiss.Yet as it lies some distance from any of the main roads, being in a somewhat out-of-the-way situation, there are perhaps very few of my readers who have ever paid it a visit.For the benefit of those who have not, therefore, it will be only proper that I should enter into some account of it.And this is indeed the more necessary, as with the hope of enlisting public sympathy in behalf of the inhabitants, I design here to give a history of the calamitous events which have so lately occurred within its limits.No one who knows me will doubt that the duty thus self-imposed will be executed to the best of my ability, with all that rigid impartiality, all that cautious examination into facts, and diligent collation of authorities, which should ever distinguish him who aspires to the title of historian."
"在奖章、手稿和铭文的共同佐证下，我可以断定维奥德沃特米提斯自治镇从建立之初至今一直精确地保持着相同的风貌。然而，关于它建立的日期，很遗憾我只能采用那种近似精确的话语来表述，也就是数学家们有时为了套用某个数学公式不得已而采取的方法。我可以这样说，从这个城镇的历史之久远来看，这个日期不会比有据可查的任何年代更晚了。","By the united aid of medals, manuscripts, and inscriptions, I am enabled to say, positively, that the borough of Vondervotteimittiss has existed, from its origin, in precisely the same condition which it at present preserves.Of the date of this origin, however, I grieve that I can only speak with that species of indefinite definiteness which mathematicians are, at times, forced to put up with in certain algebraic formulae.The date, I may thus say, in regard to the remoteness of its antiquity, cannot be less than any assignable quantity whatsoever."
"关于维奥德沃特米提斯名字的由来，我懊恼地承认，我同样感到迷惑不解。人们对这个微妙的问题有许多不同的见解——有的犀利，有的深刻，有的却截然相反——我却不能找到一个令人满意的看法。也许格罗斯韦格的想法——几乎和克劳特普兰特的想法不谋而合——人们应该还算比较认同。这就是——维奥德沃特米提斯——维奥德，接近德语中“雷鸣”这个词的发音——沃特米提斯，接近德语“好像是闪电之前”的发音。说实话，镇议会大厅尖塔顶部电击的迹象进一步证实了这种推理。可是，我不打算在如此重大的问题上表明立场。若读者欲了解更多信息，我建议他们参考邓德古茨的《旁敲侧击先辈演讲集》。也要看看布伦德巴泽德的《词源说》中的第27页至5010页。这书是哥特体对开本，红黑字体，有导字，无密码索引；还可以参考斯图夫特朴夫手稿上的旁注和格鲁特古扎尔的点评。","Touching the derivation of the name Vondervotteimittiss, I confess myself, with sorrow, equally at fault.Among a multitude of opinions upon this delicate point—some acute, some learned, some sufficiently the reverse—I am able to select nothing which ought to be considered satisfactory.Perhaps the idea of Grogswigg—nearly coincident with that of Kroutaplenttey—is to be cautiously preferred.—It runs:—“Vondervotteimittis—Vonder, lege Donder—Votteimittis, quasi und Bleitziz—Bleitziz obsol:—pro Blitzen.”This derivative, to say the truth, is still countenanced by some traces of the electric fluid evident on the summit of the steeple of the House of the Town-Council.I do not choose, however, to commit myself on a theme of such importance, and must refer the reader desirous of information to the “Oratiunculae de Rebus Praeter-Veteris,” of Dundergutz.See, also, Blunderbuzzard “De Derivationibus,” pp. 27 to 5010, Folio, Gothic edit., Red and Black character, Catch-word and No Cypher; wherein consult, also, marginal notes in the autograph of Stuffundpuff, with the Sub-Commentaries of Gruntundguzzell."
"尽管人们对维奥德沃特米提斯自治镇建立的时间及其名字的来源尚不清楚，但是毋庸置疑，如我前面所述，它一直以我们目前发现它的样子存在着。在镇上，最年老的人也记不得它外观上有丝毫的变化。的确，话中一提到这种可能性都会被看作是一种冒犯。村庄坐落在一个完美的圆形山谷中，周长大约四分之一英里，周围全是和缓的山峦，当地人还从来不敢冒险跨过这些山峰。为此，他们有个非常充分的理由，那就是他们完全不相信山的另一边有任何东西。","Notwithstanding the obscurity which thus envelops the date of the foundation of Vondervotteimittiss, and the derivation of its name, there can be no doubt, as I said before, that it has always existed as we find it at this epoch.The oldest man in the borough can remember not the slightest difference in the appearance of any portion of it; and, indeed, the very suggestion of such a possibility is considered an insult.The site of the village is in a perfectly circular valley, about a quarter of a mile in circumference, and entirely surrounded by gentle hills, over whose summit the people have never yet ventured to pass.For this they assign the very good reason that they do not believe there is anything at all on the other side."
"六十座小房屋排成一排，延绵不断地延伸开来，环绕在山谷边缘（山谷地势平坦，全铺着平整的砖）。这些房屋，背靠群山，自然就面向了平原中心。中心与每户人家的前门相隔恰好六十码。每家房前都有一个小花园，花园里有一条环形小径，一个日晷和二十四棵卷心菜。这些房屋都如此惊人地相似，以至于人们无法把它们一一区分开来。因为年代太过久远，所以建筑风格有点古怪，但房屋那令人惊艳的美景并不会因此而逊色。房屋是用烈火烧制的黑边红砖建成，因此墙看起来就像一个巨大的棋盘。山形墙朝前。其上的檐口跟房屋其他部分一样大，搭在屋檐和大门上。窗户窄又深，内嵌着细小的窗格和很多窗框。屋顶上铺了大量翘起的长檐角瓦片。房屋的木制部分通体颜色深暗，上面有很多雕刻，但图案的样式变化很小。因为很久以来，维奥德沃特米提斯的雕刻匠们就只会雕刻两种东西——计时器和卷心菜。但是这两样东西他们雕刻得极其精致，凡落凿之处，他们都独具匠心地加以点缀。","Round the skirts of the valley (which is quite level, and paved throughout with flat tiles), extends a continuous row of sixty little houses.These, having their backs on the hills, must look, of course, to the centre of the plain, which is just sixty yards from the front door of each dwelling.Every house has a small garden before it, with a circular path, a sun-dial, and twenty-four cabbages.The buildings themselves are so precisely alike, that one can in no manner be distinguished from the other.Owing to the vast antiquity, the style of architecture is somewhat odd, but it is not for that reason the less strikingly picturesque.They are fashioned of hard-burned little bricks, red, with black ends, so that the walls look like a chess-board upon a great scale.The gables are turned to the front, and there are cornices, as big as all the rest of the house, over the eaves and over the main doors.The windows are narrow and deep, with very tiny panes and a great deal of sash.On the roof is a vast quantity of tiles with long curly ears.The woodwork, throughout, is of a dark hue and there is much carving about it, with but a trifling variety of pattern for, time out of mind, the carvers of Vondervotteimittiss have never been able to carve more than two objects—a time-piece and a cabbage.But these they do exceedingly well, and intersperse them, with singular ingenuity, wherever they find room for the chisel."
"房屋的内部与外部都如出一辙，家具摆设也都一个样式。地面铺着方砖。黑色木制桌椅腿细而弯曲，桌椅脚呈小狗爪状。又高又宽的壁炉架不仅正面雕刻着计时器和卷心菜，而且顶部正中间还摆放着一个真的计时器，“滴答滴答”地响得异常响亮；两端各有一个花盆，每个花盆里面栽着一棵卷心菜，像侍从一样站在两端。在每棵卷心菜和计时器之间还有一个大肚子的小中国人。透过他肚子上那个又大又圆的洞，人可以看见表的表盘。","The dwellings are as much alike inside as out, and the furniture is all upon one plan.The floors are of square tiles, the chairs and tables of black-looking wood with thin crooked legs and puppy feet.The mantelpieces are wide and high, and have not only time-pieces and cabbages sculptured over the front, but a real time-piece, which makes a prodigious ticking, on the top in the middle, with a flower-pot containing a cabbage standing on each extremity by way of outrider.Between each cabbage and the time-piece, again, is a little China man having a large stomach with a great round hole in it, through which is seen the dial-plate of a watch."
"壁炉又大又深，里面的柴架弯弯曲曲、异常可怖。壁炉里火势总是很旺，上面放着一口大锅，里面煮着满满一锅的泡菜和猪肉，勤劳的家庭主妇总是忙着料理它们。她是个矮胖的老太太，长着一双蓝眼睛，有着一张红扑扑的脸，戴着一顶圆锥形糖块式样的大帽子，上面饰有紫色和黄色丝带。她穿着一件亚麻羊毛混纺料子的橙色连衣裙，后面有许多褶皱，腰部的剪裁很短——从其他角度看也确实很短，衣服还不到她大腿中部。她的腿很粗，脚踝也一样。但是她穿着一双漂亮的绿长袜，把双腿都遮住了。她的鞋——用粉色皮革制成——每只都用一束黄色丝带系成卷心菜状。她左手拿着一支小而沉的荷兰手表；右手持一个勺子，搅拌着锅里的泡菜和猪肉。她的旁边站着一只胖乎乎的虎斑猫，尾巴上系着一个镀金的玩具打簧表。这是“小伙子们”搞恶作剧系上去的。","The fireplaces are large and deep, with fierce crooked-looking fire-dogs.There is constantly a rousing fire, and a huge pot over it, full of sauerkraut and pork, to which the good woman of the house is always busy in attending.She is a little fat old lady, with blue eyes and a red face, and wears a huge cap like a sugar-loaf, ornamented with purple and yellow ribbons.Her dress is of orange-colored linsey-woolsey, made very full behind and very short in the waist—and indeed very short in other respects, not reaching below the middle of her leg.This is somewhat thick, and so are her ankles, but she has a fine pair of green stockings to cover them.Her shoes—of pink leather—are fastened each with a bunch of yellow ribbons puckered up in the shape of a cabbage.In her left hand she has a little heavy Dutch watch; in her right she wields a ladle for the sauerkraut and pork.By her side there stands a fat tabby cat, with a gilt toy-repeater tied to its tail, which “the boys” have there fastened by way of a quiz."
