"竞选州长","Running for Governor"
"作者：马克·吐温","by Mark Twain"
"几个月之前，我获得独立党的提名，同约翰·T. 史密斯先生和布兰克·J. 布兰克先生竞选纽约州州长一职。不知怎的，我觉得比起这两位先生，我有一个非常显著的优势，那就是——好名声。随手翻翻报纸就会很容易知道，倘若这两位先生也知道拥有好名声意味着什么，那也是陈年旧事了。显而易见，近些年来，他们已逐渐对各种无耻罪行习以为常了。但恰恰就在我为自己的优势洋洋得意并暗自窃喜的时刻，在我内心深处却总有一股浑浊的暗流“搅动”着我愉悦的心情——原因是我不得不总听到自己的名字和那些人的名字放在一起相提并论。我变得越来越心神不宁。最后，我给奶奶写了封信，告诉她这件事。她很快回了信，写得一针见血。信中说：","A few months ago I was nominated for Governor of the great state of New York, to run against Mr. John T. Smith and Mr. Blank J. Blank on an independent ticket.I somehow felt that I had one prominent advantage over these gentlemen, and that was—good character.It was easy to see by the newspapers that if ever they had known what it was to bear a good name, that time had gone by.It was plain that in these latter years they had become familiar with all manner of shameful crimes.But at the very moment that I was exalting my advantage and joying in it in secret, there was a muddy undercurrent of discomfort “riling” the deeps of my happiness, and that was—the having to hear my name bandied about in familiar connection with those of such people.I grew more and more disturbed.Finally I wrote my grandmother about it.Her answer came quick and sharp.She said:"
"你这辈子没做过一件让自己感到羞耻的事——一件都没有。你看看报纸——看看他们，想想史密斯先生和布兰克先生都是什么品行，再想想你愿不愿意自降身份和这种人一起参加竞选。","You have never done one single thing in all your life to be ashamed of—not one.Look at the newspapers—look at them and comprehend what sort of characters Messrs. Smith and Blank are, and then see if you are willing to lower yourself to their level and enter a public canvass with them."
"这和我的想法如出一辙！那晚，我一刻都没阖眼。可不管怎么说，我不能退出。","It was my very thought!I did not sleep a single moment that night.But, after all, I could not recede."
"我已经全力以赴，必须继续奋战到底。就在我一边吃早餐，一边漫不经心地翻看报纸时，我看到了下面这段文字。说句实在话，我这辈子还从未如此惊慌失措过。","I was fully committed, and must go on with the fight.As I was looking listlessly over the papers at breakfast I came across this paragraph, and I may truly say I never was so confounded before."
"伪证罪——既然候选人马克·吐温先生正面向公众竞选州长，他或许能屈尊解释一下1863年在交趾支那的瓦卡瓦克，他是如何被34名证人控告伪证罪的。他意图夺取当地一名穷寡妇的香蕉田，这块贫瘠的土地是这个孤苦无依的家庭在丧亲之痛和孤寂凄凉中唯一的经济支柱。不管是为了他自己还是为了那些要给他投票的伟大人民，吐温先生都有必要解释清楚这件事。他愿意这样做吗？","PERJURY.—Perhaps, now that Mr. Mark Twain is before the people as a candidate for Governor, he will condescend to explain how he came to be convicted of perjury by thirty-four witnesses in Wakawak, Cochin China, in 1863, the intent of which perjury being to rob a poor native widow and her helpless family of a meager plantain-patch, their only stay and support in their bereavement and desolation.Mr. Twain owes it to himself, as well as to the great people whose suffrages he asks, to clear this matter up.Will he do it?"
"我真是惊诧不已！竟然有这等残酷无情的指控！我从来没去过交趾支那！我从来没听说过什么瓦卡瓦克！我连香蕉种植地和袋鼠都区分不开！我不知道该怎么办。我既抓狂又无助。那天，我什么事都没干，日子就白白过去了。第二天早晨，这家报纸只有这么一句话：","I thought I should burst with amazement!Such a cruel, heartless charge!I never had seen Cochin China!I never had heard of Wakawak!I didn’t know a plantain-patch from a kangaroo!I did not know what to do.I was crazed and helpless.I let the day slip away without doing anything at all.The next morning the same paper had this—nothing more:"
"意味深长——可以发现，吐温先生对其交趾支那伪证罪一事保持了极具暗示意味的沉默。","SIGNIFICANT.—Mr. Twain, it will be observed, is suggestively silent about the Cochin China perjury."
"［备忘——在此后的竞选中，这家报纸每次提到我，都无一例外地称我为“臭名昭著的伪证犯吐温”。］","[Mem.—During the rest of the campaign this paper never referred to me in any other way than as “the infamous perjurer Twain.”]"
"接着，《公报》上刊登了这样一段文字：","Next came the Gazette, with this:"
