"老头子同盟","The League of the Old Men"
"作者：杰克·伦敦","by Jack London"
"兵营里一个人正在接受要被判死刑的审讯。他是个老头子，是当地的怀特菲什河人，那条河流入勒巴尔杰湖下游的育空河里。这件事轰动了整个道森，也震惊了育空河方圆千里的居民。在陆地上掠夺，在海洋上抢劫的盎格鲁萨克逊人一贯用法律统治被征服的民族，这种法律通常十分严酷。可是在英勃尔这件案子里，这种法律就第一次显得不适当和软弱无力了。单从数学方面的精准性上说，他要受的刑罚，远远抵不过他犯的罪。判刑是无可避免的结果，这毫无疑问；但是，尽管判的是死刑，英勃尔也只有一条命，而他的案子却牵涉到几十条人命。","At the Barracks a man was being tried for his life.He was an old man, a native from the Whitefish River, which empties into the Yukon below Lake Le Barge.All Dawson was wrought up over the affair, and likewise the Yukon-dwellers for a thousand miles up and down.It has been the custom of the land-robbing and sea-robbing Anglo-Saxon to give the law to conquered peoples, and ofttimes this law is harsh.But in the case of Imber the law for once seemed inadequate and weak.In the mathematical nature of things, equity did not reside in the punishment to be accorded him.The punishment was a foregone conclusion, there could be no doubt of that; and though it was capital, Imber had but one life, while the tale against him was one of scores."
"事实上，他手上沾满那么多人的鲜血，谁也算不准他到底杀了多少人。人们在路旁抽着烟斗或者围炉烤火的时候，曾经粗略地估计过命丧他手的人数。这些不幸被他杀掉的人，全是白人，其中有单个被杀的，也有一对对或一群群被杀的。这种毫无目的、毫无顾忌的谋杀，长期以来，对那些骑警来说都是一个谜，甚至在警察队长们扬威的时代也一样。后来，小河里发现矿产，从大英帝国自治领派来的总督要这一带的人为当地的繁荣纳税的时候，这个谜仍未解开。不过，更不可思议的是，英勃尔竟会到道森来自首。此时正值暮春，育空河水在冰层下咆哮翻腾，这个老印第安人从河面吃力地爬上岸来，站在大街上直眨眼睛。凡是亲眼看见他来的人，都注意到他身体虚弱，步履蹒跚，摇摇晃晃地走到一堆盖房子的木料跟前坐下。他在那里坐了一整天，一直盯着面前像川流不息的潮水般涌过的白人。很多人都好奇地扭过头，瞧他那目不转睛的眼神，对这个神情古怪的锡沃斯老头议论纷纷。无数的人后来还记得，他的奇特外表当时就吸引住了他们，以致后来他们还一直夸耀自己的敏锐目光，说他们能够认出不寻常的事物。","In fact, the blood of so many was upon his hands that the killings attributed to him did not permit of precise enumeration.Smoking a pipe by the trailside or lounging around the stove, men made rough estimates of the numbers that had perished at his hand.They had been whites, all of them, these poor murdered people, and they had been slain singly, in pairs, and in parties.And so purposeless and wanton had been these killings, that they had long been a mystery to the mounted police, even in the time of the captains, and later, when the creeks realized, and a governor came from the Dominion to make the land pay for its prosperity.But more mysterious still was the coming of Imber to Dawson to give himself up.It was in the late spring, when the Yukon was growling and writhing under its ice, that the old Indian climbed painfully up the bank from the river trail and stood blinking on the main street.Men who had witnessed his advent, noted that he was weak and tottery, and that he staggered over to a heap of cabin-logs and sat down.He sat there a full day, staring straight before him at the unceasing tide of white men that flooded past.Many a head jerked curiously to the side to meet his stare, and more than one remark was dropped anent the old Siwash with so strange a look upon his face.No end of men remembered afterward that they had been struck by his extraordinary figure, and forever afterward prided themselves upon their swift discernment of the unusual."
"不过，这一次的主角，还得让迪肯森，小迪肯森做。小迪肯森抱着极大的梦想，带着一口袋现款来到这片土地；但是，钱用完了，梦想也破灭了，为了赚一笔回美国的路费，他只好在霍尔布鲁克-梅森经纪行里当个办事员。英勃尔坐着的那堆木料，就放在这家经纪行办公室对面的街上。迪肯森出去吃午饭前透过窗户瞧见了他，等吃完午饭回来，他又向窗外瞧了瞧，那个锡沃斯老头仍旧在那里。","But it remained for Dickensen, Little Dickensen, to be the hero of the occasion.Little Dickensen had come into the land with great dreams and a pocketful of cash; but with the cash the dreams vanished, and to earn his passage back to the States he had accepted a clerical position with the brokerage firm of Holbrook and Mason.Across the street from the office of Holbrook and Mason was the heap of cabin-logs upon which Imber sat.Dickensen looked out of the window at him before he went to lunch; and when he came back from lunch he looked out of the window, and the old Siwash was still there."
"迪肯森不断地往窗户外面望，而且后来他也一直夸耀自己的目光敏锐。他是个爱幻想的小伙子，他把这个一动不动的老异教徒看作是锡沃斯族的化身，冷静地注视着那一群群入侵的萨克逊人。好几个钟头过去了，可是英勃尔并未改变姿势，仍旧丝毫不动；迪肯森于是想起了有一次，在人群往来不息的大街上，一个人直挺挺地坐在一架雪橇上。大伙儿以为这个人在休息，但后来他们碰了他一下，才发现他的身体僵硬又冰冷，他冻死在热闹的大街上了。为了把他弄直，好装进棺材，人们只好把他拖到一堆火旁边，给他化化冻。迪肯森一想起这件事就不由得打起寒颤。","Dickensen continued to look out of the window, and he, too, forever afterward prided himself upon his swiftness of discernment.He was a romantic little chap, and he likened the immobile old heathen to the genius of the Siwash race, gazing calm-eyed upon the hosts of the invading Saxon.The hours swept along, but Imber did not vary his posture, did not by a hair’s-breadth move a muscle; and Dickensen remembered the man who once sat upright on a sled in the main street where men passed to and fro.They thought the man was resting, but later, when they touched him, they found him stiff and cold, frozen to death in the midst of the busy street.To undouble him, that he might fit into a coffin, they had been forced to lug him to a fire and thaw him out a bit.Dickensen shivered at the recollection."
"后来，迪肯森走到外面人行道上抽了根雪茄，让头脑冷静冷静；过了没多久，埃米丽·特拉维斯碰巧从这里经过。埃米丽·特拉维斯是个优雅娇贵的绝色佳人。不论在伦敦还是在克朗代克，她都穿戴得合乎百万富翁金矿工程师女儿的身份。小迪肯森于是把他的雪茄烟放到路旁窗台上可以再找到的地方，向她行了个脱帽礼。","Later on, Dickensen went out on the sidewalk to smoke a cigar and cool off; and a little later Emily Travis happened along.Emily Travis was dainty and delicate and rare, and whether in London or Klondike she gowned herself as befitted the daughter of a millionnaire mining engineer.Little Dickensen deposited his cigar on an outside window ledge where he could find it again, and lifted his hat."
"他们聊了十分钟左右，埃米丽·特拉维斯朝迪肯森肩后望了一眼，吓得小声叫了起来。迪肯森转身一看，也吓了一跳。英勃尔已经穿过马路，站在那里，他身形消瘦，面带饥容，像一个影子，他的眼睛一动不动地盯着埃米丽。","They chatted for ten minutes or so, when Emily Travis, glancing past Dickensen’s shoulder, gave a startled little scream.Dickensen turned about to see, and was startled, too.Imber had crossed the street and was standing there, a gaunt and hungry-looking shadow, his gaze riveted upon the girl."
"“你想要干什么？”小迪肯森鼓足勇气，用颤抖的声音问。","“What do you want?”Little Dickensen demanded, tremulously plucky."
"英勃尔咕噜了几句，就昂首阔步地走到埃米丽·特拉维斯跟前。他把她从头到脚、仔仔细细地打量了一番，看得非常透彻。他好像对她那丝一般的褐发，以及她那微微泛红的、柔嫩的、好像蝴蝶翅膀上绒毛似的粉霜一样的脸的颜色特别感兴趣。他绕着她走，用审慎的目光观察她，仿佛在研究一匹马的身型或一条船的轮廓。正在他兜圈子的时候，老头子忽然看见夕阳照在她粉红色的耳朵上，于是他停下来，端详着她那透明的玫瑰色耳廓。接着，他又重新瞧着她的脸，长久而专注地看着她那双蓝眼睛。他咕哝了一句，用一只手抓住她的上臂。他用另一只手把她的前臂折上来。这时他脸上露出厌恶又惊讶的神情，随后便丢开那只胳膊，鄙视地哼了一声。然后，他嘟哝着发出几个喉音，转过身子，对迪肯森说起话来。","Imber grunted and stalked up to Emily Travis.He looked her over, keenly and carefully, every square inch of her.Especially did he appear interested in her silky brown hair, and in the color of her cheek, faintly sprayed and soft, like the downy bloom of a butterfly wing.He walked around her, surveying her with the calculating eye of a man who studies the lines upon which a horse or a boat is builded.In the course of his circuit the pink shell of her ear came between his eye and the westering sun, and he stopped to contemplate its rosy transparency.Then he returned to her face and looked long and intently into her blue eyes.He grunted and laid a hand on her arm midway between the shoulder and elbow.With his other hand he lifted her forearm and doubled it back.Disgust and wonder showed in his face, and he dropped her arm with a contemptuous grunt.Then he muttered a few guttural syllables, turned his back upon her, and addressed himself to Dickensen."
"迪肯森不明白他的话，埃米丽·特拉维斯笑了起来。英勃尔皱着眉头，来回问着他们两个，可是他们都摇摇头。正当他要走开的时候，埃米丽喊道：","Dickensen could not understand his speech, and Emily Travis laughed.Imber turned from one to the other, frowning, but both shook their heads.He was about to go away, when she called out:"
