"杀人","To Kill a Man"
"作者：杰克·伦敦","by Jack London"
"尽管夜明灯发出微弱的光，她还是熟悉地穿过大大的房间和宽敞的走廊，徒劳地寻找她写到一半的诗歌集子，她之前不知道随手放哪儿了，现在刚刚想起来找。她打开客厅的灯，灯光下可以看到她身穿一件拖曳的长睡衣；睡衣是柔和的玫瑰色，颈前和两肩处的蕾丝让她透不过气来。她的戒指还戴在手指上，扎上去的一头黄发还没有披散下来。她清秀优雅，十分美丽，细长的鹅蛋脸上有两片朱唇，脸颊上泛着淡淡的红晕。一双蓝眼睛像变色龙一样随意变化，有时瞪得大大的，充满了孩童的无邪，有时变得锐利灰暗，闪耀着冷峻的目光，在狂热、固执和掌控一切时，目光还会变得如烈焰般火红。","Though dim night-lights burned, she moved familiarly through the big rooms and wide halls, seeking vainly the half-finished book of verse she had mislaid and only now remembered.When she turned on the lights in the drawing-room, she disclosed herself clad in a sweeping negligee gown of soft rose-colored stuff, throat and shoulders smothered in lace.Her rings were still on her fingers, her massed yellow hair had not yet been taken down.She was delicately, gracefully beautiful, with slender, oval face, red lips, a faint color in the cheeks, and blue eyes of the chameleon sort that at will stare wide with the innocence of childhood, go hard and gray and brilliantly cold, or flame up in hot wilfulness and mastery."
"她关上灯，走出房间，沿着走廊向晨室走去。走到门口，她停住脚步留神听了听。远处有声音传来，但不是喧闹声，像是有人在活动。她本来可以确信自己什么都没听到，但这次有些不寻常之处。夜晚宁静的气氛被扰乱了。她在想是哪个仆人在鬼鬼祟祟地来回走动。不是那个男管家，众所周知，除了特殊的场合，他总是老早就睡了。也不可能是她的女仆，她已经批准女仆当晚外出了。","She turned the lights off and passed out and down the hall toward the morning room.At the entrance she paused and listened.From farther on had come, not a noise, but an impression of movement.She could have sworn she had not heard anything, yet something had been different.The atmosphere of night quietude had been disturbed.She wondered what servant could be prowling about.Not the butler, who was notorious for retiring early save on special occasion.Nor could it be her maid, whom she had permitted to go that evening."
"她继续往餐厅走去，发现门锁着。她不知道自己为什么要打开门继续往里走，只是感觉那扰人的东西就在那儿，不管是什么。房间里一片漆黑，她摸索着找到了灯开关，按了下去。一道强光闪过，她后退了几步，大叫了一声。只是一声“哦！”，声音不大。","Passing on to the dining-room, she found the door closed.Why she opened it and went on in, she did not know, except for the feeling that the disturbing factor, whatever it might be, was there.The room was in darkness, and she felt her way to the button and pressed.As the blaze of light flashed on, she stepped back and cried out.It was a mere “Oh!” and it was not loud."
"在她面前，开关旁边，有个男人正贴墙站着。他手里拿着一把左轮手枪，指向她。尽管还处于看到他的震惊之中，她还是注意到这把枪是黑色的，并且枪筒非常长。她知道黑色和非常长的枪筒代表着什么，这是把柯尔特枪。他是个身材中等的男子，穿着粗陋；眼睛是棕色的，皮肤被太阳晒得黝黑。他看上去非常镇静。左轮手枪没有丝毫晃动，正指向她的腹部，不过不是从伸出手臂的方向，而是从胯骨那儿，他的前臂就抵在那里。","Facing her, alongside the button, flat against the wall, was a man.In his hand, pointed toward her, was a revolver.She noticed, even in the shock of seeing him, that the weapon was black and exceedingly long-barreled.She knew black and exceedingly long it for what it was, a Colt’s.He was a medium-sized man, roughly clad, brown-eyed, and swarthy with sunburn.He seemed very cool.There was no wabble to the revolver and it was directed toward her stomach, not from an outstretched arm, but from the hip, against which the forearm rested."
"“哦，”她说，“请见谅，你吓到我了。你想要什么？”","“Oh,” she said.“I beg your pardon.You startled me.What do you want?”"
"“我想要出去，”他回答说，嘴唇滑稽地抽动了一下，“我在这屋子里有点儿迷路了，你要是好心告诉我门在哪儿，我就不惹什么麻烦，保证马上走人。”","“I reckon I want to get out,” he answered, with a humorous twitch to the lips.“I’ve kind of lost my way in this here shebang, and if you’ll kindly show me the door I’ll cause no trouble and sure vamoose.”"
"“但是，你在这儿做什么？”她质问道，她的嗓音略带些权威人士惯有的尖厉。","“But what are you doing here?” she demanded, her voice touched with the sharpness of one used to authority."
"“只是抢劫，小姐，仅此而已。我来窥探看看能搜罗到什么。我以为你不会回家了，因为我看见你开车和你家老头子出去了。我猜那肯定是你父亲，而你就是赛特利夫小姐。”","“Plain robbing, Miss, that’s all.I came snooping around to see what I could gather up.I thought you wan’t to home, seein’ as I saw you pull out with your old man in an auto.I reckon that must a ben your pa, and you’re Miss Setliffe.”"
"赛特利夫夫人意识到他的错误，却很感激他这缺乏判断力的恭维，于是决定不让他知道真相。","Mrs. Setliffe saw his mistake, appreciated the naive compliment, and decided not to undeceive him."
"“你怎么知道我是赛特利夫小姐？”她问道。","“How do you know I am Miss Setliffe?” she asked."
"“这是老赛特利夫的房子，不是吗？”","“This is old Setliffe’s house, ain’t it?”"
"她点点头。","She nodded."
"“我以前不知道他有个女儿，但我猜你就是她了。那么，如果不太麻烦的话，你要是能给我指指出去的路我会感激不尽的。”","“I didn’t know he had a daughter, but I reckon you must be her.And now, if it ain’t botherin’ you too much, I’d sure be obliged if you’d show me the way out.”"
"“可我为什么要这么做？你是个强盗，是个窃贼。”","“But why should I?You are a robber, a burglar.”"
"“如果我不是个干这事的普通新手，现在我就在一个个地摘你手指上的戒指了，而不会这样客气。”他反驳说。","“If I wan’t an ornery shorthorn at the business, I’d be accumulatin’ them rings on your fingers instead of being polite,” he retorted."
"“我来是想从老赛特利夫捞一笔的，不是来抢劫女士的。你要是让开，我想我能找到出去的路。”","“I come to make a raise outa old Setliffe, and not to be robbing women-folks.If you get outa the way, I reckon I can find my own way out.”"
"赛特利夫夫人是个敏锐的女人，她感觉这样一个人没什么可怕的。她确定他不是典型的罪犯。从他的说法方式上她了解到他不是城里人，而且她似乎感觉到了大空间的那种更广阔和朴实的气息。","Mrs. Setliffe was a keen woman, and she felt that from such a man there was little to fear.That he was not a typical criminal, she was certain.From his speech she knew he was not of the cities, and she seemed to sense the wider, homelier air of large spaces."
"“假设我刚才尖叫了呢？”她好奇地问，“要是我刚才大叫着求救呢？你也不会对我开枪吗？……一个女人？”","“Suppose I screamed?” she queried curiously.“Suppose I made an outcry for help?You couldn’t shoot me?…a woman?”"
"她注意到他棕色的眼睛里闪过一丝困惑。他沉思着慢慢回答，好像在解答一道难题，“我想，那么，我会掐住你的脖子，粗鲁地对待你。”","She noted the fleeting bafflement in his brown eyes.He answered slowly and thoughtfully, as if working out a difficult problem.“I reckon, then, I’d have to choke you and maul you some bad.”"
"“一个女人？”","“A woman?”"
"“我确定我是不得不这样做。”他回答道，她看见他嘴巴坚决冷酷的样子。","“I’d sure have to,” he answered, and she saw his mouth set grimly."
"“你只是一个柔弱的女人，可你看，小姐，我可蹲不起监狱。是的，小姐，我确定我蹲不起监狱。有个朋友在西部等我。他正身处困境，而我得帮他脱离困境。”他嘴巴的样子更加坚决冷酷。“我想我会掐住你的脖子，但不会让你受什么大的伤害。”","“You’re only a soft woman, but you see, Miss, I can’t afford to go to jail.No, Miss, I sure can’t.There’s a friend of mine waitin’ for me out West.He’s in a hole, and I’ve got to help him out.”The mouth shaped even more grimly.“I guess I could choke you without hurting you much to speak of.”"
"她望着他，眼神就像个婴儿一样，带着一种天真的怀疑。","Her eyes took on a baby stare of innocent incredulity as she watched him."
"“我以前从没遇到过窃贼，”她向他保证说，“我不知该如何告诉你我有多感兴趣。”","“I never met a burglar before,” she assured him, “and I can’t begin to tell you how interested I am.”"
