"流口水病房的故事","Told in the Drooling Ward"
"作者：杰克·伦敦","by Jack London"
"我？我不是个嘴角总流着口水的弱智。我是个助手。我不知道如果没有我，琼斯小姐或是凯尔茜小姐该怎么办。这个病房里有五十五个低级的流着口水的弱智，如果我不在，他们怎能全都吃饱了饭呢？我喜欢喂他们吃饭。他们不闹事捣乱。他们没有这个能力。他们大部分人的腿和胳膊都有毛病，而且他们不能说话。他们是非常低级的人。我能走路、能说话，还能做事。照顾这些弱智的时候你一定要小心，给他们喂食的时候不能太快。要不他们就会噎住。琼斯小姐说我是个专家。只要有新来的护士，我就会向她演示该怎么做。看新来的护士设法喂他们吃饭十分有趣。她喂得很慢、很小心，以至于到吃晚饭的时候，她还没把早饭给他们灌下去。然后我开始做示范，因为我是个专家。达尔林普尔医生说我是个专家，他应该最清楚不过了。只要掌握了正确的方法，你能让这些弱智吃得比平常快一倍。","Me?I’m not a drooler.I’m the assistant.I don’t know what Miss Jones or Miss Kelsey could do without me.There are fifty-five low-grade droolers in this ward, and how could they ever all be fed if I wasn’t around?I like to feed droolers.They don’t make trouble.They can’t.Something’s wrong with most of their legs and arms, and they can’t talk.They’re very low-grade.I can walk, and talk, and do things.You must be careful with the droolers and not feed them too fast.Then they choke.Miss Jones says I’m an expert.When a new nurse comes I show her how to do it.It’s funny watching a new nurse try to feed them.She goes at it so slow and careful that supper time would be around before she finished shoving down their breakfast.Then I show her, because I’m an expert.Dr. Dalrymple says I am, and he ought to know.A drooler can eat twice as fast if you know how to make him."
"我叫汤姆，今年二十八岁。这个机构里的每个人都认识我。你要知道，这是个社会公共机构。这个机构从属于加利福尼亚州，而且是以政治利益为经营目的的。我明白。我在这里呆了很久。每个人都信任我。在我不用忙着应付这些弱智的时候，就在这里四处跑跑腿。我喜欢流口水病人。这让我明白自己不是嘴角流着口水的弱智有多么幸运。","My name’s Tom.I’m twenty-eight years old.Everybody knows me in the institution.This is an institution, you know.It belongs to the State of California and is run by politics.I know.I’ve been here a long time.Everybody trusts me.I run errands all over the place, when I’m not busy with the droolers.I like droolers.It makes me think how lucky I am that I ain’t a drooler."
"我喜欢呆在“家”。我不喜欢外面的世界。我明白。我之前在这里呆过一段时间，也逃跑过，也被人收养过。我为“家”，为弱智病房，全心全意。我看起来不像流口水的弱智，是吧？你一看到我就知道有什么区别了。我是个助手，专业助手。对于一个弱智来说，这已经很了不得了。弱智？哦，就是智力低下的家伙。我以为你知道呢。我们在这里的都是弱智。","I like it here in the Home.I don’t like the outside.I know.I’ve been around a bit, and run away, and adopted.Me for the Home, and for the drooling ward best of all.I don’t look like a drooler, do I?You can tell the difference soon as you look at me.I’m an assistant, expert assistant.That’s going some for a feeb.Feeb?Oh, that’s feeble-minded.I thought you knew.We’re all feebs in here."
"但我是个高级的弱智。达尔林普尔医生说我很聪明，不应该呆在“家”，但我从没把这点泄露出去过。这是个相当不错的地方。而且不像很多弱智那样抽风。你透过这些树可以看见上面那栋房子。高级的弱智病人被单独安置在那里。他们都很高傲，因为他们不是一般的弱智。他们管那栋房子叫俱乐部会所，他们称自己和外边的人一样正常，他们只是生病而已。我不怎么喜欢他们。他们不抽风的时候就笑话我。不过，我不在乎。我永远也不需要害怕会跌倒、会摔破自己的脑袋。有时候，他们围成一圈转着跑，想很快找到一个坐的地方，可他们就是不坐。低级的病人倒人胃口，而高级的病人装腔作势。我很高兴自己不是个病人。他们不值一提。他们只会说大话，仅此而已。","But I’m a high-grade feeb.Dr. Dalrymple says I’m too smart to be in the Home, but I never let on.It’s a pretty good place.And don’t throw fits like lots of the feebs.You see that house up there through the trees.The high-grade epilecs all live in it by themselves.They’re stuck up because they ain’t just ordinary feebs.They call it the club house, and they say they’re just as good as anybody outside, only they’re sick.I don’t like them much.They laugh at me, when they ain’t busy throwing fits.But I don’t care.I never have to be scared about falling down and busting my head.Sometimes they run around in circles trying to find a place to sit down quick, only they don’t.Low-grade epilecs are disgusting, and high-grade epilecs put on airs.I’m glad I ain’t an epilec.There ain’t anything to them.They just talk big, that’s all."
"凯尔茜小姐说我话太多了。但我讲得合情合理，比其他的弱智强多了。达尔林普尔医生说我有语言天赋。我知道的。你应该听听我独自一人，或是只有一个弱智听众时的言语。有时候我觉得自己想做个政治家，就是太麻烦了。他们都擅于长篇大论，而这就是他们保住职位的法宝。","Miss Kelsey says I talk too much.But I talk sense, and that’s more than the other feebs do.Dr. Dalrymple says I have the gift of language.I know it.You ought to hear me talk when I’m by myself, or when I’ve got a drooler to listen.Sometimes I think I’d like to be a politician, only it’s too much trouble.They’re all great talkers; that’s how they hold their jobs."
"这个机构里没有疯子。他们只是智力低下。让我告诉你一些有趣的事。这里大约有十二个智力较为高级的女孩在宽敞的餐厅里摆餐具。有时她们提前干完了活，就会都坐在椅子上，围成一圈聊天。我悄悄到门边偷听，花了九牛二虎之力才憋住了笑声。你想知道她们都谈了些什么吗？是这样的。她们好长时间都不吐一个字。然后一个人说：“感谢上帝，我不是弱智。”于是，其他人都点点头，看起来心满意足的样子。接下来的一段时间，没有人开口说话。然后，这圈子里的另一个女孩说：“感谢上帝，我不是弱智。”然后其他人又都点点头。这一圈人就这样一个一个重复着，没有人说其他的内容。如今她们成了真正的弱智，不是吗？你自己判断吧。我可没弱智到那个程度，感谢上帝。","Nobody’s crazy in this institution.They’re just feeble in their minds.Let me tell you something funny.There’s about a dozen high-grade girls that set the tables in the big dining room.Sometimes when they’re done ahead of time, they all sit down in chairs in a circle and talk.I sneak up to the door and listen, and I nearly die to keep from laughing.Do you want to know what they talk?It’s like this.They don’t say a word for a long time.And then one says, “Thank God I’m not feeble-minded.”And all the rest nod their heads and look pleased.And then nobody says anything for a time.After which the next girl in the circle says, “Thank God I’m not feeble-minded,” and they nod their heads all over again.And it goes on around the circle, and they never say anything else.Now they’re real feebs, ain’t they?I leave it to you.I’m not that kind of a feeb, thank God."
"有时我觉得自己根本就不是弱智。我在乐队里演奏，还识乐谱。在这个乐队里，所有的人都应该是弱智，除了乐队指挥。他是个疯子。我们都知道，但我们不说，除非是私下里讨论。他的工作也是政治，我们不希望他失业。我是打鼓手。这个机构没有我就无法运转。我以前生过一次病，所以我知道。我住院期间这间弱智病房没有塌掉，真是个奇迹。","Sometimes I don’t think I’m a feeb at all.I play in the band and read music.We’re all supposed to be feebs in the band except the leader.He’s crazy.We know it, but we never talk about it except amongst ourselves.His job is politics, too, and we don’t want him to lose it.I play the drum.They can’t get along without me in this institution.I was sick once, so I know.It’s a wonder the drooling ward didn’t break down while I was in hospital."
"我如果想离开这里就能离开。我没有某些人想得那么无能。但我没有和别人说。我在这里过得太畅快了。再说，我要是跑了，一切都得垮掉。我担心某天他们发现我不是个弱智的时候，会把我送到外边，让我自谋生路。我了解外边的世界，我并不喜欢。对我来说，“家”已经相当不错了。","I could get out of here if I wanted to.I’m not so feeble as some might think.But I don’t let on.I have too good a time.Besides, everything would run down if I went away.I’m afraid some time they’ll find out I’m not a feeb and send me out into the world to earn my own living.I know the world, and I don’t like it.The Home is fine enough for me."
"你看我会时不时地咧嘴笑。我情不自禁。但我可以假装咧嘴使劲笑。虽然我并不坏。我看着玻璃中的自己。我的嘴长得很滑稽，这我自己知道，而且还往下垂，我的牙齿也不好。无论在哪里，光看一个人的嘴和牙齿你就能知道他是不是弱智。但那并不能证明我就是个弱智。只是我很幸运，我看起来像个弱智。","You see how I grin sometimes.I can’t help that.But I can put it on a lot.I’m not bad, though.I look at myself in the glass.My mouth is funny, I know that, and it lops down, and my teeth are bad.You can tell a feeb anywhere by looking at his mouth and teeth.But that doesn’t prove I’m a feeb.It’s just because I’m lucky that I look like one."
