"生活对我意味着什么","What Life Means To Me"
"作者：杰克·伦敦","by Jack London"
"我出生在工人阶级的家庭。小时候，我就知道什么是热情、抱负和理想，而实现这些目标成了我孩童时代的难题。我身处于残酷、艰苦而又原始的环境中。我不想朝外看，只想往上看。我处于社会的底层。这里的生活给肉体和精神带来的，只有肮脏和苦难；因为在这里，肉体和精神都在忍饥挨饿、受尽折磨。","I was born in the working-class.Early I discovered enthusiasm, ambition, and ideals; and to satisfy these became the problem of my child-life.My environment was crude and rough and raw.I had no outlook, but an uplook rather.My place in society was at the bottom.Here life offered nothing but sordidness and wretchedness, both of the flesh and the spirit; for here flesh and spirit were alike starved and tormented."
"在我之上矗立着庞大的社会体系，而在我看来，唯一的出路就是往上爬。我很小的时候就下定决心要爬到这个体系中去。上流社会的男人们穿黑色的西服和前胸上浆的白衬衫，女人们都穿漂亮的礼服。那里还有好吃的食物，而且非常丰富。对肉体来说，这些足够了。接下来就是精神方面的需求。我知道，在我之上的阶级中有无私的精神、纯洁高尚的思想和头脑敏锐聪明的人。我知道这一切是因为我读过廉价盗版小说，书里除了反面人物和女投机商之外，所有的男人和女人都思想高尚、谈吐动听、举止优雅。简单地说，就像我承认太阳升起一样，我承认在我之上的一切都是美好、高尚和优雅的，这一切为生活赋予体面和尊严，这一切使人生值得度过，也是对一个人辛勤劳动和悲惨不幸的回报。","Above me towered the colossal edifice of society, and to my mind the only way out was up.Into this edifice I early resolved to climb.Up above, men wore black clothes and boiled shirts, and women dressed in beautiful gowns.Also, there were good things to eat, and there was plenty to eat.This much for the flesh.Then there were the things of the spirit.Up above me, I knew, were unselfishnesses of the spirit, clean and noble thinking, keen intellectual living.I knew all this because I read “Seaside Library” novels, in which, with the exception of the villains and adventuresses, all men and women thought beautiful thoughts, spoke a beautiful tongue, and performed glorious deeds.In short, as I accepted the rising of the sun, I accepted that up above me was all that was fine and noble and gracious, all that gave decency and dignity to life, all that made life worth living and that remunerated one for his travail and misery."
"但是，一个人要想爬出工人阶级跻身上流，可没那么容易——如果他还抱有理想和幻想，那就更难了。我生活在加利福尼亚州的一个大农场上，很难找到能借以攀爬的梯子。早先我曾咨询过股本的利率，还担心我这个智商不高的头脑是否能理解人类杰出发明——复利——的优点和长处。然后我又查明了各个年龄的工人们时下的工资率和生活费用。根据所有这些数据，我总结出，如果我立刻开始工作、攒钱，在我五十岁的时候，我就可以停止工作，加入到享受快乐和幸福的队伍中去，等我进入了较上层的社会，这一部分快乐和幸福就会向我敞开大门。当然，我下定决心不结婚，可是我却完全忘记了工人阶级的大麻烦——疾病。","But it is not particularly easy for one to climb up out of the working-class—especially if he is handicapped by the possession of ideals and illusions.I lived on a ranch in California, and was hard put to find the ladder whereby to climb.I early inquired the rate of interest on invested money, and worried my child’s brain into an understanding of the virtues and excellences of that remarkable invention of man, compound interest.Further, I ascertained the current rates of wages for workers of all ages, and the cost of living.From all this data I concluded that if I began immediately and worked and saved until I was fifty years of age, I could then stop working and enter into participation in a fair portion of the delights and goodnesses that would then be open to me higher up in society.Of course, I resolutely determined not to marry, while I quite forgot to consider at all that great rock of disaster in the working-class world—sickness."
"但是我所想的这种生活不仅仅要求我省吃俭用。而且，在我十岁的时候，我成了城市街头的一个报童，并且发现自己向上爬的观念改变了。我的周围依然是肮脏和苦难，在我之上依然是那个有待我得到的天堂，只是，借以攀爬的梯子不同了。如今的梯子是商业之梯。当我可以用五美分买下两份报纸，然后转手以十美分的价格卖出、让我的资本翻倍时，我为什么要把钱存起来去投资政府债券呢？商业之梯就是我要的梯子，我幻想自己将要变成一个成功的秃头商业王子。","But the life that was in me demanded more than a meagre existence of scraping and scrimping.Also, at ten years of age, I became a newsboy on the streets of a city, and found myself with a changed uplook.All about me were still the same sordidness and wretchedness, and up above me was still the same paradise waiting to be gained; but the ladder whereby to climb was a different one.It was now the ladder of business.Why save my earnings and invest in government bonds, when, by buying two newspapers for five cents, with a turn of the wrist I could sell them for ten cents and double my capital?The business ladder was the ladder for me, and I had a vision of myself becoming a bald-headed and successful merchant prince."
"唉，这只是幻想！在我十六岁的时候，我已经获得了“王子”的称号。但这称号是一群杀手和小偷给我起的，他们叫我“牡蛎海盗王子”。那时候，我已经爬到商业之梯的第一级台阶了。我成了一个资本家。我拥有一艘船和一整套掠夺牡蛎的装备。我开始剥削我的同类。我有一个船员。作为船长和船主，我拿了三分之二的战利品，留给船员三分之一，尽管他和我一样辛苦地工作，和我一样拿自己的生命和自由冒险。","Alas for visions!When I was sixteen I had already earned the title of “prince.”But this title was given me by a gang of cut-throats and thieves, by whom I was called “The Prince of the Oyster Pirates.”And at that time I had climbed the first rung of the business ladder.I was a capitalist.I owned a boat and a complete oyster-pirating outfit.I had begun to exploit my fellow-creatures.I had a crew of one man.As captain and owner I took two-thirds of the spoils, and gave the crew one-third, though the crew worked just as hard as I did and risked just as much his life and liberty."
"这就是我在商业之梯上爬的最高一级。一天晚上，我同一群中国渔夫去抢劫。绳子和渔网都是值钱货。这是抢劫，我承认，可这正是资本主义的精髓。资本家们以克扣的手段，或是背信弃义，或是收买参议员和高级法院的法官来抢夺自己同类的财产。我只是不加掩饰而已。那是唯一的区别。我用了枪。","This one rung was the height I climbed up the business ladder.One night I went on a raid amongst the Chinese fishermen.Ropes and nets were worth dollars and cents.It was robbery, I grant, but it was precisely the spirit of capitalism.The capitalist takes away the possessions of his fellow-creatures by means of a rebate, or of a betrayal of trust, or by the purchase of senators and supreme-court judges.I was merely crude.That was the only difference.I used a gun."
"但是那天晚上，我的船员效率极为低下，资本家多半是会严厉谴责的，因为效率低下的确会增加支出，减少分红。这两点我的船员都做到了。他不小心点着了船的大主帆，把它完全烧毁了。那晚没什么分红可得，而且那些中国渔夫比我们还富裕，因为他们抢了我们没能抢到的绳子和渔网。我破产了，那会儿连买新主帆的65美元都掏不出来。我把我的船抛了锚，和一艘海湾海盗船在萨克拉门托河上游抢劫去了。在我离开去抢劫的时候，另一伙海湾强盗抢劫了我的船。他们偷走了所有的东西，甚至包括锚；后来，我修好了漂浮的船体并把它卖了20美元。我又滑回到原来爬过的那级台阶，之后再也没有尝试过商业之梯。","But my crew that night was one of those inefficients against whom the capitalist is wont to fulminate, because, forsooth, such inefficients increase expenses and reduce dividends.My crew did both.What of his carelessness he set fire to the big mainsail and totally destroyed it.There weren’t any dividends that night, and the Chinese fishermen were richer by the nets and ropes we did not get.I was bankrupt, unable just then to pay sixty-five dollars for a new mainsail.I left my boat at anchor and went off on a bay-pirate boat on a raid up the Sacramento River.While away on this trip, another gang of bay pirates raided my boat.They stole everything, even the anchors; and later on, when I recovered the drifting hulk, I sold it for twenty dollars.I had slipped back the one rung I had climbed, and never again did I attempt the business ladder."
"之后，我被其他资本家们无情地剥削。我有力气，他们利用这点从中挣钱，而我却靠着力气过着非常惨淡的生活。我做过普通水手、码头装卸工人、舱面水手；我在罐头厂、制造厂和洗衣房工作过；我除过草、洗过地毯，还擦过玻璃。但我从未得到过辛苦劳动应有的报酬。我看着罐头厂主的女儿坐在她的四轮马车上，明白我的力气在某种程度上也帮助拉动车子的橡胶轮胎了。我看着制造厂厂主的儿子去上大学了，明白我的力气也在某种程度上支付了他所享有的美酒、换来了良好的人际关系。","From then on I was mercilessly exploited by other capitalists.I had the muscle, and they made money out of it while I made but a very indifferent living out of it.I was a sailor before the mast, a longshoreman, a roustabout; I worked in canneries, and factories, and laundries; I mowed lawns, and cleaned carpets, and washed windows.And I never got the full product of my toil.I looked at the daughter of the cannery owner, in her carriage, and knew that it was my muscle, in part, that helped drag along that carriage on its rubber tyres.I looked at the son of the factory owner, going to college, and knew that it was my muscle that helped, in part, to pay for the wine and good fellowship he enjoyed."
"可是我并不憎恨这一切。游戏就是如此。他们是强势群体。很好，我也很强壮。我会开辟出一条路使自己跻身于他们之中并从别人的力气中挣钱。我不害怕工作。我喜欢努力工作。我会比以前更投入、更努力地工作，最终成为社会的栋梁。","But I did not resent this.It was all in the game.They were the strong.Very well, I was strong.I would carve my way to a place amongst them and make money out of the muscles of other men.I was not afraid of work.I loved hard work.I would pitch in and work harder than ever and eventually become a pillar of society."
