"一块牛排","A Piece of Steak"
"作者：杰克·伦敦","by Jack London"
"汤姆·金捏住最后一小片面包，抹净盘子上最后一点儿面糊肉汁，然后把它塞进嘴里，慢慢地、若有所思地嚼着这一小块。他吃完从桌旁起身时，那种明显的饥饿感还是让他很郁闷。可只有他一个人吃了。隔壁房间的两个孩子已早早地被送上床，因为睡梦中他们就不会记得没吃晚饭了。他老婆也什么都没吃，一直静静地坐着，忧心忡忡地看着他。她是一个瘦弱憔悴的女工，可她那张脸上仍不乏一些昔日光鲜美丽的痕迹。做肉汁的小麦粉是她从走廊对面的邻居家借来的。面包是她用最后两个便士买的。","With the last morsel of bread Tom King wiped his plate clean of the last particle of flour gravy and chewed the resulting mouthful in a slow and meditative way.When he arose from the table, he was oppressed by the feeling that he was distinctly hungry.Yet he alone had eaten.The two children in the other room had been sent early to bed in order that in sleep they might forget they had gone supperless.His wife had touched nothing, and had sat silently and watched him with solicitous eyes.She was a thin, worn woman of the working-class, though signs of an earlier prettiness were not wanting in her face.The flour for the gravy she had borrowed from the neighbor across the hall.The last two ha’pennies had gone to buy the bread."
"他坐在窗边一把椅子上，那椅子经不住他的体重，被压得摇摇晃晃，像要散架了似的。他下意识地把烟斗塞进嘴里，将手伸进外套口袋。他没摸到烟草，这才意识到自己的动作；他不由皱起眉头，一边怪自己健忘，一边把烟斗收好。他的动作很迟缓，简直可以说是笨拙，好像他不胜肌肉的重荷似的。他是一个身材健壮、表情木讷的男人，外表也不太讨人喜欢。他的衣服粗糙、破旧又邋遢。他那双鞋的鞋面破得快拖不动厚重的鞋底了，鞋底本身也很久未曾换过了。他的棉衬衣是一件只值两先令的便宜货，衣领已经磨破，上面的漆渍洗也洗不干净。","He sat down by the window on a rickety chair that protested under his weight, and quite mechanically he put his pipe in his mouth and dipped into the side pocket of his coat.The absence of any tobacco made him aware of his action, and, with a scowl for his forgetfulness, he put the pipe away.His movements were slow, almost hulking, as though he were burdened by the heavy weight of his muscles.He was a solid-bodied, stolid-looking man, and his appearance did not suffer from being overprepossessing.His rough clothes were old and slouchy.The uppers of his shoes were too weak to carry the heavy resoling that was itself of no recent date.And his cotton shirt, a cheap, two-shilling affair, showed a frayed collar and ineradicable paint stains."
"不过，只消看一看汤姆·金的那张脸，你就准能猜出他是干什么的。那是一张典型的职业拳击手的脸，只有长年打拼在拳击台上的人才会拥有这样的脸，因此那上面会鲜明地显露出好斗猛兽的一切特征。这显然是张闷闷不乐的脸，而且由于胡子刮得干干净净，什么特征都一目了然。他的两片嘴唇已经变形，合成一张难看的嘴巴，好像脸上一条又长又深的伤疤。他的下巴粗壮，显得好斗而残忍。紧锁的浓眉下面，一双眼睛转动得很慢，眼皮耷拉着，让人几乎看不出任何情绪。他完全像只野兽，而最像野兽的部分就是他的眼睛。那双眼睛看似惺忪，却像狮子一般——一种好斗野兽的眼睛。他前额发际线不高，因为头发剃得很短；一颗丑陋的脑袋上每一处隆起的部分都轮廓鲜明。他那只鼻子被打断过两次，还挨过数不清的拳头，变得怪模怪样；一只耳朵如卷心菜一样蜷曲着，肿得比原来大了一圈，这些都装点着他的面容；而他的胡子虽然刚刚被刮过了，但胡茬又从皮肤里生了出来，让脸呈现出一种蓝黑的颜色。","But it was Tom King’s face that advertised him unmistakably for what he was.It was the face of a typical prize-fighter; of one who had put in long years of service in the squared ring and, by that means, developed and emphasized all the marks of the fighting beast.It was distinctly a lowering countenance, and, that no feature of it might escape notice, it was clean-shaven.The lips were shapeless, and constituted a mouth harsh to excess, that was like a gash in his face.The jaw was aggressive, brutal, heavy.The eyes, slow of movement and heavy-lidded, were almost expressionless under the shaggy, indrawn brows.Sheer animal that he was, the eyes were the most animal-like feature about him.They were sleepy, lion-like—the eyes of a fighting animal.The forehead slanted quickly back to the hair, which, clipped close, showed every bump of a villainous-looking head.A nose, twice broken and moulded variously by countless blows, and a cauliflower ear, permanently swollen and distorted to twice its size, completed his adornment, while the beard, fresh-shaven as it was, sprouted in the skin and gave the face a blue-black stain."
"总之，要是谁在漆黑的小巷或者偏僻的地方看到这张脸，肯定会被吓着。不过，汤姆·金可不是罪犯，也没有做过任何犯法的事。干他这行的都要打斗，但在拳击场之外，他没伤害过任何人。也从没听说他和谁吵过架。他是个职业拳击手，他那股打架的狠劲儿都留着用到了职业比赛上。在拳击场之外，他是个腿脚迟缓、个性温和的人。他年轻时手头非常宽裕，他也出手阔绰，从来不为自己着想。他没有怨恨，也很少树敌。打拳对他来说只是个谋生的活计。在拳击台上，他出拳把人打伤、打残，甚至打死，可并没有什么恶意。那只不过是这个行业里的家常便饭罢了。观众花钱进拳击场，就是来看人们互相把对方打倒在地的。获胜一方可以将这一大笔钱收入囊中。20年前，汤姆·金对垒伍鲁木鲁·高杰的时候，他知道高杰的下巴在纽卡斯尔的那场比赛中受了伤，才好了不到四个月。所以他就专门瞄着那个下巴打，终于在第九轮又把它给打坏了。他这么做倒不是因为对高杰怀有什么敌意，而是因为要想把高杰打倒，赢得那一大笔钱，这法子最保险。高杰也不会因此记仇。比赛就是这么回事，他们两个都明白规则，并且依此行事。","All together, it was the face of a man to be afraid of in a dark alley or lonely place.And yet Tom King was not a criminal, nor had he ever done anything criminal.Outside of brawls, common to his walk in life, he had harmed no one.Nor had he ever been known to pick a quarrel.He was a professional, and all the fighting brutishness of him was reserved for his professional appearances.Outside the ring he was slow-going, easy-natured, and, in his younger days, when money was flush, too open-handed for his own good.He bore no grudges and had few enemies.Fighting was a business with him.In the ring he struck to hurt, struck to maim, struck to destroy; but there was no animus in it.It was a plain business proposition.Audiences assembled and paid for the spectacle of men knocking each other out.The winner took the big end of the purse.When Tom King faced the Woolloomoolloo Gouger, twenty years before, he knew that the Gouger’s jaw was only four months healed after having been broken in a Newcastle bout.And he had played for that jaw and broken it again in the ninth round, not because he bore the Gouger any ill-will, but because that was the surest way to put the Gouger out and win the big end of the purse.Nor had the Gouger borne him any ill-will for it.It was the game, and both knew the game and played it."
"汤姆·金向来不爱讲话，他只是坐在窗边，愁眉苦脸，一言不发地盯着自己的一双手。手背的血管鼓了起来，又粗又肿，指关节饱受击打，已经粉碎变形，一看就知道吃过什么苦头。没人告诉过他，一个人能活多久全看血管能撑多久，可他完全明白这些粗大的、鼓出来的血管意味着什么。他的心脏曾经铆足劲儿往这些血管里输送了太多的血液。如今这些血管已经不中用了。它们已经被撑得失去了弹性，而且随着它们变得越来越肿，他的耐力也越来越差。他现在很容易就会觉得累。原来他可以迅速打完20个回合，一回合接着一回合拼命地打呀，打呀打呀，愈战愈猛，一会儿被对手打倒在围绳上，一会儿又反过来将对手打倒在围绳上。越到最后，拳头越是狠越是快，终于在第20个回合，全场观众都站起来大叫的时候，他会加快速度跑动、出拳、闪躲，把暴雨般的拳头一阵阵挥出去，同时也挨着对手一阵阵的拳头。整场比赛，他的心脏都老老实实地把汹涌的血液送进那些完好的血管。可现在，他再也不行了。那些血管当时鼓得很大，但总会缩回原状，不过也不是完全一样——每次它们都会比以前大上那么一点儿，只是起初几乎看不出来而已。他盯着这些血管和被打伤的指关节，一瞬间仿佛又看到了这双手曾经健康漂亮的样子，不过那都是他在本尼·琼斯（又称“威尔士凶神”）的脑袋上打坏自己的第一个指关节之前的事情了。","Tom King had never been a talker, and he sat by the window, morosely silent, staring at his hands.The veins stood out on the backs of the hands, large and swollen; and the knuckles, smashed and battered and malformed, testified to the use to which they had been put.He had never heard that a man’s life was the life of his arteries, but well he knew the meaning of those big, upstanding veins.His heart had pumped too much blood through them at top pressure.They no longer did the work.He had stretched the elasticity out of them, and with their distention had passed his endurance.He tired easily now.No longer could he do a fast twenty rounds, hammer and tongs, fight, fight, fight, from gong to gong, with fierce rally on top of fierce rally, beaten to the ropes and in turn beating his opponent to the ropes, and rallying fiercest and fastest of all in that last, twentieth round, with the house on its feet and yelling, himself rushing, striking, ducking, raining showers of blows upon showers of blows and receiving showers of blows in return, and all the time the heart faithfully pumping the surging blood through the adequate veins.The veins, swollen at the time, had always shrunk down again, though not quite—each time, imperceptibly at first, remaining just a trifle larger than before.He stared at them and at his battered knuckles, and, for the moment, caught a vision of the youthful excellence of those hands before the first knuckle had been smashed on the head of Benny Jones, otherwise known as the Welsh Terror."
"饥饿感再次向他袭来。","The impression of his hunger came back on him."
"“哎呀，我连块牛排都没的吃吗！”他大声嘟囔着，捏紧自己大大的拳头，闷声骂了一句。","“Blimey, but couldn’t I go a piece of steak!” he muttered aloud, clenching his huge fists and spitting out a smothered oath."
"“伯克和索里两家店我都去过了。”她妻子有些抱歉地说。","“I tried both Burke’s an’ Sawley’s,” his wife said half apologetically."
"“他们不肯？”他问道。","“An’ they wouldn’t?” he demanded."
