"唷！唷！唷！","Yah! Yah! Yah!"
"作者：杰克·伦敦","by Jack London"
"他是一个狂饮威士忌的苏格兰人，喝威士忌从不加水，每天早上六点他准时喝第一小杯，之后一直到午夜，也就是到他上床睡觉为止，每隔一段时间就会再喝一小杯。他二十四小时内只睡五个小时，在其余的十九个小时中，他都处于醉酒状态，安静而有礼。在乌龙环礁跟他一起度过的八周里，我从没见过他不醉的时候。事实上，他睡觉的时间很少，都没有时间醒酒。那是我曾见过的最优美又平和的常年醉酒状态。","He was a whiskey-guzzling Scotchman, and he downed his whiskey neat, beginning with his first tot punctually at six in the morning, and thereafter repeating it at regular intervals throughout the day till bedtime, which was usually midnight.He slept but five hours out of the twenty-four, and for the remaining nineteen hours he was quietly and decently drunk.During the eight weeks I spent with him on Oolong Atoll, I never saw him draw a sober breath.In fact, his sleep was so short that he never had time to sober up.It was the most beautiful and orderly perennial drunk I have ever observed."
"麦卡利斯特是他的名字。他是一个老人，腿抖得很厉害。他的手像痉挛了一样颤抖，倒威士忌时尤其明显，尽管我知道他从来没有洒过一滴。美拉尼西亚从德属新几内亚延伸到德属所罗门，他在那里住了二十八年，已被那部分世界同化，他会习惯性地说不标准的外国话，叫做“bech-de-mer（法语：海参）”。因此，在跟我的谈话中，“太阳他出来了”意思是日出，“开开他停下”意思是晚饭准备好了，“属于我的肚子走来走去”意思是他的胃里恶心。他是一个小个子男人，一个憔悴的人。他的身体内被烈酒灼烧着，皮肤被骄阳炙烤着。他像一粒煤渣，一个有几分熔渣特征的人，一块还没有完全冷却仍有生气的小渣块，行动时身体不灵活，起步又突然停下，如同一个机器人。一阵狂风就会把他吹走。他体重九十磅。","McAllister was his name.He was an old man, and very shaky on his pins.His hand trembled as with a palsy, especially noticeable when he poured his whiskey, though I never knew him to spill a drop.He had been twenty-eight years in Melanesia, ranging from German New Guinea to the German Solomons, and so thoroughly had he become identified with that portion of the world, that he habitually spoke in that bastard lingo called “bech-de-mer.”Thus, in conversation with me, SUN HE COME UP meant sunrise; KAI-KAI HE STOP meant that dinner was served; and BELLY BELONG ME WALK ABOUT meant that he was sick at his stomach.He was a small man, and a withered one, burned inside and outside by ardent spirits and ardent sun.He was a cinder, a bit of a clinker of a man, a little animated clinker, not yet quite cold, that moved stiffly and by starts and jerks like an automaton.A gust of wind would have blown him away.He weighed ninety pounds."
"但他最厉害的一点就是他统治的能力。乌龙环礁周长一百四十英里。在其环礁湖中，人们可沿罗经航向行驶。岛上居住着五千波利尼西亚人，所有男女都高大健壮，许多人身高六英尺，重达两三百磅。乌龙岛距最近的陆地有两百五十英里。一艘小纵帆船一年到访两次来收购干椰子仁。麦卡利斯特是乌龙岛上唯一的白人，一个小商人，且是个不停地喝酒的酒鬼；他以铁腕统治着乌龙岛和岛上六千野蛮人。他让他们来，他们就来，让他走，他们就走。他们从来没有质疑过他的意愿和裁决。他的脾气很坏，一般只有上了年纪的苏格兰人才会这样，平常还频繁地干涉他们的私事。国王的女儿纽古想嫁给来自环礁岛那头的豪诺，他的父亲同意了，但是麦卡利斯特却说不行，这个婚姻就一直没成功。国王想要从祭司长那里买环礁湖上的一个小岛，麦卡利斯特说不行。国王欠这个公司的债务相当于十八万个椰子的价值，债务还清之前，他不能买别的东西，连买一个椰子的钱都不能花。","But the immense thing about him was the power with which he ruled.Oolong Atoll was one hundred and forty miles in circumference.One steered by compass course in its lagoon.It was populated by five thousand Polynesians, all strapping men and women, many of them standing six feet in height and weighing a couple of hundred pounds.Oolong was two hundred and fifty miles from the nearest land.Twice a year a little schooner called to collect copra.The one white man on Oolong was McAllister, petty trader and unintermittent guzzler; and he ruled Oolong and its six thousand savages with an iron hand.He said come, and they came, go, and they went.They never questioned his will nor judgment.He was cantankerous as only an aged Scotchman can be, and interfered continually in their personal affairs.When Nugu, the king’s daughter, wanted to marry Haunau from the other end of the atoll, her father said yes; but McAllister said no, and the marriage never came off.When the king wanted to buy a certain islet in the lagoon from the chief priest, McAllister said no.The king was in debt to the Company to the tune of 180,000 cocoanuts, and until that was paid he was not to spend a single cocoanut on anything else."
"但是，国王和他的人民并不喜欢麦卡利斯特。事实上，他们非常讨厌他，而且据我所知，全岛居民曾在祭司们的带头下祈祷了三个月，试图诅咒他去死，但是没有成功。他们派去跟着他的恶魔令人畏惧，但因为麦卡利斯特不相信恶魔，所以恶魔对他也无能为力。对常醉酒的苏格兰人来说，任何符号都是没有意义的。他们收集起他嘴唇沾过的食物废料，一个空威士忌酒瓶、一个他喝过的椰子，甚至他的唾沫，对这些东西施加各种各样的妖术。但麦卡利斯特继续活着。他的身体棒极了。他从来没发过烧，也没咳嗽或者感冒过；痢疾回避他；在那种环境下，白人和黑人都患过的恶性溃疡和严重的皮肤病，他却从未被它们纠缠过。他体内一定充满了酒精，抵御了细菌在他身上安家落户。我过去常常猜想，它们一进入弥漫着威士忌气味的范围之中，就会像极小的煤渣如阵雨般那样纷纷坠地了。没有人喜欢他，甚至细菌也不喜欢他，而他只爱威士忌，且仍然活着。","And yet the king and his people did not love McAllister.In truth, they hated him horribly, and, to my knowledge, the whole population, with the priests at the head, tried vainly for three months to pray him to death.The devil-devils they sent after him were awe-inspiring, but since McAllister did not believe in devil-devils, they were without power over him.With drunken Scotchmen all signs fail.They gathered up scraps of food which had touched his lips, an empty whiskey bottle, a cocoanut from which he had drunk, and even his spittle, and performed all kinds of deviltries over them.But McAllister lived on.His health was superb.He never caught fever; nor coughs nor colds; dysentery passed him by; and the malignant ulcers and vile skin diseases that attack blacks and whites alike in that climate never fastened upon him.He must have been so saturated with alcohol as to defy the lodgment of germs.I used to imagine them falling to the ground in showers of microscopic cinders as fast as they entered his whiskey-sodden aura.No one loved him, not even germs, while he loved only whiskey, and still he lived."
"我很困惑。我无法理解六千本地人就这样忍受着那个憔悴矮小的暴君。他没老早就暴卒，真是个奇迹。这里的人不像怯懦的美拉尼西亚人，他们高傲而好战。大墓地里，坟墓的顶端和底端留有过去血腥历史的残存物——鲸脂铲刀、生锈的旧刺刀和短弯刀、铜螺栓、铁质船舵、鱼叉、炸弹火炮，还有很可能是原用以建造鲸油提炼炉的砖头，以及十六世纪生产的证实了有关早期西班牙航海家传说的旧黄铜片。在乌龙岛上遇难的船一艘接一艘。二十多年前，捕鲸船布伦纳戴尔号为修补船只，偶然驶入这个环礁湖，结果全体船员都命丧于此。檀香木商船咖斯凯特的船员有着类似的下场，全都死了。有一艘大的法国三桅帆船图隆号，停在了环礁边，岛民们在与其激烈争斗后，登上这艘船，然后这艘船在利波通道失事了，船长和一小部分水手借着帆船附载的大艇得以逃生。之后，又有西班牙物品的碎片，这些碎片说明了其中一名早期探险家的失败。这些列举出来的船只的一切，都已是历史，将会在“南太平洋航海目录”中被找到。但我知道还有一些没被记录下来的历史。期间，我很困惑，为什么六千原始野蛮人会让一个堕落的苏格兰专制暴君活着。","I was puzzled.I could not understand six thousand natives putting up with that withered shrimp of a tyrant.It was a miracle that he had not died suddenly long since.Unlike the cowardly Melanesians, the people were high-stomached and warlike.In the big graveyard, at head and feet of the graves, were relics of past sanguinary history—blubber-spades, rusty old bayonets and cutlasses, copper bolts, rudder-irons, harpoons, bomb guns, bricks that could have come from nowhere but a whaler’s trying-out furnace, and old brass pieces of the sixteenth century that verified the traditions of the early Spanish navigators.Ship after ship had come to grief on Oolong.Not thirty years before, the whaler BLENNERDALE, running into the lagoon for repair, had been cut off with all hands.In similar fashion had the crew of the GASKET, a sandalwood trader, perished.There was a big French bark, the TOULON, becalmed off the atoll, which the islanders boarded after a sharp tussle and wrecked in the Lipau Passage, the captain and a handful of sailors escaping in the longboat.Then there were the Spanish pieces, which told of the loss of one of the early explorers.All this, of the vessels named, is a matter of history, and is to be found in the SOUTH PACIFIC SAILING DIRECTORY.But that there was other history, unwritten, I was yet to learn.In the meantime I puzzled why six thousand primitive savages let one degenerate Scotch despot live."
"一个炎热的午后，麦卡利斯特和我坐在阳台上眺望环礁湖面，宝石般颜色的湖面简直是奇观。我们背后长约一百码的沙滩上星星点点地种有棕榈树，在沙滩那边，外围的海浪在暗礁上咆哮着。天气极其暖和。我们处于南纬四度的位置上，太阳横穿赤道，几天后继续向南移动，现在就在我们头顶上。一点儿风都没有——连猫掌风都没有。东南信风快要提前结束了，而西北季风还没有开始盛行。","One hot afternoon McAllister and I sat on the veranda looking out over the lagoon, with all its wonder of jeweled colors.At our backs, across the hundred yards of palm-studded sand, the outer surf roared on the reef.It was dreadfully warm.We were in four degree south latitude and the sun was directly overhead, having crossed the Line a few days before on its journey south.There was no wind—not even a catspaw.The season of the southeast trade was drawing to an early close, and the northwest monsoon had not yet begun to blow."
"“他们完全不会跳舞。”麦卡利斯特说。","“They can’t dance worth a damn,” said McAllister."
"我偶然提到玻利尼西亚人的舞蹈要比巴布亚人的好，麦卡利斯特却毫无根据地否认了我的说法，只因他好争吵的性格。但这也不值得争辩，于是我什么都没说。此外，我从没见过乌龙岛人跳舞。","I had happened to mention that the Polynesian dances were superior to the Papuan, and this McAllister had denied, for no other reason than his cantankerousness.But it was too not to argue, and I said nothing.Besides, I had never seen the Oolong people dance."
"“我要向你证明。”他说，同时向那个新汉诺威市黑人男孩招手示意，这男孩是新来的劳工，做厨师和普通房间佣人。“喂，你，小伙子，你告诉国王让他到我这里来。”","“I’ll prove it to you,” he announced, beckoning to the black New Hanover boy, a labor recruit, who served as cook and general house servant.“Hey, you, boy, you tell ’m one fella king come along me.”"
