"魔鬼和汤姆·沃克","The Devil and Tom Walker"
"作者：华盛顿·欧文　","by Washington Irving"
"在离波士顿几英里外的马萨诸塞州，有一个深深的海湾，从查尔斯湾起，曲折蜿蜒好几里，深入内陆，尽头是一个树木茂密的湿地，或者叫沼泽。海湾的一面是美丽茂密的丛林，对面的水边突兀地耸立着高岗，高岗上疏疏落落地长着几株年代久远的巨大橡树。根据古老的传说，海盗基德曾在其中一株大树下面埋下宝藏。这个海湾是个很方便的地方，只用一只船就能在夜里秘密地把钱运到山脚下。这里地势很高，利于放风，保证附近没有人。同时，这里醒目的大树是很好的地标，日后很容易找到这里。此外，这个古老的传说还讲到，当时是埋葬宝藏的过程是由魔鬼主持的，并且由魔鬼亲自看守这些钱。但这件事众所周知，埋在地下的宝藏，尤其是不义之财，向来都是由魔鬼掌管的。无论如何，基德从未回来取他的财物。因为不久之后他在波士顿被抓，被遣送到英国，在那里以海盗罪被绞死了。","A few miles from Boston, in Massachusetts, there is a deep inlet winding several miles into the interior of the country from Charles Bay, and terminating in a thickly-wooded swamp, or morass.On one side of this inlet is a beautiful dark grove; on the opposite side the land rises abruptly from the water’s edge, into a high ridge on which grow a few scattered oaks of great age and immense size.It was under one of these gigantic trees, according to old stories, that Kidd the pirate buried his treasure.The inlet allowed a facility to bring the money in a boat secretly and at night to the very foot of the hill.The elevation of the place permitted a good look-out to be kept that no one was at hand, while the remarkable trees formed good landmarks by which the place might easily be found again.The old stories add, moreover, that the devil presided at the hiding of the money, and took it under his guardianship; but this, it is well-known, he always does with buried treasure, particularly when it has been ill gotten.Be that as it may, Kidd never returned to recover his wealth; being shortly after seized at Boston, sent out to England, and there hanged for a pirate."
"大约是在公元一七二七年，当时地震席卷整个新英格兰，吓得许多趾高气扬、罪孽深重的人都跪了下来。这附近住着一个削瘦的小气鬼，名叫汤姆·沃克。他有一个和他一样小气的妻子，他们甚至小气到连夫妻间也互相欺瞒。这个女人会藏起所有到手的东西；母鸡还没有咯咯叫，她就等着收它新下的蛋。她丈夫总是不停窥探，寻找她私藏的小金库。为那些本该成为公共财产的东西，两人总是激烈地争吵。他们住的房子看起来很荒凉，孤零零地立在那儿，使人想起饥荒。房子附近零散地长着几棵圆柏，成了贫瘠的标志，烟囱从没冒过烟，也从没有旅客会在门口停下来。一匹可怜的马在田里踱着，它的肋骨像烤肉架上的铁条一样清晰可辨。田里只有一层薄薄的青苔，连那点凹凸不平的石子路也遮不住，只能使这匹马更加饥饿，备受折磨。它有时把头靠在篱笆上，可怜地望着路人，好像请求他们把它从这块闹饥荒的土地上救走似的。","About the year 1727, just at the time when earthquakes were prevalent in New England, and shook many tall sinners down upon their knees, there lived near this place a meagre miserly fellow of the name of Tom Walker.He had a wife as miserly as himself; they were so miserly that they even conspired to cheat each other.Whatever the woman could lay hands on she hid away; a hen could not cackle but she was on the alert to secure the new-laid egg.Her husband was continually prying about to detect her secret hoards, and many and fierce were the conflicts that took place about what ought to have been common property.They lived in a forlorn-looking house, that stood alone and had an air of starvation.A few straggling savin trees, emblems of sterility, grew near it; no smoke ever curled from its chimney; no traveller stopped at its door.A miserable horse, whose ribs were as articulate as the bars of a gridiron, stalked about a field where a thin carpet of moss, scarcely covering the ragged beds of pudding-stone, tantalized and balked his hunger; and sometimes he would lean his head over the fence, looked piteously at the passer-by, and seem to petition deliverance from this land of famine."
"这座房子和它的住户名声都不好。汤姆的老婆是个高大的泼妇，性格凶悍，嗓门很大，胳膊也很结实。经常可以听到她和丈夫打嘴架的声音，有时她丈夫脸上挂了彩，就知道他们的冲突不仅仅是口角。但是，没人敢插手他们之间的事，独行的过路人，对于他们又打又骂的情景只能望而却步，眼睛瞟着这个不和谐的家庭，赶紧赶路。如果是个单身汉，一定会庆幸自己没有老婆。","The house and its inmates had altogether a bad name.Tom’s wife was a tall termagant, fierce of temper, loud of tongue, and strong of arm.Her voice was often heard in wordy warfare with her husband; and his face sometimes showed signs that their conflicts were not confined to words.No one ventured, however, to interfere between them; the lonely wayfarer shrunk within himself at the horrid clamor and clapper-clawing; eyed the den of discord askance, and hurried on his way, rejoicing, if a bachelor, in his celibacy."
"一天，汤姆·沃克去了附近一个较远的地方，回家时，他从沼泽中穿过，自认为找到一条捷径。和很多捷径一样，这条捷径选得很不妙。这个沼泽密密麻麻地长满了巨大阴森的松树和铁杉，其中一些高达九十英尺，即使在正午，树林里也很暗，所以这里成了附近所有猫头鹰的栖息地。这里尽是水坑和泥沼，一部分覆盖着水草和苔藓，绿色的外表常常骗得路人落入一坑漆黑胶粘的污泥中。同时，这儿还有许多阴暗淤塞的池塘，住着蝌蚪，大青蛙和水蛇，其中有很多松树和铁杉的树干，一半浸在水里，一半在腐烂，看上去就像在泥坑中沉睡的鳄鱼。","One day that Tom Walker had been to a distant part of the neighborhood, he took what he considered a short cut homewards through the swamp.Like most short cuts, it was an ill-chosen route.The swamp was thickly grown with great gloomy pines and hemlocks, some of them ninety feet high; which made it dark at noon-day, and a retreat for all the owls of the neighborhood.It was full of pits and quagmires, partly covered with weeds and mosses; where the green surface often betrayed the traveller into a gulf of black smothering mud; there were also dark and stagnant pools, the abodes of the tadpole, the bull-frog, and the water-snake, and where trunks of pines and hemlocks lay half drowned, half rotting, looking like alligators, sleeping in the mire."
"汤姆走了很久才谨慎地穿过这片险恶的丛林，他从一丛丛的灯芯草和树根中跨过去，但这些落脚点在深深的泥沼中也不稳当。他像一只猫一样，沿着倒下来的树干小心地前行。时而鹭鸶尖叫一声，时而野鸭聒噪一声，从僻静的池塘展翅起飞，都会吓他一跳。最后，他终于走上了一块结实的土地，这块地好像是一个延伸到沼泽深处的半岛。这里是印第安人与第一批殖民者进行斗争的据点之一。他们曾在此建造了一个自己认为坚不可摧的堡垒作为他们妻儿的避难所。现在的印第安碉堡，只剩下了断壁残垣，逐渐变得与周围的土地一样平了，一部分已经长满了橡树和其它树木，它们的枝叶与沼泽里阴暗的松树和铁杉形成鲜明的对比。","Tom had long been picking his way cautiously through this treacherous forest; stepping from tuft to tuft of rushes and roots which afforded precarious footholds among deep sloughs; or pacing carefully, like a cat, among the prostrate trunks of trees; startled now and then by the sudden screaming of the bittern, or the quacking of a wild duck, rising on the wing from some solitary pool.At length he arrived at a piece of firm ground, which ran out like a peninsula into the deep bosom of the swamp.It had been one of the strongholds of the Indians during their wars with the first colonists.Here they had thrown up a kind of fort which they had looked upon as almost impregnable, and had used as a place of refuge for their squaws and children.Nothing remained of the Indian fort but a few embankments gradually sinking to the level of the surrounding earth, and already overgrown in part by oaks and other forest trees, the foliage of which formed a contrast to the dark pines and hemlocks of the swamp."
"汤姆来到了一座古堡，这时天色已晚，于是他停下来稍作休息。除了他之外，任何人都不愿在这样荒凉阴郁的地方停留，因为一般人听过印第安战争流传下来的故事后，都对古堡没什么好感。他们深信，那些野蛮人曾在这里施咒念符，为恶鬼献祭品。但是，汤姆·沃克对此类故事并不害怕。","It was late in the dusk of evening that Tom Walker reached the old fort, and he paused there for a while to rest himself.Any one but he would have felt unwilling to linger in this lonely, melancholy place, for the common people had a bad opinion of it from the stories handed down from the time of the Indian wars; when it was asserted that the savages held incantations here and made sacrifices to the evil spirit.Tom Walker, however, was not a man to be troubled with any fears of the kind."
"他在一个倒下的铁杉树干上休息了一会儿，听着雨蛙不吉利的叫声，他把手杖插进脚边的一堆黑土里。在他不经意间把土翻上来的时候，手杖碰到了一个坚硬的东西。他把它从肥沃的土里挖了出来。瞧！一颗裂开的头骨赫然就在眼前，上面还深深地插着一把印第安战斧。从战斧上斑斑的锈迹来看，这致命的一击显然发生在很久以前。这是印第安战士们在最后的据点上浴血奋战的悲惨纪念品。","He reposed himself for some time on the trunk of a fallen hemlock, listening to the boding cry of the tree-toad, and delving with his walking-staff into a mound of black mould at his feet.As he turned up the soil unconsciously, his staff struck against something hard.He raked it out of the vegetable mould, and lo! a cloven skull with an Indian tomahawk buried deep in it, lay before him.The rust on the weapon showed the time that had elapsed since this death blow had been given.It was a dreary memento of the fierce struggle that had taken place in this last foothold of the Indian warriors."
"“哼！”汤姆边说边踢了它一脚，将上面的泥土踢掉。","“Humph!” said Tom Walker, as he gave the skull a kick to shake the dirt from it."
"“别动那个骷髅！”一个粗鲁的声音说道。","“Let that skull alone!” said a gruff voice."
"汤姆抬眼一看，一个高大黝黑的男人坐在他对面的一个树桩上。他很是吃惊，之前没看到或听到有人接近，更让他吃惊的是，在越来越暗的天色里，这个人看起来既不是黑人也不是印第安人。他穿着半印第安的粗布衣服，身上还系着一条红腰带，但他那张脸看起来不是黑人，也不是印第安人，而是黑黝黝的，脏脏的，好像烟熏过，又像涂满了灰尘，好像经常在炉子边工作似的。他那一头又粗又黑头发向各个方向竖着，肩膀上扛着一把斧子。","Tom lifted up his eyes and beheld a great black man, seated directly Opposite him on the stump of a tree.He was exceedingly surprised, having neither seen nor heard any one approach, and he was still more perplexed on observing, as well as the gathering gloom would permit, that the stranger was neither negro nor Indian.It is true, he was dressed in a rude, half Indian garb, and had a red belt or sash swathed round his body, but his face was neither black nor copper color, but swarthy and dingy and begrimed with soot, as if he had been accustomed to toil among fires and forges.He had a shock of coarse black hair, that stood out from his head in all directions; and bore an axe on his shoulder."
"他眼睛又大又圆，愤怒地盯了汤姆一会儿。","He scowled for a moment at Tom with a pair of great red eyes."
