"第一章 唯一的幸存者","CHAPTER I THERE IS NO ONE LEFT"
"玛丽·伦诺克斯被送到米瑟斯韦特庄园和她姑父一起生活。那里的每个人都说，从没见过如此别扭的小孩儿。不过，也确实如此。她小脸消瘦、身板单薄、头发稀疏，总是一脸不高兴的样子。她头发是黄色的，再加上出生在印度，且常常不是得这病就是生那病，脸色也是蜡黄的。她的爸爸曾在英国政府部门任职。他总是很忙碌，且自己身体也不大好；她妈妈以前可是个大美女，满脑子只想着参加各种宴会，于觥筹交错之间寻欢作乐。她本来一点儿也不打算要这个女孩儿。所以玛丽一出生，便把她交给印度奶妈照看。奶妈明白，要想讨女主人欢心，便得把这孩子带得越远越好。因此，当她还是个孱弱、暴躁、难看的小婴儿时，便被带离妈妈的视线；当她依旧体弱多病、暴躁易怒、开始蹒跚学步时，依旧生活在不妨碍大人的地方。印度奶妈和当地仆人的黑脸是她印象中唯一熟悉的事物。他们总是顺着她，对她有求必应。因为如果她的哭声吵到女主人的话，女主人会发火的。因此，她长到六岁的时候，已经变成了全世界最专横、最自私的孩子。曾有一个年轻的英国家庭女教师来教她读写。那老师很讨厌她，不到三个月就辞职不干了。后来有其他老师来应聘，但往往坚持得比第一个更短。因此，若不是玛丽自己着实喜爱读书，她恐怕到现在还一字不识呢。","When Mary Lennox was sent to Misselthwaite Manor to live with her uncle everybody said she was the most disagreeable-looking child ever seen.It was true, too.She had a little thin face and a little thin body, thin light hair and a sour expression.Her hair was yellow, and her face was yellow because she had been born in India and had always been ill in one way or another.Her father had held a position under the English Government and had always been busy and ill himself, and her mother had been a great beauty who cared only to go to parties and amuse herself with gay people.She had not wanted a little girl at all, and when Mary was born she handed her over to the care of an Ayah, who was made to understand that if she wished to please the Mem Sahib she must keep the child out of sight as much as possible.So when she was a sickly, fretful, ugly little baby she was kept out of the way, and when she became a sickly, fretful, toddling thing she was kept out of the way also.She never remembered seeing familiarly anything but the dark faces of her Ayah and the other native servants, and as they always obeyed her and gave her her own way in everything, because the Mem Sahib would be angry if she was disturbed by her crying, by the time she was six years old she was as tyrannical and selfish a little pig as ever lived.The young English governess who came to teach her to read and write disliked her so much that she gave up her place in three months, and when other governesses came to try to fill it they always went away in a shorter time than the first one.So if Mary had not chosen to really want to know how to read books she would never have learned her letters at all."
"大约在她九岁那年。一天早晨，天气奇热无比，她醒来便觉得有些烦躁。而当她看到站在自己床边的仆人不是印度奶妈时，心里就更加窝火了。","One frightfully hot morning, when she was about nine years old, she awakened feeling very cross, and she became crosser still when she saw that the servant who stood by her bedside was not her Ayah."
"“怎么是你？”她冲着这个陌生女人大嚷，“我这里不要你。去把奶妈叫来。”","“Why did you come?” she said to the strange woman.“I will not let you stay.Send my Ayah to me.”"
"这个女人看起来吓坏了，她只会结结巴巴地说奶妈不能过来。玛丽火气更大了，对她又踢又打。她看起来更加惊恐了，嘴里不断重复着说奶妈不能过来小姐这里。","The woman looked frightened, but she only stammered that the Ayah could not come and when Mary threw herself into a passion and beat and kicked her, she looked only more frightened and repeated that it was not possible for the Ayah to come to Missie Sahib."
"那天早上气氛有些诡异。一切都有些异常。有几个土著仆人好像不见了，而那些玛丽看见的仆人们，也一个个面如死灰，神色惊恐地匆匆跑掉。没有人告诉她任何事情，她的奶妈也没有出现。那天早晨，后来就剩她独自一人了，最后她索性漫步到花园里，在游廊旁边的一棵树下自己玩了起来。她把一朵朵深红的木槿花插进小土堆，假装在修建花坛。她越堆越生气，嘴里不停地嘟囔着。她想，等印度奶妈回来后就用这些话骂她。","There was something mysterious in the air that morning.Nothing was done in its regular order and several of the native servants seemed missing, while those whom Mary saw slunk or hurried about with ashy and scared faces.But no one would tell her anything and her Ayah did not come.She was actually left alone as the morning went on, and at last she wandered out into the garden and began to play by herself under a tree near the veranda.She pretended that she was making a flower-bed, and she stuck big scarlet hibiscus blossoms into little heaps of earth, all the time growing more and more angry and muttering to herself the things she would say and the names she would call Saidie when she returned."
"“猪！大笨猪！猪养的！”她骂着。对印度土著来说，这是最大的侮辱了。","“Pig! Pig! Daughter of Pigs!” she said, because to call a native a pig is the worst insult of all."
"她咬牙切齿地不停诅咒，忽然听到游廊那头妈妈和一个人走了出来。妈妈和一个长相俊俏的小伙子站在一起，他们用很低很奇怪的声音在说着什么。玛丽认识这个小伙子，他看起来像个小男孩儿。她听说他是个刚从英国来的年轻军官。玛丽瞪着他，同时更专注地盯着自己的母亲。她每次有机会见到自己的母亲都这么盯着她看。因为女主人——玛丽对自己妈妈最常用的称呼——总是美丽、苗条、高挑，衣着亮丽。她有着卷曲如丝缎般的头发、小巧精致的鼻子，仿佛看不起任何事情，还有一双大大的笑眼。她所有的衣服都轻薄飘逸，用玛丽的话说就是“满是蕾丝”。那天早上衣服上的蕾丝比以往更加丰满，只不过她的眼睛不再有笑意。她的大眼睛中充满恐慌，恳切的目光投在年轻军官漂亮的脸上。","She was grinding her teeth and saying this over and over again when she heard her mother come out on the veranda with some one.She was with a fair young man and they stood talking together in low strange voices.Mary knew the fair young man who looked like a boy.She had heard that he was a very young officer who had just come from England.The child stared at him, but she stared most at her mother.She always did this when she had a chance to see her, because the Mem Sahib—Mary used to call her that oftener than anything else—was such a tall, slim, pretty person and wore such lovely clothes.Her hair was like curly silk and she had a delicate little nose which seemed to be disdaining things, and she had large laughing eyes.All her clothes were thin and floating, and Mary said they were “full of lace.”They looked fuller of lace than ever this morning, but her eyes were not laughing at all.They were large and scared and lifted imploringly to the fair boy officer’s face."
"“情况有这么糟吗？这是真的吗？”玛丽听到她说。","“Is it so very bad?Oh, is it?”Mary heard her say."
"“糟透了，”年轻军官用颤抖的声音回答，“糟透了，伦诺克斯太太。你两周前就应该搬到山上去。”","“Awfully,” the young man answered in a trembling voice.“Awfully, Mrs. Lennox.You ought to have gone to the hills two weeks ago.”"
"女主人紧紧绞着双手。","The Mem Sahib wrung her hands."
