"诺丁汉矿乡杂记","Nottingham and the Mining Countryside"
"作者：D. H. 劳伦斯","by David Herbert Lawrence"
"我将近44年前出生于伊斯特伍德，这是一个人口约3000人的矿乡，距离诺丁汉大概八英里。一英里开外是埃里沃什小溪，它是诺丁汉郡和德比郡的分界线。这一带山多，往西16英里是克赖奇和马特洛克，往东和东北是曼斯菲尔德和舍伍德森林区。在我看来，它曾是，也仍是美丽至极的乡村，一边是遍布着红砂岩和橡树的诺丁汉，一边是有着冰冷的石灰石、白蜡树和石围墙的德比郡。在童年和青年时代，故乡在我看来仍是森林遍布、农田万顷的旧英格兰。这里没有汽车，矿井从某种意义上说，不过是偶然点缀乡间，罗宾汉和他的绿林好汉们离我们并不很远。","I was born nearly forty-four years ago, in Eastwood, a mining village of some three thousand souls, about eight miles from Nottingham, and one mile from the small stream, the Erewash, which divides Nottinghamshire from Derbyshire.It is hilly country, looking west to Crich and towards Matlock, sixteen miles away, and east and north-east towards Mansfield and the Sherwood Forest district.To me it seemed, and still seems, an extremely beautiful countryside, just between the red sandstone and the oak-trees of Nottingham, and the cold limestone, the ash-trees, the stone fences of Derbyshire.To me, as a child and young man, it was still the old England of the forest and agricultural past; there were no motor-cars, the mines were, in a sense, an accident in the landscape, and Robin Hood and his merry men were not very far away."
"B.W.公司大约在我出生前60年就已经在这儿开了许多煤矿。而伊斯特伍德就是在这些煤矿开了以后建立的。19世纪初，这儿肯定是一个小乡村，一个有村舍的小地方。这儿还有零星几排四间一户的小型矿工住所，是18世纪的老矿工们居住的地方。他们在小矿井里干活，有的矿井是在山一侧开个直达采矿区的巷道，让矿工钻进去干活，还有的是靠驴拉卷扬机，把矿工放在吊桶里一个个拉上地面。我父亲小时候，这种使用卷扬机的矿井仍在开工，而我小时候，也还能看到这种矿井。","The string of coal-mines of B. W. & Co. had been opened some sixty years before I was born, and Eastwood had come into being as a consequence.It must have been a tiny village at the beginning of the nineteenth century, a small place of cottages and fragmentary rows of little four-roomed miners’ dwellings, the homes of the old colliers of the eighteenth century, who worked in the bits of mines, foot-rill mines with an opening in the hillside into which the miners walked, or windlass mines, where the men were wound up one at a time, in a bucket, by a donkey.The windlass mines were still working when my father was a boy and the shafts of some were still there, when I was a boy."
"但1820年左右，公司肯定开挖了头一批大型矿井，不过挖得也不算很深。同时矿井也装上了第一批机器，成为真正的工业化煤矿了。就在那时，我祖父来到了这儿。他那会儿还很年轻，学过裁缝，从英格兰南部漂泊到此地，在布林斯利矿上找到了工作，做公司的裁缝。那时公司给矿工们发厚法兰绒背心或衬衣，还有法兰绒衬腰的软毛皮裤子，工人们就穿着这些衣服干活。我还记得幼年时，我祖父的裁缝店角落里堆放的大卷大卷的粗法兰绒和工作服料子，还有一台又大又古怪、世界上绝无仅有的老式缝纫机，缝着大量的矿工裤子。可在我还小的时候，公司就不再给工人们发工作服了。","But somewhere about 1820 the company must have sunk the first big shafts—not very deep—and installed the first machinery, or the real industrial colliery.Then came my grandfather, a young man trained to be a tailor, drifting from the south of England, and got the job of company tailor for the Brinsley mine.In those days the Company supplied the men with the thick flannel vests, or singlets, and the mole-skin trousers lined at the top with flannel, in which the colliers worked.I remember the great rolls of coarse flannel and pit-cloth which stood in the corner of my grandfather’s shop when I was a small boy, and the big, strange old sewing-machine, like nothing else on earth, which sewed the massive pit-trousers.But when I was only a child the company discontinued supplying the men with pit-clothes."
"我祖父在采石场石床上的一间老农舍住了下来。农舍就在老布林斯利矿的小溪旁，离矿井很近。公司在一英里开外的伊斯特伍德建了第一批矿工住所，那肯定是将近100年前的事了。如今看来，伊斯特伍德是在山顶上占了个好位置，一边是朝向德比郡的陡峭斜坡，一边是朝向诺丁汉的长长斜坡。公司建了一座新教堂，尽管它看上去很不怎么样，却占了个高高在上的好位置，隔着可怕的埃里沃什山谷与希诺教堂遥遥相对。那座教堂也同样占据了远处山上的一个高高在上的位置。机会难得，机会难得！这些矿乡也许能像意大利那些可爱的山城一样漂亮迷人。后来怎样了呢？","My grandfather settled in an old cottage down in a quarry-bed, by the brook at Old Brinsley, near the pit.A mile away, up at Eastwood, the Company built the first miners’ dwellings—it must be nearly a hundred years ago.Now Eastwood occupies a lovely position on a hill-top, with the steep slope towards Derbyshire and the long slope towards Nottingham.They put up a new church, which stands fine and commanding, even if it has no real form, looking across the awful Erewash Valley at the church of Heanor, similarly commanding, away on a hill beyond.What opportunities, what opportunities!These mining villages might have been like the lovely hill-towns of Italy, shapely and fascinating.And what happened?"
"那些一小排一小排的老式矿工住所大多都被拆了，而一溜单调乏味的小商店沿着诺丁汉路开了起来。在北边的下坡上，公司建起了“新建筑”，也叫“广场”，如今人们仍然这样称呼。这些“新建筑”由一些修在坑洼山坡上的房子构成，这些房子围成了两个大的空广场。这些四间一户的小房子，“正面”对着阴森空旷的街道；“背面”连着个砖砌的小四方院，由一道矮墙围着，里面有一个厕所和一个炉灰坑；房子和院子前面则是荒凉的广场，地面泥土坚硬不平、黑黢黢的，地势相当陡峭。四周都是这种小后院，院角处开着门。广场相当大，完全就是一片荒芜，只是上边戳了些杆子，用来绑晾衣绳。人们来来往往，孩子们在坚硬的地面上玩耍。这些建筑像兵营一样四面封闭，非常奇怪。","Most of the little rows of dwellings of the old-style miners were pulled down, and dull little shops began to rise along the Nottingham Road, while on the down-slope of the north side, the Company erected what is still known as the New Buildings, or the Square.These New Buildings consist of two great hollow squares of dwellings planked down on the rough slope of the hill, little four-room houses with the “front” looking outward into the grim blank street, and the “back”, with a tiny square brick yard, a low wall, and a W. C. and ash-pit, looking into the desert of the square, hard, uneven, jolting black earth tilting rather steeply down, with these little back yards all round, and openings at the corners.The squares were quite big, and absolutely desert save for the posts for clothes lines, and people passing, children playing on the hard earth.And they were shut in like a barracks enclosure, very strange."
"即使在50年前，这些广场也不讨人喜欢。住在广场上的都是“普通老百姓”。稍微好一点儿的住在布里奇，那是个有六个街区的住宅区，是公司在下面的山谷里建的比较像样的住房。三个街区一排，共两排，中间有一条小巷。最“寒碜”、最掉价的就是住在达金斯罗那儿了，两排老房子，破旧不堪、黑乎乎的，都是些四间一户的小房子，也立在离“广场”不远的山上。","Even fifty years ago the squares were unpopular.It was “common” to live in the Square.It was a little less common to live in The Breach, which consisted of six blocks of rather more pretentious dwellings erected by the Company in the valley below, two rows of three blocks, with an alley between.And it was most “common”, most degraded of all to live in Dakins Row, two rows of the old dwellings, very old, black, four-roomed little places, that stood on the hill again, not far from the Squares."
"这地方就这样发展起来了。在广场之间陡峭的斯卡吉尔街那头，建起了卫理公会礼拜堂，我就出生在教堂上方的街角小商店里。在“广场”的另一头，矿工们自己建了一座高大的、看上去像谷仓一样的原始卫理公会礼拜堂。诺丁汉路顺着山顶向前，路边散乱着几家丑陋的、维多利亚中期式样的商店。村子边上的小集市倒是挺好看的，集市那边就是德比郡了。集市当时已经荒芜，一边是太阳酒馆，对面是药店，摆着镀金的杵和臼；另一边奥尔弗里顿路和诺丁汉路相交的角落处开着一家商店。","So the place started.Down the steep street between the Squares, Scargill Street, the Wesleyan chapel was put up, and I was born in the little corner shop just above.Across the other side the square the miners themselves built the big barn-like Primitive Methodist Chapel.Along the hill-top ran the Nottingham Road, with its scrappy, ugly mid Victorian shops.The little market-place, with a superb outlook, ended the village on the Derbyshire side, and was just left bare, with the Sun Inn on one side, the chemist across, with the gilt pestle-and-mortar, and a shop at the other corner, the corner of Alfreton Road and Nottingham Road."
"在这新旧英格兰交替的不寻常而混乱的时代，我开始懂事了。我记得，一些本地的小投机商已经开始乱建成排的房子，总是成排地建，田野上都是这些令人讨厌的红砖房，四面平平，盖着黑石板屋顶。凸窗在我小时候才出现。但这儿的大多数房子都还没有这种构造。","In this queer jumble of the old England and the new, I came into consciousness.As I remember, little local speculators already began to straggle dwellings in rows, always in rows, across the fields: nasty redbrick flat-faced dwellings with dark slate roofs.The bay-window period only began when I was a child.But most of the country was untouched."
"“广场”和周围的街上肯定有三四百座公司的房子，像兵营一样层层包围。布里奇那边肯定有60或80座公司的房子。而老旧的达金斯罗地区则有三四十座小房子。再加上那些带老式园子的旧农舍和排屋：它们沿大街小巷而建，甚至在诺丁汉路中间也有。房子已经够住了，没必要建很多了。所以在我小时候，人们已经不怎么建新房了。","There must be three or four hundred Company houses in the Squares and the streets that surround the Squares, like a great barracks wall.There must be sixty or eighty Company houses in The Breach.The old Dakins Row will have thirty to forty little holes.Then counting the old cottages and rows left with their old gardens down the lanes and along the twitchells, and even in the midst of Nottingham Road itself, there were house enough for the population, there was no need for much building.And not much building went on, when I was small."
"我们住在布里奇街角的一座房子里。一条在高高的山楂树篱掩映下的田间小路一直通到我家。另一边便是小溪，溪上有一座古老的牧羊桥，通向牧场。溪边的山楂树篱已经长得像高大的树一般高了。我们过去常常去溪里的水洞洗澡，就在老水坝附近，那儿靠近瀑布，水流很急。人们也在那儿给羊洗药浴。我小时候，磨坊才不再磨面了。我父亲一直在布林斯利矿上干活，他总在早上四五点钟就起床，在黎明时分出发，穿过科尼格雷的田野去上班，一路上在草丛中采些蘑菇，或是捉一只躲躲藏藏的兔子，晚上下班后揣在工作服的衬里内带回家。","We lived in the Breach, in a corner house.A field-path came down under a great hawthorn hedge.On the other side was the brook, with the old sheep-bridge going over into the meadows.The hawthorn hedge by the brook had grown tall as tall trees: and we used to bathe from there in the dipping-hole, where the sheep were dipped: just near the fall from the old mill-dam, where the water rushed.The mill only ceased grinding the local corn when I was child.And my father, who always worked in Brinsley pit, and who always got up at five o’clock, if not at four, would set off in the dawn across the fields at Coney Grey, and hunt for mushrooms in the long grass, or perhaps pick up a skulking rabbit, which he would bring home at evening inside the lining of his pit-coat."
"因此，我们的生活处于一个奇特的交叉点：介于工业主义英国与莎士比亚、弥尔顿、菲尔丁和乔治·艾略特的农业英国之间。人们操着一口浓重的德比郡方言，总是把“你”说成“汝”和“尔”。人们几乎全然按照本能而生活。我父亲那个年纪的人压根就不识字。矿井并没有把人们变成机器。恰恰相反。在煤矿承包制度下，从事地下作业的矿工们形成了亲密的团体，他们工作时几乎赤裸相见，互相之间有着奇特的亲密感，地下的黑暗、矿坑的遥远和不断的危险让他们在肉体、本能和直觉上的接触都非常密切，几乎就像触摸一般，十分真实、十分强烈。这种肉体上的感觉和在一起时的亲密感在矿井下时最为强烈。当他们回到地面，重见阳光时，他们会眨眨眼。在某种程度上，他们不得不改变交流方式。然而他们把矿井下黑暗中那种奇特的亲密感、近乎赤裸的接触带到了地面上。每当我回想童年，似乎总觉得有一种内在的黑暗光辉，就像煤的光泽，我们就在那光辉里行走并获得自己真正的生命。我父亲热爱矿井。他曾不止一次身受重伤，但从未离开。他热爱那种接触和亲密感，就像战争中的男人们热爱黑暗岁月中男性间强烈的战友之情一样。直到他们失去了这份情谊之后，他们才明白自己究竟失去了什么。我认为如今的年轻矿工们也是这样。","So that the life was a curious cross between industrialism and the old agricultural England of Shakespeare and Milton and Fielding and George Eliot.The dialect was broad Derbyshire, and always “thee” and “thou”.The people lived almost entirely by instinct, men of my father’s age could not really read.And the pit did not mechanise men.On the contrary.Under the butty system, the miners worked underground as a sort of intimate community, they knew each other practically naked, and with curious close intimacy, and the darkness and the underground remoteness of the pit “stall”, and the continual presence of danger, made the physical, instinctive and intuitional contact between men very highly developed, a contact almost as close as touch, very real and very powerful.This physical awareness and intimate togetherness was at its strongest down pit.When the men came up into the light, they blinked.They had, in a measure, to change their flow.Nevertheless they brought with them above-ground the curious dark intimacy of the mine, the naked sort of contact, and if I think of my childhood, it is always as if there was a lustrous sort of inner darkness, like the gloss of coal, in which we moved and had our real being.My father loved the pit.He was hurt badly, more than once, but he would never stay away.He loved the contact, the intimacy, as men in the war loved the intense male comradeship of the dark days.They did not know what they had lost till they lost it.And I think it is the same with the young colliers of today."
"如今的矿工们也有一种美的本能。可他们的妻子却没有。矿工们凭着本能，生机勃勃地活着。但在白日里，他们既无雄心，也无才智。他们实际上是在躲避生活理性的一面。他们更喜欢凭本能和直觉来生活。他们甚至不怎么在乎工资的多少。自然，女人们才会为了这个而不断唠叨。我小时候，矿工和他们的妻子之间有很大差异：矿工们一天最多只能见到短短几个钟头的阳光，冬天里甚至常常一点儿也见不到；而他们的妻子，在他们下矿井时却能独自享有整个白天。","Now the colliers had also an instinct of beauty.The colliers’ wives had not.The colliers were deeply alive, instinctively.But they had no daytime ambition, and no daytime intellect.They avoided, really, the rational aspect of life.They preferred to take life instinctively and intuitively.They didn’t even care very profoundly about wages.It was the women, naturally, who nagged on this score.There was a big discrepancy when I was a boy, between the collier who saw, at the best, only a brief few hours of daylight, often no daylight at all, during the winter weeks: and the collier’s wife, who had all the day to herself, when the man was down pit."
"最大的谬误是觉得这些男人可怜。他们并不觉得自己可怜，直到那些煽动者和感伤主义者让他们有这种想法。他们本来很快乐，甚至不止是快乐，而是满足。或者说他们感到很满足，只是难以言表。矿工们去酒馆喝酒，是为了继续保持工友间的亲密感。他们不停地聊着，但大多是奇闻异事甚至政治，而非现实生活中的真事儿。正是沉重的现实——老婆、钱和使人不得安宁的家庭必需品，让他们从家中逃离，逃到酒馆，逃到矿井。","The great fallacy is, to pity the man.He didn’t dream of pitying himself, till agitators and sentimentalists taught him to.He was happy: or more than happy, he was fulfilled.Or he was fulfilled on the receptive side, not on the expressive.The collier went to the pub and drank, in order to continue his intimacy with his mates.They talked endlessly, but it was rather of wonders and marvels, even in politics, than of facts.It was hard facts, in the shape of wife, money, and nagging home necessities, which they fled away from, out of the house to the pub: and out of the house to the pit."
"矿工们抓住一切机会，能逃则逃，远离家中女人们唠唠叨叨的物质主义。和女人们在一起，总是围绕着“这个坏了，现在你得赶快修好！”或是“我们要这个、那个还有那个，钱从哪儿来？”这样的话题。——矿工们对这些一无所知，也不怎么在乎，他们的生活与这完全不同。所以他们逃了。他们带着狗在乡间游荡，猎兔子、掏鸟窝、采蘑菇等等等等。他们喜欢这乡村，那只是一种不加区分的感情。或者说他们就是喜欢蹲在那儿看着，什么都看或什么都不看。他们对动脑筋的事不感兴趣。生活对他们来说不是各种事情，而是一个流动的过程。很多时候，他们喜欢自家的花园。很多时候，他们对花的美有着真心的喜爱。这在矿工们当中实在是太常见了。","The collier fled out of the house as soon as he could, away from the nagging materialism of the woman.With the women, it was always: This is broken, now you’ve got to mend it!—or else: We want this, that and the other, and where is the money coming from?—The collier didn’t know and didn’t care very deeply—his life was otherwise.So he escaped.He roved the countryside, with his dog, prowling for a rabbit, for nests, for mushrooms, anything.He loved the countryside, just the indiscriminating feel of it.Or he loved just to sit on his heels and watch—anything or nothing.He was not intellectually interested.Life for him did not consist in facts, but in a flow.Very often, he loved his garden.And very often, he had a genuine love of the beauty of flowers.I have known it often and often, in colliers."
"如今，对花的喜爱很容易引起误解。大多数女人爱花，是把花当成所有物和装饰品。她们不会看着花，惊叹一番，然后接着干自己的事去。如果一朵花吸引了她们的注意力，她们肯定会立刻摘下来，拔下来。我的！属于我的！又有东西是我的啦！——如今大多数人对花所谓的喜爱，不过是伸手去占有，是利己主义：我得到了一些东西，它把我装扮得更美了。但是我见过许多矿工站在自家后花园里，低头看着一朵花，带着奇特而遥远的沉思表情，那表明他们真的觉察到了美的存在。那表情甚至不是钦慕、不是欣喜、不是愉快，也不是任何一种常常由本能的占有欲而引发的表情。那是一种沉思，是艺术家的萌芽。","Now the love of flowers is a very misleading thing.Most women love flowers as possessions, and as trimmings.They can’t look at a flower, and wonder a moment, and pass on.If they see a flower that arrests their attention, they must at once pick it, pluck it.Possession!A possession!Something added on to me!—And most of the so-called love of flowers today is merely this reaching out of possession and egoism: something I’ve got: something that embellishes me.Yet I’ve seen many a collier stand in his back garden looking down at a flower with that odd, remote sort of contemplation which show a real awareness of the presence of beauty.It would not even be admiration, or joy, or delight, or any of those things which so often have a root in the possessive instinct.It would be a sort of contemplation: which shows the incipient artist."
