"狼与小羊羔","The Wolf and the Lamb "
"狼遇到一只迷途的小羊羔，他决定不用粗暴的手段，而是通过找到某个由头来证明狼吃羊是天经地义的。于是，他对小羊羔说：“小子，你去年粗鲁地辱骂过我。”“可是，”小羊羔伤心地咩咩叫道，“我那时还没出生呢。”然后狼说：“你吃了我牧场里的草。”“不可能啊，我的好先生，”小羊羔答道，“我还没尝过草的味道呢。”狼又说：“你喝了我井里的水。”“不可能，”小羊羔大声喊道，“我还没喝过水呢，因为我还一直在靠喝妈妈的乳汁充饥解渴呢。”这时，狼一把抓住小羊羔，把他吞了下去。狼说：“好吧！就算你驳倒了我所有的借口，我总不能不吃晚饭吧。”暴君总会为他的暴政找到说辞。","Wolf, meeting with a Lamb astray from the fold, resolved not to lay violent hands on him, but to find some plea to justify to the Lamb the Wolf’s right to eat him.He thus addressed him: “Sirrah, last year you grossly insulted me.”“Indeed,” bleated  the Lamb in a  mournful tone of voice, “I was not then born.”Then said the Wolf, “You feed in my pasture.”“No, good sir,” replied the Lamb, “I have not yet tasted grass.”Again said the Wolf, “You drink of my well.”  “No,” exclaimed the Lamb, “I never yet drank water, for as yet my mother’s milk is both food and drink to me.”Upon which the Wolf seized him and ate him up, saying, “Well!I won’t remain supperless, even though you refute every one of my imputations.”The tyrant will always find a pretext for his tyranny."
"蝙蝠与黄鼠狼","The Bat and the Weasels "
"一只蝙蝠落到地上，被一只黄鼠狼捉住了，蝙蝠请求黄鼠狼饶他一命。黄鼠狼不答应，说自己生来就是所有鸟类的天敌。蝙蝠极力向黄鼠狼证明自己不是鸟类，而是一只老鼠，并因此获得了自由。不久，这只蝙蝠又一次掉到了地上，被另一只黄鼠狼捉住了。蝙蝠故技重施，请求黄鼠狼不要吃他。这只黄鼠狼说他特别仇恨老鼠。蝙蝠便极力向这只黄鼠狼证明自己不是老鼠，而是一只蝙蝠。就这样，蝙蝠又一次逃脱了。","A bat who fell upon the ground and was caught by a Weasel pleaded to be spared his life.The Weasel refused, saying that he was by nature the enemy of all birds.The Bat assured him that he was not a bird, but a mouse, and thus was set free.Shortly afterwards the Bat again fell to the ground and was caught by another Weasel, whom he likewise entreated not to eat him.The Weasel said that he had a special hostility to mice.The Bat assured him that he was not a  mouse, but a bat, and thus a second time escaped."
"懂得随机应变是明智之举。","It is wise to turn circumstances to good account."
"驴子和蚱蜢","The Ass and the Grasshopper "
"一头驴子听到几只蚱蜢在唧唧叫，于是被深深迷住了。驴子渴望能享有这同样美妙的旋律，就问蚱蜢们吃的什么食物，竟能发出如此动听的声音。蚱蜢们回答道：“露水。”于是，驴子下决心只以露水为食。没过多久，驴子就饿死了。","An ass having heard some Grasshoppers chirping, was highly  enchanted; and, desiring to possess the same charms of melody,  demanded what sort of food they lived on to give them such beautiful  voices.They replied, “The dew.”The Ass resolved that he would live only upon dew, and in a short time died of hunger."
"狮子和老鼠","The Lion and the Mouse "
"一头狮子睡觉时，被一只从他脸上跑过的老鼠给闹醒了。狮子很生气地爬起来，抓住了老鼠，准备杀了他。老鼠连忙可怜地哀求狮子：“如果你放了我，我将来肯定会报答你的。”狮子听了哈哈大笑，放了他。不久，狮子被好几个猎人抓住了，在地上被结结实实地用绳子绑了起来。那只老鼠听出了这头狮子的咆哮声，就跑来用牙齿咬断了绳子，让狮子重获了自由。老鼠高声说道：","A lion was awakened from sleep by a Mouse running over his face.Rising up angrily, he caught him and was about to kill him, when the Mouse piteously entreated, saying: “If you would only spare  my life,  I would be sure to repay your kindness.”The Lion laughed and let him go.It happened shortly after this that the Lion was caught by some  hunters, who bound him by stropes to the ground.The Mouse, recognizing his roar, came gnawed the rope  with his teeth, and set him free, exclaimed: "
"“上次你嘲笑我，认为我帮不了你，不指望我的回报；现在你明白了吧，即便是一只老鼠，也是可能帮助一头狮子的。”","“You ridiculed the idea of my ever being able to help you, expecting to receive from me any repayment of your favor; now you know that it is possible for even a Mouse to con benefits on a Lion.”"
"烧炭工和漂洗工","The Charcoal-Burner and the Fuller "
"一位烧炭工在自己的房子里烧炭卖。一天，他遇到一个朋友——一位漂洗工。于是，他恳请这位朋友搬来和他一起住。他说他们要是成为邻居就太好了，这样可以节省很多家用开支。漂洗工答道：“就我个人来说，这种安排是不可能的，因为所有我要漂白的东西，很快就会被你的木炭染黑。”同声相应，同气相求。","A Charcoal-Burner carried on his trade in his own house.One day he met a friend, a Fuller, and entreated him to come and live with him, saying that they should be far better neighbors and that their housekeeping expenses would be lessened.The Fuller replied, “The arrangement is impossible as far as I am concerned, for whatever I should whiten, you would immediately blacken again with your charcoal.”Like will draw like."
"父亲和他的儿子们","The Father and His Sons "
"有一位父亲，他有几个总是争吵不休的儿子。父亲通过劝诫无法平息儿子们的争执，于是他决心用实例向他们证明不和的坏处。一天，父亲为此让儿子们给他拿一捆柴来。儿子们把柴拿来了，父亲把那捆柴依次放在每个儿子的手中，命他们将这捆柴折断。儿子们使尽力气也折不断这捆柴。接着，父亲散开这捆柴，把枝条一根根取出，又挨个放在儿子们的手上。这一回，他们轻轻松松就把这些枝条给折断了。然后，父亲对儿子们说了这样一番话：“孩子们，如果你们齐心协力、团结互助，在敌人面前就会像这捆柴一样坚不可摧；但如果你们内部不和，就会像这些单根的枝条一样不堪一击。”","A father had a family of sons who were perpetually quarreling among themselves.When he failed to heal their disputes by his exhortations, he determined to give them a practical illustration of the evils of disunion; and for this purpose he one day told them to bring him a bundle of sticks.When they had done so, he placed the faggot into the hands of each of them in succession, and ordered them to break it in pieces.They tried with all their strength, and were not able to do it.He next opened the faggot, took the sticks separately, one by one, and again put them into his sons’ hands, upon  which they broke them easily.He then addressed them in these words:  “My sons, if you are of one  mind, and unite to assist each other, you  will be as this faggot, uninjured by all the attempts of your enemies; but if you are divided among yourselves, you will be broken as easily as these sticks.”"
"捉蝗虫的男孩","The Boy Hunting Locusts "
"一个男孩在捉蝗虫。他已经捉到了很多蝗虫。这时，他看到了一只蝎子，但误以为它是蝗虫，就伸手要去抓它。蝎子亮出它的毒刺，说道：“朋友，一旦你碰了我，你将会失去我，以及你捉到的所有蝗虫！”","A boy was hunting for locusts.He had caught a goodly number, when he saw a Scorpion, and mistaking him for a locust, reached out his hand to take him.The Scorpion, showing his sting, said: “If you had but touched me, my friend, you would have lost me, and all your locusts too!” "
"公鸡和珠宝","The Cock and the Jewel"
"一只公鸡正在刨地，为自己和它的母鸡们觅食。突然它发现了一块宝石，便大声说道：“如果是你的主人而不是我找到你，他一定会把你奉为至宝，可发现你对我却毫无用处。我宁愿要一粒大麦，也不愿要全世界的珠宝。”","A Cock, scratching for food for himself and his hens, found a precious stone and exclaimed:  “If your owner had found thee, and not I, he would have taken thee up, and have set thee in thy first estate; but I have found thee for no purpose.I would rather have one barleycorn than all the jewels in the world.”"
"狮子的王国","The Kingdom of the Lion "
"草原和森林里的野兽们让一头狮子做他们的国王。他既不暴躁残忍，也不蛮横专制，而是拥有一位国王应有的公正和仁慈。在这头狮子的统治期间,他在一次鸟兽全体出席的联合大会上发表了皇家宣言，并为一个集体同盟会草拟了各项条款。其中规定：狼和羊、美洲豹和小山羊、老虎和牡鹿、狗和野兔都应非常友好、和睦地共处。一只野兔说：“哦，我多么期盼能有这么一天啊：弱小的动物与强大的动物在一起，能安然无恙地占有自己的一席之地。”野兔说完后，便跑开去找他的妻子了。","The beasts of the field and forest had a Lion as their king.He was neither wrathful, cruel, nor tyrannical, but just and gentle as a king could be.During his reign he made a royal proclamation for a general assembly of all the birds and beasts, and drew up conditions for a universal league, in which the Wolf and the Lamb, the Panther and the Kid, the Tiger and the Stag, the Dog and the Hare, should live together in perfect peace and amity.The Hare said, “Oh, how I have longed to see this day, in which the weak shall take their place with impunity by the side of the strong.”And after the Hare said this, he ran for his wife."
"狼与鹤","The Wolf and the Crane "
