"第一章 枪炮俱乐部","CHAPTER I THE GUN CLUB"
"美国内战期间，马里兰州的巴尔的摩市出现了一个很有影响力的新俱乐部。大家都知道那些船东、店主，还有机械师对军事的爱好是如何时兴起来的。很多普通的商人，放弃经商，摇身一变成为上尉、上校，甚至将军，而他们从没读过西点军校的指挥学院。不过他们很快就和旧大陆的那些同行们旗鼓相当了，而且还像他们一样靠着大量的枪炮弹药，靠着无度地挥霍金钱，靠着牺牲大量的士兵打了几次胜仗。","During the War of the Rebellion, a new and influential club was established in the city of Baltimore in the State of Maryland.It is well known with what energy the taste for military matters became developed among that nation of ship-owners, shopkeepers, and mechanics.Simple tradesmen jumped their counters to become extemporized captains, colonels, and generals without having ever passed the School of Instruction at West Point; nevertheless; they quickly rivaled their compeers of the old continent, and, like them, carried off victories by dint of lavish expenditure in ammunition, money ,and men."
"但是美国人远超于欧洲人的，是在枪炮制造技术方面。这倒也不是说他们的武器就比别人的精良，而是他们制造的枪炮尺寸空前，因而射程空前。在擦地射击、俯射、斜射、纵射、近距平射等方面，英国人、法国人，还有普鲁士人已经没什么可再学的了，但他们的大炮、榴弹炮、迫击炮跟美国威力强大的火炮相比，就只是袖珍手枪了。","But the point in which the Americans singularly distanced the Europeans was in the science of gunnery.Not, indeed, that their weapons retained a higher degree of perfection than theirs, but that they exhibited unheard-of dimensions, and consequently attained hitherto unheard-of ranges.In point of grazing, plunging, oblique, or enfilading, or point-blank firing, the English, French, and Prussians have nothing to learn; but their cannon, howitzers, and mortars are mere pocket-pistols compared with the formidable engines of the American artillery."
"其实人们也不用大惊小怪。美国佬是世界上第一批机械专家，他们天生就是做工程师的材料——就像意大利人天生就是音乐家，德国人天生就是玄学家一样。因此他们把这份创新天赋用到枪炮制造技术上，简直是再自然不过了。瞧瞧帕罗特、达尔格伦和罗德曼的杰作。阿姆斯特朗、帕利瑟，还有博利厄这些欧洲的枪炮专家们被迫在他们的美国对手面前低头。","This fact need surprise no one.The Yankees, the first mechanicians in the world, are engineers— just as the Italians are musicians and the Germans metaphysicians— by right of birth.Nothing is more natural, therefore, than to perceive them applying their audacious ingenuity to the science of gunnery.Witness the marvels of Parrott, Dahlgren, and Rodman.The Armstrong, Palliser, and Beaulieu guns were compelled to bow before their transatlantic rivals."
"如果有个美国人想出了好主意，他马上就会寻找另一个美国人与之分享。如果有三个人，他们就会从中选一个主席，其他两人做秘书。假如有四个人，他们就会指派一人负责档案管理，这样他们的办事处就万事俱备了，要是有五个人，他们就会召开全体会议，成立一个完备的俱乐部。在巴尔的摩，事情就是这样处理的。一种新型大炮的发明者就是与铸造工和钻孔工协同合作的。这样，所谓的“枪炮俱乐部”的核心就形成了。成立仅一个月，俱乐部就吸收了1,833名正式会员，30,565名通讯会员。","Now when an American has an idea, he directly seeks a second American to share it.If there be three, they elect a president and two secretaries.Given four, they name a keeper of records, and the office is ready for work; five, they convene a general meeting, and the club is fully constituted.So things were managed in Baltimore.The inventor of a new cannon associated himself with the caster and the borer.Thus was formed the nucleus of the “Gun Club.” In a single month after its formation it numbered 1,833 effective members and 30,565 corresponding members."
"每一个想参加该组织的人都必须具备一个条件，那就是他必须已经设计过、或（或多或少）改良过一种大炮，就算不是大炮，至少也得是某种其他类型的枪炮。不过，需要事先说明一下，仅仅发明左轮手枪、卡宾火枪和一些类似的小型武器的人，是得不到重视的。而大炮专家一向最得宠。","One condition was imposed as a sine qua non upon every candidate for admission into the association, and that was the condition of having designed, or (more or less) perfected a cannon; or, in default of a cannon, at least a firearm of some description.It may, however, be mentioned that mere inventors of revolvers, fire-shooting carbines, and similar small arms, met with little consideration.Artillerists always commanded the chief place of favor."
"正如枪炮俱乐部最严谨的发言人所云，俱乐部会员的受尊重程度“与他们发明的枪炮体积成正比，与他们枪炮射程的平方成正比。”","The estimation in which these gentlemen were held, according to one of the most scientific exponents of the Gun Club, was “proportional to the masses of their guns, and in the direct ratio of the square of the distances attained by their projectiles.”"
"枪炮俱乐部一成立，美国人的发明天赋会带来什么样的结果就可想而知了。他们的军事武器体积庞大，炮弹会飞出规定的界限，偶尔把一些无辜的路人炸为两段。实际上，这些大炮已经把欧洲那些寒碜的火炮远远抛在后面了。","The Gun Club once founded, it is easy to conceive the result of the inventive genius of the Americans.Their military weapons attained colossal proportions, and their projectiles, exceeding the prescribed limits, unfortunately occasionally cut in two some unoffending pedestrians.These inventions, in fact, left far in the rear the timid instruments of European artillery."
"还要说明的是，这些美国佬正如他们自己所证明的那样勇敢，从来不受理论与规则的约束，可是这样一来，他们也为自己的发明付出了沉重的代价。俱乐部内各个级别的军官都有，小到中尉，大到将军；多大岁数的军人都有，有刚刚从事军人职业的新兵，也有握了半辈子枪上了年纪的老兵。他们当中有很多已经长眠沙场，他们的名字被载入了枪炮俱乐部的“光荣簿”；大多有幸生还的人身上也留下了种种烙印，述说着他们无可辩驳的勇猛。这些生还的人们当中，随处可见拄拐的，安木头假肢、假胳膊、钢制钩状假手的，装橡胶下巴、银头盖骨、白金鼻子的。伟大的统计学家皮特凯恩曾计算过，在整个枪炮俱乐部中，平均四个人都分不到一只完整的胳膊，六个人中也找不到两条好腿。","It is but fair to add that these Yankees, brave as they have ever proved themselves to be, did not confine themselves to theories and formulae, but that they paid heavily, in propria persona, for their inventions.Among them were to be counted officers of all ranks, from lieutenants to generals; military men of every age, from those who were just making their debut in the profession of arms up to those who had grown old in the gun-carriage.Many had found their rest on the field of battle whose names figured in the “Book of Honor” of the Gun Club; and of those who made good their return the greater proportion bore the marks of their indisputable valor.Crutches, wooden legs, artificial arms, steel hooks, caoutchouc jaws, silver craniums, platinum noses, were all to be found in the collection; and it was calculated by the great statistician Pitcairn that throughout the Gun Club there was not quite one arm between four persons and two legs between six."
"然而，这些英勇的大炮专家们却对此全然不顾，当军情急件报告伤亡人数是所消耗的炮弹数的十倍时，他们都觉得自己有充分理由感到自豪。","Nevertheless, these valiant artillerists took no particular account of these little facts, and felt justly proud when the despatches of a battle returned the number of victims at ten-fold the quantity of projectiles expended."
"然而有一天——那是非常令人悲哀的一天！——战争的幸存者们签署了和平协定，雷鸣般的枪炮声渐渐停止，迫击炮沉默了，榴弹炮也无限期变成了哑巴，机关炮也放下炮筒，被运回了军械库，炮弹堆积如山，所有血腥的回忆都渐渐消退。棉花在肥沃的田间枝繁叶茂地生长，所有丧服都收起来了，悲痛也随之消失。枪炮俱乐部一下子无事可做了。","One day, however— sad and melancholy day!— peace was signed between the survivors of the war; the thunder of the guns gradually ceased, the mortars were silent, the howitzers were muzzled for an indefinite period, the cannon, with muzzles depressed, were returned into the arsenal, the shot were repiled, all bloody reminiscences were effaced; the cotton-plants grew luxuriantly in the well-manured fields, all mourning garments were laid aside, together with grief; and the Gun Club was relegated to profound inactivity."
