"第一章","CHAPTER I"
"第二章","CHAPTER II"
"这两个年轻人来到莫斯科河边，沿河岸走着。河面上吹来一阵新鲜的风，水波轻微的荡漾声缓缓摩挲着他们的耳膜。","The young men went down to the river Moskva and walked along its bank.There was a breath of freshness from the water, and the soft plash of tiny waves caressed the ear."
"“我又想游泳了，”舒宾说，“只是我怕会迟到。看那河水，它好像在召唤我们呢。古希腊人相信每条河中都有一个女神。但我们不是希腊人，哦，我的女神！我们是粗鲁的西塞亚人。”","‘I would have another bathe,’ said Shubin, ‘only I’m afraid of being late.Look at the river; it seems to beckon us.The ancient Greeks would have beheld a nymph in it.But we are not Greeks, O nymph!we are thick-skinned Scythians.’"
"“但我们有美人鱼啊。”别尔谢涅夫讲道。","‘We have roussalkas,’ observed Bersenyev."
"“算了吧，还美人鱼呢！那些满脑袋都是冰冷恐怖幻想的孩子，那些在漆黑冬夜中沉闷的小木屋里幻想出来的形象，对于我——一个雕塑家——能有什么用呢？我想要的是光线，空间……博爱的上帝啊，我什么时候才能去意大利啊？什么时候？”","‘Get along with your roussalkas!What’s the use to me—a sculptor—of those children of a cold, terror-stricken fancy, those shapes begotten in the stifling hut, in the dark of winter nights?I want light, space….Good God, when shall I go to Italy?When—’"
"“我想你的意思是说要去小俄罗斯？”","‘To Little Russia, I suppose you mean?’"
"“安德烈·彼得罗维奇，你是不好意思当面指责我粗心大意吧，就算你不说，我也已经为自己的愚蠢懊悔不已。哦，是的，我简直就是个傻瓜，以前安娜·瓦西里耶夫娜曾好心资助我去意大利，但我却跑去小俄罗斯吃饺子，然后——”","‘For shame, Andrei Petrovitch, to reproach me for an act of unpremeditated folly, which I have repented bitterly enough without that.Oh, of course, I behaved like a fool; Anna Vassilyevna most kindly gave me the money for an expedition to Italy, and I went off to the Little Russians to eat dumplings and—’"
"“算了，请你别再接着说了。”别尔谢涅夫打断了他的话。","‘Don’t let me have the rest, please,’ interposed Bersenyev."
"“不过，我还是要说，那些钱并没有被浪费掉。我在那里见到了许多不同的事物，尤其是女人……当然，我知道，如果不去意大利的话，人就永远得不到救赎！”","‘Yet still, I will say, the money was not spent in vain.I saw there such types, especially of women….Of course, I know; there is no salvation to be found outside of Italy!’"
"“就算你去了意大利，”别尔谢涅夫说着，看都没看他一眼，“你也不会有什么成就。你只会不停地拍打着翅膀，却永远都飞不起来。我们太了解你啦！”","‘You will go to Italy,’ said Bersenyev, without turning towards him, ‘and will do nothing.You will always be pluming your wings and never take flight.We know you!’"
"“斯塔瓦瑟尔倒是飞起来了，而且他不是唯一能飞起来的那个人。如果我飞不起来，那只能说明我是海里的一只企鹅，没有翅膀而已。呆在这里我简直就要闷死了，我想去意大利，”舒宾接着说道，“那里有阳光，那里有美女。”","‘Stavasser has taken flight….And he’s not the only one.If I don’t fly, it will prove that I’m a sea penguin, and have no wings.I am stifled here, I want to be in Italy,’pursued Shubin, ‘there is sunshine, there is beauty.’"
