"第一章 一双手","Chapter 1 Hands"
"在俄亥俄州温斯堡镇旁的山谷边缘附近有一座小木屋。一个矮胖的老头儿正焦急地在半旧的走廊上来回踱步。小木屋前是一片开阔的田野，种的是苜蓿，却只开出了浓密的黄色芥末草。穿过田野，他看到一辆货车正在公路上行驶，车上坐满了刚从地里采完浆果回来的人。采浆果的那些年轻的小伙子和姑娘们大笑着、高声喊叫着。一个穿着蓝色衬衣的小伙子跳下货车，并试图把他身后的一个姑娘拽下来，那女孩尖叫着大声抗议。小伙子的脚踩在地上，扬起一片尘土，漂浮在落日的余晖中。田野那头传来了一个尖细的少女似的声音。“噢，温·彼得波姆，你梳梳头发吧，都快掉进眼睛里了！”声音所指的那个老头儿，头上光秃秃的，一双小手紧张地摸了摸白净的脑门，就好像在整理一大团凌乱的头发似的。","Upon the half decayed veranda of a small frame house that stood near the edge of a ravine near the town of Winesburg, Ohio, a fat little old man walked nervously up and down.Across a long field that had been seeded for clover but that had produced only a dense crop of yellow mustard weeds, he could see the public highway along which went a wagon filled with berry pickers returning from the fields.The berry pickers, youths and maidens, laughed and shouted boisterously.A boy clad in a blue shirt leaped from the wagon and attempted to drag after him one of the maidens, who screamed and protested shrilly.The feet of the boy in the road kicked up a cloud of dust that floated across the face of the departing sun.Over the long field came a thin girlish voice.“Oh, you Wing Biddlebaum, comb your hair, it’s falling into your eyes,” commanded the voice to the man, who was bald and whose nervous little hands fiddled about the bare white fore-head as though arranging a mass of tangled locks."
"这就是温·彼得波姆，一个总是惊惶不安、疑虑重重的老头儿。他在这个镇上住了二十年，却从来不认为自己是镇上生活的一份子。温斯堡镇里只有一个人和他有交情。那个人叫乔治•威拉德，是新威拉德旅社老板汤姆•威拉德的儿子。乔治和温之间建立了一种类似友谊的感情。乔治·威拉德在《温斯堡鹰报》当记者，有时他会在夜晚沿着公路步行到温·彼得波姆的家里。现在，老头儿就在山谷里来回踱步，双手紧张地四处动着，一心希望乔治能来和他共度这个夜晚。载着采浆果的少男少女的货车过去后，彼得波姆就从那片高高的芥末草地中间穿过田野，爬上铁路的围栏，沿着通向镇上的公路急切地眺望着。他在那里站了一会儿，不停地搓着手，来来回回地向公路张望着。接着，恐惧袭向他，他又跑回房子，重新在自家的门廊上踱步。","Wing Biddlebaum, forever frightened and beset by a ghostly band of doubts, did not think of himself as in any way a part of the life of the town where he had lived for twenty years.Among all the people of Winesburg but one had come close to him.With George Willard, son of Tom Willard, the proprietor of the New Willard House, he had formed something like a friendship.George Willard was the reporter on the Winesburg Eagle and sometimes in the evenings he walked out along the highway to Wing Biddlebaum’s house.Now as the old man walked up and down on the veranda, his hands moving nervously about, he was hoping that George Willard would come and spend the evening with him.After the wagon containing the berry pickers had passed, he went across the field through the tall mustard weeds and climbing a rail fence peered anxiously along the road to the town.For a moment he stood thus, rubbing his hands together and looking up and down the road, and then, fear overcoming him, ran back to walk again upon the porch on his own house."
"二十年来，温·彼得波姆一直是小镇上的一个谜。但是，在乔治•威拉德面前，他却没那么怯懦了，而他那淹没于疑虑之海里的若隐若现的个性也得以展现出来。当那位年轻的记者站在他身边时，彼得波姆敢在大白天走上大街，也敢在自己家歪斜的门廊里大步徜徉，兴奋地讲话了。以往低沉而颤抖的声音也变得尖锐而响亮。驼着的背也挺得笔直。就像一尾鱼从渔夫的手中一扭身重又潜入小溪，沉默的彼得波姆一旦开始谈话，那股劲头像是要把漫长沉寂岁月里积攒在他脑袋里的思想全部化作语言一般。","In the presence of George Willard, Wing Biddlebaum, who for twenty years had been the town mystery, lost something of his timidity, and his shadowy personality, submerged in a sea of doubts, came forth to look at the world.With the young reporter at his side, he ventured in the light of day into Main Street or strode up and down on the rickety front porch of his own house, talking excitedly.The voice that had been low and trembling became shrill and loud.The bent figure straightened.With a kind of wriggle, like a fish returned to the brook by the fisherman, Biddlebaum the silent began to talk, striving to put into words the ideas that had been accumulated by his mind during long years of silence."
"温·彼得波姆很善于用手势语言。他十指纤长，富于表现力，尽管非常活跃，却总是被竭力隐藏在口袋里或是背后。可是，现在这双手变成了他传情达意的生力军。","Wing Biddlebaum talked much with his hands.The slender expressive fingers, forever active, forever striving to conceal themselves in his pockets or behind his back, came forth and became the piston rods of his machinery of expression."
"温·彼得波姆的故事就是这双手的故事。这双手无休止的动作就好像是囚鸟在扑扇着双翼，温·彼得波姆也因此而得名（“温”在英文中和“翼”同音）。——这是镇上的一位无名诗人想出来的。可是，这双手却吓坏了它们的主人。他想要将它们藏起来，同时，他又惊奇地注视着其他人的手——那些手的主人和他并肩在田地里劳作，或者在乡村大路上赶着瞌睡的牲畜经过——他们的手安静而毫无表现力。","The story of Wing Biddlebaum is a story of hands.Their restless activity, like unto the beating of the wings of an imprisoned bird, had given him his name.Some obscure poet of the town had thought of it.The hands alarmed their owner.He wanted to keep them hidden away and looked with amazement at the quiet inexpressive hands of other men who worked beside him in the fields, or passed, driving sleepy teams on country roads."
"彼得波姆对乔治说话的时候，紧握着拳头，敲打着桌子或者是他房子的墙。这种行为让他更舒服。当他们在田野里散步，彼得波姆想要谈话的时候，他会设法找到一截树桩或者是一块栅栏顶板，然后用手不停地、重重地敲打着，这样，他就能重新从容自在地交谈了。","When he talked to George Willard, Wing Biddlebaum closed his fists and beat with them upon a table or on the walls of his house.The action made him more comfortable.If the desire to talk came to him when the two were walking in the fields, he sought out a stump or the top board of a fence and with his hands pounding busily talked with renewed ease."
"温·彼得波姆这双手的故事真值得大写特写。如果感性地写，那将会探及无名小卒的诸多奇异美好的品质。可这是诗人的工作。在温斯堡，这双手之所以引人注目仅仅是因为它们的动作而已。凭着这双手，温·彼得波姆曾在一天内摘过多达一百四十夸脱的草莓。这双手成了他的显著特征，使他出了名。它们同样使得这个原本怪异而不可捉摸的人变得更加离奇。温斯堡对温·彼得波姆的双手引以为傲，就好像为班克·怀特的新石头房子感到自豪，或者是因为威斯利·摩耶的的栗色雄马托尼·蒂普在克利夫兰秋季赛马中创下二分十五秒的记录而感到骄傲一样。","The story of Wing Biddlebaum’s hands is worth a book in itself.Sympathetically set forth it would tap many strange, beautiful qualities in obscure men.It is a job for a poet.In Winesburg the hands had attracted attention merely because of their activity.With them Wing Biddlebaum had picked as high as a hundred and forty quarts of strawberries in a day.They became his distinguishing feature, the source of his fame.Also they made more grotesque an already grotesque and elusive individuality.Winesburg was proud of the hands of Wing Biddlebaum in the same spirit in which it was proud of Banker White’s new stone house and Wesley Moyer’s bay stallion, Tony Tip, that had won the two-fifteen trot at the fall races in Cleveland."
"至于乔治·威拉德，他也曾经很多次地想要问问有关这双手的事。有时，他被一种几乎无法抗拒的好奇心所控制。他感到其中必定有什么原因使得这双手行为奇特却总是深藏不露。但是，他对这双手的主人的尊敬与日俱增，这使得他没能把这萦绕心头的问题脱口说出。","As for George Willard, he had many times wanted to ask about the hands.At times an almost overwhelming curiosity had taken hold of him.He felt that there must be a reason for their strange activity and their inclination to keep hidden away and only a growing respect for Wing Biddlebaum kept him from blurting out the questions that were often in his mind."
"有一次，他几乎话到嘴边了。那正是个夏日的午后，他们两人在田野里散步，停下来，坐在草堤边。整个下午，彼得波姆说个不停，情绪高昂。他在篱笆边上停下来，对着乔治·威拉德大声叫嚷着，像只巨型啄木鸟似的，一下一下敲打着顶上的木板。他谴责他太易受旁人左右：“你在毁灭自我，”他大声喊道，“你容易孤独，又喜好做梦，可你又害怕这些梦。你希望和镇上其他的人一样。你听见他们谈话，还试图去模仿。”","Once he had been on the point of asking.The two were walking in the fields on a summer afternoon and had stopped to sit upon a grassy bank.All afternoon Wing Biddlebaum had talked as one inspired.By a fence he had stopped and beating like a giant woodpecker upon the top board had shouted at George Willard, condemning his tendency to be too much influenced by the people about him, “You are destroying yourself,” he cried.“You have the inclination to be alone and to dream and you are afraid of dreams.You want to be like others in town here.You hear them talk and you try to imitate them.”"
"坐在草堤边上的时候，温·彼得波姆又尽力阐明观点。他声音变得柔和，充满了怀旧情绪。他心满意足地叹了口气，像个迷失在梦境里的人一样开始了漫无边际的长谈。","On the grassy bank Wing Biddlebaum had tried again to drive his point home.His voice became soft and reminiscent, and with a sigh of contentment he launched into a long rambling talk, speaking as one lost in a dream."
