"陌生人 ","The Stranger"
"作者：曼斯菲尔德","by Katherine Mansfield"
"在码头上的这一小群人看来，那艘船永远都不会再动了。巨大的她停在泛着波纹的灰色的海面上，纹丝不动。一道烟盘旋在她上空，一大群海鸥高声鸣叫，在船尾俯冲下来追逐着船上厨房倾倒出来的东西。你只能看到船上有三三两两的人在溜达——就像在皱皱巴巴的灰色桌布上的盘子，几只小小的苍蝇在爬来爬去。其他一些则三个一堆、两个一伙地聚在船边。时而有一抹白色在船的下层一闪而过——那可能是厨师的围裙或船上的女服务员。时而有一个小蜘蛛似的黑影快速地从舷梯跑到舰桥上。","It seemed to the little crowd on the wharf that she was never going to move again.There she lay, immense, motionless on the grey crinkled water, a loop of smoke above her, an immense flock of gulls screaming and diving after the galley droppings at the stern.You could just see little couples parading—little flies walking up and down the dish on the grey crinkled tablecloth.Other flies clustered and swarmed at the edge.Now there was a gleam of white on the lower deck—the cook’s apron or the stewardess perhaps.Now a tiny black spider raced up the ladder on to the bridge."
"岸上那一群人的前面有一个看起来很强壮的中年人，他穿着讲究：一件舒适的灰大衣、一条灰色的真丝围巾、厚厚的手套、深色的毡帽。他一边来来回回地走，一边快速转动着一把合着的伞。他看起来像是码头上这一小群人的头儿，同时也是他把他们召集在一起。他是介于牧羊犬与牧羊人之间的那么一个角色。","In the front of the crowd a strong-looking, middle-aged man, dressed very well, very snugly in a grey overcoat, grey silk scarf, thick gloves and dark felt hat, marched up and down, twirling his folded umbrella.He seemed to be the leader of the little crowd on the wharf and at the same time to keep them together.He was something between the sheep-dog and the shepherd."
"但是他多傻呀——傻得竟不知道带副望远镜来。他们这么多人竟连一副望远镜都没带。","But what a fool—what a fool he had been not to bring any glasses!There wasn’t a pair of glasses between the whole lot of them."
"“真怪了，斯科特先生，咱们怎么就没有一个人想起带副望远镜呢。我们原本能让他们更兴奋一点的。我们原本可以设法给他们发发信号。‘不要犹豫，速速登陆。本地居民毫无恶意。’或：‘热烈欢迎各位。我们既往不咎。’如何？嗯？”","“Curious thing, Mr. Scott, that none of us thought of glasses.We might have been able to stir ’em up a bit.We might have managed a little signalling.‘Don’t hesitate to land.Natives harmless.’Or: ‘A welcome awaits you.All is forgiven.’What?Eh?”"
"哈蒙德先生迅速、急切地瞥了一眼，那么紧张却又那么满怀友好和信任。这一眼将码头上的每个人都看在眼里，连倚在舷梯上的那几位老兄都没错过。他们每个人都知道，哈蒙德夫人就在那艘船上，而且也知道哈蒙德先生那么兴奋，他脑子里根本就没有想过，这件对他来说了不得的大事对他们来说是否也一样意义重大。正因为如此，他一想起他们心里就热乎乎的。他决定当他们是一群体面人——舷梯旁边的那些老家伙也是——都是健康结实的好兄弟。他们的胸脯多么——啊！于是他挺了挺自己的胸脯，将戴着厚厚的手套的手插进衣兜里，从脚跟到脚尖前后晃动起来。","Mr. Hammond’s quick, eager glance, so nervous and yet so friendly and confiding, took in everybody on the wharf, roped in even those old chaps lounging against the gangways.They knew, every man-jack of them, that Mrs. Hammond was on that boat, and that he was so tremendously excited it never entered his head not to believe that this marvellous fact meant something to them too.It warmed his heart towards them.They were, he decided, as decent a crowd of people—Those old chaps over by the gangways, too—fine, solid old chaps.What chests—by Jove!And he squared his own, plunged his thick-gloved hands into his pockets, rocked from heel to toe."
"“是啊，过去十个月我太太一直呆在欧洲。她去看我们去年刚嫁过去的大女儿。我大老远亲自把她送到索尔兹伯里。所以我想我最好还是来把她接回去。是的，是的，是的。”那双精明的灰眼睛又眯起来，焦急地、快速地搜寻着那一动不动的客轮。他的大衣扣子又一次被解开。那块薄薄的、黄油色的怀表又一次被掏出来，他第二十次——五十次——甚至一百次计算起时间来。","“Yes, my wife’s been in Europe for the last ten months.On a visit to our eldest girl, who was married last year.I brought her up here, as far as Salisbury, myself.So I thought I’d better come and fetch her back.Yes, yes, yes.”The shrewd grey eyes narrowed again and searched anxiously, quickly, the motionless liner.Again his overcoat was unbuttoned.Out came the thin, butter-yellow watch again, and for the twentieth—fiftieth—hundredth time he made the calculation."
"“现在让我想想。大夫的船离岸出发时是两点十五分。两点十五分。现在正好是四点二十八分。也就是说大夫已经走了两个小时零十三分钟了。两个小时零十三分钟啊！哟——嗬！”他发出了像口哨似的怪声，然后又啪的一声合上怀表。“不过我觉得要是有什么事的话他们早就告诉我们了——你说呢，加文先生？”","“Let me see now.It was two fifteen when the doctor’s launch went off.Two fifteen.It is now exactly twenty-eight minutes past four.That is to say, the doctor’s been gone two hours and thirteen minutes.Two hours and thirteen minutes!Whee—ooh!”He gave a queer little half-whistle and snapped his watch to again.“But I think we should have been told if there was anything up—don’t you, Mr. Gaven?”"
"“哦，是的，哈蒙德先生！我认为没什么事——没什么可担心的。”加文先生一边说一边在他的鞋跟上磕了磕烟斗。“同时——”","“Oh, yes, Mr. Hammond!I don’t think there’s anything to—anything to worry about,” said Mr. Gaven, knocking out his pipe against the heel of his shoe.“At the same time—”"
"“没错！没错！”哈蒙德先生喊道。“烦死了！”他来来回回地快速踱着步，然后又回到斯科特夫妇和加文先生之间他原先站的地方。“天都这么黑了，”他挥舞着他那把合在一起的伞，仿佛黄昏至少应该把夜幕降临的时间再推迟一会儿。然而黄昏还是施施然地到来了，如同一点污渍慢慢地在水中晕染开来。小琼· 斯科特拽着她妈妈的手。","“Quite so!Quite so!” cried Mr. Hammond.“Dashed annoying!”He paced quickly up and down and came back again to his stand between Mr. and Mrs. Scott and Mr. Gaven.“It’s getting quite dark, too,” and he waved his folded umbrella as though the dusk at least might have had the decency to keep off for a bit.But the dusk came slowly, spreading like a slow stain over the water.Little Jean Scott dragged at her mother’s hand."
