"海浪","The Waves"
"作者：弗吉尼亚·伍尔夫","by Virginia Woolf "
"太阳尚未升起。大海与天空难以分辨，只是海面上微微泛着波澜，仿佛是一块布凸起了褶皱。渐渐地，随着天空发白，天边呈现出一道幽暗的线条，把海与天分开了，那块灰布的下面掀起厚重的波纹，一条接着一条，彼此跟随，互相追逐，不断前进。","The sun had not yet risen.The sea was indistinguishable from the sky, except that the sea was slightly creased as if a cloth had wrinkles in it.Gradually as the sky whitened a dark line lay on the horizon dividing the sea from the sky and the grey cloth became barred with thick strokes moving, one after another, beneath the surface, following each other, pursuing each other, perpetually."
"接近岸边时，每条波纹都高高跃起，凝聚了全部的力量，然后一一迸裂，在沙滩上铺开一层薄纱似的白色水花。潮水稍作停歇，又卷土重来，发出叹息的声响，好像一个熟睡的人不自觉的呼吸。渐渐地，天边那道幽暗的线条变得明晰了，好像一只旧酒瓶子里的渣滓终于沉淀下来，露出了玻璃的绿色。后面的天空也明朗起来，仿佛那里的白色渣滓已经沉淀下去，又仿佛有个在地平线下休憩的女子，她的手臂举起一盏灯，那融合了白、绿、黄的并不鲜明的光束，好像扇子的一根根扇骨，划过天空。接着，她把灯举得更高了一些，空气似乎变得如纤维一般，似乎要像焰火中轰然而起的青烟，脱离那闪耀着红黄丝缕的绿色水面。渐渐地，焰火的万千丝缕融汇成一团雾霭，一团白热，把羊毛一样灰沉沉的天空托在上面，化作亿万点淡蓝的微尘。海面慢慢变得透明起来，波纹荡漾，波光粼粼，直到那些幽暗的条纹几乎被擦拭得干干净净。慢慢地，那只举着灯的手臂抬得越来越高，越来越高，直到可以看见一片灿烂的光辉；地平线的边缘燃起一道弧光，周围的海面金光闪闪。","As they neared the shore each bar rose, heaped itself, broke and swept a thin veil of white water across the sand.The wave paused, and then drew out again, sighing like a sleeper whose breath comes and goes unconsciously.Gradually the dark bar on the horizon became clear as if the sediment in an old wine-bottle had sunk and left the glass green.Behind it, too, the sky cleared as if the white sediment there had sunk, or as if the arm of a woman couched beneath the horizon had raised a lamp and flat bars of white, green and yellow spread across the sky like the blades of a fan.Then she raised her lamp higher and the air seemed to become fibrous and to tear away from the green surface flickering and flaming in red and yellow fibres like the smoky fire that roars from a bonfire.Gradually the fibres of the burning bonfire were fused into one haze, one incandescence which lifted the weight of the woollen grey sky on top of it and turned it to a million atoms of soft blue.The surface of the sea slowly became transparent and lay rippling and sparkling until the dark stripes were almost rubbed out.Slowly the arm that held the lamp raised it higher and then higher until a broad flame became visible; an arc of fire burnt on the rim of the horizon, and all round it the sea blazed gold."
"阳光照在花园里的树上，把一片又一片叶子变得透明。一只鸟儿在高处啁啾；歇了一会儿；另一只鸟儿在低处开始了鸣啭。阳光清晰地照见屋子的墙壁，然后像扇坠一样映在一块白色窗帘上，给卧室窗前的那片树叶留下指纹大小的一枚蓝色阴影。窗帘微微掀动，但屋里的一切蒙蒙眬眬，无以分辨。窗外，鸟儿唱着它们单调的歌。","The light struck upon the trees in the garden, making one leaf transparent and then another.One bird chirped high up; there was a pause; another chirped lower down.The sun sharpened the walls of the house, and rested like the tip of a fan upon a white blind and made a blue finger-print of shadow under the leaf by the bedroom window.The blind stirred slightly, but all within was dim and unsubstantial.The birds sang their blank melody outside."
"“我看见一个圆环，”伯纳德说，“悬在我的头上。它是悬着的光环，不停地颤动。”","‘I see a ring,’ said Bernard, ‘hanging above me.It quivers and hangs in a loop of light.’"
"“我看见一块淡黄色的平面，”苏珊说，“向外扩展，直到它与一道紫色的条纹交汇。”","‘I see a slab of pale yellow,’ said Susan, ‘spreading away until it meets a purple stripe.’"
"“我听到一个声音，”罗达说，“唧唧，啾啾；唧唧，啾啾；一会儿高，一会儿低。”","‘I hear a sound,’ said Rhoda, ‘cheep, chirp; cheep chirp; going up and down.’"
"“我看见一个圆球，”内维尔说，“从巨大的山坡上陡直地悬垂下来。”","‘I see a globe,’ said Neville, ‘hanging down in a drop against the enormous flanks of some hill.’"
"“我看见一条深红色的缨穗，”吉尼说，“缠绕着金色的丝线。”","‘I see a crimson tassel,’ said Jinny, ‘twisted with gold threads.’"
"“我听见什么东西在跺脚。”路易斯说。“一头巨兽的脚上拴着锁链。它不停地跺啊，跺啊，跺啊。”","‘I hear something stamping,’ said Louis.‘A great beast’s foot is chained.It stamps, and stamps, and stamps.’"
