"彩虹的尽头","At the Rainbow's End"
"作者：杰克·伦敦","by Jack London"
"蒙塔纳·基德丢弃了他的“皮护腿套裤”和墨西哥马刺，抖掉了脚上的爱达荷山地的尘土，他这样做有两个原因。首先，稳固、冷静、严肃的道德文明的入侵摧毁了西方养牛场的原始状态，上流社会开始对他这种人冷眼相待。其次，其所在的种族在某一伟大的时刻已经奋起，并将其边境地区向后推进了数千英里。因此，伴随着无意识的远见，成熟的社会为年轻的成员们让出了空间。的确，新的领地几乎全部是荒芜的。但是这数十万平方英里寒冷的地域至少给那些在家乡感到窒息的人们提供了喘息的空间。","It was for two reasons that Montana Kid discarded his “chaps” and Mexican spurs, and shook the dust of the Idaho ranges from his feet.In the first place, the encroachments of a steady, sober, and sternly moral civilization had destroyed the primeval status of the western cattle ranges, and refined society turned the cold eye of disfavor upon him and his ilk.In the second place, in one of its cyclopean moments the race had arisen and shoved back its frontier several thousand miles.Thus, with unconscious foresight, did mature society make room for its adolescent members.True, the new territory was mostly barren; but its several hundred thousand square miles of frigidity at least gave breathing space to those who else would have suffocated at home."
"蒙塔纳·基德就是这样的人。他前往海岸，其急迫程度可能只有治安官手下的几个人可以解释。他虽钱不多，却很有勇气，成功地从普吉特海湾的一个港口乘船出发，设法从统舱内晕船和食物造成的意外苦难中存活了下来。在这年春季的一天，当他登上戴依海滩时，他的脸色相当灰黄、憔悴，但他仍然是那个不服输的自己。在狗、食物、装备的花费和两个互相对立的政府的海关苛税之间，他很快认识到，北方地区不是穷人的圣地。所以他到处寻找快速的收成。在海滩和关口之间分散着成千上万狂热的朝圣者。蒙塔纳·基德来到这些朝圣者中播种。开始时，他在一个用松木板搭的赌博小屋中发法罗牌。但讨厌的是，他情非得已突然给一个人的生命画上了句号，不得不沿着小路继续前行。之后他垄断了马掌钉市场，马掌钉按照法定货币的票面价值销售——四个法定货币为一美元。但一桩突如其来的、约一百个桶的委托买卖打破了行情，他迫不得已亏本卖出自己储备的马掌钉。那以后，他定居在希普·坎普，组织了一些专业的行李搬运工，一天之内就使运费猛升到了运一磅十美分。搬运工们为了表示对他的感激之情，时常玩他摆出的法罗牌戏和轮盘赌。虽然收入被骗走了，他们却觉得高兴。但是他的营利意识变得太强了，搬运工们也忍不下去了。于是一天晚上他们突然袭击了他，烧毁了小屋，瓜分了庄家的赌本，让身无分文的他沿着小路离开。","Montana Kid was such a one.Heading for the sea-coast, with a haste several sheriff’s posses might possibly have explained, and with more nerve than coin of the realm, he succeeded in shipping from a Puget Sound port, and managed to survive the contingent miseries of steerage sea-sickness and steerage grub.He was rather sallow and drawn, but still his own indomitable self, when he landed on the Dyea beach one day in the spring of the year.Between the cost of dogs, grub, and outfits, and the customs exactions of the two clashing governments, it speedily penetrated to his understanding that the Northland was anything save a poor man’s Mecca.So he cast about him in search of quick harvests.Between the beach and the passes were scattered many thousands of passionate pilgrims.These pilgrims Montana Kid proceeded to farm.At first he dealt faro in a pine-board gambling shack; but disagreeable necessity forced him to drop a sudden period into a man’s life, and to move on up trail.Then he effected a corner in horseshoe nails, and they circulated at par with legal tender, four to the dollar, till an unexpected consignment of a hundred barrels or so broke the market and forced him to disgorge his stock at a loss.After that he located at Sheep Camp, organized the professional packers, and jumped the freight ten cents a pound in a single day.In token of their gratitude, the packers patronized his faro and roulette layouts and were mulcted cheerfully of their earnings.But his commercialism was of too lusty a growth to be long endured; so they rushed him one night, burned his shanty, divided the bank, and headed him up the trail with empty pockets."
"霉运和蒙塔纳·基德如影相随。他和几个靠得住的同伙接洽，经由危险陌生的小路，越境经营威士忌酒生意。结果他失去了印第安向导，就连第一套装备也被骑警没收了。诸多其他的厄运使蒙塔纳·基德内心痛苦、行为放荡。他连续二十小时不停地恐吓营地，以庆祝自己抵达莱克本尼特，。随后，矿工们集会，控制了蒙塔纳·基德，并命令他离开。他对这群人毕恭毕敬。由于慌张地从命，他一不小心尾随了另一人带领的狗队。这跟在气候更温和的地区盗马没什么两样，所以他穿过本尼特，沿着塔吉什走，只到达了那边的高地，并在离北方足有一百英里远的地方第一次扎营。","Ill-luck was his running mate.He engaged with responsible parties to run whisky across the line by way of precarious and unknown trails, lost his Indian guides, and had the very first outfit confiscated by the Mounted Police.Numerous other misfortunes tended to make him bitter of heart and wanton of action, and he celebrated his arrival at Lake Bennett by terrorizing the camp for twenty straight hours.Then a miners’ meeting took him in hand, and commanded him to make himself scarce.He had a wholesome respect for such assemblages, and he obeyed in such haste that he inadvertently removed himself at the tail-end of another man’s dog team.This was equivalent to horse-stealing in a more mellow clime, so he hit only the high places across Bennett and down Tagish, and made his first camp a full hundred miles to the north."
"那时碰巧春天即将来临，道森的许多主要市民都趁着最后的冰面尚未融化前往南方。他遇见了这些市民，和他们攀谈，并且记下了他们的名字和财产，接着就继续前行了。他记性不错，想象力也丰富，但缺乏诚实的美德。","Now it happened that the break of spring was at hand, and many of the principal citizens of Dawson were travelling south on the last ice.These he met and talked with, noted their names and possessions, and passed on.He had a good memory, also a fair imagination; nor was veracity one of his virtues."
"二","II"
"道森人总是渴望得到新消息，他们看到蒙塔纳·基德的雪橇往育空方向走，就都出来到冰面上见他。不，他不读任何报纸，不知道达兰特是否已经被绞死了，也不知道谁赢了感恩节的比赛，没听说美国和西班牙是否已经打起来了，不晓得谁是德赖弗斯。但是奥布赖恩呢?难道他们没有听说过？哎呀，奥布赖恩在怀特霍斯溺水身亡。而斯特卡·查利是党派中唯一得以逃脱的人。乔·拉杜呢？在五指半岛，他的两条腿被冻伤，然后截肢了。还有杰克·多尔顿呢？他和众人在“海狮群岛”被炸死了。贝特尔斯呢？他在西摩海峡的“卡特桑吉娜”遇难——三百个人中只有二十个幸免于难。斯威夫特沃特·比尔呢？他和他护送的歌剧团中的六位女成员通过了莱克莱芭基易碎的冰面。沃尔什长官呢？他和所有人还有八套雪橇都在三十里失踪了。德弗罗呢？德弗罗是谁？哦，那个情报员！他在马什湖被印第安人枪毙了。","Dawson, always eager for news, beheld Montana Kid’s sled heading down the Yukon, and went out on the ice to meet him.No, he hadn’t any newspapers; didn’t know whether Durrant was hanged yet, nor who had won the Thanksgiving game; hadn’t heard whether the United States and Spain had gone to fighting; didn’t know who Dreyfus was; but O’Brien?Hadn’t they heard?O’Brien, why, he was drowned in the White Horse; Sitka Charley the only one of the party who escaped.Joe Ladue?Both legs frozen and amputated at the Five Fingers.And Jack Dalton?Blown up on the “Sea Lion” with all hands.And Bettles?Wrecked on the “Carthagina,” in Seymour Narrows,—twenty survivors out of three hundred.And Swiftwater Bill?Gone through the rotten ice of Lake LeBarge with six female members of the opera troupe he was convoying.Governor Walsh?Lost with all hands and eight sleds on the Thirty Mile.Devereaux?Who was Devereaux?Oh, the courier!Shot by Indians on Lake Marsh."
"事情就是这样。这个消息传开了。人们用肩膀挤进去探问朋友和伙伴的情况，转而又被挤出来。他们对这种不敬的行为深感震惊。到蒙塔纳·基德登上河岸的时候，他被数百名穿皮衣的矿工围住。当他经过兵营时，他走在队伍正中。在歌剧院，他是一群情绪激动的人们的核心，每个人都努力争取机会去探问某个缺席的伙伴的情况。他被邀请到各处去喝茶。克朗代克地区从未像这样张开双臂欢迎茶。所有道森人都发出疑惑的哼哼声。在道森的历史上，这样一连串的大灾难从未发生过。春季时去南方的名人都被杀掉了。住在小木屋里的人都从屋里搬了出来。狂暴的人们急忙沿着小溪和峡谷顺流而下，来找这个讲述此种灾难故事的人。贝特尔斯的俄国混血妻子朝壁炉走去，伤心欲绝地前倾后仰，不时把白色木灰用力扔在她乌油油的头发上。兵营在悲伤之中呼地降了半旗。道森人为死者哀悼。","So it went.The word was passed along.Men shouldered in to ask after friends and partners, and in turn were shouldered out, too stunned for blasphemy.By the time Montana Kid gained the bank he was surrounded by several hundred fur-clad miners.When he passed the Barracks he was the centre of a procession.At the Opera House he was the nucleus of an excited mob, each member struggling for a chance to ask after some absent comrade.On every side he was being invited to drink.Never before had the Klondike thus opened its arms to a che-cha-qua.All Dawson was humming.Such a series of catastrophes had never occurred in its history.Every man of note who had gone south in the spring had been wiped out.The cabins vomited forth their occupants.Wild-eyed men hurried down from the creeks and gulches to seek out this man who had told a tale of such disaster.The Russian half-breed wife of Bettles sought the fireplace, inconsolable, and rocked back and forth, and ever and anon flung white wood-ashes upon her raven hair.The flag at the Barracks flopped dismally at half-mast.Dawson mourned its dead."
"没人会知道为什么蒙塔纳·基德要这么做。事实上真理不在他那里，解释也没什么风险。但是整整五天，他使这片土地悲伤地呜咽。整整五天，他是克朗代克唯一的男人。乡村给他提供最好的膳宿。他可以自由出入酒吧。人们不断地寻找蒙塔纳·基德。一些高官为得到更多的消息而向他卑躬屈膝，而且他在兵营得到了康斯坦丁及其老战友的款待。接着，有一天，政府的情报员徳弗罗，在行政长官金色的办公室前停住了他那些疲惫的狗。死了？谁说的？给他一份麋鹿肉排，他就会告诉他们他是怎么死的。哎呀，沃尔什长官在小萨蒙地区露营，奥布赖恩会在下第一场雨时过来。死了？给他一份麋鹿肉排，他就会告诉他们。","Why Montana Kid did this thing no man may know.Nor beyond the fact that the truth was not in him, can explanation be hazarded.But for five whole days he plunged the land in wailing and sorrow, and for five whole days he was the only man in the Klondike.The country gave him its best of bed and board.The saloons granted him the freedom of their bars.Men sought him continuously.The high officials bowed down to him for further information, and he was feasted at the Barracks by Constantine and his brother officers.And then, one day, Devereaux, the government courier, halted his tired dogs before the gold commissioner’s office.Dead?Who said so?Give him a moose steak and he’d show them how dead he was.Why, Governor Walsh was in camp on the Little Salmon, and O’Brien coming in on the first water.Dead?Give him a moose steak and he’d show them."
"道森人立马哼了起来。兵营的旗子升到了杆顶，贝特尔斯的妻子洗完澡，换上了干净的衣服。社区巧妙地表明了它的要求：蒙塔纳·基德要从这片土地上消失。蒙塔纳·基德消失了，如往常一样，消失在另一个人的狗队的末尾。道森人很高兴蒙塔纳·基德前往育空，并希望他一路顺风，到达那无情的罪人的最终目的地。自那之后，狗的主人忙碌起来，他向康斯坦丁诉苦，并从他那里借用了一个警察。","And forthwith Dawson hummed.The Barracks’ flag rose to the masthead, and Bettles’ wife washed herself and put on clean raiment.The community subtly signified its desire that Montana Kid obliterate himself from the landscape.And Montana Kid obliterated; as usual, at the tail-end of some one else’s dog team.Dawson rejoiced when he headed down the Yukon, and wished him godspeed to the ultimate destination of the case-hardened sinner.After that the owner of the dogs bestirred himself, made complaint to Constantine, and from him received the loan of a policeman."
