"约翰·英格尔菲尔德的感恩节","John Inglefield' s Thanksgiving"
"作者：纳撒尼尔·霍桑","by Nathaniel Hawthorne"
"感恩节当晚，铁匠约翰·英格尔菲尔德坐在自己的扶手椅上，周围坐着的是刚刚一起在餐桌边过节的家人们。一家人绕着壁炉，围成一圈。熊熊的火光投射在他高大、结实的身躯上；轮廓粗犷的脸被照得红彤彤的，看上去就像刚从他的熔炉里取出的铁铸塑像的头像一样满面红光，而后这头像又被他的铁砧粗略地敲打出面部的五官。在约翰·英格尔菲尔德右手有一把空椅子。壁炉边的其他地方都围满了约翰一家人。大家都静静地坐着，看上去心情都格外愉悦。他们的身影在后面的墙上跳动着。其中一人是约翰的儿子。他一直在大学读书，现在在安多弗学习神学。还有一个是约翰十六岁的女儿。人们一见到她的模样，无不想起含苞待放的玫瑰花蕾。火边还剩下一人是罗伯特·穆尔，以前是约翰的学徒，但现在是他的伙计了。比起那个面色苍白、身材瘦长的书生，穆尔倒更像是约翰·英格尔菲尔德的亲生儿子。","On the evening of Thanksgiving day, John Inglefield, the blacksmith, sat in his elbow-chair, among those who had been keeping festival at his board.Being the central figure of the domestic circle, the fire threw its strongest light on his massive and sturdy frame, reddening his rough visage, so that it looked like the head of an iron statue, all aglow, from his own forge, and with its features rudely fashioned on his own anvil.At John Inglefield’s right hand was an empty chair.The other places round the hearth were filled by the members of the family, who all sat quietly, while, with a semblance of fantastic merriment, their shadows danced on the wall behind them.One of the group was John Inglefield’s son, who had been bred at college, and was now a student of theology at Andover.There was also a daughter of sixteen, whom nobody could look at without thinking of a rosebud almost blossomed.The only other person at the fireside was Robert Moore, formerly an apprentice of the blacksmith, but now his journeyman, and who seemed more like an own son of John Inglefield than did the pale and slender student."
"能在这屋檐下共度这个新英格兰节日的人，就只有这四位了。约翰右手边的空椅子是为了纪念他的妻子而留着的。上个感恩节后，死神便将她从他身边夺走了。丧偶的约翰满怀感情地将这把椅子放在自己身边，很少有人能从他粗犷的个性中发现这种情感。他时常向椅子那边瞥一眼，仿佛觉得冰冷的坟墓可能会把妻子送回到这欢乐的炉边，哪怕仅仅是一晚。他就这样珍惜着这份可贵的忧伤。然而，还有一件伤心事，他却想从心里抹去；可这是不可能做到的，于是他想将它深埋在心里，不让他人察觉到，也不让自己再想起。过去一年中，约翰家里又有一个人离开了他，但不是进了坟墓。不过，大家并没有为她也留一把空椅子。","Only these four had kept New England’s festival beneath that roof.The vacant chair at John Inglefield’s right hand was in memory of his wife, whom death had snatched from him since the previous Thanksgiving.With a feeling that few would have looked for in his rough nature, the bereaved husband had himself set the chair in its place next his own; and often did his eye glance thitherward, as if he deemed it possible that the cold grave might send back its tenant to the cheerful fireside, at least for that one evening.Thus did he cherish the grief that was dear to him.But there was another grief which he would fain have torn from his heart; or, since that could never be, have buried it too deep for others to behold, or for his own remembrance.Within the past year another member of his household had gone from him, but not to the grave.Yet they kept no vacant chair for her."
"约翰一家围坐在炉边，身影在身后的墙上跳动着。这时，外屋的大门开了，走廊上传来了轻盈的脚步声。随后，里屋的门闩也被手法熟练地打开了，一位少女走了进来，身穿一件带帽子的披风。她脱下披风，放在镜子前的桌子上。然后，她看了看围坐在炉火边的一家人，走上前去，坐在了约翰右手边的那把椅子上，仿佛那是特意为她留的。","While John Inglefield and his family were sitting round the hearth with the shadows dancing behind them on the wall, the outer door was opened, and a light footstep came along the passage.The latch of the inner door was lifted by sonic familiar hand, and a young girl came in, wearing a cloak and hood, which she took off, and laid on the table beneath the looking-glass.Then, after gazing a moment at the fireside circle, she approached, and took the seat at John Inglefield’s right hand, as if it had been reserved on purpose for her."
"“我终于回来了，爸爸。”她说，“我没能赶上您的感恩节晚餐，但还能陪您度过这一晚。”","“Here I am, at last, father,” said she.“You ate your Thanksgiving dinner without me, but I have come back to spend the evening with you.”"
"没错，她就是普鲁登斯·英格尔菲尔德。她的衣着还是那么文雅而整洁，跟以前她干完一天家务后常穿的衣服一样。她的头发在额前分开，发型简约而端庄，再适合她不过了。如果说她的脸颊刚才还是苍白的话，这会儿也在火光中变得健康红润了。虽说在她离家的几个月里，都是在内疚和声名狼藉中度过的，但那些日子并没有在她温柔的面容上留下任何痕迹。她的模样看起来没有丝毫改变，就好像是刚从父亲的炉火边离开了半小时一样；回来时，火焰熊熊燃烧，炉中的木柴依旧还是她离开时的木柴，。对于约翰来说，女儿和已故的妻子长得简直一模一样。他记得妻子第一次在他们自己的屋檐下过感恩节时，就是这副模样。因此，尽管本性严厉、粗鲁，约翰却不忍对他犯了错的女儿说一句重话，但也不想将她拥入怀中。","Yes, it was Prudence Inglefield.She wore the same neat and maidenly attire which she had been accustomed to put on when the household work was over for the day, and her hair was parted from her brow, in the simple and modest fashion that became her best of all.If her cheek might otherwise have been pale, yet the glow of the fire suffused it with a healthful bloom.If she had spent the many months of her absence in guilt and infamy, yet they seemed to have left no traces on her gentle aspect.She could not have looked less altered, had she merely stepped away from her father’s fireside for half an hour, and returned while the blaze was quivering upwards from the same brands that were burning at her departure.And to John Inglefield she was the very image of his buried wife, such as he remembered her on the first Thanksgiving which they had passed under their own roof.Therefore, though naturally a stern and rugged man, he could not speak unkindly to his sinful child, nor yet could he take her to his bosom."
"“欢迎回家，普鲁登斯，”约翰从余光里看看女儿，声音有些颤抖，“你妈妈要是见到你，会很高兴的，只是她已经离开我们四个月了。”","“You are welcome home, Prudence,” said he, glancing sideways at her, and his voice faltered.“Your mother would have rejoiced to see you, but she has been gone from us these four months.”"
"“我知道，爸爸，我知道，”普鲁登斯立即答道，“但我刚进来时，火光让我一时眼花，好像看到妈妈就坐在这把椅子上似的！”","“I know it, father, I know it,” replied Prudence, quickly.“And yet, when I first came in, my eyes were so dazzled by the firelight, that she seemed to be sitting in this very chair!”"
"这时，家里的其他人才开始从惊愕中回过神来，意识到这不是从坟墓里出来的鬼魂，也不是从他们清晰的记忆中产生出的幻觉，而是普鲁登斯，她本人。她的哥哥第二个向她表示问候。他走上前，满怀深情地伸出手，就像一个兄长应该做的那样；但他又不完全像个兄长，因为尽管他亲切友好，但他仍然是位神职人员；他对这个有罪的孩子说：","By this time the other members of the family had begun to recover from their surprise, and became sensible that it was no ghost from the grave, nor vision of their vivid recollections, but Prudence, her own self.Her brother was the next that greeted her.He advanced and held out his hand affectionately, as a brother should; yet not entirely like a brother, for, with all his kindness, he was still a clergyman, and speaking to a child of sin."
"“普鲁登斯妹妹，”他诚挚地说道，“我很高兴仁慈的主让你踏上归途，让我能最后跟你道别。妹妹，几周后，我将作为传教士出海，到太平洋遥远的岛屿上去。此生，我不能指望再见到任何一个我所爱的人的面孔了。啊，但愿我能越过坟墓见到他们所有人——你的脸庞，还有所有人的！”","“Sister Prudence,” said he, earnestly, “I rejoice that a merciful Providence hath turned your steps homeward, in time for me to bid you a last farewell.In a few weeks, sister, I am to sail as a missionary to the far islands of the Pacific.There is not one of these beloved faces that I shall ever hope to behold again on this earth.O, may I see all of them—yours and all—beyond the grave!”"
"少女的脸上掠过一丝阴影。","A shadow flitted across the girl’s countenance."
"“坟墓里漆黑一片，哥哥，”她有些慌张地把手从他手里抽出来，说道，“你得借着火光，再看我最后一眼。”","“The grave is very dark, brother,” answered she, withdrawing her hand somewhat hastily from his grasp.“You must look your last at me by the light of this fire.”"
