"影子溪——《点金术》的引子","Shadow Brook.—Introductory to The Golden Touch"
"作者：纳撒尼尔·霍桑 ","by Nathaniel Hawthorne"
"中午，我们少年队在一个小山谷集合，山谷的深处有一条小溪流过。那个山谷很窄，溪流边缘上面的峭壁上长满了树，郁郁葱葱，主要是核桃树和栗树，中间还夹杂着几棵橡树和枫树。夏天的时候，枝繁叶茂的树枝相互交接或交叠着映射在小河上，形成的影子把正午的日光遮成了暮色。因此，小溪得名“影子溪”。但现在，自从秋天悄悄潜入这个幽僻安静的地方，一切苍翠色都变成了金黄色，因此，秋天使小山谷变得明亮起来而非遮蔽了它。即使是在阴天的时候，明亮金黄的叶子似乎也留住了间隙中的阳光；还有不少叶子飘落下来，在阳光的照耀下洒满了整个河床和小溪边缘。因此，在夏天时都阴凉的幽暗角落，这时变成了阳光最灿烂的地方。","At noon, our juvenile party assembled in a dell, through the depths of which ran a little brook.The dell was narrow, and its steep sides, from the margin of the stream upward, were thickly set with trees, chiefly walnuts and chestnuts, among which grew a few oaks and maples.In the summer time, the shade of so many clustering branches, meeting and intermingling across the rivulet, was deep enough to produce a noontide twilight.Hence came the name of Shadow Brook.But now, ever since autumn had crept into this secluded place, all the dark verdure was changed to gold, so that it really kindled up the dell, instead of shading it.The bright yellow leaves, even had it been a cloudy day, would have seemed to keep the sunlight among them; and enough of them had fallen to strew all the bed and margin of the brook with sunlight, too.Thus the shady nook, where summer had cooled herself, was now the sunniest spot anywhere to be found."
"小溪沿着那条金色的叶子铺成的河道，在这里停下来形成一个小水池。米诺鱼在水中穿来穿去，然后慌忙加快速度向前游去，仿佛急着赶到湖边，却又忘记仔细张望前行的方向，反被横亘的树根绊了个跟头。溪流喧闹地唠叨着这起事件，你若听见了定会大笑起来。而且即使小溪已经向前流去了，它依旧会喃喃自语，似乎在感到困惑。我想，当它发现昏暗的小山谷如此明亮，听见这么多孩子的欢声笑语，它一定会吓一跳。于是，它极其迅速地溜到湖里藏了起来。","The little brook ran along over its pathway of gold, here pausing to form a pool, in which minnows were darting to and fro; and then it hurried onward at a swifter pace, as if in haste to reach the lake; and, forgetting to look whither it went, it tumbled over the root of a tree, which stretched quite across its current.You would have laughed to hear how noisily it babbled about this accident.And even after it had run onward, the brook still kept talking to itself, as if it were in a maze.It was wonder-smitten, I suppose, at finding its dark dell so illuminated, and at hearing the prattle and merriment of so many children.So it stole away as quickly as it could, and hid itself in the lake."
"尤斯塔斯·布赖特和他的小伙伴们已经在影子溪的小山谷里吃过了饭。他们的篮子里有很多从坦格尔伍德买来的食物，他们将食物铺在树桩上和长满苔藓的树干上，美味的食物让他们愉快地饱餐了一顿。吃完了饭，大家都不想动弹了。","In the dell of Shadow Brook, Eustace Bright and his little friends had eaten their dinner.They had brought plenty of good things from Tanglewood, in their baskets, and had spread them out on the stumps of trees and on mossy trunks, and had feasted merrily, and made a very nice dinner indeed.After it was over, nobody felt like stirring."
"“我们就在这里休息，”其中的几个孩子说，“让尤斯塔斯·布赖特表哥再给我们讲一个精彩的故事。”","“We will rest ourselves here,” said several of the children, “while Cousin Eustace tells us another of his pretty stories.”"
"尤斯塔斯表哥和孩子们一样感到疲惫，这是正常的，因为在这个难忘的上午他的功劳可不小啊。蒲公英，红花草，黄花九轮草和毛茛几乎都确信他有一双带翅膀的拖鞋，就像山林水泽的仙女们给珀尔修斯的那双。所以通常前一秒他还站在地面上，后一秒就会跳上坚果树的顶端展示自己。之后，他使胡桃像雨一般地落下来，砸在他们头上，发出嘎嘎的响声，因为他们的小手正忙着把它们捡到篮子里。总而言之，他曾经像松鼠或猴子一样活跃敏捷。而现在，即使是飞扑到金黄的叶子上，他也似乎打算小歇一下。","Cousin Eustace had a good right to be tired, as well as the children, for he had performed great feats on that memorable forenoon.Dandelion, Clover, Cowslip, and Buttercup were almost persuaded that he had winged slippers, like those which the Nymphs gave Perseus; so often had the student shown himself at the tiptop of a nut-tree, when only a moment before he had been standing on the ground.And then, what showers of walnuts had he sent rattling down upon their heads, for their busy little hands to gather into the baskets!In short, he had been as active as a squirrel or a monkey, and now, flinging himself down on the yellow leaves, seemed inclined to take a little rest."
"但是，孩子们并不会因某个人的疲惫而心生怜悯或变得体贴，只要你还有一丝气息，他们也会让你给他们讲故事。","But children have no mercy nor consideration for anybody’s weariness; and if you had but a single breath left, they would ask you to spend it in telling them a story."
"“尤斯塔斯表哥，”黄花九轮草说，“《蛇怪之首》的故事很好听。你能再给我们讲一个那么好听的故事吗？”","“Cousin Eustace,” said Cowslip, “that was a very nice story of the Gorgon’s Head.Do you think you could tell us another as good?”"
"“当然了，孩子，”尤斯塔斯说，他把帽檐拉了拉，遮住眼，好像准备小睡片刻，“只要我愿意，我能给你们讲好多和那个一样好、甚至更好的故事。”","“Yes, child,” said Eustace, pulling the brim of his cap over his eyes, as if preparing for a nap.“I can tell you a dozen, as good or better, if I choose.”"
"“哇，报春花、长春花，你们听到他说的了吗？”黄花九轮草叫嚷着，高兴地手舞足蹈，“尤斯塔斯表哥要给我们讲一打比《蛇怪之首》还好听的故事哦！”","“O Primrose and Periwinkle, do you hear what he says?” cried Cowslip, dancing with delight.“Cousin Eustace is going to tell us a dozen better stories than that about the Gorgon’s Head!”"
