"第一章 两位风情女子的定论","CHAPTER I THE LAST WORD OF TWO GREAT COQUETTES"
"七月革命摧毁了众多依附于王室的贵族产业，这一灾难之后，德卡迪央王妃居然聪明地把由自己的挥霍无度造成的家庭破产，统统归因于这次政治事件。亲王把王妃一人留在巴黎，自己随同王室离开了法国，并且永远不会再回来。他们所欠下的债务，即使变卖所有的家当也无法偿还，不过这只是亲王本人的责任。他既然离家出走，王妃便不会受到法律的追究。世袭的财产已经被扣押。简而言之，这个大家庭的处境也就和波旁王朝长房其他家庭的处境一样糟糕。","After the disasters of the revolution of July, which destroyed so many aristocratic fortunes dependent on the court, Madame la Princesse de Cadignan was clever enough to attribute to political events the total ruin she had caused by her own extravagance.The prince left France with the royal family, and never returned to it, leaving the princess in Paris, protected by the fact of his absence; for their debts, which the sale of all their salable property had not been able to extinguish, could only be recovered through him.The revenues of the entailed estates had been seized.In short, the affairs of this great family were in as bad a state as those of the elder branch of the Bourbons."
"这位往日以德摩弗里纽斯公爵夫人的头衔闻名的女人，非常明智地选择隐退的生活，如果可能的话，她希望自己被大众遗忘。巴黎当时正经受着一股令人晕眩的革命浪潮冲击，曾经的德摩弗里纽斯公爵夫人这一称呼便被德卡迪央王妃这一称呼取代。七月革命中登上社会舞台的大部分新社会的演员都对改名换姓这件事一无所知，因此，王妃在自己生活的城市里竟然成了一位陌生人物。","This woman, so celebrated under her first name of Duchesse de Maufrigneuse, very wisely decided to live in retirement, and to make herself, if possible, forgotten.Paris was then so carried away by the whirling current of events that the Duchesse de Maufrigneuse, buried in the Princesse de Cadignan, a change of name unknown to most of the new actors brought upon the stage of society by the revolution of July, did really become a stranger in her own city."
"在巴黎，公爵的头衔和其他头衔比起来是最高的，甚至高于亲王；不考虑一切诡辩的说法，按照纹章学理论，头衔没有任何意义，贵族之间是绝对平等的。这种值得赞赏的平等曾一度被法国王室保留下来；现如今，这样的平等仍然存在，至少名义上存在；法国国王仅仅赐予自己的儿子普通的伯爵头衔。","In Paris the title of duke ranks all others, even that of prince; though, in heraldic theory, free of all sophism, titles signify nothing; there is absolute equality among gentlemen.This fine equality was formerly maintained by the House of France itself; and in our day it is so still, at least, nominally; witness the care with which the kings of France give to their sons the simple title of count."
"正是按照这种制度，弗朗索瓦一世在给高傲自大的查理五世的回信中，只签署了“弗朗索瓦，旺弗的领主”这个称呼，以示他对一切显赫头衔的不屑。路易十一做得更好，他把自己的女儿许配给了一个没有头衔的上流人士，名字叫皮埃尔·德博热。在路易十四统治时期，封建体系受到极大破坏，此时，公爵变成了贵族阶级最高且最让人仰慕的头衔。","It was in virtue of this system that Francois crushed the splendid titles assumed by the pompous Charles the Fifth, by signing his answer: “Francois, seigneur de Vanves.”Louis XI. did better still by marrying his daughter to an untitled gentleman, Pierre de Beaujeu.The feudal system was so thoroughly broken up by Louis XIV. that the title of duke became, during his reign, the supreme honor of the aristocracy, and the most coveted."
"尽管如此，在法国还有两三个王族家庭，曾经占有广大的领地，因此其地位仍在公爵之上。例如卡迪央家族，拥有指定由长子继承的德摩弗里纽斯公爵头衔，便是上文所说的几家例外的王族中的一家。像早期罗昂家族的亲王一样，德卡迪央亲王有权利在家中设立王座；还可以有侍从、陪臣为自己服务。这一解释是很有必要的，一方面可以摆脱那些虽然一无所知但对此事进行愚蠢批判的人，另一方面，也可以对一个将要不复存在的社会的各种风俗惯例做个记录。很明显，这个社会，众人对其一无所知，却竞相推倒它。","Nevertheless there are two or three families in France in which the principality, richly endowed in former times, takes precedence of the duchy.The house of Cadignan, which possesses the title of Duc de Maufrigneuse for its eldest sons, is one of these exceptional families.Like the princes of the house of Rohan in earlier days, the princes of Cadignan had the right to a throne in their own domain; they could have pages and gentlemen in their service.This explanation is necessary, as much to escape foolish critics who know nothing, as to record the customs of a world which, we are told, is about to disappear, and which, evidently, so many persons are assisting to push away without knowing what it is."
"卡迪央家族的家徽，设计为五个相互联结的黑色菱形图案，中央贯穿一条横带，其上刻着“Memini”（表示“纪念”，拉丁文）作为箴言。家徽上有封口皇冠，但是既没有支撑物，也没有覆盖物。这段时间以来，大批陌生人涌进巴黎，他们对纹章学几乎一无所知，却开始把亲王这一头衔变得时髦起来。事实上，只有拥有封地和享有殿下称号的人才能算作真正的亲王。法国贵族对亲王头衔的蔑视，以及路易十四把公爵设为最高地位的种种原因，使法国人民无法给予现存的寥寥几个亲王以“殿下”的称号，但拿破仑家族的亲王例外。正是出于这个原因，卡迪央家族的亲王们从名义上来说，是没有欧洲大陆的亲王地位高的。","The Cadignans bear: or, five lozenges sable appointed, placed fess—wise, with the word “Memini” for motto, a crown with a cap of maintenance, no supporters or mantle.In these days the great crowd of strangers flocking to Paris, and the almost universal ignorance of the science of heraldry, are beginning to bring the title of prince into fashion.There are no real princes but those possessed of principalities, to whom belongs the title of highness.The disdain shown by the French nobility for the title of prince, and the reasons which caused Louis XIV. to give supremacy to the title of duke, have prevented Frenchmen from claiming the appellation of “highness” for the few princes who exist in France, those of Napoleon excepted.This is why the princes of Cadignan hold an inferior position, nominally, to the princes of the continent."
"圣日耳曼地区的群众都用满怀崇敬的沉默来保护王妃。首先是出于她那让所有人尊敬的姓氏；其次是出于她的不幸遭遇，这一点人们现在已不再议论了；最后是出于她的美丽，这是她从曾经富裕的生活中唯一保存下来的东西。她曾经为之增光的社会，对她充满感激，因为她现在像是当起了修女，闭门不出，退隐在家中。这一得体的举动，对她而言，比其他女人都更是一种巨大的牺牲。在法国，人们总是能够极其敏锐地感受到高尚的举动。王妃的隐退得到了她在过去荣华富贵中失去的一切声望。","The members of the society called the faubourg Saint-Germain protected the princess by a respectful silence due to her name, which is one of those that all men honor, to her misfortunes, which they ceased to discuss, and to her beauty, the only thing she saved of her departed opulence.Society, of which she had once been the ornament, was thankful to her for having, as it were, taken the veil, and cloistered herself in her own home.This act of good taste was for her, more than for any other woman, an immense sacrifice.Great deeds are always so keenly felt in France that the princess gained, by her retreat, as much as she had lost in public opinion in the days of her splendor."
"现在她只与一位旧友德埃斯巴侯爵夫人有往来。她既不出席节日庆祝场合也不参加聚会。王妃和侯爵夫人总是在上午相互拜访，像是刻意避人耳目。每当王妃去她这位女友家共进晚餐，侯爵夫人便会命人关上大门。德埃斯巴侯爵夫人对待王妃非常友好真诚；她曾把剧院里楼上的包厢退掉，换成了楼下的包厢，这样便于德卡迪央夫人能够悄悄地进入剧院，也能秘密地离开。很少有女人能够这么体贴，因为这样会使她们失去很多乐趣——不能亲眼看着落魄的对手跟在自己屁股后面团团转，也不能使自己在大众面前成为她的恩人。王妃可以享受在剧院的时光，乘坐侯爵夫人的马车到任何地方，她从来不会在白天公开地接受侯爵夫人的马车，只会悄悄地乘坐，这样一来便不必穿着昂贵服装了。没有人知道德埃斯巴侯爵夫人为什么对德卡迪央王妃这么友好；但是她的举动真的很令人钦佩，她这么长时间以来那些一点一滴的付出，如果孤立地看，似乎都是微乎其微的琐事，可是总体来看的话，的确很伟大。","She now saw only one of her old friends, the Marquise d’Espard, and even to her she never went on festive occasions or to parties.The princess and the marquise visited each other in the forenoons, with a certain amount of secrecy.When the princess went to dine with her friend, the marquise closed her doors.Madame d’Espard treated the princess charmingly; she changed her box at the opera, leaving the first tier for a baignoire on the ground-floor, so that Madame de Cadignan could come to the theatre unseen, and depart incognito.Few women would have been capable of a delicacy which deprived them of the pleasure of bearing in their train a fallen rival, and of publicly being her benefactress.Thus relieved of the necessity for costly toilets, the princess could enjoy the theatre, whither she went in Madame d’Espard’s carriage, which she would never have accepted openly in the daytime.No one has ever known Madame d’Espard’s reasons for behaving thus to the Princesse de Cadignan; but her conduct was admirable, and for a long time included a number of little acts which, viewed single, seem mere trifles, but taken in the mass become gigantic."
"到一八三二年为止，三年的时间已经给德摩弗里纽斯公爵夫人的风流韵事和冒险经历蒙上了一层霜雪，把她洗刷得一干二净，现在她必须经过一番努力，才能记起那段生活。","In 1832, three years had thrown a mantle of snow over the follies and adventures of the Duchesse de Maufrigneuse, and had whitened them so thoroughly that it now required a serious effort of memory to recall them."
"这位曾经被众多侍臣崇拜的王后，她的轻佻放纵可以为无数小说提供素材。现在她仍然是一位美妙的漂亮女人，三十六岁的年纪，但完全可以说自己只有三十岁，尽管她的儿子乔治·德摩弗里纽斯公爵已经十八岁了。她的儿子像安提弩斯一样英俊，却如同约伯一般贫穷。人们期望他日后取得伟大成就。他母亲认为首要任务是为他娶一位千金小姐。或许这个愿望就是她和侯爵夫人保持如此亲密关系的秘密，因为侯爵夫人有个在巴黎算得上一流的沙龙，在那里，她可能会在众多女继承人中为乔治挑选一位妻子。王妃认为从现在起到她儿子结婚要有五年的时间——孤独和忧郁的五年时光；因为她明白，为了儿子的美好姻缘能够成功，她必须谨慎行事。","Of the queen once adored by so many courtiers, and whose follies might have given a theme to a variety of novels, there remained a woman still adorably beautiful, thirty-six years of age, but quite justified in calling herself thirty, although she was the mother of Duc Georges de Maufrigneuse, a young man of eighteen, handsome as Antinous, poor as Job, who was expected to obtain great successes, and for whom his mother desired, above all things, to find a rich wife.Perhaps this hope was the secret of the intimacy she still kept up with the marquise, in whose salon, which was one of the first in Paris, she might eventually be able to choose among many heiresses for Georges’ wife.The princess saw five years between the present moment and her son’s marriage,—five solitary and desolate years; for, in order to obtain such a marriage for her son, she knew that her own conduct must be marked in the corner with discretion."
