"人生如戏","The Thing’s the Play"
"作者：欧·亨利","by O. Henry"
"我与一个新闻记者很熟，他经常有一些免费票。前不久的一个晚上，我和他相约去看了一个很受欢迎的歌舞杂耍剧。","Being acquainted with a newspaper reporter who had a couple of free passes, I got to see the performance a few nights ago at one of the popular vaudeville houses."
"有个节目是小提琴独奏，那个演员相貌十分惊世骇俗，年纪不到四十，头发浓密但已完全灰白。我没有音乐鉴赏力，所以我对那噪音般的音乐充耳不闻，只顾专心观察拉琴的人。","One of the numbers was a violin solo by a striking-looking man not much past forty, but with very gray thick hair.Not being afflicted with a taste for music, I let the system of noises drift past my ears while I regarded the man."
"“我们在一两个月前报道过这个家伙，”记者说道，“他们给我分配了这个任务。要求篇幅占够一栏，文笔要极其轻松幽默。我的老板似乎很欣赏我对本地新闻的幽默的处理方式。哦，对了，我目前正在写一篇关于滑稽喜剧的报道。我去剧院收集了所有的素材，但是，很明显，我没有完成任务。我回去之后而是上交了一篇报道城东一次葬礼的捧场文章。为什么呢？不知为何，我怎么都不能以幽默的方式来切入故事。也许你能根据这些素材写出一幕悲伤的开场剧。呆会儿我把素材给你。”","“There was a story about that chap a month or two ago,” said the reporter.“They gave me the assignment.It was to run a column and was to be on the extremely light and joking order.The old man seems to like the funny touch I give to local happenings.Oh, yes, I’m working on a farce comedy now.Well, I went down to the house and got all the details; but I certainly fell down on that job.I went back and turned in a comic write-up of an east side funeral instead.Why?Oh, I couldn’t seem to get hold of it with my funny hooks, somehow.Maybe you could make a one-act tragedy out of it for a curtain-raiser.I’ll give you the details.”"
"演出结束之后，我的这位记者朋友一边喝着维尔茨堡酒，一边给我讲述那些素材。","After the performance my friend, the reporter, recited to me the facts over the Würzburger."
"“我觉得利用这些素材写出一个极佳的幽默故事完全没问题啊。”听他讲完后，我说道，“如果他们三个是真实舞台上的真正演员，那么他们的表演是再可笑滑稽不过的了。在我看来，这个世界就是一个大舞台，所有的男男女女都是舞台上的演员。‘人生如戏，’我喜欢引用莎士比亚先生的这句话。”","“I see no reason,” said I, when he had concluded, “why that shouldn’t make a rattling good funny story.Those three people couldn’t have acted in a more absurd and preposterous manner if they had been real actors in a real theatre.I’m really afraid that all the stage is a world, anyhow, and all the players men and women.‘The thing’s the play,’ is the way I quote Mr. Shakespeare.”"
"“那你不妨试试。”记者说。","“Try it,” said the reporter."
"“我会的。”我答道。我也是这样么做的，为的是向他表明完全可以用这些素材为他的报纸写出一栏幽默作品。","“I will,” said I; and I did, to show him how he could have made a humorous column of it for his paper."
"阿宾顿广场附近有一栋房子。底层是一个有着二十五年历史的小商店，主要经营玩具、小杂货和文具。","There stands a house near Abingdon Square.On the ground floor there has been for twenty-five years a little store where toys and notions and stationery are sold."
"二十年前的一个晚上，这家小店的楼上举行了一场婚礼。寡妇梅奥是房子和店铺的主人。新娘是她的女儿海伦，新郎是弗兰克·巴里。伴郎是约翰·德莱尼。海伦十八岁时，有一次，她的照片被刊登在晨报上，旁边则是一则来自蒙大拿州比尤特、标题为“杀人无数的女凶手”的新闻。不过，在你的眼睛和智力排除两者的联系之后，你再拿起放大镜，仔细阅读照片下的文字，就会发现她被介绍是下西区有名的美女之一。","One night twenty years ago there was a wedding in the rooms above the store.The Widow Mayo owned the house and store.Her daughter Helen was married to Frank Barry.John Delaney was best man.Helen was eighteen, and her picture had been printed in a morning paper next to the headlines of a “Wholesale Female Murderess” story from Butte, Mont.But after your eye and intelligence had rejected the connection, you seized your magnifying glass and read beneath the portrait her description as one of a series of Prominent Beauties and Belles of the lower west side."
