"第一章 引言","CHAPTER ONE INTRODUCTION"
"圣约翰说:""上帝就是爱。""我最初想写这本书时，曾经以为可以依托这句格言而十分顺利地完成全部的写作计划。我曾以为我能说，人类的各种爱只要与上帝代表的爱是相似的，就能称之为爱。因此，首先我要把我所说的赠予之爱和需求之爱区分开来。最典型的赠予之爱能促使人们努力工作，制定计划，积累钱财，只为家人未来的幸福，虽然到那时自己既无法目睹也分享不到那种幸福。而最典型的需求之爱是将孤独或受到惊吓的孩子送回到母亲的怀抱的那种爱。","""God is love，""says st.John. When I first tried to write this book I thought that his maxim would provide me with a very plain highroad through the whole subject. I thought I should be able to say that human loves deserved to be called loves at all just in so far as they resembled that Love which is God. The first distinction I made was therefore between what I called Gift-love and Need-love. The typical example of Gift-love would be that love which moves a man to work and plan and Save for the future well-being of his family which he will die without sharing or seeing; of the second，that which sends a lonely or frightened child to its mother's arms."
"哪一种更像上帝之爱是毫无疑问的。上帝之爱是赠予之爱。圣父把其全部和其所有统统都给予了圣子。圣子把自己交还给圣父，把自己交还给世界，而且他是为了世界，把自己交还给圣父，因此把(自身之中的)世界也交还给了圣父。","There was no doubt which was more like Love Himself. Divine Love is Gift-love. The Father gives all He is and has to the Son. The Son gives Himself back to the Father，and gives Himself to the world，and for the world to the Father，and thus gives the world (in Himself) back to the Father too."
"而从另一方面讲，我们认为上帝的生活中最不该有的东西就是需求之爱了吧?上帝什么东西都不缺，但我们的需求之爱却像柏拉图所说的""贫穷之子""。这是我们的真实本性在意识上的切实反映。我们生来是无助的。一旦我们充分意识到这一点，孤独感就会随之而来。我们在肉体、情感和思想上都需要他人，若我们想有所认识，哪怕是认识我们自己，都需要与他人交流。","And what，on the other hand，can be less like anything we believe of God's life than Need-love? He lacks nothing，but our Need-love，as Plato saw，is ""the son of Poverty."" It is the accurate reflection in consciousness of our actual nature. We are born helpless. As soon as we are fully conscious we discover loneliness. We need others physically，emotionally，intellectually; we need them if we are to know anything，even ourselves."
"我曾经期待着这本书可以简单地歌颂第一种爱，贬损第二种爱。现在看来，许多当时我想要写的似乎仍然是正确的。我依然认为，如果我们所说的爱仅仅代表着一种对被爱的渴望，那我们就落入了一种很可悲的境地。但是，(与我的导师麦克唐纳不同)现在我并不认为，如果仅把爱理解为渴望被爱，就是把绝非是爱的东西错当成了爱。我不能否认*爱*这个词也指需求之爱。每次我试图沿着这样的思路作深入的思考时，最终得到的都是迷惑和矛盾。现实比我想象的复杂多了。","I was looking forward to writing some fairly easy panegyrics on the first sort of love and disparagements of the second. And much of what I was going to say still seems to me to be true.I still think that if all we mean by our love is a craving to be loved，we are in a very deplorable state. But I would not now say (with my master，MacDonald that if we mean only this craving we are mistaking for love something that is not love at all. I cannot now deny the name *love* to Need-love. Every time I have tried to think the thing out along those lines I have ended in puzzles and contradictions. The reality is more complicated than I supposed."
"首先，如果我们不把需求之爱称为""爱""，那么我们就篡改了包括母语在内的太多数语育.当然，语言不是绝对可靠的指导准则，不过，它虽有缺点，但也积淀了大量的真知灼见和经验.要是你一开始就不尊重语言，语言自有办法让你今后尝到苦头。我们最好不要像汉普蒂·邓普蒂那样任意胡乱地使用词语。","First of all，we do violence to most languages，including our own，if we do not call Need-love ""love."" Of course language is not an infallible guide，but it contains，with all its defects，a good deal of stored insight and experience. If you begin by flouting it，it has a way of avenging itself later on. We had better not follow Humpty Dumpty in making words mean whatever we please."
"其次，如果把需求之爱称为""纯粹的自私""。我们就得小心自己的用词了。*纯粹*，一贯是个危险的字眼。毫无疑问，正如我们所有的冲动一样，需求之爱也可以被自私地放纵。专横而贪婪地寻求爱是可怕的，但是在日常生活中，没人会认为孩子跑到母亲那里寻求安慰是自私的举动，也不会认为大人从同伴中""找个伴儿""是自私的的行为。无论大人还是小孩，那些很少这样做的人并不一定就是最无私的。但凡感受到了需求之量，我们就有了拒绝或是彻底克制它的理由，而感受不到这种爱通常是冷酷的自我主义的标志。既然在现实中我们都需要彼此(""人独居不好，那么这种需求未能在意识上表现为需求之爱一一换句话说，也就是那种认为独居*是*好事的虚幻感觉一一就是一种不健康的精神症状，就像食欲不振是医学上的不健康症状一样，因为人确实是需要食物的。","Secondly，we must be cautious about calling Need-love ""mere selfishness."" *Mere* is always a dangerous word.  No doubt Need-love，like all our impulses， can be selfishly indulged. A tyrannous and gluttonous demand for affection can be a horrible thing. But in ordinary life no one calls a child selfish because it turns for comfort to its mother; nor an adult who tums to his fellow ""for company."" Those，whether children or adults，who do so least are not usually the most selfless. Where Need-love is felt there may be reasons for denying or totally mortifying it; but not to feel it is in general the mark of the cold egoist. Since we do in reality need one another(""it is not good for man to be alone"")，then the failure of this need to appear as Need-love in consciousness — in other words，the illusory feeling that it *is* good for us to be alone — is a bad spuritual symptom; just as lack of appetite is a bad medical symptom because men do really need food."
"第三，我们来谈一些更为重要的东西。所有基督徒都同意，人的精神健康状况与其对上帝的爱是完全成正比的。但是，从其本质上讲，人对上帝的爱必定在很大程度上总是一种需求之爱，并且常常完全就是一种需求之爱。这在祈求宽恕我们犯下的罪过或者从苦难中寻求援助时尤为明显。但是从长远看，随着我们逐渐认识到一一认识必定是不断提高的一一我们全部的存在实质上是一种巨大的需求，这种认识可能会更加明显，这是对上帝发出的不完整的、试探性的、空虚却又混乱的呼求，因为上帝能够将纠缠在一起的东西解开来，也能将零散的东西串联起来。我并不是说人除了纯粹的需求之爱以外，就不可能再带给上帝任何其他的东西。崇高的灵魂或许会告诉我们超出需求之爱的境界。但我认为这些灵魂也会第一个告诉我们，一旦人们胆敢认为自己可以生活在那种撞界中，并从此以后抛弃了需求的成分，那么那种境界便不再会是真正的恩典，而将变成新柏拉回主义的幻想，甚至最终论为邪恶的幻想。《效法基督》指出，""没有最低者也就无所谓最高者气只有狂妄和愚蠢的受造之物才会在造物主面前自夸""我决不向你讨要什么，我无私地爱着你气人们要是对上帝表现出近乎赠予之爱的爱，那么他们必将很快，甚至当时.就会与那个税吏一起捶胸，向唯一真正的给予者诉说他们的贫乏。上帝也会这样安排的.对于我们的需求之爱，上帝这样说t""凡劳苦担重的人，可以到我这里来。""或者如《旧约如中所说，""你要大大张口，我就给你充满""。","But thirdly，we come to something far more important. Every Christian would agree that a man's spiritual health is exactly proportional to his love for God. But man's love for God ，from the very nature of the case，must always be very largely，and must often be entirely，a Need-love. This is obvious when we implore forgiveness for our sins or support in our tribulations. But in the long run it is perhaps even more apparent in our growing — for it ought to be growing — awareness that our whole being by its very nature is one vast need; incomplete，preparatory， empty yet cluttered, crying out for Him who can untie things that are now knotted together and tie up things that are still dangling loose. I do not say that man can never bring to God anything at all but sheer Need-love. Exalted souls may tell us of a reach beyond that. But they would also，I think，be the first to tell us that those heights would cease to be true Graces，would become Neo-Platonic or finally diabolical illusions，the moment a man dared to think that he could live on them and henceforth drop out the element of need. ""The highest，""says the *Imitation*，""does not stand without the lowest."" It would be a bold and silly creature that came before its Creator with the boast ""I'm no beggar. I love you disinterestedly."" Those who come nearest to a Gift-love for God will next moment，even at the very same moment，be beating their breasts with the publican and laying their indigence before the only real Giver. And God will have it so. He addresses our Need-love: ""Come unto me all ye that travail and are heavy-laden，""or，in the Old Testament, ""Open your mouth wide and I will fill it."""
"因此，最伟大的需求之爱要么是与人最高尚、最健康以及最现实的精神状态相吻合，要么至少是其主要组成部分。这就出现了一种非常奇怪的推论：人从某种意义上看最不像上帝的时候就是最接近上帝的时候。还有什么会比富足与贫乏、君权与谦卑、正义与悔过、无限的力量与求助的呼喊更互不相像呢?第一次想到这个悖论时，我大为震惊，也因此打消了想要写书讨论爱的所有念头.我们面对这个悖论，似乎就只能产生这样的结果.","Thus one Need-love，the greatest of all，either coincides with or at least makes a main ingredient in man's highest，healthiest，and most realistic spritual condition. A very strange corollary follows. Man approaches God most nearly when he is in one sense least like God. For what can be more unlike than fullness and need，sovereignty and humility; righteousness and penitence，limitless power and a cry for help? This paradox staggered me when I first ran into it; it also wrecked all my previous attempts to write about love. When we face it，something like this seems to result."
"我们必须区分两种可能被称为""接近上帝""的情况。第一种是与上帝的相似性.我认为上帝早已在其创造的万物中体现了与其自身的某种相似性。空间和时间以各自的形式印证了上帝的伟大，所有生命证明了上帝的多产，动物的生命反映了上帝的活力。人类由于有了理性而具有比上述种种更重要的相似性。我们认为天使具有人类所没有的相似性：永生不死和直觉知识.从这个角度讲，所有人(不论好人坏人)、所有的天使(包括那些堕落天使)都要比动物更像上帝，从这个意义上讲，他们的本性更""接近""神性。而第二种我们可以称为趋向的接近。如果这是我们想要表达的一个人""最接近""上帝的状态，就是当他最为确定且最快速地使自己与上帝融合、接近上帝的视野和沐搭上帝荣光的状态。我们一旦把相似之接近和趋向之接近区分开来，就会明白二者未必吻合，可能是一致的，也可能是不一致的。","We must distinguish two things which might both possibly be called ""nearness to God."" One is likeness to God. God has impressed some sort of likeness to Himself，I suppose，in all that He has made. Space and time，in their own fashion，mirror His greatness; all life，His fecundity; animal life，His activity. Man has a more important likeness than these by being rational. Angels，we believe，have likenesses which Man lacks: immortality and intuitive knowledge. In that way all men， whether good or bad，all angels including those that fell，are more like God than the animals are. Their natures are in this sense ""nearer"" to the Divine Nature. But，secondly，there is what we may call nearness of approach. If this is what we mean，the states in which a man is ""nearest"" to God are those in which he is most surely and swiftly approaching his final union with God，vision of God and enjoyment of God. And as soon as we distinguish nearness-by-likeness and nearness-of-approach，we see that they do not necessarily coincide. They may or may not."
"或许打个比方会有助于理解吧。假设我们走在山路上，山那边的村庄是我们的家园.中午我们到了一个悬崖顶上，从空间上讲，我们离村子非常近，因为村子就在悬崖下面。我们可以随手丢块石头下去，但是我们不能像攀岩高手那样顺岩而下，只能绕路，或许有五英里吧。从静态的角度讲，我们在所绕的路上的许多个地方都比在悬崖上坐着时离村子更远，但这仅仅是就静态而言的。用发展的眼光看，我们离家越来越""近""了，就快要能泡澡、喝到茶水了。","Perhaps an analogy may help. Let us suppose that we are doing a mountain walk to the village which is our home. At mid-day we come to the top of a cliff where we are，in space，very near it because it is just below us. We could drop a stone into it. But as we are no cragsmen we can't get down. We must go a long way round; five miles，maybe. At many points during that *détour* we shall，statically，be farther from the village than we were when we sat above the cliff. But only statically. In terms of progress we shall be far ""nearer"" our baths and teas."
"因为上帝是神圣的、全能的、有统治力和创造力的，因此很明显从某种意义上说，无论幸福、力量、自由和能产性(思想上的或身体上的)出现在人生的何处，都构成了与上帝的相似性，并且以这种方式建立起了与上帝的接近。但没有人认为自己所拥有的这些禀赋与我们的神圣化有必然关联。没有一种财富是通往天堂的通行证。","Since God is blessed，omnipotent，sovereign and creative，there is obviously a sense in which happiness，strength，freedom and fertility (whether of mind or body)，wherever they appear in human life，constitute likenesses，and in that way proximities，to God. But no one supposes that the possession of these gifts has any necessary connection with our sanctification. No kind of riches is a passport to the  Kingdom of Heaven."
"在悬崖顶上时，我们离村子很近，但不管在那里坐多久，我们都不会商淋踏和茶水更近一些。这里的道理也是一样的，与上帝的相似性以及从某种意义上讲的与上帝的接近，是上帝赋予特定生灵及其特定状态的，而且这个过程早己结束，并已经根植于万物之中了。由相似带来的与上帝的接近永远不会仅仅因为相似性本身而变得再近一些。但是由趋向性带来的与上帝的接近，根据其定义，是可以更加接近上帝的。相似性是赐给我们的一一无论我们是否心怀感激，无论它是否得到了恰当的利用。而趋向性，不管上帝的恩典开始如何引导，如何支撑，都需要我们做点什么。所有生物通过不同方式被创造出来，反映了上帝的各种样子。这个过程无需他们的参与，甚至也不管他们是否乐意。他们并非因此而成为上帝之子。他们通过成为上帝之子而挟得的相似性，不是形象或长相上的相似性.从某个方面讲，这远超出了相似性，因为这是与上帝意志的融合或统一，然而这与我们一直思考的所有差异是一致的。因此，正如一位优秀作家所说，现世中我们对上帝的效法必然是对上帝化身的效法。这出自我们的自愿，并且不同于上帝加诸我们本性或各个阶段的任何相似性。我们的榜样是耶稣，不仅是旬在十字架上受难的耶稣，也是工作中的、大街上的、人群中的耶稣，还有面对喧嚷的召唤和粗暴的反对的耶稣、失去了安宁和隐私的耶稣、忙于应对各种阻挠和干扰的耶稣。以上种种是如此奇异，完全不像与上帝本身有什么联系，而它已经很明显不仅像，而且就是人类生活条件下的上帝的生活。","At the cliffs top we are near the village，but however long we sit there we shall never be any nearer to our bath and our tea. So here; the likeness，and in that sense nearness，to Himself which God has conferred upon certain creatures and certain states of those creatures is something finished，built in. What is near Him by likeness is never，by that fact alone，going to be any nearer. But nearness of approach is，by definition，increasing nearness. And whereas the likeness is given to us-and can be received with or without thanks，can be used or abused-the approach，however initiated and supported by Grace，is something we must do. Creatures are made in their varying ways images of God without their own collaboration or even consent. It is not so that they become sons of God. And the likeness they receive by sonship is not that of images or portraits. It is in one way more than likeness，for it is union or unity with God in will; but this is consistent with all the differences we have been considering. Hence，as a better writer has said，our imitation of God in this life-that is，our willed imitation as distinct from any of the likenesses which He has impressed upon our natures or states-must be an imitation of God incarnate: our model is the Jesus，not only of Calvary，but of the workshop，the roads，the crowds，the clamorous demands and surly oppositions，the lack of all peace and privacy，the interruptions. For this，so strangely unlike anything we can attribute to the Divine life in itself，is apparently not only like，but is，the Divine life operating under human conditions."
"我现在必须解释一下，为什么我认为这个区别对于所要讨论的爱是必要的.我脑海里一直在比较圣约翰所说的""上帝就是爱""和一位现代作家 (M.丹尼斯·德·鲁日蒙)所说的""只有爱不会变成神时，爱才不会论为魔鬼""后一种观点当然也可以换个说法产爱一旦成了神，就会沦为魔鬼.""对于我来说，这种比较起到了不可或缺的预防作用。要是忽略了这种比较，""上帝就是爱""这一真理可能会被我们偷偷地倒过来，变成了""爱就是上帝"".","1 must now explain why I have found this distinction necessary to any treatment of our loves. St.John's saying that God is love has long been balanced in my mind against the remark of a modern author (M. Denis de Rougemon) ""love ceases to be a demon only when he ceases to be a god""; which of course can be re-stated in the form ""begins to be a demon the moment he begins to be a god."" This balance seems to me an indispensable safeguard. If we ignore it the truth that God is love may slyly come to mean for us the converse，that love is God."
"我认为，所有想过这个问题的人都明自M.德·鲁日蒙的意思。每种人类之爱在处于最佳境界时往往都会有一种趋向，宣称其具有某种神的权威。它的声音听起来像是上帝本身的意愿。它告诉我们不要计较得失，耍全心地投入。它还试图凌驾于其他一切主张之上，并且暗指任何""以爱之名""而做出的虔诚行为都因此是合法的，甚至是值得称赞的。情爱和对国家的爱会因此试图""神化自身份""大家对此都是很清楚的。不过，亲人之爱也会神化自身，朋友之爱可能也会如此，只是方式不同罢了。此处先不赞述，因为我会在下面的章节中反复谈到这一问题。","I suppose that everyone who has thought about the matter will see what M. de Rougemont meant. Every human love，at its height, has a tendency to claim for itself a divine authority. Its voice tends to sound as if it were the will of God Himself.It tells us not to count the cost，it demands of us a total commitment，it attempts to over-ride all other claims and insinuates that any action which is sincerely done ""for love's sake"" is thereby lawful and even meritorious. That erotic love and love of one's country may thus attempt to ""become gods"" is generally recognised. But family affection may do the same. So，in a different way, may friendship. I shall not here elaborate the point，for it will meet us again and again in later chapters."
