"带家具出租的房间","The Furnished Room"
"作者：欧·亨利","by O. Henry"
"住在纽约下西区南边红砖房地区的人中，绝大部分人都像光阴一般不停地流转、居无定所、来去匆匆。虽说他们无家可归，但也可以说他们有上百个家。他们从一间带家具出租的房间搬到另一间带家具出租的房间，永远都是过客——不仅身体上居无定所，心灵和思想上亦然。他们唱着散拍乐的“家，甜美的家”；他们抬着个硬纸箱，里面是他们的全部家当；他们的藤蔓就缠绕在阔边花式帽上，橡胶树就是他们的无花果树。（注：英语中，“居住在藤蔓和无花果树下”表示“生活安定”。）","Restless, shifting, fugacious as time itself is a certain vast bulk of the population of the red brick district of the lower West Side.Homeless, they have a hundred homes.They flit from furnished room to furnished room, transients forever—transients in abode, transients in heart and mind.They sing “Home, Sweet Home” in ragtime; they carry their lares et penates in a bandbox; their vine is entwined about a picture hat; a rubber plant is their fig tree."
"这个地区的房子曾经有上千个房客住过，因此，要讲的故事也应该有上千个，但毫无疑问，其中的大部分都很乏味。可如果说在这些漂泊不定的房客身后找不到一两个魂灵，那才奇怪呢。","Hence the houses of this district, having had a thousand dwellers, should have a thousand tales to tell, mostly dull ones, no doubt; but it would be strange if there could not be found a ghost or two in the wake of all these vagrant guests."
"一天傍晚天黑之后，一位男青年徘徊在这些破烂不堪的红色宅第之间，一家家地按着门铃。按到第十二家门铃的时候，他把少得可怜的手提行李放在门阶上，擦去帽边缎带和前额上的灰尘。门铃的响声微弱而幽远，仿佛是从某些遥远而空荡的深渊中发出来的。","One evening after dark a young man prowled among these crumbling red mansions, ringing their bells.At the twelfth he rested his lean hand-baggage upon the step and wiped the dust from his hatband and forehead.The bell sounded faint and far away in some remote, hollow depths."
"他在这第十二家门口按响门铃后，女房东应声而出。这个女房东让他想起了令人厌恶的、吃多了的蠕虫。它已经吃空了坚果仁，只剩个空壳，现在正寻觅可以充饥的住客来填补空间。","To the door of this, the twelfth house whose bell he had rung, came a housekeeper who made him think of an unwholesome, surfeited worm that had eaten its nut to a hollow shell and now sought to fill the vacancy with edible lodgers."
"他问有没有可以出租的房间。","He asked if there was a room to let."
"“进来吧。”女房东说。她的声音是从喉咙里发出的，喉咙里好像衬着一层毛皮似的。","“Come in,” said the housekeeper.Her voice came from her throat; her throat seemed lined with fur."
"“三楼后面有间房，空了一周了。你想看看吗？”","“I have the third floor back, vacant since a week back.Should you wish to look at it?”"
"那位男青年跟着她上了楼。不知道从哪里进来的一丝微光缓和了走廊里的阴暗。他们一声不响地走在楼梯的地毯上，而地毯破旧得连编织它的织布机也会坚决否认是自己织出来的。地毯仿佛已变成了蔬菜，并已在那种臭烘烘的、阴暗的空气中腐化成茂盛的地衣或铺展开来的苔藓，一片一片地长在楼梯上，人踩在脚下感觉粘得像踩在有机物上似的。楼梯每一个转角处的墙上都有空着的壁龛。也许里面曾放过植物。如果真是如此，那些植物也早已在又脏又臭的空气中死去了。立在壁龛里的也可能是圣人像，但是不难想象，形形色色的魔鬼早就在黑暗中把它们拖了出来，并一直拖到下面某间带家具出租的客房那邪恶的深渊中去了。","The young man followed her up the stairs.A faint light from no particular source mitigated the shadows of the halls.They trod noiselessly upon a stair carpet that its own loom would have forsworn.It seemed to have become vegetable; to have degenerated in that rank, sunless air to lush lichen or spreading moss that grew in patches to the staircase and was viscid under the foot like organic matter.At each turn of the stairs were vacant niches in the wall.Perhaps plants had once been set within them.If so they had died in that foul and tainted air.It may be that statues of the saints had stood there, but it was not difficult to conceive that imps and devils had dragged them forth in the darkness and down to the unholy depths of some furnished pit below."
"“就是这间房，”女房东用她那沙哑的毛皮嗓子说道，“这房间不错。很少空着。去年夏天，入住这间房的都是些特别体面的人——从来没有麻烦事，还提前付房租，特别准时。水在走廊尽头。斯普罗尔斯和穆尼连租了三个月。他们演过杂耍短剧。布雷塔·斯普罗尔斯小姐——可能你听说过她——哦，那只是她的艺名——她那镶了框的结婚证就曾挂在梳妆台上面的这个位置。煤气在这儿，你看壁橱也很宽敞。大家都喜欢住这个房间。这房间从来不会空很久。”","“This is the room,” said the housekeeper, from her furry throat.“It’s a nice room.It ain’t often vacant.I had some most elegant people in it last summer—no trouble at all, and paid in advance to the minute.The water’s at the end of the hall.Sprowls and Mooney kept it three months.They done a vaudeville sketch.Miss B’retta Sprowls—you may have heard of her—Oh, that was just the stage names—right there over the dresser is where the marriage certificate hung, framed.The gas is here, and you see there is plenty of closet room.It’s a room everybody likes.It never stays idle long.”"
