"丛林中的孩子","Babes in the Jungle"
"作者：欧·亨利","by O. Henry"
"蒙塔古·西尔弗是西部最好的街头推销员和赝品贩子。在小石城时，有一次他对我说：“比利，要是你脑子不中用了，老得不能在成年人中间做正经的骗局了，你就去纽约吧。在西部，每分钟产生一个冤大头；但在纽约呢，冤大头就好像鱼卵一般，数不胜数！”","Montague Silver, the finest street man and art grafter in the West, says to me once in Little Rock: “If you ever lose your mind, Billy, and get too old to do honest swindling among grown men, go to New York.In the West a sucker is born every minute; but in New York they appear in chunks of roe—you can’t count ’em!”"
"两年后，我发现我记不住那些俄国海军上将的名字了，并且左鬓已灰白。我知道，是听从西尔弗建议的时候了。","Two years afterward I found that I couldn’t remember the names of the Russian admirals, and I noticed some gray hairs over my left ear; so I knew the time had arrived for me to take Silver’s advice."
"一天，我中午时分抵达了纽约，然后去百老汇走了走。我居然遇见了西尔弗。他衣着华丽，斜靠在一家旅馆前，用一条丝质手帕擦拭着他指甲上的半月痕。","I struck New York about noon one day, and took a walk up Broadway.And I run against Silver himself, all encompassed up in a spacious kind of haberdashery, leaning against a hotel and rubbing the half-moons on his nails with a silk handkerchief."
"“你是得了麻痹性痴呆症，还是退休了？”我问他。","“Paresis or superannuated?” I asked him."
"“你好啊，比利，”西尔弗说，“见到你真高兴。不错，对我而言，西部人似乎逐渐变得有点太精明了。我一直把纽约留着，当作最后的点心。我知道，从纽约人身上揩油有点低能。他们懵懵懂懂，忙忙碌碌，不怎么用脑子。我真不愿意让我母亲知道我在剥这帮头脑简单的人的头皮（“剥头皮”表“骗钱、欺骗”之意——编者注）。她本想把我培养得更有出息的。”","“Hello, Billy,” says Silver; “I’m glad to see you.Yes, it seemed to me that the West was accumulating a little too much wiseness.I’ve been saving New York for dessert.I know it’s a low-down trick to take things from these people.They only know this and that and pass to and fro and think ever and anon.I’d hate for my mother to know I was skinning these weak-minded ones.She raised me better.”"
"“那么说来，做植皮手术的老医生的候诊室里已经人满为患了吧？”我问道。","“Is there a crush already in the waiting rooms of the old doctor that does skin grafting?” I asks."
"“呃，那倒没有，”西尔弗说，“当下还不用寻思剥皮的勾当。我来这里不过一个月。但是，我已经准备好实施大计了。威利曼哈顿主日学校的学生们每人自愿捐了一块皮，撑起了我这身行头。他们完全可以把相片寄到《每日晚报》去留名的。","“Well, no,” says Silver; “you needn’t back Epidermis to win to-day.I’ve only been here a month.But I’m ready to begin; and the members of Willie Manhattan’s Sunday School class, each of whom has volunteered to contribute a portion of cuticle toward this rehabilitation, may as well send their photos to the @Evening Daily@."
"“我一直在研究这座城市，”西尔弗说，“每天我都读报。我了解这座城市，就像市政厅的猫了解爱尔兰籍的警察一样。你从这里的人身上刮钱刮得哪怕慢了一点点，他们都会满地打滚，胡嚷乱叫。去我的房间，我详细和你说说吧。比利，看在往日交情的份上，我们一起来收拾这座城市吧。”","“I’ve been studying the town,” says Silver, “and reading the papers every day, and I know it as well as the cat in the City Hall knows an O’Sullivan.People here lie down on the floor and scream and kick when you are the least bit slow about taking money from them.Come up in my room and I’ll tell you.We’ll work the town together, Billy, for the sake of old times.”"
"西尔弗把我带进一家旅馆。他房间里乱七八糟地放着各种不相干的东西。","Silver takes me up in a hotel.He has a quantity of irrelevant objects lying about."
