"第五个车轮","The Fifth Wheel"
"作者：欧·亨利","by O. Henry"
"天气很冷，排队等候床铺过夜的人群更加紧密地挤在一起。他们便是纽约第五大街和百老汇交界的三角地带里，被生活的洪流冲刷出来的沉淀物。排队的人跺着冻僵了的双脚，望着麦迪逊广场上因为严寒而无法继续露宿的空荡荡的长椅，用混乱的语言相互喃喃地交谈着。熨斗大厦突兀地、穿云驾雾般耸立在路对面的三角洲上，将蒙眬不清的阴影投在他们身上。这大厦有可能代表了巴别塔，由此，说着不同语言的、无家可归的人们便被代表上帝的天使召唤而来。","The ranks of the Bed Line moved closer together; for it was cold.They were alluvial deposit of the stream of life lodged in the delta of Fifth Avenue and Broadway.The Bed Liners stamped their freezing feet, looked at the empty benches in Madison Square whence Jack Frost had evicted them, and muttered to one another in a confusion of tongues.The Flatiron Building, with its impious, cloud-piercing architecture looming mistily above them on the opposite delta, might well have stood for the tower of Babel, whence these polyglot idlers had been called by the winged walking delegate of the Lord."
"牧师站在比羊群高出一头的松木箱上，教诲着所有由北风送来的过往行人和不断变换的听众。这像一个奴隶市场。只要花15分钱，你就能买到一个人。你把他立契转让给睡神，负责记录的天使便会为你记上一功。","Standing on a pine box a head higher than his flock of goats, the Preacher exhorted whatever transient and shifting audience the north wind doled out to him.It was a slave market.Fifteen cents bought you a man.You deeded him to Morpheus; and the recording angel gave you credit."
"牧师认真地讲述着，不知疲倦，真令人难以置信。他查看了能为这些同胞做的一系列事情，并且承担了一项任务，就是在周三和周日的晚上，安顿所有可能到他的临时演讲台那儿申请铺位的人。剩下的五个夜晚，就由别的慈善家来处理。如果他们同样负责好自己的工作，那么这个邪恶的城市或许已经成为了一个巨大的田园牧歌似的居住区。在那儿，所有人都能打盹，在鼾声中打发快乐的时光，让问题剧、收房租的人和各种生计都见鬼去吧。","The preacher was incredibly earnest and unwearied.He had looked over the list of things one may do for one’s fellow man, and had assumed for himself the task of putting to bed all who might apply at his soap box on the nights of Wednesday and Sunday.That left but five nights for other philanthropists to handle; and had they done their part as well, this wicked city might have become a vast Arcadian dormitory where all might snooze and snore the happy hours away, letting problem plays and the rent man and business go to the deuce."
"刚过了八点钟，一小群黑压压的观望者，像可采矿石一样，聚集在沃思将军纪念碑的阴影下。时不时地，会有一些人，或是羞涩地，或是招摇地，或是漫不经心地，亦或是小心精准地走过来，捐给牧师小额钞票或是银币。然后，一个拥有着斯堪的纳维亚人外表及热情的中尉，就会把这一小队被救赎的人带到寄宿处去。牧师始终劝诫着人群，措辞中巧妙地避免了华丽的修辞，只是死气沉沉地、客观地、千篇一律地陈述着真理。在排队等候床铺的人群慢慢消散前，你必须听牧师讲的一句话——也就是他那晚劝诫的主题。这句话值得印在全世界所有的白色缎带上。","The hour of eight was but a little while past; sightseers in a small, dark mass of pay ore were gathered in the shadow of General Worth’s monument.Now and then, shyly, ostentatiously, carelessly, or with conscientious exactness one would step forward and bestow upon the Preacher small bills or silver.Then a lieutenant of Scandinavian coloring and enthusiasm would march away to a lodging house with a squad of the redeemed.All the while the Preacher exhorted the crowd in terms beautifully devoid of eloquence—splendid with the deadly, accusative monotony of truth.Before the picture of the Bed Liners fades you must hear one phrase of the Preacher’s—the one that formed his theme that night.It is worthy of being stenciled on all the white ribbons in the world."
"“没有人想要为五分钱的威士忌酒而当个醉汉。”","@“No man ever learned to be a drunkard on five-cent whisky.”@"
"想想吧，酒鬼。这句话的范围很广，从出芽的黑麦地一直覆盖到义冢地。","Think of it, tippler.It covers the ground from the sprouting rye to the Potter’s Field."
"一个外表干净、身板儿笔直的年轻人站在等候床铺队伍的后排，他像水龟一样，把头深深地缩在如龟壳一般的衣领里。他穿着剪裁精良的花呢外套；裤子上仍然有被熨斗熨烫过的痕迹。但是从良心上讲，我一定要警告正在读这篇故事的女帽店学徒，如果期待看到一个像雷金纳德·蒙特雷索那样的落魄公子的故事，就不必再看下去了。因为这个年轻人不过是托马斯·麦奎德，一个月前因为醉酒而被解雇的马车夫，现在落魄到排在脏兮兮的等待过夜床铺的队伍里。","A clean-profiled, erect young man in the rear rank of the bedless emulated the terrapin, drawing his head far down into the shell of his coat collar.It was a well-cut tweed coat; and the trousers still showed signs of having flattened themselves beneath the compelling goose.But, conscientiously, I must warn the milliner’s apprentice who reads this, expecting a Reginald Montressor in straits, to peruse no further.The young man was no other than Thomas McQuade, ex-coachman, discharged for drunkenness one month before, and now reduced to the grimy ranks of the one-night bed seekers."
"如果你生活在较小的纽约城，你一定知道范斯迈思家那辆由两匹1500磅重的、100比1都能获胜的栗色快马拉着的马车。马车的形状就像一个浴盆。范斯迈思老夫人会斜倚在车厢这端或那端，拿着一把黑色遮阳伞，伞只有除夕夜的羽毛拂那么大。败落之前，托马斯·麦奎德曾驾驶过范斯迈思家栗色快马拉的马车，而他则受范斯迈思夫人的女佣安妮驱使。但是，鞋子太小，手头拮据或是牙疼，都会使丘比特的崇拜者一时叛逆，这是罗曼史里最令人伤心的事了。并且，托马斯身体上的问题还不少。因此，与和夫人的女佣分手相比，对一些本不存在的事情的幻想给他带来了更大的困扰：他紧张的神经几乎使他相信他在柏油路上，在这个凄凉的、排队等候床铺的队伍周围和上空飞行、舞蹈、爬行、蠕动。大概四周的纯威士忌，以及仅限于由饼干、腊肠和泡菜构成的饮食，通常会造成某种心理动物学后果。因此，他绝望、寒冷、愤怒，仿佛被幽灵困扰，他感觉自己需要人类的同情和交流。","If you live in smaller New York you must know the Van Smuythe family carriage, drawn by the two 1,500-pound, 100 to 1-shot bays.The carriage is shaped like a bath-tub.In each end of it reclines an old lady Van Smuythe holding a black sunshade the size of a New Year’s Eve feather tickler.Before his downfall Thomas McQuade drove the Van Smuythe bays and was himself driven by Annie, the Van Smuythe lady’s maid.But it is one of the saddest things about romance that a tight shoe or an empty commissary or an aching tooth will make a temporary heretic of any Cupid-worshiper.And Thomas’s physical troubles were not few.Therefore, his soul was less vexed with thoughts of his lost lady’s maid than it was by the fancied presence of certain non-existent things that his racked nerves almost convinced him were flying, dancing, crawling, and wriggling on the asphalt and in the air above and around the dismal campus of the Bed Line army.Nearly four weeks of straight whisky and a diet limited to crackers, bologna, and pickles often guarantees a psycho-zoological sequel.Thus desperate, freezing, angry, beset by phantoms as he was, he felt the need of human sympathy and intercourse."
"排在他右边的是一个与他年龄相仿的年轻人，衣着破旧却整洁。","The Bed Liner standing at his right was a young man of about his own age, shabby but neat."
