"姑娘和骗局","The Girl and the Graft"
"作者：欧·亨利","by O. Henry"
"一天，我偶然碰见老朋友弗格森·波格。波格是一个顶级的职业骗子。他主要在西半球活动，从倒卖埃斯塔卡多大平原上的城镇土地，到在康涅狄格州销售木制玩具——这种玩具其实是通过把肉豆蔻果的粉末液压为浆状而制成的，他所经营的业务可谓应有尽有。","The other day I ran across my old friend Ferguson Pogue.Pogue is a conscientious grafter of the highest type.His headquarters is the Western Hemisphere, and his line of business is anything from speculating in town lots on the Great Staked Plains to selling wooden toys in Connecticut, made by hydraulic pressure from nutmegs ground to a pulp."
"波格大赚了一笔以后，就会时不时来纽约放松放松。他说，在荒野做生意时，那种有酒、面包，还有女人相伴的日子过得非常悠闲惬意，就像塔夫脱总统在科尼艾兰游乐场坐过山车似的。波格说：“给我一座大城市，让我来度假。尤其是纽约。我不怎么待见纽约人，这世界上看不到纽约人的地方，大约也就只有曼哈顿了。”","Now and then when Pogue has made a good haul he comes to New York for a rest.He says the jug of wine and loaf of bread and Thou in the wilderness business is about as much rest and pleasure to him as sliding down the bumps at Coney would be to President Taft.“Give me,” says Pogue, “a big city for my vacation.Especially New York.I’m not much fond of New Yorkers, and Manhattan is about the only place on the globe where I don’t find any.”"
"在这个大都市里，要想找波格，只要去两个地方就行。一个是位于第四大街的一家小二手书店，他常在那里翻阅他爱看的有关伊斯兰教和动物标本剥制技术的书籍。我在另一个地方——第十八大街上他的走廊小卧室里找到了他——当时他只穿着袜子坐着，正拉着小齐特琴，试图弹奏《沃巴什河岸》。这首曲子他已经练了四年，却还是不在调上，就像离水太远，用最长的钓鱼线也够不到水边一般。梳妆台上放着一把四五口径的蓝钢科尔特左轮手枪，旁边紧紧裹着一卷面额为十美元和二十美元的钞票，这钞票卷很大，大约属于春天响尾蛇故事里提及的那个级别。邻近的走廊里，一个打扫房间的女仆进不了卧室，又不能逃走，只好徘徊着。她反感波格只穿着袜子的脚，害怕科尔特左轮手枪，然而大都市生活带给她的本能又使她无法抵抗那卷黄色钞票对她魔法般的诱惑。","While in the metropolis Pogue can always be found at one of two places.One is a little second-hand book-shop on Fourth Avenue, where he reads books about his hobbies, Mahometanism and taxidermy.I found him at the other—his hall bedroom in Eighteenth Street—where he sat in his stocking feet trying to pluck “The Banks of the Wabash” out of a small zither.Four years he has practised this tune without arriving near enough to cast the longest trout line to the water’s edge.On the dresser lay a blued-steel Colt’s forty-five and a tight roll of tens and twenties large enough around to belong to the spring rattlesnake-story class.A chambermaid with a room-cleaning air fluttered nearby in the hall, unable to enter or to flee, scandalized by the stocking feet, aghast at the Colt’s, yet powerless, with her metropolitan instincts, to remove herself beyond the magic influence of the yellow-hued roll."
"我坐在弗格森·波格的箱子上听他诉说。没有人说话比他更直率、坦白。与他的表达方式相比，亨利·詹姆斯一个月大时想吃奶的哭声就像是扶乩的密码。他自豪地向我讲述他那行业的故事，因为在他看来那是种艺术。我充满好奇，问他有没有见过女性干那一行。","I sat on his trunk while Ferguson Pogue talked.No one could be franker or more candid in his conversation.Beside his expression the cry of Henry James for lacteal nourishment at the age of one month would have seemed like a Chaldean cryptogram.He told me stories of his profession with pride, for he considered it an art.And I was curious enough to ask him whether he had known any women who followed it."
"“女士？”波格带着西方骑士的风范说，“哦，没有多少。特殊骗局她们干得不多，因为她们总是忙于一般骗术。什么？哎，她们不得不这么做。这个世界谁有钱？男人。你见过有哪个男人会不假思索地给女人哪怕一美元钱吗？男人可以轻易地白白给另一个男人钱，而不求回报。但是如果他往夏娃夫人女儿协会经营的售货机里投进去一枚硬币，而菠萝味的口香糖却没有在他拉下控制杆时掉出来的话，你在四个街区以外都可以听到他踢售货机的声音。对女人而言，最难对付的就是男人。男人是低等的矿石，女人要下番苦工才能有所收益。五次里有两次，女人都吃亏了。女人购置不起碎石机和昂贵的机器。男人注意到了女人，并参与到游戏之中。女人不得不淘洗手头现有的低劣矿石，而这会弄伤她们娇嫩的手。有些女人是天然的洗矿槽，每吨可收益一千美元。欲哭无泪的女人只能借助署名信函、假发、同情、袋鼠步、牛皮鞭、厨艺、多愁善感、能说会道、丝质内衣、门第、胭脂、匿名信、紫罗兰香囊、目击者、左轮手枪、充气隆胸垫、石炭酸、月光、美容霜和晚报来赢得男人的欢心。”","“Ladies?” said Pogue, with Western chivalry.“Well, not to any great extent.They don’t amount to much in special lines of graft, because they’re all so busy in general lines.What?Why, they have to.Who’s got the money in the world?The men.Did you ever know a man to give a woman a dollar without any consideration?A man will shell out his dust to another man free and easy and gratis.But if he drops a penny in one of the machines run by the Madam Eve’s Daughters’ Amalgamated Association and the pineapple chewing gum don’t fall out when he pulls the lever you can hear him kick to the superintendent four blocks away.Man is the hardest proposition a woman has to go up against.He’s the low-grade one, and she has to work overtime to make him pay.Two times out of five she’s salted.She can’t put in crushers and costly machinery.He’d notice ’em and be onto the game.They have to pan out what they get, and it hurts their tender hands.Some of ’em are natural sluice troughs and can carry out $1,000 to the ton.The dry-eyed ones have to depend on signed letters, false hair, sympathy, the kangaroo walk, cowhide whips, ability to cook, sentimental juries, conversational powers, silk underskirts, ancestry, rouge, anonymous letters, violet sachet powders, witnesses, revolvers, pneumatic forms, carbolic acid, moonlight, cold cream and the evening newspapers.”"
"“你太无礼了，弗格森，”我说，“在一个完美、和谐的婚姻组合中，肯定没有你所谓的‘骗局’！”","“You are outrageous, Ferg,” I said.“Surely there is none of this ‘graft’ as you call it, in a perfect and harmonious matrimonial union!”"
"“哎，”波格说，“不是那种每次总能给你充分的理由来打电话给警察总部，请他们派出一群后备警员和一个杂耍演员一样的警长，让他们笨手笨脚地忙得团团转的那种骗局。但是，我指的是：假设你是一位以不正当手段发财致富的第五大街的百万富翁。","“Well,” said Pogue, “nothing that would justify you every time in calling Police Headquarters and ordering out the reserves and a vaudeville manager on a dead run.But it’s this way: Suppose you’re a Fifth Avenue millionaire, soaring high, on the right side of copper and cappers."
"“你晚上回家，带回去一个值九百万美元的钻石胸针，递给和你永结同心的女士。你把它递给她。她说‘哦，乔治！’，并细看那个胸针，试图辨明真伪。她走上前来吻你。这正是你所期盼的。你如愿以偿。好了。那就是个骗局。","“You come home at night and bring a $9,000,000 diamond brooch to the lady who’s staked you for a claim.You hand it over.She says, ‘Oh, George!’ and looks to see if it’s backed.She comes up and kisses you.You’ve waited for it.You get it.All right.It’s graft."
"“但是我想给你讲讲阿尔泰米西娅·布莱的故事。她是堪萨斯人；看到她，人们就会联想到玉米的各个部分。她的头发如同玉米须那般金黄；她身材高挑、体型优雅，好似湿润夏天长在低地里的玉米秆；她的眼睛大而有神，就像玉米苞一般水灵。她最喜欢绿色。","“But I’m telling you about Artemisia Blye.She was from Kansas and she suggested corn in all of its phases.Her hair was as yellow as the silk; her form was as tall and graceful as a stalk in the low grounds during a wet summer; her eyes were as big and startling as bunions, and green was her favorite color."
