"最后的行吟诗人","The Last of the Troubadours"
"作者：欧·亨利萨姆·加洛韦去意已决地跨上了他的小马。三个月的拜访结束以后，他即将离开阿迪托牧场了。如果有哪一位客人能在这里忍受三个月以上，那简直是不可思议：牧场上的咖啡里有麦子的味道，饼干由于没发酵好总有黄色条纹。那个大块头的黑人厨师尼克·拿破仑从来没能做出过好吃的饼干。尼克原来在威洛兰奇掌勺的时候，萨姆只在那里呆了六周，就被迫逃离了尼克掌控的厨房。","by O. HenryInexorably Sam Galloway saddled his pony.He was going away from the Rancho Altito at the end of a three-months’ visit.It is not to be expected that a guest should put up with wheat coffee and biscuits yellow-streaked with saleratus for longer than that.Nick Napoleon, the big Negro man cook, had never been able to make good biscuits.Once before, when Nick was cooking at the Willow Ranch, Sam had been forced to fly from his cuisine, after only a six-weeks’ sojourn."
"萨姆的脸上浮现出的悲伤，因遗憾而有所加深，又因不被人理解的内行所表现出的耐心宽容而稍稍缓和了一些。不过他还是坚决地扣紧马肚带，把拴马锁绕成圈挂上鞍头，把他的雨衣和大衣系在马鞍后弓上，并把他的马鞭系在右手腕上。梅里迪尤一家（阿尔蒂托牧场的场主）、男人们、女人们、孩子们、服务员、家仆们，还有客人、雇员、狗和碰巧来访的客人，都聚集在牧场宅院的走廊里，他们每个人的脸上都写满了哀伤和不舍。因为无论萨姆·加洛韦来到弗里奥河和北布拉沃河之间的哪一个牧场、营地或者小屋，快乐都会随他而至，所以他的离开会让人悲伤苦恼。之后，在一片全然的静寂中，萨姆小心而温柔地把他的吉他横搭在鞍上的雨衣和大衣上，只有一只猎狗为了掸下身上可恨的跳蚤，后腿碰到地面发出的声响。如果你理解放在绿色帆布袋子里的吉他对他的重要性，萨姆的身份也就昭然若揭了。","On Sam’s face was an expression of sorrow, deepened with regret and slightly tempered by the patient forgiveness of a connoisseur who cannot be understood.But very firmly and inexorably he buckled his saddle-cinches, looped his stake-rope and hung it to his saddle-horn, tied his slicker and coat on the cantle, and looped his quirt on his right wrist.The Merrydews (householders of the Rancho Altito), men, women, children, and servants, vassals, visitors, employés, dogs, and casual callers were grouped in the “gallery” of the ranch house, all with faces set to the tune of melancholy and grief.For, as the coming of Sam Galloway to any ranch, camp, or cabin between the rivers Frio or Bravo del Norte aroused joy, so his departure caused mourning and distress.And then, during absolute silence, except for the bumping of a hind elbow of a hound dog as he pursued a wicked flea, Sam tenderly and carefully tied his guitar across his saddle on top of his slicker and coat.The guitar was in a green duck bag; and if you catch the significance of it, it explains Sam."
"萨姆·加洛韦是最后的行吟诗人。当然你知道关于行吟诗人的事。据百科全书所说，他们在十一世纪到十三世纪之间非常活跃。他们让什么东西盛行似乎不甚明了——不过你可以相当地确定不是剑：也许是小提琴的琴弓，或者是一叉子意大利面条，又或者一条女士头巾。无论如何，萨姆·加洛韦是他们中的一个。","Sam Galloway was the Last of the Troubadours.Of course you know about the troubadours.The encyclopædia says they flourished between the eleventh and the thirteenth centuries.What they flourished doesn’t seem clear—you may be pretty sure it wasn’t a sword: maybe it was a fiddlebow, or a forkful of spaghetti, or a lady’s scarf.Anyhow, Sam Galloway was one of ’em."
"当萨姆跨上小马背时，他的脸上出现了一种夸张的受难表情。不过他脸上的表情同他胯下坐骑的表情相比，可算欢快多了。你瞧，他的小马对它的主人简直了如指掌，它可能常常被草原上和拴马架前的矮种马嘲笑，因为它的主人是一个吉他手，而不是一个活跃的、爱说脏话的、友好的放羊牛仔。对于他的坐骑来说，谁都不是英雄。即使百货公司的电动扶梯绊倒一个行吟诗人，电梯也是可以原谅的。","Sam put on a martyred expression as he mounted his pony.But the expression on his face was hilarious compared with the one on his pony’s.You see, a pony gets to know his rider mighty well, and it is not unlikely that cow ponies in pastures and at hitching racks had often guyed Sam’s pony for being ridden by a guitar player instead of by a rollicking, cussing, all-wool cowboy.No man is a hero to his saddle-horse.And even an escalator in a department store might be excused for tripping up a troubadour."
"哦，我知道我是其中一个，而且你也如此。你记得你记忆中的那些故事、你学过的纸牌把戏，还有那支短小的钢琴曲——它是如何弹奏的呢？——叮咚叮咚叮咚——还有你拜访你有钱的简姑妈时提供的那些阿拉伯人的十分钟小娱乐。。你应知道“常人分为三类”。即：男爵、行吟诗人和工人。男爵无意于读像这篇这样胡说八道的文章。工人们则没有时间。所以我知道你一定是一个行吟诗人，而且你定会理解萨姆·加洛韦的。不管我们是唱歌、表演、跳舞、写作、演讲或是绘画，我们都只是行吟诗人；因此让我们对它持悲观态度吧。","Oh, I know I’m one; and so are you.You remember the stories you memorize and the card tricks you study and that little piece on the piano—how does it go?—ti-tum-te-tum-ti-tum—those little Arabian Ten Minute Entertainments that you furnish when you go up to call on your rich Aunt Jane.You should know that omnæ personæ in tres partes divisæ sunt.Namely: Barons, Troubadours, and Workers.Barons have no inclination to read such folderol as this; and Workers have no time: so I know you must be a Troubadour, and that you will understand Sam Galloway.Whether we sing, act, dance, write, lecture, or paint, we are only troubadours; so let us make the worst of it."
"那匹长了一张但丁·阿利吉耶里的脸的小马在萨姆双膝不同力度的夹压指引下，驮着浪迹四方的行吟诗人朝东南方跑了十六英里。大自然正处在最仁慈的状态中。一畦一畦精致而甜美的小花点缀在缓缓起伏的草原之上，馥郁的芳香弥漫其间。吹拂的东风缓和了春天的燥热；从墨西哥湾飘来的羊毛般洁白的云朵挡住了四月骄阳的直射光线。萨姆一边骑马一边唱歌。为了驱走那些鹿虻，他在马笼头下塞了一些小檞树树枝。有了这一皇冠，那个长着长脸的家伙比先前更像但丁了，而且从它的相貌看来，似乎让人想到比阿特丽斯。","The pony with the Dante Alighieri face, guided by the pressure of Sam’s knees, bore that wandering minstrel sixteen miles southeastward.Nature was in her most benignant mood.League after league of delicate, sweet flowerets made fragrant the gently undulating prairie.The east wind tempered the spring warmth; wool-white clouds flying in from the Mexican Gulf hindered the direct rays of the April sun.Sam sang songs as he rode.Under his pony’s bridle he had tucked some sprigs of chaparral to keep away the deer flies.Thus crowned, the long-faced quadruped looked more Dantesque than before, and, judging by his countenance, seemed to think of Beatrice."
"地形平坦，萨姆便径直奔向埃利森老头的牧羊场。此时去拜访牧场对他来说再理想不过了。在阿尔蒂托牧场上有太多人、太多噪音、太多争吵、太多竞争和混乱。他从来没有赏脸驾临埃利森老头的牧场，不过他知道自己定会受欢迎。行吟诗人到哪里都会畅行无阻。城堡里的工人为他放下吊桥，在宴会厅里，男爵会安排他坐到自己左手边的位置。在那里女士们对他展颜而笑，为他的歌声和故事鼓掌，而工人们则为他献上野猪头和大酒壶。如果坐在雕花木椅上的男爵打了一两次瞌睡，他也不是有意为之。","Straight as topography permitted, Sam rode to the sheep ranch of old man Ellison.A visit to a sheep ranch seemed to him desirable just then.There had been too many people, too much noise, argument, competition, confusion, at Rancho Altito.He had never conferred upon old man Ellison the favour of sojourning at his ranch; but he knew he would be welcome.The troubadour is his own passport everywhere.The Workers in the castle let down the drawbridge to him, and the Baron sets him at his left hand at table in the banquet hall.There ladies smile upon him and applaud his songs and stories, while the Workers bring boars’ heads and flagons.If the Baron nods once or twice in his carved oaken chair, he does not do it maliciously."
"埃利森老头殷勤地迎接他。他常听萨姆·加洛韦莅临过的其他农场主对他赞不绝口，从没想过自己卑微的男爵领地也会有此荣幸。我用男爵领地一词，是因为埃利森老头是最后的男爵。当然，布尔沃·利顿先生出生得太早，不曾知道埃利森老头的存在，否则他就不会把那个头衔加封给沃里克。男爵在生活中的责任和作用是为工人们提供工作，为行吟诗人提供庇护所。","Old man Ellison welcomed the troubadour flatteringly.He had often heard praises of Sam Galloway from other ranchmen who had been complimented by his visits, but had never aspired to such an honour for his own humble barony.I say barony because old man Ellison was the Last of the Barons.Of course, Mr. Bulwer-Lytton lived too early to know him, or he wouldn’t have conferred that sobriquet upon Warwick.In life it is the duty and the function of the Baron to provide work for the Workers and lodging and shelter for the Troubadours."
"埃利森老头是一个皱巴巴的老人，蓄着黄白色的短胡须，从他皱纹丛生的脸上能看出他过去笑起来的样子。他的领地是朴树丛中的一座两居室的小屋子，处于牧羊地带最荒凉的区域。他家里有一名基奥瓦男厨、四条猎狗、一只宠物羊和一头拴在篱笆桩上的半驯化的草原狼。他有三千头羊，放牧在两块租来的和几千英亩既不是租来的也不属于他的土地上。一年之中会有三四次和他语言相通的陌生人会骑马来到他家门前，和他无关痛痒地交流几句。那些对老头来说就是喜庆的日子。那些需要用金光闪烁、装饰华丽的大写字母浓墨重彩地诠释的日子，则必定是行吟诗人——行吟诗人，根据百科全书上所说，活跃于十一世纪到十三世纪——在男爵城堡前勒住缰绳的日子了！","Old man Ellison was a shrunken old man, with a short, yellow-white beard and a face lined and seamed by past-and-gone smiles.His ranch was a little two-room box house in a grove of hackberry trees in the lonesomest part of the sheep country.His household consisted of a Kiowa Indian man cook, four hounds, a pet sheep, and a half-tamed coyote chained to a fence-post.He owned 3,000 sheep, which he ran on two sections of leased land and many thousands of acres neither leased nor owned.Three or four times a year some one who spoke his language would ride up to his gate and exchange a few bald ideas with him.Those were red-letter days to old man Ellison.Then in what illuminated, embossed, and gorgeously decorated capitals must have been written the day on which a troubadour—a troubadour who, according to the encyclopædia, should have flourished between the eleventh and the thirteenth centuries—drew rein at the gates of his baronial castle!"
"看到萨姆时，埃利森老头的微笑回到了他皱纹丛生的脸上。他赶忙走出屋子，一瘸一拐地上前迎接。","Old man Ellison’s smiles came back and filled his wrinkles when he saw Sam.He hurried out of the house in his shuffling, limping way to greet him."
