"复活日那天","The Day Resurgent"
"作者：欧·亨利","by O. Henry"
"我能看到画家着手要画复活节欢乐图时咬着铅笔的尾端，皱着眉头；因为对于适合复活节欢乐图的人物形象，他只有四种构想。","I can see the artist bite the end of his pencil and frown when it comes to drawing his Easter picture; for his legitimate pictorial conceptions of figures pertinent to the festival are but four in number."
"首先是异教的伊丝特尔——春之女神。在这里，画家的想象力可以得到自由发挥。一位面容美丽、头发飘逸、脚趾健全的少女就能符合要求。著名的模特克拉丽斯·圣瓦瓦苏小姐将在“春卷图”或特里彼所称的不管叫什么的图画里扮成伊斯特尔。","First comes Easter, pagan goddess of spring.Here his fancy may have free play.A beautiful maiden with decorative hair and the proper number of toes will fill the bill.Miss Clarice St. Vavasour, the well-known model, will pose for it in the “Lethergogallagher,” or whatever it was that Trilby called it."
"第二个人——眼睛向上看的、四周有百合花作陪衬的、表情忧郁的淑女。这虽然有点儿杂志封面女郎的味道，但是可靠。","Second—the melancholy lady with upturned eyes in a framework of lilies.This is magazine-covery, but reliable."
"第三个人——参加第五大道复活节游行的曼哈顿小姐。","Third—Miss Manhattan in the Fifth Avenue Easter Sunday parade."
"第四个人——玛吉·墨菲，她头戴一顶旧草帽，草帽上插着一根赞新的红色羽毛，高兴而忸怩不自然地站在格兰街岔路口。","Fourth—Maggie Murphy with a new red feather in her old straw hat, happy and self-conscious, in the Grand Street turnout."
"当然，复活兔不值一提。彩蛋同样不值一提，因为高等考证已经把这些彩蛋都煮得太老了。","Of course, the rabbits do not count.Nor the Easter eggs, since the higher criticism has hard-boiled them."
"复活节绘画有限的题材范围证明，在所有节日当中，我们认为复活节是最模糊、转变最大的一个节日。尽管它是由异教徒创立的，但它却属于所有的宗教。追溯到第一个春季，我们会看到夏娃骄傲地从无花果树上摘下一片新生绿叶来遮掩自己的下体。","The limited field of its pictorial possibilities proves that Easter, of all our festival days, is the most vague and shifting in our conception.It belongs to all religions, although the pagans invented it.Going back still further to the first spring, we can see Eve choosing with pride a new green leaf from the tree ficus carica."
"现在，这段具有批评性的、有见地的开场白的目标在于阐明一个定理：复活节既不是一个日期、一个季节、一个喜庆日、一个节假日，也不是一个场合。跟随丹尼·麦克里的脚步，你将会发现复活节到底是什么。","Now, the object of this critical and learned preamble is to set forth the theorem that Easter is neither a date, a season, a festival, a holiday nor an occasion.What it is you shall find out if you follow in the footsteps of Danny McCree."
"复活节一大早就如期而至，它在日历上的位置就在周六与周一之间。五点二十四分时，太阳升起了；十点三十分时，丹尼以太阳为榜样也起床了。他走进厨房，到水池边洗脸。他的妈妈正在煎熏肉。当看到儿子把弄圆形肥皂时那种认真、平和、机敏的神态时，她想起了孩子的父亲。就在二十二年前，她第一次见他打棒球，那是在哈莱姆的一块空地上，也就是如今帕洛马公寓坐落的地方，他站在二垒和三垒之间，接一个棘手的滚地球。此时在公寓前屋，丹尼的父亲坐在一扇打开的窗户旁边吸烟斗，他原本就蓬乱的灰白色头发被微风吹得更加凌乱。尽管两年前一次巨型炸药的提前爆炸炸瞎了他的眼睛，但他还是好抽烟斗。很少有盲人喜欢抽烟，因为他们自己看不到抽烟时的袅袅烟雾。你若看不到标题的颜色，那你还能喜欢别人给你读晚报新闻听么？","Easter Sunday dawned as it should, bright and early, in its place on the calendar between Saturday and Monday.At 5.24 the sun rose, and at 10.30 Danny followed its example.He went into the kitchen and washed his face at the sink.His mother was frying bacon.She looked at his hard, smooth, knowing countenance as he juggled with the round cake of soap, and thought of his father when she first saw him stopping a hot grounder between second and third twenty-two years before on a vacant lot in Harlem, where the La Paloma apartment house now stands.In the front room of the flat Danny’s father sat by an open window smoking his pipe, with his loriaes gray hair tossed about by the breeze.He still clung to his pipe, although his sight had been taken from him two years before by a precocious blast of giant powder that went off without permission.Very few blind men care for smoking, for the reason that they cannot see the smoke.Now, could you enjoy having the news read to you from an evening newspaper unless you could see the colors of the headlines?"
"“今天是复活节。”麦克里太太说。","“’Tis Easter Day,” said Mrs. McCree."
"“我想吃煎蛋，不吃煮的。”丹尼说。","“Scramble mine,” said Danny."
"早饭后，他穿上了盛装，那是安息日早上运河街进口商店的货车车夫去教堂做礼拜才穿的衣服：一件礼服大衣、一条条纹裤子、一双黑漆皮鞋和悬挂在胸前的镀金表链、硬翻领衬衫、卷边圆形常礼帽和从舍恩斯坦销售店（在第十四街和托尼水果摊之间）周六晚上搞促销时买来的蝴蝶领结。","After breakfast he dressed himself in the Sabbath morning costume of the Canal Street importing house dray chauffeur—frock coat, striped trousers, patent leathers, gilded trace chain across front of vest, and wing collar, rolled-brim derby and butterfly bow from Schonstein’s (between Fourteenth Street and Tony’s fruit stand) Saturday night sale."
"“你今天要出去，那是当然的了，丹尼，”老麦克里略带伤感地说，“他们说这算是一种节日。呵，这春天的天气就是好。我从空气中就能感觉到。”","“You’ll be goin’ out this day, of course, Danny,” said old man McCree, a little wistfully.“’Tis a kind of holiday, they say.Well, it’s fine spring weather.I can feel it in the air.”"
"“我为什么不该出去呢？”丹尼以胸音暴躁地问道，“我就应该呆在家里是吗？难道我还没有一匹马的待遇好吗？我们拉车队的马每周还休息一天呢。我想知道是谁挣钱交房租还让你刚才有早饭吃的？说啊，说来听听！”","“Why should I not be going out?” demanded Danny in his grumpiest chest tones.“Should I stay in?Am I as good as a horse?One day of rest my team has a week.Who earns the money for the rent and the breakfast you’ve just eat, I’d like to know?Answer me that!”"
"“好吧，孩子，”老人说，“我不是在抱怨。我的眼睛没出事的时候，我觉得什么也比不上周日出去玩。风中夹杂着草地和烧树枝的气味。我有烟可以抽。孩子，你好好玩，好好放松放松吧。有时我真希望你妈会读书，这样我就能听到那个关于希伯伯托马斯的故事剩下的部分了——不过算了，不提了。”","“All right, lad,” said the old man.“I’m not complainin’.While me two eyes was good there was loria’ better to my mind than a Sunday out.There’s a smell of turf and burnin’ brush comin’ in the windy.I have me tobaccy.A good fine day and rist to ye, lad.Times I wish your mother had larned to read, so I might hear the rest about the hippopotamus—but let that be.”"
"“他现在说的关于河马的蠢话是怎么回事？”丹尼穿过厨房时问他的妈妈，“你带他去动物园了？去那儿做什么？”","“Now, what is this foolishness he talks of hippopotamuses?” asked Danny of his mother, as he passed through the kitchen.“Have you been taking him to the Zoo?And for what?”"
"“我没有带他去，”麦克里太太说，“他整日在窗口享受微风。这种娱乐消遣是穷人家的盲人所仅有的。我想盲人有时会沉浸在他们的想象之中。有一天他谈起了油脂，大概说了有一个小时，都没停过。我还以为是煎锅里的油烧得着火了。结果不是。他说我不懂。丹尼，对于一个盲人来说，所有的星期日和节日都很无聊。他眼睛好好的时候，身强体壮，谁都没法和他比。今天天气不错，儿子。好好享受这个上午吧。我们晚上六点吃冷餐。”","“I have not,” said Mrs. McCree.“He sets by the windy all day.’Tis little recreation a blind man among the poor gets at all.I’m loriae’ they wander in their minds at times.One day he talks of grease without loriae’ for the most of an hour.It looks to see if there’s lard burnin’ in the fryin’ pan.There is not.He says I do not understand.’Tis weary days, Sundays, and holidays and all, for a blind man, Danny.There was no better nor stronger than him when he had his two eyes.’Tis a fine day, son.Injoy yeself ag’inst the morning.There will be cold supper at six.”"
"“你曾听到有人谈起过河马吗？”丹尼下楼出门时，问看门人迈克。","“Have you heard any talk of a hippopotamus?” asked Danny of Mike, the janitor, as he went out the door downstairs."
"“我从没听说过，”迈克边说边把衬衣袖子卷起老高，“不过这两天，他们向我申诉的各种关于动物、大自然和非法恶行的清单中就唯独没有你说的这项。你去找房东。要不然，如果你喜欢的话，可以搬走。你们家租的房子里有河马吗？没有，说它干嘛！”","“I have not,” said Mike, pulling his shirtsleeves higher.“But ’tis the only subject in the animal, natural and illegal lists of outrages that I’ve not been complained to about these two days.See the landlord.Or else move out if ye like.Have ye hippopotamuses in the lease?No, then?”"
"“是那个老头说的，”丹尼说，“可能没什么意思。”","“It was the old man who spoke of it,” said Danny.“Likely there’s nothing in it.”"
"丹尼走向大街，然后向北走到这一区的中心地带，在那里，伊斯特尔——时髦的伊斯特尔穿着崭新的、耀眼的服饰——率领着复活节的游行队伍。高耸的褐色教堂里传来合唱队轻快的圣歌。宽阔的人行道就像移动着的、充满活力的鲜花——当你看到那些楚楚动人、如花似玉的姑娘们时也会有这种感觉。","Danny walked up the street to the Avenue and then struck northward into the heart of the district where Easter—modern Easter, in new, bright raiment—leads the pascal march.Out of towering brown churches came the blithe music of anthems from the choirs.The broad sidewalks were moving parterres of living flowers—so it seemed when your eye looked upon the Easter girl."
"绅士们穿着礼服大衣，头戴丝绸礼帽，胸带栀子花，保持着这项传统的背景。孩子们手里拿着百合花。有钱人家富丽堂皇的大宅第的窗户上摆满了百合仙子的妹妹弗洛拉最华丽的创作。","Gentlemen, frock-coated, silk-hatted, gardeniaed, sustained the background of the tradition.Children carried lilies in their hands.The windows of the brownstone mansions were packed with the most opulent creations of Flora, the sister of the Lady of the Lilies."
"那个在街头拐角处走来走去、戴着白色手套、脸色红润、衣服前面的纽扣排列整齐的巡警是科里根。丹尼认识他。","Around a corner, white-gloved, pink-gilled and tightly buttoned, walked Corrigan, the cop, shield to the curb.Danny knew him."
"“嘿，科里根，”他问，“为什么过复活节呢？我知道复活节是三月十七号后的第一个满月后的星期日——但为什么呢？它是一个特有的、宗教的仪式，还是政府出于政治考虑规定的节日呢？”","“Why, Corrigan,” he asked, “is Easter?I know it comes the first time you’re full after the moon rises on the seventeenth of March—but why?Is it a proper and religious ceremony, or does the Governor appoint it out of politics?”"
"“这是一年一度的庆祝活动，”科里根带着第三任副警察局局长评判的口吻说道，“尤其对纽约来说。“它后来发展到了哈莱姆黑人住宅区。有时他们会派后备队到第一百二十五街。不过我并不觉得这是出于政治的考虑。”","“’Tis an annual celebration,” said Corrigan, with the judicial air of the Third Deputy Police Commissioner, “peculiar to New York.It extends up to Harlem.Sometimes they has the reserves out at One Hundred and Twenty-fifth Street.In my opinion ’tis not political.”"
"“谢谢，”丹尼说，“还有就是——你有没有听人抱怨过河马？我的意思是，尤其在他没有喝醉的情况下。”","“Thanks,” said Danny.“And say—did you ever hear a man complain of hippopotamuses?When not specially in drink, I mean.”"
"“那东西比海龟大，”科里根沉思着说道，“而且它的体内还含有甲醇。”","“Nothing larger than sea turtles,” said Corrigan, reflecting, “and there was wood alcohol in that.”"
"丹尼迷惘了。在享受礼拜日的同时又要过好复活节成了他这一天的双重重任。","Danny wandered.The double, heavy incumbency of enjoying simultaneously a Sunday and a festival day was his."
