"The Shocks of Doom","命运的震荡"
"by O. Henry","作者：欧·亨利"
"There is an aristocracy of the public parks and even of the vagabonds who use them for their private apartments.","在公园里有贵族，而且甚至那些把公园当作私人公寓的流浪汉中间也有贵族。"
"Vallance felt rather than knew this, but when he stepped down out of his world into chaos his feet brought him directly to Madison Square.","与其说瓦兰斯了解这些，不如说他感觉如此。但是当他从他的世界出来，踏入混乱中时，他鬼使神差地直接走到了麦迪逊广场。"
"Raw and astringent as a schoolgirl—of the old order—young May breathed austerely among the budding trees.","在新芽吐绿的树木间，年轻的五月就像旧时的女学生一样青涩而拘谨地呼吸着。"
"Vallance buttoned his coat, lighted his last cigarette and took his seat upon a bench.","瓦兰斯系好外套上的纽扣，点燃最后一支香烟，在一条长凳上坐了下来。"
"For three minutes he mildly regretted the last hundred of his last thousand that it had cost him when the bicycle cop put an end to his last automobile ride.","他为失去了最后一千元钱里的最后一百元后悔了有三分钟，那是他刚刚开车兜风时，被一个骑自行车的警察罚掉的。"
"Then he felt in every pocket and found not a single penny.","然后他摸遍了所有的口袋，一分钱也没找到。"
"He had given up his apartment that morning.","那天早上，他退掉了公寓。"
"His furniture had gone toward certain debts.","他的家具也拿去抵债了。"
"His clothes, save what were upon him, had descended to his man-servant for back wages.","他的衣服，除了穿在身上的，都留给男佣抵了拖欠的工资。"
"As he sat there was not in the whole city for him a bed or a broiled lobster or a street-car fare or a carnation for buttonhole unless he should obtain them by sponging on his friends or by false pretenses.","此刻，他坐在那里，偌大的城市没有供他睡觉的床，没有充饥的烤龙虾，没有坐车的钱，也没有插在扣眼里的康乃馨，除非他靠朋友接济或者编个借口骗点儿钱。"
"Therefore he had chosen the park.","因此，他选择了这个公园。"
"And all this was because an uncle had disinherited him, and cut down his allowance from liberality to nothing.","这一切都是由于他叔叔剥夺了他的继承权，并把原来宽裕的零用钱削减到了零。"
