"Felicia and the Pot Of Pinks","费利西娅与一盆石竹花"
"by Andrew Lang","作者：安德鲁·朗格"
"Once upon a time there was a poor laborer who, feeling that he had not much longer to live, wished to divide his possessions between his son and daughter, whom he loved dearly.","很久很久以前，有一位贫穷的劳工，因为感觉到自己活不了多久了，便想把自己的财产分给他深爱的儿子和女儿。"
"So he called them to him, and said: “Your mother brought me as her dowry two stools and a straw bed; I have, besides, a hen, a pot of pinks, and a silver ring, which were given me by a noble lady who once lodged in my poor cottage.","于是他把他们叫到跟前来，说：“你们的母亲带来了两张凳子、一张稻草床作为嫁妆；另外，我还有一只母鸡，一盆石竹花和一枚银戒指，这些都是一位曾经在我破旧的小屋里寄宿过的高贵女士送给我的。"
"When she went away she said to me:","当她离开的时候，她对我说："
"“‘Be careful of my gifts, good man; see that you do not lose the ring or forget to water the pinks.","“‘善良的先生，小心保管我的礼物；一定别弄丢了戒指，或忘了给石竹花浇水。"
"As for your daughter, I promise you that she shall be more beautiful than anyone you ever saw in your life; call her Felicia, and when she grows up give her the ring and the pot of pinks to console her for her poverty.’","至于您的女儿，我向您保证，她会比您一生中见过的所有人都要美丽；叫她费利西娅吧，等她长大了，就把这枚戒指和这盆石竹花交给她，来抚慰她的贫困。’"
"Take them both, then, my dear child,” he added, “and your brother shall have everything else.”","我亲爱的孩子，那你就把这两样东西带走吧，”他又说道，“其他的东西都归你哥哥所有了。”"
"The two children seemed quite contented, and when their father died they wept for him, and divided his possessions as he had told them.","两个孩子看上去都非常满意。父亲去世时，他们为他哭泣，并按照他的遗言分了遗产。"
"Felicia believed that her brother loved her, but when she sat down upon one of the stools he said angrily:","费利西娅相信哥哥是爱她的，但是当她坐在其中一张凳子上时，他生气地说："
"“Keep your pot of pinks and your ring, but let my things alone.","“看好你的石竹花和戒指，别碰我的东西。"
"I like order in my house.”","我喜欢我屋里的东西整整齐齐的。”"
"Felicia, who was very gentle, said nothing, but stood up crying quietly; while Bruno, for that was her brother’s name, sat comfortably by the fire.","性情温和的费利西娅没有说什么，只是站起来轻声哭泣；而她的哥哥布鲁诺则舒服地坐在火炉旁。"
"Presently, when supper-time came, Bruno had a delicious egg, and he threw the shell to Felicia, saying:","不久，晚饭时间到了，布鲁诺吃了一只美味的鸡蛋，他还把蛋壳丢给费利西娅，说道："
