"A Mother of Monsters","怪物之母"
"by Guy de Maupassant","作者：莫泊桑"
"I recalled this horrible story, the events of which occurred long ago, and this horrible woman, the other day at a fashionable seaside resort, where I saw on the beach a well-known young, elegant and charming Parisienne, adored and respected by everyone.","前几天，我在一个富人们常去的海滨胜地的沙滩上，看到了一位年轻漂亮、举止优雅、颇有名气的巴黎妇人，所有人都崇拜敬仰她，这不禁让我想到了很久以前发生的一个恐怖的故事和那个恐怖的女人。"
"I had been invited by a friend to pay him a visit in a little provincial town.","我曾经应邀到外省的一个小镇上的朋友家去住过几天。"
"He took me about in all directions to do the honors of the place, showed me noted scenes, chateaux, industries, ruins.","为尽地主之谊，他带我到处逛了逛，我们看了些负有盛名的风景、古堡、工厂和废墟。"
"He pointed out monuments, churches, old carved doorways, enormous or distorted trees, the oak of St. Andrew, and the yew tree of Roqueboise.","他指给我看了一些纪念碑、教堂、古老的雕花大门、高大雄伟或者奇形怪状的树，如圣安德鲁的橡树和罗克布瓦斯的紫杉。"
"When I had exhausted my admiration and enthusiasm over all the sights, my friend said with a distressed expression on his face, that there was nothing left to look at.","当我对所有的名胜古迹用尽了自己的赞美和热情之后，我的朋友一脸沮丧地告诉我说，剩下就没什么可看的了。"
"I breathed freely.","我倒长长地舒了口气。"
"I would now be able to rest under the shade of the trees.","我总算可以在树阴下歇息会儿了。"
"But, all at once, he uttered an exclamation:","但是，他突然叫了一声："
"“Oh, yes!","“啊，对了！"
"We have the ‘Mother of Monsters’; I must take you to see her.”","我们这儿有一位‘怪物之母’，我必须带你去看看。”"
"“Who is that, the ‘Mother of Monsters’?” I asked.","“‘怪物之母’是谁？”我问道。"
"“She is an abominable woman,” he replied, “a regular demon, a being who voluntarily brings into the world deformed, hideous, frightful children, monstrosities, in fact, and then sells them to showmen who exhibit such things.","“她是一个令人恶心的女人，”他回答道，“是一个彻彻底底的魔鬼，她每年都故意生一些畸形、难看、吓人的孩子，简直就是一些妖怪，然后拿来卖给那些走江湖玩杂耍的人。"
"“These exploiters of freaks come from time to time to find out if she has any fresh monstrosity, and if it meets with their approval they carry it away with them, paying the mother a compensation.","“那些到处收罗怪物的人时不时地到她家去看看她有没有制造出新的怪物来，如果有看中的，就付给她一笔报酬，然后把那怪物带走。"
"“She has eleven of this description.","“她现在有了十一个这样的怪物。"
"She is rich.","她可发财了。"
"“You think I am joking, romancing, exaggerating.","“你觉得我是在说笑，在编故事，在夸大其辞。"
"No, my friend; I am telling you the truth, the exact truth.","不，朋友；我说的是实话，千真万确。"
"“Let us go and see this woman.","“我们先去看看这个女人。"
"Then I will tell you her history.”","然后我再告诉你她的故事。”"
"He took me into one of the suburbs.","他把我领到了郊外。"
"The woman lived in a pretty little house by the side of the road.","那女人住在路旁的一所漂亮的小房子里。"
"It was attractive and well kept.","房子很漂亮，打理得也很好。"
"The garden was filled with fragrant flowers.","花园里开满了鲜花，香气扑鼻。"
"One might have supposed it to be the residence of a retired lawyer.","谁见了都会以为是一个退休律师的住宅。"
"A maid ushered us into a sort of little country parlor, and the wretch appeared.","一个女仆把我们领到了一间带有乡村风格的小客厅，然后那个卑鄙的人就出来了。"
"She was about forty.","她约摸四十来岁。"
"She was a tall, big woman with hard features, but well formed, vigorous and healthy, the true type of a robust peasant woman, half animal, and half woman.","她是那种健壮的乡下女人的典型：大高个，但体格很好，健康、壮硕，一半像人，一半像牲口。"
"She was aware of her reputation and received everyone with a humility that smacked of hatred.","她知道自己的名声不好，所以接待客人的时候总是带着一种压抑着愤怒的卑躬屈膝的态度。"
"“What do the gentlemen wish?” she asked.","她问我们：“两位有什么事？”"
"“They tell me that your last child is just like an ordinary child, that he does not resemble his brothers at all,” replied my friend.","“听说你最小的一个孩子长得跟正常人一样，一点儿不像他那几个哥哥。”我朋友答道，"
"“I wanted to be sure of that.","“我想来确认一下。"
"Is it true?”","是真的吗？”"
"She cast on us a malicious and furious look as she said:","她用恶毒而愤怒的眼光瞧了我们一下，说道："
"“Oh, no, oh, no, my poor sir!","“哦，不，哦，不，我可怜的先生！"
"He is perhaps even uglier than the rest.","他比那几个或许更难看呢。"
"I have no luck, no luck!","我运气太坏了，太坏了！"
"“They are all like that, it is heartbreaking!","“他们全都是那样的，这真叫人伤心！"
"How can the good God be so hard on a poor woman who is all alone in the world, how can He?” She spoke hurriedly, her eyes cast down, with a deprecating air as of a wild beast who is afraid.","大慈大悲的上帝怎么能对一个在这个世界上孤苦伶仃地生活的女人如此狠心呢？他怎么能这样？”她说得很快，低着头，她假心假意的控诉显得她就像一头受惊的野兽。"
