"The Turtle and His Bride","海龟和他的新娘"
"by Andrew Lang","作者：安德鲁•朗格"
"There was once a turtle who lived among a great many people of different kinds, in a large camp near a big river which was born right up amongst the snows, and flowed straight away south till it reached a sea where the water was always hot.","从前有一只海龟，他和许多不同种类的动物生活在一处很大的营地里，营地不远处是一条由雪水形成的大河，河水一直向南流淌，直至汇入温热的海洋。"
"There were many other turtles in the camp, and this turtle was kind and pleasant to them all, but he did not care for any of them very much, and felt rather lonely.","这片营地里还有许多其他的海龟，这只海龟对他们善良友好，但他并没有特别喜欢他们中的任何一只，他感到十分孤独。"
"At last he built himself a hut, and filled it with skins for seats, and made it as comfortable as any hut for miles round; and when it was quite finished he looked about among the young women to see which of them he should ask to be his wife.","最后他为自己修建了一座小屋，里面堆满了毛皮当座椅，使它和周围几里以外的所有小屋一样舒适。当小屋快要建好时，他便在所有年轻的女子中寻找适合的人选来成为他妻子。"
"It took him some time to make up his mind, for no turtle likes being hurried, but at length he found one girl who seemed prettier and more industrious than the rest, and one day he entered her home, and said: ‘Will you marry me?’","因为海龟做事总是慢吞吞的，所以他做决定的时候花了一些时间。但是最终他找到了一个姑娘，那姑娘看起来比其他姑娘更加美丽，更加勤劳。有一天，他来到了这个姑娘家里，说：“你愿意嫁给我吗？”"
"The young woman was so surprised at this question that she dropped the beaded slipper she was making, and stared at the turtle.","这位年轻的姑娘对他的问题感到十分惊讶，以至于把手里正在做的珠串拖鞋掉到了地上，她盯着这只海龟。"
"She felt inclined to laugh—the idea was so absurd; but she was kind-hearted and polite, so she looked as grave as she could, and answered:","她忍不住想发笑——因为这个想法太荒谬了。但是她心地善良又有礼貌，因此她尽可能地让自己保持严肃，她问道："
"‘But how are you going to provide for a family?","“但是你怎么来养家糊口呢？"
"Why, when the camp moves, you will not even be able to keep up with the rest!’","哎呀，当营地在向前移动时，你甚至都不能赶上大部队！”"
"‘I can keep up with the best of them,’ replied the turtle, tossing his head.","“我能跟上他们当中最优秀的。”海龟回答道，突然抬起了头。"
