"The Missing Chord","丢失的琴弦"
"by O. Henry","作者：欧·亨利"
"I stopped overnight at the sheep-ranch of Rush Kinney, on the Sandy Fork of the Nueces.","我在拉什·金尼家位于纽埃西斯河桑迪支流的牧羊场留宿了一整夜。"
"Mr. Kinney and I had been strangers up to the time when I called “Hallo!” at his hitching-rack; but from that moment until my departure on the next morning we were, according to the Texas code, undeniable friends.","在我在拴马架旁边向他打招呼之前，我和金尼先生并不认识，但从打招呼那一刻起，一直到第二天早晨我离开前的这段时间内，按照得克萨斯州的礼数，我们绝对已经成了朋友了。"
"After supper the ranchman and I lugged our chairs outside the two-room house, to its floorless gallery roofed with chaparral and sacuista grass.","吃过晚饭，这位牧场主和我拉着我们的椅子走出这套两居室的房子，来到屋外那道没铺地板，却盖着阔叶灌木和茅草的走廊上。"
"With the rear legs of our chairs sinking deep into the hardpacked loam, each of us reposed against an elm pillar of the structure and smoked El Toro tobacco, while we wrangled amicably concerning the affairs of the rest of the world.","椅子的后腿深深陷入结实的沃土中，我俩一人倚着一根榆木支柱，边抽着埃尔托罗香烟，边友善地争论着世界各地的种种事件。"
"As for conveying adequate conception of the engaging charm of that prairie evening, despair waits upon it.","要是你期待有人能充分地描绘出这草原之夜的迷人魅力，肯定是要失望的。"
"It is a bold chronicler who will undertake the description of a Texas night in the early spring.","要是有谁着手描写一个早春的得克萨斯之夜，那这人真是一个大胆的记录者。"
"An inventory must suffice.","我们也只能给出个详细目录。"
"The ranch rested upon the summit of a lenient slope.","牧场坐落于一片宽阔的斜坡顶上。"
"The ambient prairie, diversified by arroyos and murky patches of brush and pear, lay around us like a darkened bowl at the bottom of which we reposed as dregs.","周围的草原上点缀着条条小河和片片阴森森的灌木丛与梨树林，草原就像一口颜色暗淡的大碗，将我们环绕，而我们则像那沉在碗底的饭渣一样。"
"Like a turquoise cover the sky pinned us there.","天空宛如一个绿松石做的碗，把我们罩在里面。"
"The miraculous air, heady with ozone and made memorably sweet by leagues of wild flowerets, gave tang and savour to the breath.","那美妙的空气清新得令人陶醉，又因混合了簇簇野花的芬芳而香甜得令人难忘，给呼吸带来些特别的气息和滋味。"
"In the sky was a great, round, mellow searchlight which we knew to be no moon, but the dark lantern of summer, who came to hunt northward the cowering spring.","一盏浑圆的、光线柔和的巨型探照灯挂在天空中。我们不觉得那是月亮，而是夏季手中那盏昏暗的灯笼，它一路向北，去追赶那畏缩不前的春天。"
"In the nearest corral a flock of sheep lay silent until a groundless panic would send a squad of them huddling together with a drumming rush.","在离我们最近的畜栏里，一群绵羊正静静地躺着休息。突然，一阵莫名其妙的恐慌使其中一小队绵羊在如鼓点般的匆忙中乱挤成一团。"
"For other sounds a shrill family of coyotes yapped beyond the shearing-pen, and whippoorwills twittered in the long grass.","还有其他声音：一群叫声刺耳的小狼在剪毛围栏外狂吠，而北美夜鹰则在长草丛中啁啾。"
"But even these dissonances hardly rippled the clear torrent of the mocking-birds’ notes that fell from a dozen neighbouring shrubs and trees.","可是，即便是这些不和谐的杂音，也难以搅乱从附近灌木丛和树林里传来的，知更鸟那如清澈激流般的鸣唱。"
"It would not have been preposterous for one to tiptoe and essay to touch the stars, they hung so bright and imminent.","要是有谁踮起脚尖，试着去触碰天上的星星，也并非什么荒唐可笑之事，因为星星是如此明亮，又离得那样近。"
"Mr. Kinney’s wife, a young and capable woman, we had left in the house.","金尼先生的妻子是一个年轻而能干的女人，她留在了屋里。"
"She remained to busy herself with the domestic round of duties, in which I had observed that she seemed to take a buoyant and contented pride.","她一直在为家务琐事忙碌着，而且据我观察，她似乎忙得不亦乐乎，还颇为满足和自豪。"
"In one room we had supped.","我们在一个房间里吃了晚饭。"
"Presently, from the other, as Kinney and I sat without, there burst a volume of sudden and brilliant music.","不久，当我和金尼已经坐在外面时，突然从另一个房间传来一阵美妙的乐曲声。"
"If I could justly estimate the art of piano-playing, the construer of that rollicking fantasia had creditably mastered the secrets of the keyboard.","要是我能正确地评价钢琴演奏技艺的话，那么在我看来，那首欢快的幻想曲的演奏者已经充分掌握了琴键的秘诀。"
"A piano, and one so well played, seemed to me to be an unusual thing to find in that small and unpromising ranch-house.","在这间狭小而没什么前途的牧屋里居然有一架钢琴，而且还有人能把它弹得这么出色，这对于我来说真可谓是一件不同寻常之事。"
"I must have looked my surprise at Rush Kinney, for he laughed in his soft, Southern way, and nodded at me through the moonlit haze of our cigarettes.","我肯定一脸惊讶地看着拉什·金尼，因为他以他那南方人的温柔方式笑着，并透过月光映照着的香烟薄雾朝我点点头。"
"“You don’t often hear as agreeable a noise as that on a sheep-ranch,” he remarked; “but I never see any reason for not playing up to the arts and graces just because we happen to live out in the brush.","“你恐怕不会经常在一个牧羊场听到如此令人愉快的声音吧，”他说道，“但仅仅因为我们恰巧住在这偏僻地方，就不去搞点儿艺术和高雅的东西，这可不大合理。"
"It’s a lonesome life for a woman; and if a little music can make it any better, why not have it?","对于一个女人来说，这是一种孤单寂寞的生活，如果一点儿音乐可以让这种生活好过一些的话，为什么不这么做呢？"
"That’s the way I look at it.”","我就是这么想的。”"
"“A wise and generous theory,” I assented.","“真是个智慧而又大度的理论。”我赞同道，"
"“And Mrs. Kinney plays well.","“金尼夫人弹得很好。"
"I am not learned in the science of music, but I should call her an uncommonly good performer.","我并不精于音律，但我觉得她称得上是一位不同寻常的出色的演奏家。"
"She has technic and more than ordinary power.”","她有演奏技巧和过人的能力。”"
"The moon was very bright, you will understand, and I saw upon Kinney’s face a sort of amused and pregnant expression, as though there were things behind it that might be expounded.","你们可以想见，月光分外皎洁，而我在金尼脸上看到一种愉快而又意味深长的表情，似乎在这背后隐藏着可以被详细述说一番的故事。"
"“You came up the trail from the Double-Elm Fork,” he said promisingly.","“你是从双榆树岔口沿路走过来的，”他充满希望地说道，"
"“As you crossed it you must have seen an old deserted jacal to your left under a comma mott.”","“当你经过时，一定看到在你左手边的一片丛林下，有一幢破旧的、荒废着的小茅屋。”"
"“I did,” said I.","“我看到了，”我说，"
"“There was a drove of javalis rooting around it.","“屋子周围还有一群野猪在用鼻子拱土。"
"I could see by the broken corrals that no one lived there.”","我看那畜栏都坏了，家里应该没人住。”"
"“That’s where this music proposition started,” said Kinney.","“那里就是这个音乐故事开始的地方。”金尼说，"
"“I don’t mind telling you about it while we smoke.","“我不介意在我们抽烟的时候给你讲讲这故事。"
"That’s where old Cal Adams lived.","老卡尔·亚当斯曾住在那里。"
"He had about eight hundred graded merinos and a daughter that was solid silk and as handsome as a new stake-rope on a thirty-dollar pony.","他拥有大约八百头分等级的美利诺绵羊和一个出色的女儿，她漂亮得就像安在一匹价值三十美元的小矮马身上的新缰绳一样。"
"And I don’t mind telling you that I was guilty in the second degree of hanging around old Cal’s ranch all the time I could spare away from lambing and shearing.","我也不介意告诉你，在照料小羊羔和剪羊毛之外的所有时间里，我都在老卡尔家的牧场闲逛，对此，我只有一点儿内疚。"
"Miss Marilla was her name; and I had figured it out by the rule of two that she was destined to become the chatelaine and lady superior of Rancho Lomito, belonging to R. Kinney, Esq., where you are now a welcome and honoured guest.","她叫玛丽拉小姐，而且我早已根据成双成对的规则推算出来，她命里注定要成为R.金尼的洛米托牧场——也就是现在先生您成为一位受欢迎的贵客的地方的女主人和第一夫人。"
"“I will say that old Cal wasn’t distinguished as a sheepman.","“我得说，作为一个牧羊人，老卡尔并不出众。"
"He was a little, old stoop-shouldered hombre about as big as a gun scabbard, with scraggy white whiskers, and condemned to the continuous use of language.","他是一位身材矮小、佝偻着肩膀的家伙，大约和枪套一样大，长着几缕参差不齐的白胡须，絮絮叨叨。"
"Old Cal was so obscure in his chosen profession that he wasn’t even hated by the cowmen.","老卡尔在他所选择的行业中实在很不起眼，甚至连牧牛人也不憎恨他。"
"And when a sheepman don’t get eminent enough to acquire the hostility of the cattlemen, he is mighty apt to die unwept and considerably unsung.","当一个牧羊人还不足以杰出到招来牧牛人的敌意时，等到他死的时候就极有可能连哭的人都没有，显然也不会对他大加赞颂。"
"“But that Marilla girl was a benefit to the eye.","“但是那个叫玛丽拉的姑娘却美得惊人。"
"And she was the most elegant kind of a housekeeper.","同时，她也是家庭主妇中最为优雅的那种类型。"
"I was the nearest neighbour, and I used to ride over to the Double-Elm anywhere from nine to sixteen times a week with fresh butter or a quarter of venison or a sample of new sheep-dip just as a frivolous excuse to see Marilla.","我住得离他们最近，曾经在一周内骑马去双榆树岔口九到十六次，去时带上些新鲜的黄油，或是一块鹿肉，或是新的浴羊药液样品，只是以此作为一种无足轻重的理由，去见见玛丽拉。"
"Marilla and me got to be extensively inveigled with each other, and I was pretty sure I was going to get my rope around her neck and lead her over to the Lomito.","玛丽拉和我深深地相互吸引，而且我十分确定我就要用绳子套住她的脖颈，引领她到洛米托牧场去了。"
"Only she was so everlastingly permeated with filial sentiments toward old Cal that I never could get her to talk about serious matters.","只是对老卡尔的孝心一直充满了她的脑子，以至于我从未能与她谈论一些严肃的问题。"
"“You never saw anybody in your life that was as full of knowledge and had less sense than old Cal.","“你恐怕这辈子也碰不到一个像老卡尔那样的人，学识渊博，却缺乏常识。"
"He was advised about all the branches of information contained in learning, and he was up to all the rudiments of doctrines and enlightenment.","他对学问的所有分支都很熟悉，还通晓各种学说和思想的基本理论。"
"You couldn’t advance him any ideas on any of the parts of speech or lines of thought.","关于演说和思路的任何方面的任何想法你都超不过他。"
"You would have thought he was a professor of the weather and politics and chemistry and natural history and the origin of derivations.","你可能会认为他是一位气象学、政治学、化学、自然历史学和词源学方面的教授。"
"Any subject you brought up old Cal could give you an abundant synopsis of it from the Greek root up to the time it was sacked and on the market.","对于你提出的任何话题，老卡尔都能从它的希腊根源开始讲，一直讲到它被包裹起来在市场上出售，给你讲个透。"
"“One day just after the fall shearing I rides over to the Double-Elm with a lady’s magazine about fashions for Marilla and a scientific paper for old Cal.","“一天，刚过了秋季剪羊毛的时节，我就骑马来到双榆树岔口，带了一本女性时尚杂志给玛丽拉，还有一份科学报纸是给老卡尔的。"
"“While I was tying my pony to a mesquite, out runs Marilla, ‘tickled to death’ with some news that couldn’t wait.","“当我正在一棵豆科灌木旁拴马时，玛丽拉跑出来，高兴得要死，迫不及待地要告诉我些消息。"
"“‘Oh, Rush,’ she says, all flushed up with esteem and gratification, ‘what do you think!","“‘哦，拉什，’她高兴得满脸通红，满怀敬意地说道，‘你猜怎么着！"
"Dad’s going to buy me a piano.","爸爸要给我买一架钢琴。"
"Ain’t it grand?","这是不是很棒？"
"I never dreamed I’d ever have one.’","我从没想过自己会有一架钢琴。’"
"“‘It’s sure joyful,’ says I.","“‘这的确令人高兴。’我说，"
"‘I always admired the agreeable uproar of a piano.","‘我一直都很欣赏钢琴那悦耳的韵律。"
"It’ll be lots of company for you.","琴声将时常伴随你左右。"
"That’s mighty good of Uncle Cal to do that.’","卡尔大叔这样做实在是太好了。’"
"“‘I’m all undecided,’ says Marilla, ‘between a piano and an organ.","“‘我还在犹豫不决，’玛丽拉说，‘是要一架钢琴呢，还是要一架风琴。"
"A parlour organ is nice.’","其实一架室内风琴也挺好。’"
"“‘Either of ’em,’ says I, ‘is first-class for mitigating the lack of noise around a sheep-ranch.","“‘无论它们中的哪一种，’我说，‘对于缓解牧羊场周围声音匮乏的情况都是极好的。"
"For my part,’ I says, ‘I shouldn’t like anything better than to ride home of an evening and listen to a few waltzes and jigs, with somebody about your size sitting on the piano-stool and rounding up the notes.’","就我而言，’我接着说道，‘再没有比晚上骑马回到家，听到像你这样的一个人，坐在钢琴凳上将音符聚拢起来，弹奏出一曲曲华尔兹和一支支吉格舞曲更美的事了。’"
"“‘Oh, hush about that,’ says Marilla, ‘and go on in the house.","“‘哦，快别说那个了，’玛丽拉说，‘进屋吧。"
"Dad hasn’t rode out to-day.","爸爸今天没骑马出门。"
"He’s not feeling well.’","他有些不舒服。’"
"“Old Cal was inside, lying on a cot.","“老卡尔在屋里，正躺在一张简易小床上。"
"He had a pretty bad cold and cough.","他患了重感冒，咳嗽得厉害。"
"I stayed to supper.","我留在那里吃了晚饭。"
"“‘Going to get Marilla a piano, I hear,’ says I to him.","“‘听说您要给玛丽拉买架钢琴。’我对他说。"
"“‘Why, yes, something of the kind, Rush,’ says he.","“‘哦，是的，是要买那类的东西，拉什。’他说，"
"‘She’s been hankering for music for a long spell; and I allow to fix her up with something in that line right away.","‘她对音乐渴望已久了，我准备马上为她购置一件那个行当的东西。"
"The sheep sheared six pounds all round this fall; and I’m going to get Marilla an instrument if it takes the price of the whole clip to do it.’","今年秋天，平均从每只羊身上都剪了六磅羊毛，我要为玛丽拉买样乐器，即使那要花掉所有卖羊毛挣来的钱。’"
"“‘Star wayno,’ says I.","“‘好极了，’我说，"
"‘The little girl deserves it.’","‘这小姑娘值得拥有一件。’"
"“‘I’m going to San Antone on the last load of wool,’ says Uncle Cal, ‘and select an instrument for her myself.’","“‘我打算把最后一批羊毛运到圣安东尼去，’卡尔大叔说，‘并亲自为她挑选一件乐器。’"
"“‘Wouldn’t it be better,’ I suggests, ‘to take Marilla along and let her pick out one that she likes?’","“‘带上玛丽拉，’我建议道，‘让她挑一件自己喜欢的会不会更好呢？’"
"“I might have known that would set Uncle Cal going.","“我本该知道，这种建议将会使卡尔大叔喋喋不休。"
"Of course, a man like him, that knew everything about everything, would look at that as a reflection on his attainments.","当然了，像他那样的人，对一切都无所不知无所不晓，肯定会把那句话看作是对他渊博学识的一种挑衅。"
"“‘No, sir, it wouldn’t,’ says he, pulling at his white whiskers.","“‘不，先生，那可不一定。’他捋着白胡子说道，"
