"The Black Bull of Norroway","诺罗威的黑公牛"
"by Andrew Lang","作者：安德鲁·朗格"
"And many a hunting song they sung,","他们唱了很多关于狩猎的歌，"
"And song of game and glee;","还有很多关于赌博和欢乐的歌，"
"Then tuned to plaintive strains their tongue,","然后变成了悲伤的曲调，拉紧了他们的舌头，"
"“Of Scotland’s luve and lee.”","“苏格兰的爱情和守护”。"
"To wilder measures next they turn","接着他们转向了更激烈的旋律。"
"“The Black, Black Bull of Norroway!”","“黑色的，黑色的诺罗威公牛！”"
"Sudden the tapers cease to burn,","突然烛芯熄灭了，"
"The minstrels cease to play.","吟游诗人也停止了弹奏。"
"“The Cout of Keeldar,” by J. Leyden.","《季尔达的外套》，J. 莱登著。"
"In Norroway, langsyne, there lived a certain lady, and she had three dochters.","很久很久以前，在诺罗威住着一位太太，她有三个女儿。"
"The auldest o’ them said to her mither: “Mither, bake me a bannock, and roast me a collop, for I’m gaun awa’ to seek my fortune.”","大女儿跟她母亲说：“妈妈，给我煎一张燕麦饼，烤一块薄肉片，我要离开家去寻找我的幸福。”"
"Her mither did sae; and the dochter gaed awa’ to an auld witch washerwife and telled her purpose.","她母亲照做了，这个女儿离开去找一个做洗衣活的巫婆，跟她说明了来意。"
"The auld wife bade her stay that day, and gang and look out o’ her back door, and see what she could see.","当晚，老妇人嘱咐她留下来，让她从后门往外看，看她能看见什么。"
"She saw nocht the first day.","第一天她什么都没看到。"
"The second day she did the same, and saw nocht.","第二天她照做了，还是什么都没看到。"
"On the third day she looked again, and saw a coach-and-six coming along the road.","第三天她又去看，看见了一辆六匹马拉的马车沿着道路驶来。"
"She ran in and telled the auld wife what she saw.","她跑回屋告诉老妇人她看到的景象。"
"“Aweel,” quo’ the auld wife, “yon’s for you.”","“好吧，”老妇人说，“那是来接你的。”"
"Sae they took her into the coach, and galloped aff.","他们把女孩接到马车上，马车奔驰而去。"
"The second dochter next says to her mither: “Mither, bake me a bannock, and roast me a collop, fur I’m gaun awa’ to seek my fortune.”","第二个女儿也对他的母亲说：“妈妈，给我煎一个燕麦饼，烤一片薄肉片，我要离家去寻找我的幸福。”"
"Her mither did sae; and awa’ she gaed to the auld wife, as her sister had dune.","她母亲照做了，二女儿像她姐姐一样，离家去这找这个老妇人。"
"On the third day she looked out o’ the back door, and saw a coach-and-four coming along the road.","第三天她从后门望去，看见了一辆四匹马拉的马车沿着道路驶来。"
"“Aweel,” quo’ the auld wife, “yon’s for you.”","“好吧，”老妇人说，“那是来接你的。”"
"Sae they took her in, and aff they set.","他们把女孩接上马车，动身离开。"
"The third dochter says to her mither: “Mither, bake me a bannock, and roast me a collop, for I’m gaun awa’ to seek my fortune.”","小女儿对母亲说：“妈妈，给我煎一个燕麦饼，给我烤一块薄肉片，我要离开家寻找我的幸福。”"
"Her mither did sae; and awa’ she gaed to the auld witch-wife.","她母亲照做了，她离开家去找那个老女巫。"
"She bade her look out o’ her back door, and see what she could see.","老女巫叫她从后门向外看，看她能看到什么。"
"She did sae; and when she came back said she saw nocht.","她照做了，回来时说她什么都没看到。"
"The second day she did the same, and saw nocht.","第二天她又去看，还是没看到任何东西。"
"The third day she looked again, and on coming back said to the auld wife she saw nocht but a muckle Black Bull coming roaring alang the road.","第三天她再去看的时候，回来告诉老妇人她只看到了一只巨大的黑公牛沿着道路咆哮着跑来。"
"“Aweel,” quo’ the auld wife, “yon’s for you.”","“好吧，”老妇人说，“那是来接你的。”"
"On hearing this she was next to distracted wi’ grief and terror; but she was lifted up and set on his back, and awa’ they went.","听到这里，小女儿心里满是悲伤和恐惧，但她被举上了牛背，牛把她带走了。"
"Aye they traveled, and on they traveled, till the lady grew faint wi’ hunger.","他们一路走啊，走啊，一直走到女孩饿得头晕目眩。"
"“Eat out o’ my right lug,” says the Black Bull, “and drink out o’ my left lug, and set by your leavings.”","“吃掉我的右耳，”黑牛说，“喝掉我的左耳，吃剩的你留下。”"
"Sae she did as he said, and was wonderfully refreshed.","她照他说的做了，奇迹般地恢复了精神。"
"And lang they gaed, and sair they rade, till they came in sight o’ a very big and bonny castle.","经过漫长而艰辛的旅程，他们眼前出现了一座雄伟美丽的城堡。"
"“Yonder we maun be this night,” quo’ the bull; “for my auld brither lives yonder”; and presently they were at the place.","“我们今天必须在那里过夜，”黑牛说，“我的一个哥哥住在那里。”他们不久就到达了城堡。"
