"How I Edited An Agricultural Paper","我是如何编辑农业报的"
"by Mark Twain","作者：马克·吐温"
"I did not take temporary editorship of an agricultural paper without misgivings.","我接下这份农业报临时编辑的工作并不是毫无顾虑的。"
"Neither would a landsman take command of a ship without misgivings.","就像一个已经习惯在陆地上生活的人是不可能毫无顾忌地去驾驶船只那样。"
"But I was in circumstances that made the salary an object.","但是，当时我的生活实在太过窘迫，以至于我把工资当成我的追求。"
"The regular editor of the paper was going off for a holiday, and I accepted the terms he offered, and took his place.","所以，当他们的正式编辑要外出去度假的时候，我便接受了他提供的所有条件，代替了他。"
"The sensation of being at work again was luxurious, and I wrought all the week with unflagging pleasure.","这种重返工作岗位的感觉十分舒服，我怀着愉悦的心情，扎扎实实、勤勤恳恳地工作了一个星期。"
"We went to press, and I waited a day with some solicitude to see whether my effort was going to attract any notice.","稿件付印了，我怀着焦虑的心情等了一整天，希望自己的努力能够引起大家的注意。"
"As I left the office, toward sundown, a group of men and boys at the foot of the stairs dispersed with one impulse, and gave me passageway, and I heard one or two of them say: “That’s him!”","日落时分，我走出办公室的时候，发现在楼梯底下有一大群大人和孩子，他们主动地向两边散开，让出了一条道。同时，我还听到他们中的一两个人小声嘀咕着：“就是他！”"
"I was naturally pleased by this incident.","这个小意外自然令我很高兴。"
"The next morning I found a similar group at the foot of the stairs, and scattering couples and individuals standing here and there in the street and over the way, watching me with interest.","第二天早上，我又在楼梯底下发现了类似的一群人，还有一些人三三两两站在街对面，饶有兴趣地看着我。"
"The group separated and fell back as I approached, and I heard a man say, “Look at his eye!”","当我走近的时候，那群人又像昨天那样向两边散开。同时，我听到有人说：“看他的眼睛！”"
"I pretended not to observe the notice I was attracting, but secretly I was pleased with it, and was purposing to write an account of it to my aunt.","我假装没有察觉到自己所引起的注意，但是心里还是十分得意。而且，我还准备写一封信给我的姨妈来说说这件事。"
"I went up the short flight of stairs, and heard cheery voices and a ringing laugh as I drew near the door, which I opened, and caught a glimpse of two young rural-looking men, whose faces blanched and lengthened when they saw me, and then they both plunged through the window with a great crash.","我爬上那一小段楼梯，走向自己的办公室，在我开门的时候，还听到人们欢快的交谈声和清脆的笑声。我一开门，就瞥见两个乡下打扮的年轻男人，他们看见我时，脸色苍白、脸拉得很长，紧接着两人便砰的一声从窗口冲了出去。"
"I was surprised.","我感到十分惊讶。"
"In about half an hour an old gentleman, with a flowing beard and a fine but rather austere face, entered, and sat down at my invitation.","大约过了一个半小时，一个留着长须、面色红润但表情异常严肃的老人走了进来，我请他坐了下来。"
"He seemed to have something on his mind.","他看起来仿佛想要说些什么。"
"He took off his hat and set it on the floor, and got out of it a red silk handkerchief and a copy of our paper.","他摘下帽子，放在地板上，然后从帽子里取出一条红色丝绸手帕和一份我们的报纸。"
"He put the paper on his lap, and while he polished his spectacles with his handkerchief he said, “Are you the new editor?”","他把报纸放在膝盖上，一边用手帕擦着眼镜一边说：“你就是那个新来的编辑？”"
"I said I was.","“是的。”我答道。"
"“Have you ever edited an agricultural paper before?”","“你之前有没有编辑过农业报纸？”"
"“No,” I said; “this is my first attempt.”","“没有，”我说，“这是我首次尝试编辑农业报。”"
"“Very likely.","“想必也是。"
"Have you had any experience in agriculture practically?”","那你之前有过一些农业方面的经验吗？”"
"“No; I believe I have not.”","“没有，我想没有。”"
"“Some instinct told me so,” said the old gentleman, putting on his spectacles, and looking over them at me with asperity, while he folded his paper into a convenient shape.","老人戴上他的眼镜，一边将报纸折成便于携带的形状，一边透过镜片用一种刻薄的眼神盯着我说：“我的直觉告诉我事情就是这样。"
"“I wish to read you what must have made me have that instinct.","我希望能给你读一读这段让我产生这种直觉的文字。"
"It was this editorial.","就是这段社评。"
"Listen, and see if it was you that wrote it:","听好了，听听这到底是不是你写的："
"“‘Turnips should never be pulled, it injures them.","‘萝卜不应该用手拔下来，这样做会损害到萝卜。"
"It is much better to send a boy up and let him shake the tree.’","如果我们能让一个小孩爬上萝卜树，把它们摇下来，那样会好很多。’"
"“Now, what do you think of that? for I really suppose you wrote it?”","“好了，你对这段话怎么看？我想这确实是你写的吧？”"
"“Think of it?","“我怎么看？"
"Why, I think it is good.","为什么要这么问？我觉得这写得很好。"
"I think it is sense.","讲得很有道理。"
"I have no doubt that every year millions and millions of bushels of turnips are spoiled in this township alone by being pulled in a half-ripe condition, when, if they had sent a boy up to shake the tree—”","我确信每年在这个镇上，单单是为了拔出那些半熟的萝卜就要糟蹋成千上万蒲式耳的萝卜。所以，如果你能让一个小男孩爬上去把它们摇下来的话——”"
"“Shake your grandmother!","“摇你奶奶个头啊！"
"Turnips don’t grow on trees!”","萝卜根本就不长在树上！”"
"“Oh, they don’t, don’t they?","“什么！不长在树上？难道不是这样的么？"
"Well, who said they did?","好吧，谁说它们是长在树上的。"
"The language was intended to be figurative, wholly figurative.","我那句话只是打个比喻，完全的比喻性质。"
"Anybody that knows anything will know that I meant that the boy should shake the vine.”","稍微有点儿常识的人都知道，我指的是叫小孩子去摇萝卜的藤。”"
"Then this old person got up and tore his paper all into small shreds, and stamped on them, and broke several things with his cane, and said I did not know as much as a cow; and then went—out and banged the door after him, and, in short, acted in such a way that I fancied he was displeased about something.","那个老头猛地站了起来，将那份报纸撕得粉碎，在上面狠狠地跺了几脚。之后，他还举起拐杖打破了一些东西，痛斥我还不如一头奶牛懂得多。然后砰的一声把门甩上，出去了。总之，我认为他这么做只是因为对什么事感到不满。"
"But not knowing what the trouble was, I could not be any help to him.","可是我也不知道他究竟对什么事如此不满，所以我也帮不了他。"
"Pretty soon after this a long, cadaverous creature, with lanky locks hanging down to his shoulders, and a week’s stubble bristling from the hills and valleys of his face, darted within the door, and halted, motionless, with finger on lip, and head and body bent in listening attitude.","没过多久，一个个子很高、形容枯槁、几缕长发垂在肩上、坑坑洼洼的脸上长着浓密的胡子茬儿的家伙冲了进来。他一动也不动，将手指放在嘴唇上，埋头弯腰，仿佛在听些什么。"
"No sound was heard.","可是，他什么声音也没听到。"
"Still he listened.","但是他还在听。"
"No sound.","仍然是没有任何声音。"
"Then he turned the key in the door, and came elaborately tiptoeing toward me till he was within long reaching distance of me, when he stopped and, after scanning my face with intense interest for a while, drew a folded copy of our paper from his bosom, and said:","然后，他锁上门，小心翼翼地踮着脚走向我，却走到离我还有好远的地方就停住了。他饶有兴致地扫视我的脸，从怀中掏出一份折叠起来的我们的报纸，摊开来，说道："
"“There, you wrote that.","“是你！就是你写的这个！"
"Read it to me—quick!","读给我听！快点儿！"
"Relieve me.","让我解脱吧。"
"I suffer.”","我太难受了。”"
"I read as follows; and as the sentences fell from my lips I could see the relief come, I could see the drawn muscles relax, and the anxiety go out of the face, and rest and peace steal over the features like the merciful moonlight over a desolate landscape:","于是，我开始读下面的这段文章。伴随着我读报纸的声音，我可以清楚地看到他紧张的肌肉放松下来了，脸上的焦虑也渐渐消失，取而代之的是安静平和的神情，仿佛是柔和的月光洒在荒芜的大地上："
"The guano is a fine bird, but great care is necessary in rearing it.","海鸟粪是一种很好的鸟，但是饲养它需要特别精心的呵护。"
