"In the Days of the Comet","彗星来临"
"by H. G. Wells","作者：H. G. 威尔斯"
"Book the First   The Comet","第一卷 彗星"
"Chapter the First   Dust in the Shadows","第一章 阴影中的尘埃"
"Chapter the Second   Nettie","第二章 妮蒂"
"Chapter the Third   The Revolver","第三章 左轮手枪"
"Chapter the Fourth   War","第四章 战争"
"Chapter the Fifth   The Persuit of the Two Lovers","第五章 追踪情侣"
"Book the Second   The Green Vapors","第二卷 绿霭"
"Chapter the First   The Change","第一章 巨变"
"Chapter the Second   The Awakening","第二章 觉醒"
"Chapter the Third   The Cabinet Council","第三章 内阁会议"
"Book the Third   The New World","第三卷 新世界"
"Chapter the First   Love After the Change","第一章 巨变后的爱情"
"Chapter the Second   My Mother’s Last Days","第二章 母亲弥留之际"
"Chapter the Third   Beltane and New Year’s Eve","第三章 五月燃烧节和除夕"
"The Epilogue   The Window of the Tower","后记 塔楼之窗"

"Book the First","第一卷"
"The Comet","彗星"
"Chapter the First","第一章"
"Dust in the Shadows","阴影中的尘埃"
"Section 1","第一节"
"I HAVE set myself to write the story of the Great Change, so far as it has affected my own life and the lives of one or two people closely connected with me, primarily to please myself.","目前，《巨变》这篇作品对我的生活及我身边一两位关系密切的人的生活都产生了影响。我之所以创作这个故事，主要还是自娱自乐。"
"Long ago in my crude unhappy youth, I conceived the desire of writing a book.","早在艰苦悲惨的青年时代，我就产生了创作一本书的愿望。"
"To scribble secretly and dream of authorship was one of my chief alleviations, and I read with a sympathetic envy every scrap I could get about the world of literature and the lives of literary people.","私底下写草稿、梦想成为作家曾是我的主要慰藉之一。无论是文学作品还是文学家的故事，只要是我能找到的，哪怕是只言片语，我都读得很有共鸣，觉得钦慕不已。"
"It is something, even amidst this present happiness, to find leisure and opportunity to take up and partially realize these old and hopeless dreams.","即使在当下这种快乐的生活下，若能找到空闲时间重操旧业，找机会将曾经无望的幻想变成现实，哪怕只能实现一部分，那也是一件有意义的事。"
"But that alone, in a world where so much of vivid and increasing interest presents itself to be done, even by an old man, would not, I think, suffice to set me at this desk.","但我想，仅凭这一个理由，却不足以让我潜心写作，即使我已是一位老者。因为在这个世界上，有这么多生机勃勃、越来越吸引人的事情诱惑着我们。"
"I find some such recapitulation of my past as this will involve, is becoming necessary to my own secure mental continuity.","我发现，像这样在写作中回首、总结自己的过去越来越有必要，以使我的心智保持长期以来的一致性。"
"The passage of years brings a man at last to retrospection; at seventy-two one’s youth is far more important than it was at forty.","时光的流逝最终会让人回首往昔。青春时光对于四十岁的人而言可能不算什么，但等他到了七十二岁时，这段时光就会重要得多了。"
"And I am out of touch with my youth.","而我的青春已经逝去。"
"The old life seems so cut off from the new, so alien and so unreasonable, that at times I find it bordering upon the incredible.","往昔的岁月似乎与新的生活全然没了交点，如此陌生，如此不合情理，有时我甚至觉得过去的生活可谓难以置信。"
"The data have gone, the buildings and places.","数据已荡然无存，老建筑与老地方也消失殆尽。"
