"Why the Sea is Salt","海水为什么是咸的"
"by Andrew Lang","作者：安德鲁·朗格"
"Once upon a time, long, long ago, there were two brothers, the one rich and the other poor.","很久很久以前，有两兄弟，一个富，一个穷。"
"When Christmas Eve came, the poor one had not a bite in the house, either of meat or bread; so he went to his brother, and begged him, in God’s name, to give him something for Christmas Day.","当平安夜快来的时候，穷弟弟家里一丁点儿吃的也没有了，不管是肉还是面包；所以他去找他哥哥，乞求他以上帝的名义施舍他一些东西以度过圣诞节。"
"It was by no means the first time that the brother had been forced to give something to him, and he was not better pleased at being asked now than he generally was.","这绝不是哥哥第一次被强制要求给他弟弟东西，而且他跟以往一样不愿意接受他的乞求。"
"“If you will do what I ask you, you shall have a whole ham,” said he.","“如果你按我要求的做，你会得到一整根火腿。”他说。"
"The poor one immediately thanked him, and promised this.","穷弟弟立刻千恩万谢，发誓一定照做。"
"“Well, here is the ham, and now you must go straight to Dead Man’s Hall,” said the rich brother, throwing the ham to him.","“好吧，给你这根火腿，现在你必须径直走去鬼门关。”富哥哥把火腿扔给他，说道。"
"“Well, I will do what I have promised,” said the other, and he took the ham and set off.","“好的，我会实现我的诺言。”弟弟一边说，一边拿起火腿出发了。"
"He went on and on for the livelong day, and at nightfall he came to a place where there was a bright light.","他不停地走，走了一整天，傍晚时来到了一个有亮光的地方。"
"“I have no doubt this is the place,” thought the man with the ham.","“我一点儿也不怀疑，这儿就是那个地方。”这个带着火腿的人心想。"
"An old man with a long white beard was standing in the outhouse, chopping Yule logs.","一位蓄着长白胡子的老人正站在外屋劈圣诞木柴。"
"“Good-evening,” said the man with the ham.","“晚上好。”带火腿的人说。"
"“Good-evening to you.","“你也晚上好。"
"Where are you going at this late hour?” said the man.","这么晚了你要去哪儿？”老人问道。"
"“I am going to Dead Man’s Hall, if only I am on the right track,” answered the poor man.","“我真希望我走的路是对的，我要去鬼门关。”穷弟弟答道。"
"“Oh! yes, you are right enough, for it is here,” said the old man.","“噢！是的，你一点儿都没走错，因为它就在这儿。”老人说，"
"“When you get inside they will all want to buy your ham, for they don’t get much meat to eat there; but you must not sell it unless you can get the hand-mill which stands behind the door for it.","“当你进去之后，他们全都会想买你的火腿，因为他们在那儿可没多少肉吃；但是除非你能得到放在门后面的手摇磨盘，否则千万别卖掉它。"
"When you come out again I will teach you how to stop the hand-mill, which is useful for almost everything.”","等你再次出来，我会教你怎么让手摇磨盘停下来，这一招几乎对所有东西都有用。”"
"So the man with the ham thanked the other for his good advice, and rapped at the door.","带火腿的男人感谢了老人给他的好建议，轻轻地敲了敲门。"
"When he got in, everything happened just as the old man had said it would: all the people, great and small, came round him like ants on an ant-hill, and each tried to outbid the other for the ham.","他进去之后，所有发生的事情都如老人所说的一样：所有鬼，无论大小，都像蚁丘上的蚂蚁一样围着他，个个都想出比别人高的价钱来买下火腿。"
"“By rights my old woman and I ought to have it for our Christmas dinner, but, since you have set your hearts upon it, I must just give it up to you,” said the man.","“按理我和我老婆应该用它作我们的圣诞大餐，但是，既然你们这么想要它，我必须把它让给你们。”男人说，"
"“But, if I sell it, I will have the hand-mill which is standing there behind the door.”","“但是，如果让我卖了它，我要得到放在门后面的手摇磨盘。”"
"At first they would not hear to this, and haggled and bargained with the man, but he stuck to what he had said, and the people were forced to give him the hand-mill.","起先他们不同意，跟那个人又是争论，又是讨价还价，但是他坚持自己说过的话，那些鬼不得不把手摇磨盘给了他。"
"When the man came out again into the yard, he asked the old wood-cutter how he was to stop the hand-mill, and when he had learned that, he thanked him and set off home with all the speed he could, but did not get there until after the clock had struck twelve on Christmas Eve.","当男人再次出来走进庭院时，他向砍柴老人打听如何才能使手摇磨盘停下来。他学会之后，便谢过老人，以最快的速度往家赶，但当他到家的时候，平安夜的钟早已敲完了十二下。"
"“Where in the world have you been?” said the old woman.","“你究竟去了哪里？”老婆问，"
"“Here I have sat waiting hour after hour, and have not even two sticks to lay across each other under the Christmas porridge-pot.”","“我已经坐在这儿等了好几个小时，平安夜用来熬粥的锅下面，连两根相互交叉的木棍都没有。”"
"“Oh!","“噢！"
