"书名一座新比彻教堂（马克·吐温幽默小品文）短简介在纽约的埃尔迈拉有个比彻牧师，他计划筹建一座独树一帜的“奇特”的教堂，意在把地方教会打造成一个集社会福利、娱乐和教育为一体的社区中心。《一座新比彻教堂》以一个记者的视角详细阐述了新比彻教堂的构建计划。长简介马克·吐温的短篇小说《一座新比彻教堂》更像是一篇发表在报纸上的新闻特稿。全文以一个记者的视角向读者详细介绍了比彻牧师宏伟的新教堂计划。比彻牧师计划在埃尔迈拉教区建一座从构造到风格都很“奇特”的教堂，它将不只是人们周日做礼拜的地方，也会是孩子们学习和玩耍、大人们平日聚会的另一个“家”，更是贫苦患病者的避风港。最神奇的是，这座教堂单凭教会内的匿名募捐就筹到了全部经费！这一切都让人啧啧称奇……关键字一座新比彻教堂；马克·吐温；外研社编译组；短篇；幽默；报纸；杜撰作者（美）马克·吐温作者简介马克•吐温（1835—1910），19世纪后期美国批判现实主义文学的杰出代表，美国著名的幽默大师、小说家、作家，及演说家。马克•吐温出身贫寒，从小历经诸多家庭不幸，幼年起就开始打工生涯，但这些都为他以后的文学创作累积了素材。他幽默、机智，擅长写讽刺小说。作品融幽默与讽刺于一体，既富于独特的个人机智与妙语，又不乏深刻的社会洞察与剖析，被誉为文学史上的林肯。书评“我喜欢马克·吐温——谁会不喜欢他呢？即使是上帝，亦会钟爱他，赋予其智慧，并于其心灵里绘画出一道爱与信仰的彩虹。”——海伦·凯勒      比彻牧师的杰作——马克·吐温笔下的一座突破传统的教堂。"
"A New Beecher Church ","一座新比彻教堂"
"by Mark Twain","作者：马克·吐温 "
"If Rev. Mr. Smith, or Rev. Mr. Jones, or Rev. Mr. Brown, were about to build a new church edifice it would be projected on the same old pattern, and be like pretty much all the other churches in the country, and so I would naturally mention it as a new Presbyterian Church, or a new Methodist, or a new Baptist Church, and never think of calling it by the pastor’s name; but when a Beecher projects a church, that edifice is necessarily going to be something entirely fresh and original.","如果史密斯牧师，或琼斯牧师，抑或布朗牧师要修建一座新教堂，那么他们计划要建的将是旧式的教堂，并且与国内其他教堂没什么差别。因此我会自然而然地称其为一座新的长老会教堂或新的卫理公会教堂抑或新的浸礼会教堂，却绝不会想到以牧师的名字来称呼它。然而如果一位比彻牧师来修建教堂，这座建筑就必定新颖别致、别出心裁。"
"It is not going to be like any other church in the world; marked with as peculiar and striking an individuality as a Beecher himself; it is going to have a deal more Beecher in it than any one narrow creed can fit in it without rattling, or any one arbitrary order or architecture can symmetrically enclose and cover.","这座教堂将不同于世界上其他任何一座教堂；它风格奇特、引人注目，和比彻本人一样个性鲜明；它会融各种不同的宗教和建筑风格，其中比彻风格最为浓厚，与之浑然一体，毫无违和感。"
"Consequently, to call it a Congregational Church would not give half an idea of the thing.","因此，称其为公理会教堂根本体现不出它的意义。"
"There is only one word broad enough and deep enough to take in the whole affair and express it clearly, luminously and concisely—and that is Beecher.","只有一个词足以宽泛深刻地解释其全部意义，并且把它简洁明了地表达出来——这个词就是比彻。"
"The projected edifice I am about to speak of is, therefore, properly named in my caption as a new “Beecher Church.”","因此，在我的标题中，我将这座我要谈到的正在规划中的建筑，确切地称作“新比彻教堂”。"
"The projector is Rev. THOMAS K. BEECHER—brother of the other one, of course—I never knew but one BEECHER that wasn’t, and he was a nephew.","这座教堂的规划人是托马斯·Ｋ. 比彻牧师——自然是一位正人君子——我只见过比彻家出过一位浪子，还是个私生子。"
"The new church is to be built in Elmira, N. Y., where Mr. BEECHER has been preaching to one and the same congregation for the last sixteen years, and is thoroughly esteemed and beloved by his people.","新教堂将建在纽约的埃尔迈拉。在过去的十六年里，比彻先生在这里向一个教区的教徒布道，他深受教众的尊崇与爱戴。"
"I have had opportunity to hear all aboat the new church, for I have lately been visiting in Elmira.","我不久前造访了埃尔迈拉，因此有幸听闻了有关新教堂的一切。"
"Now, when one has that disease which gives its possessor the title of “humorist,” he must make oath to his statements, else the public will not believe him.","如今，若一个人被冠以“幽默家”这样的恶名，他就必须对他说的话起誓，否则人们不会相信他。"
