"书名魔球小子与坏人（巴苏陀民间童话）短简介魔球小子是如何智斗坏人，死里逃生夺得宝物的呢？他本身是个很普通的小男孩，被女巫抓去后，凭借自己的毅力，得到了小精灵的帮助和女巫的魔球。后来，他受女巫的指派，前往坏人的住处寻宝。在经历了很多艰难险阻之后，最终凭借自己的智慧和勇气，打败了坏人，拿回了宝物。长简介这篇故事以生动地笔触，向读者描述了一个普通的小男孩，是如何变成了拥有非凡力量、勇气及智慧的魔球小子的，而后又向我们描述了魔球小子智斗坏人并死里逃生的惊心动魄的夺宝经过。小说一开始便险象环生，讲述了小男孩被女巫诱擒并禁食转变的过程。之后，故事情节环环紧扣，叙述了小男孩按照女巫的要求，凭借着魔球和小精灵的帮助，勇渡大河，施技夺宝，被发现后临危不乱，凭着自己的勇气与智慧和坏人周旋，最终逃离险境，拿到了宝物，并消灭了坏人。这个故事向孩子们讲述了做人要意志坚定，做事要有勇有谋的道理。关键字魔球小子与坏人；外研社编译组；童话故事；魔球；小男孩；女巫；小精灵；坏人；女仆作者（英）安德鲁·朗格作者简介安德鲁•朗格（1884～1912），英国著名文学家、历史学家、诗人、民俗学家。朗格以研究神话和民间传说闻名于世。他于1889年刊行《蓝色童话》以来，到1907年止，又陆续编辑出版了《绿色童话》、《红色童话》、《黄色童话》等十一部《彩色童话集》。书评魔球小子的种种经历，让孩子们明白，做人要意志坚定，做事要有勇有谋。"
"Ball-Carrier and the Bad One","魔球小子和坏人"
"by Andrew Lang","作者：安德鲁•朗格"
"Far, far in the forest there were two little huts, and in each of them lived a man who was a famous hunter, his wife, and three or four children.","在遥远的森林中有两座小屋，每座小屋中都住着一位有名的猎人、他的妻子和三四个孩子。"
"Now the children were forbidden to play more than a short distance from the door, as it was known that, away on the other side of the wood near the great river, there dwelt a witch who had a magic ball that she used as a means of stealing children.","现在，孩子们只能在家门口附近玩耍。因为，听说在森林的另一边靠近大河的地方，住着一个女巫，她有一个专门用来偷小朋友的魔球。"
"Her plan was a very simple one, and had never yet failed.","她的方法很简单，并且从来没有失败过。"
"When she wanted a child she just flung her ball in the direction of the child’s home, and however far off it might be, the ball was sure to reach it.","当她想要偷一个小朋友的时候，她只需要将魔球朝着那个小朋友的家的方向一扔，不管离得有多远，魔球都一定能到那里。"
"Then, as soon as the child saw it, the ball would begin rolling slowly back to the witch, just keeping a little ahead of the child, so that he always thought that he could catch it the next minute.","然后，只要小朋友一看到它，魔球就开始慢慢地朝着女巫的方向往回滚，仅在小朋友前面保持一点点的距离，总让他以为马上就能抓到魔球。"
"But he never did, and, what was more, his parents never saw him again.","但是他从来没有抓到过它，并且他的父母从此再也没见过他。"
"Of course you must not suppose that all the fathers and mothers who had lost children made no attempts to find them, but the forest was so large, and the witch was so cunning in knowing exactly where they were going to search, that it was very easy for her to keep out of the way.","当然，你不要以为所有丢了孩子的爸爸妈妈们从来没有试着找过他们的孩子，但是森林太大了，女巫又太狡猾，她对父母们要去哪里找他们的孩子知道得一清二楚，所以她很轻易地就躲过了他们。"
"Besides, there was always the chance that the children might have been eaten by wolves, of which large herds roamed about in winter.","另外，冬天的时候会有大量狼群在这里出没，所以孩子们很有可能是被这些狼吃了。"
"One day the old witch happened to want a little boy, so she threw her ball in the direction of the hunters’ huts.","有一天，老女巫碰巧想要一个小男孩，于是她把魔球朝着猎人小屋的方向扔了出去。"
"A child was standing outside, shooting at a mark with his bow and arrows, but the moment he saw the ball, which was made of glass whose blues and greens and whites, all frosted over, kept changing one into the other, he flung down his bow, and stooped to pick the ball up.","一个孩子正站在外面玩射箭。但是他一看到魔球，就扔下了弓箭，弯腰去捡球。魔球是玻璃制的，表面结了一层霜，还不停地变换着颜色，一会儿蓝，一会儿绿，一会儿又变成了白色。"
"But as he did so it began to roll very gently downhill.","正在这时，球开始慢慢地朝坡下滚去。"
"The boy could not let it roll away, when it was so close to him, so he gave chase.","眼看着球已经离自己这么近了，小男孩不想让它滚跑，于是便开始追赶。"
"The ball seemed always within his grasp, yet he could never catch it; it went quicker and quicker, and the boy grew more and more excited.","球看起来总像马上就能抓到，但是却总抓不到；它越滚越快，小男孩也越来越兴奋。"
