书名	
乔治·华盛顿外传（榜样的力量）	
短简介	
向杰出的榜样学习，学习他们高贵的品格、为人处事的态度、坚韧不拔的性格，在通往成功的路上为自己加油！	
长简介	
乔治·华盛顿，美国之父，领导美国人民打败侵略者，获取美国独立，成为美国两任总体。他小时候并不突出，但是他有着良好的品质，不撒谎，诚实，有胆量，有韧性，重亲情，这一切都为他后来的成功奠定了基础。后人要学习的就是他的品格，读伟人，成就自我。	
关键词	
乔治·华盛顿外传；马克·吐温；外研社编译组；短篇；乔治·华盛顿；榜样；品格；成功	
作者	
马克·吐温	
作者简介	
马克·吐温（1835—1910），美国的幽默大师、小说家、作家，也是著名演说家，19世纪后期美国现实主义文学的杰出代表。他站在人道主义立场上，尖锐地揭露了美国民主与自由掩盖下的虚伪，批判了美国作为发达资本主义国家固有的社会弊端。其代表作品有《百万英镑》、《哈克贝利·费恩历险记》、《汤姆·索亚历险记》、《王子与贫儿》等等。	
书评	缺书评？

Brief Biographical Sketch of George Washington	乔治·华盛顿外传
by Mark Twain	作者：马克·吐温
This day, many years ago precisely, George Washington was born.	许多年前的今天，乔治·华盛顿诞生了。
How full of significance the thought!	认识到这一点，意义重大！
Especially to those among us who have had a similar experience, though subsequently; and still more especially to the young, who should take him for a model, and faithfully try to be like him, undeterred by the frequency with which the same thing has been attempted by American youths before them and not satisfactorily accomplished.	对于我们之中那些与华盛顿有着相似经历的人来说，尤其如此，尽管他们所处时代不同；对于年轻人来说，更是如此。年轻人应该将华盛顿奉为楷模，诚心诚意地去效仿他，不要因为前辈做同样的事情频繁失败的经历而失去尝试的勇气。
George Washington was the youngest of nine children, eight of whom were the offspring of his uncle and his aunt.	乔治·华盛顿是他们家族九个孩子中年龄最小的，其他八个是他叔叔和婶婶的孩子。
As a boy, he gave no promise of the greatness he was one day to achieve.	那时，作为一个普通的小男孩，华盛顿没有任何迹象显示他将来会成为伟人。
He was ignorant of the commonest accomplishments of youth.	青少年最基本的技能他都不会。
He could not even lie.	甚至连撒谎他都不会。
But then he never had any of those precious advantages which are within the reach of the humblest of the boys of the present day.	然而在那时，他绝没有现在那些最低劣的男孩子生来就具有的优势。
Any boy can lie now.	现在的男孩子个个都会撒谎。
I could lie before I could stand—yet this sort of sprightliness was so common in our family that little notice was taken of it.	还不会站立的时候，我就学会了撒谎——这种机灵在我们家族里太普遍了，没有人去理会。
Young George appears to have had no sagacity whatever.	而小乔治看上去一点儿也不精明。
It is related of him that he once chopped down his father’s favorite cherry-tree, and then didn’t know enough to keep dark about it.	据说有一次，他砍倒了父亲最爱的樱桃树，后来却不知道怎样去隐瞒。
He came near going to sea once, as a midshipman; but when his mother represented to him that he must necessarily be absent when he was away from home, and that this must continue to be the case until he got back, the sad truth struck him so forcibly that he ordered his trunk ashore, and quietly but firmly refused to serve in the navy and fight the battles of his king so long as the effect of it would be to discommode his mother.	他曾经差点儿出海，当了见习海员。但他母亲向他抱怨说，他离家之后，肯定是杳无音讯，不知道什么时候才能把他给盼回来。这个令人伤感的事实深深地打动了华盛顿，于是，他叫人把衣箱从船上拿上岸，平静而坚定地拒绝了参加海军，拒绝为国王打仗。他这样做就是为了让母亲不再烦恼和担忧。
The great rule of his life was, that procrastination was the thief of time, and that we should always do unto others somehow.	他的人生准则是：拖延就是浪费时间，凡事替他人着想。
This is the golden rule.	这是他的金科玉律。
Therefore, he would never discommode his mother.	因此，他绝不会让他母亲烦恼和担忧。
Young George Washington was actuated in all things by the highest and purest principles of morality, justice, and right.	乔治·华盛顿从小被鼓励做一切事情都要符合最崇高、最纯洁的道德、公正和正义。
He was a model in every way worthy of the emulation of youth.	他是个楷模，各个方面都值得年轻人去效仿。
Young George was always prompt and faithful in the discharge of every duty.	乔治·华盛顿办事总是雷厉风行、忠实可靠。
It has been said of him, by the historian, that he was always on hand, like a thousand of brick.	据历史学家记载：他总是随叫随到，就像“一千块砖头”一样精力充沛，值得信赖。
And well deserved was this compliment.	这样的称赞，他是当之无愧的。
The aggregate of the building material specified might have been largely increased—might have been doubled, even—without doing full justice to these high qualities in the subject of this sketch.	但是，就算那砖头的数量大大增加——甚至再增加一倍——也不足以完全地体现出华盛顿本人的高贵品质。
Indeed, it would hardly be possible to express in bricks the exceeding promptness and fidelity of young George Washington.	确实，想用砖头就体现出小乔治·华盛顿的雷厉风行和忠实可靠，那几乎是不可能的。
His was a soul whose manifold excellencies were beyond the ken and computation of mathematics, and bricks are, at the least, but an inadequate vehicle for the conveyance of a comprehension of the moral sublimity of a nature so pure as his.	他在许多方面的美德都超乎常人的想象，无法用数字计算。像他这样拥有全面、高尚又纯洁的美德的人，要想用砖头来体现，无论如何，都是远远不够的。
Young George W. was a surveyor in early life—a surveyor of an inland port—a sort of county surveyor; and under a commission from Governor Dinwiddie, he set out to survey his way four hundred miles through trackless forests, infested with Indians, to procure the liberation of some English prisoners.	早年，小乔治·华盛顿当过勘测员（在一个内陆港口和某个县）；后来，他奉丁威迪州长之命去劝说法军释放一批英国战俘。他长途跋涉四百英里，一路勘探，穿越了没有道路，却遍布着印第安人的森林。
The historian says the Indians were the most depraved of their species, and did nothing but lay for white men, whom they killed for the sake of robbing them.	据历史学家说，那批印第安人是同类中最堕落邪恶的。他们专门伏击白人，图财害命。
Considering that white men only traveled through the country at the rate of one a year, they were probably unable to do what might be termed a land-office business in their line.	考虑到白人一年只经过那块地区一次，他们很可能做不成他们行内所谓的大买卖。
They did not rob young G. W.; one savage made the attempt, but failed; he fired at the subject of this sketch from behind a tree, but the subject of this sketch immediately snaked him out from behind the tree and took him prisoner.	他们没有抢劫小乔治·华盛顿；一个野蛮人尝试过，可是失败了。他藏在一棵树后面朝本文主人公开火，可是本文主人公出其不意，将他从树后一把抓了出来，抓了个现行。
The long journey failed of success; the French would not give up the prisoners, and Wash went sadly back home again.	此次远征以失败告终，法军拒绝释放战俘。华盛顿沮丧而归。
A regiment was raised to go and make a rescue, and he took command of it.	后来，他指挥招募来一个大批人马，前往营救战俘。
He caught the French out in the rain and tackled them with great intrepidity.	他趁着下雨之时，突袭了法军，极其勇敢地同手下的人攻击法军。
He defeated them in ten minutes, and their commander handed in his checks.	他只用了十分钟就将法军击败，他们的指挥官也一命呜呼了。
This was the battle of Great Meadows.	这就是大草原之战。
After this, a good while, George Washington became Commander-in-Chief of the American armies, and had an exceedingly dusty time of it all through the Revolution.	在此之后很久，乔治·华盛顿成为了北美大陆军总司令。在整个独立战争时期，他军务极其繁忙。
But every now and then he turned a Jack from the bottom and surprised the enemy.	但是他时常突袭敌军，出奇制胜。
He kept up his lick for seven long years, and hazed the British from Harrisburg to Halifax—and America was free!	他坚持抗战长达七年之久，最后终于把英军从哈里斯堡驱逐到了哈利法克斯——美国解放了！
He served two terms as President, and would have been President yet if he had lived—even so did the people honor the Father of his Country.	他连任了两届美国总统，如果他还活着，还能当总统——尽管他不是总统了，美国人民仍然将他尊为国父。
Let the youth of America take his incomparable character for a model, and try it one jolt, any how.	让美国的年轻人以他为楷模，学习他那无与伦比的美德，不管怎样，都应该试一试。
