"书名招供（莫泊桑短篇小说）短简介农场主的女儿塞莱斯特怀上了马车夫的孩子，而她这么做的目的只是为了省下每个月两法郎的车钱。四个月后，她向母亲招供说自己怀孕了，却遭到了母亲的辱骂和毒打。最后，母亲让女儿瞒住车夫自己怀孕的事情，为的是“再赚他六个月或八个月”。长简介农场主的女儿塞莱斯特怀上了马车夫波利特的孩子，马车夫是为了找找乐子，而她这么做的目的只是为了省下每个月两法郎的车钱。四个月后，她向母亲招供说自己怀孕了，却遭到了母亲的辱骂和毒打。结尾实在是有些出人意料，在无可奈何之下，母亲让女儿瞒住车夫自己怀孕的事情，为的是“再赚他六个月或八个月”。莫泊桑通过这篇小说表达了对中产阶级小市民唯利是图的讽刺和批判，揭露了他们丑恶的嘴脸和道德的沦丧。关键字招供；莫泊桑；外研社编译组；短篇；小说；讽刺；农场；中产阶级；马车夫；偷情；怀孕作者（法）莫泊桑作者简介莫泊桑（1850—1893），19世纪后半期法国优秀的批判现实主义作家，与契诃夫和欧·亨利并列世界三大短篇小说巨匠。他在相当短暂的一生里，取得了令人瞩目的文学成就。他数量巨大的短篇小说所达到的艺术水平，不仅在法国文学中，而且在世界文坛上，都是卓越超群的，具有某种典范的意义，所以人称“短篇小说之王”。 代表作品：《漂亮朋友》、《羊脂球》、《项链》、《我的叔叔于勒》等书评“他的小说具有形式的美感和鲜明的爱憎”——托尔斯泰“他的作品丰富多彩，无不精彩绝妙，令人叹为观止”——左拉"
"Confessing","招供"
"by Guy de Maupassant","作者：莫泊桑"
"The noon sun poured fiercely down upon the fields.","正午的太阳炙烤着大地。"
"They stretched in undulating folds between the clumps of trees that marked each farmhouse; the different crops, ripe rye and yellowing wheat, pale-green oats, dark-green clover, spread a vast striped cloak, soft and rippling, over the naked body of the earth.","高低起伏的庄稼地分布在绿树成阴的农舍之间：成熟的黑麦、正在转黄的小麦、浅绿的燕麦以及暗绿的苜蓿，像一件带有条纹的外衣一样伸展蔓延开来，在土地裸露的身体上缓缓地随风起伏。"
"In the distance, on the crest of a slope, was an endless line of cows, ranked like soldiers, some lying down, others standing, their large eyes blinking in the burning light, chewing the cud and grazing on a field of clover as broad as a lake.","在远处坡地的高脊上，是一排望不到头的牛群。它们像士兵一样排列着，有的躺着，有的站着。它们的大眼睛眨呀眨的，在阳光下闪着光亮。它们边咀嚼着反刍的食物，边凝望着如湖水般宽阔的苜蓿覆盖的田地。"
"Two women, mother and daughter, were walking with a swinging step, one behind the other, towards this regiment of cattle.","这时，有两个女人，母女俩，迈着蹒跚的步子走着，一个在前，一个在后，朝着这群牛走去。"
"Each carried two zinc pails, slung outwards from the body on a hoop from a cask; at each step the metal sent out a dazzling white flash under the sun that struck full upon it.","她们每人提着两个锌皮桶，用一个大桶箍把桶和她们隔开，免得擦到身上。在阳光的照耀下，她们每走一步，这些金属制品就发出耀眼的白色光芒。"
"The women did not speak.","两个女人谁都没有说话。"
"They were on their way to milk the cows.","她们是在去挤牛奶的路上。"
"When they arrive, they set down one of their pails and approach the first two cows, making them stand up with a kick in the ribs from wooden-shod feet.","她们到达那里后，便放下其中一只桶，走向前面排头的两头牛，用木头鞋踢它们的肋骨，想让它们站起身来。"
"The beast rises slowly, first on its forelegs, then with more difficulty raises its large hind quarters, which seem to be weighted down by the enormous udder of livid pendulous flesh.","牛缓缓地站起来。先站起前腿，然后费力地把它肥大的屁股抬起来，看起来好像被垂下的庞大的青灰色乳房压得太重了。"
