书名牢骚父亲（民间童话）短简介牢骚父亲有许多小孩，为了让他们吃饱，他整天辛苦工作。终于，他厌倦了这样的日子，于是向一位住在山洞里的圣人求助。圣人慷慨相助，先后送给他两件珍宝。然而，牢骚父亲并没有借此改变全家人的生活，他自己反而受到了圣人的惩罚。那么，牢骚父亲在得到圣人送的珍宝后，他究竟遇到了什么人？发生了什么故事呢?长简介牢骚父亲有许多小孩，为了让他们吃饱，他整天辛苦工作。终于，他厌倦了这样的日子，于是向一位住在山洞里的圣人求助。圣人慷慨相助，先后送给他两件珍宝。然而，牢骚父亲并未借此改变全家人的生活，而是掉进酒馆老板夫妇所设下的圈套，使宝物落入其手中，违背了圣人赠予他宝物的初衷。最终，牢骚父亲和酒馆老板夫妇都受到了圣人的惩罚。全篇故事用平实轻松的语言和环环相扣的情节，生动地刻画了牢骚父亲可怜、可气的形象以及酒馆老板夫妇贪懒、可恨的嘴脸，告诉读者人性的善恶美丑、宽容与爱。关键字牢骚父亲；安德鲁·朗格；外研社编译组；民间童话；牢骚父亲；圣人；酒店夫妇；作者安德鲁·朗格整理作者简介安德鲁·朗格（1844—1912），英国学者、诗人、荷马史诗研究专家及翻译家。他编辑出版的十二本童话，并称为《彩色童话集》。他编著的童话深受世界读者的喜爱，成为与安徒生、格林兄弟并称的童话大家。他创作的童话故事《费尔尼利的黄金》、《普里吉欧王子》和《潘托弗里亚的里卡多王子》等同样是脍炙人口的经典儿童读物。书评“如果孩子们的世界里没有那神奇美丽的童话，他们的生活将不可想象；如果这座童话乐园里没有安德鲁·朗格所编写的童话，他们的童心就得不到完美的塑造。” ——西方某著名教育家
Father Grumbler	牢骚父亲
by Andrew Lang	作者：安德鲁·朗格
Once upon a time there lived a man who had nearly as many children as there were sparrows in the garden.	从前，有位父亲，家里的孩子几乎和花园里的麻雀一样多。
He had to work very hard all day to get them enough to eat, and was often tired and cross, and abused everything and everybody, so that people called him ‘Father Grumbler.’	他必须整天辛苦工作，才能给他们买足够的食物吃；他时常感到疲惫，性情乖戾，对任何事和所有人都口出恶言，所以人们叫他“牢骚父亲”。
By-and-by he grew weary of always working, and on Sundays he lay a long while in bed, instead of going to church.	没过多久，他渐渐对工作感到厌烦，而且每逢周日他也不去教堂，而是在床上躺很久。
Then after a time he found it dull to sit so many hours by himself, thinking of nothing but how to pay the rent that was owing, and as the tavern across the road looked bright and cheerful, he walked in one day and sat down with his friends.	过了一段时间之后，他发现独自一人坐上那么几个小时，脑子里只想着怎么交欠下的房租，这样真是没劲。由于马路对面的小酒馆看上去明亮又欢快，于是有一天他走了进去，和他的朋友们坐在了一起。
‘It was just to chase away Care,’ he said; but when he came out, hours and hours after, Care came out with him.	“这刚好能赶走忧愁。”他说道。但几个小时后，忧愁又伴随着他走出了酒馆。
Father Grumbler entered his house feeling more dismal than when he left it, for he knew that he had wasted both his time and his money.	走进家门的时候，牢骚父亲感到比离开家时更加沮丧，因为他知道自己既浪费了时间又浪费了金钱。
‘I will go and see the Holy Man in the cave near the well,’ he said to himself, ‘and perhaps he can tell me why all the luck is for other people, and only misfortunes happen to me.’	“我要去见一见那位住在水井附近山洞里的圣人，”他自言自语道，“也许他能告诉我为什么好运都是别人的，而我碰到的只有霉运。”
And he set out at once for the cave.	于是他立即动身前往那个山洞。
It was a long way off, and the road led over mountains and through valleys; but at last he reached the cave where the Holy Man dwelt, and knocked at the door.	到达山洞有一段漫长的路要走，而且途中要翻越大山，还要穿过河谷；但最终他还是到达了圣人居住的山洞，然后他敲了敲门。
