"书名德国萨根菲尔德的传说（马克·吐温幽默小品文）短简介一个袖珍王国的小国王被占卜家告知，在他十四岁那年会有一种歌声最美的动物将会拯救他的生命，并且使得该国世代国泰民安，国王选择了夜莺作为圣鸟。可是后来，国王摔下陡坡，拯救了他的却是当初备受众人厌恶的一头驴子。《德国萨根菲尔德的传说》以寓言的形式讲述了一个国王如何认识错误，抛弃外表，作出正确选择的故事。长简介很久以前，一个袖珍王国的小国王被占卜家告知，在他十四岁那年会有一种歌声最美的动物将会拯救他的生命。如果那种动物受到尊敬，那么该国世代都会国泰民安。国王命令国中百姓把家中拥有的会唱歌的动物带到王宫大殿来，但他发现很难在这么多迷人的歌声中作出选择。这时候，一个乡村小女孩带来了一头驴，还说这是世间最美的声音，结果她和驴子被赶了出去。国王最后选择了夜莺。一次，国王骑马进森林打猎，却不幸意外摔下陡坡。林中传来夜莺的歌声让摔断腿的国王一次又一次地失望了，最终救了国王的竟是那头叫声难听的驴子。关键字德国萨根菲尔德的传说；马克·吐温；外研社编译组；短篇；幽默；传说；国王；选择作者（美）马克·吐温作者简介马克·吐温（1835—1910），19世纪后期美国批判现实主义文学的杰出代表，美国著名的幽默大师、小说家、作家，及演说家。马克·吐温出身贫寒，从小历经诸多家庭不幸，幼年起就开始打工生涯，但这些都为他以后的文学创作累积了素材。他幽默、机智，擅长写讽刺小说。作品融幽默与讽刺于一体，既富于独特的个人机智与妙语，又不乏深刻的社会洞察与剖析，被誉为文学史上的林肯。书评“美国作家马克·吐温的幽默完全不离常人的淳朴自然。”——林语堂"
"     马克·吐温是雅俗共赏的典范。他的作品，读者不论年龄大小，也不论文化修养高低，都喜欢读。这是因为他一些优秀作品具有众多的层次，又用群众喜闻乐见的幽默形式表现出来。他亦庄亦谐的艺术风格既沟通了他与广大读者之间的渠道，又以丰富的艺术含量进入严肃文学的领域。"
"Legend of Sagenfeld, in Germany","德国萨根菲尔德的传说"
"by Mark Twain","作者：马克·吐温"
"More than a thousand years ago this small district was a kingdom—a little bit of a kingdom, a sort of dainty little toy kingdom, as one might say.","一千多年前，这个小地区曾经是一个王国——可以说多少有点儿王国的样子，几分袖珍玲珑型的王国。"
"It was far removed from the jealousies, strifes, and turmoils of that old warlike day, and so its life was a simple life, its people a gentle and guileless race; it lay always in a deep dream of peace, a soft Sabbath tranquillity; there was no malice, there was no envy, there was no ambition, consequently there were no heart-burnings, there was no unhappiness in the land.","在这个国度里，从来不会有嫉妒，不会有勾心斗角，也不会有旧时战争时期的那种骚乱，因而，这里人民的生活简单朴实，这里人民的性格温和坦率。这个王国永远沉睡在一种和平的梦乡里，永远沉浸在一种安息日般的宁静中。在这片国土上，没有怨恨，没有妒忌，没有野心，所以，便少了抱怨与不满，也没有苦难与不幸。"
"In the course of time the old king died and his little son Hubert came to the throne.","时光飞逝，老国王去世了，他的小儿子休伯特登上了王位。"
"The people’s love for him grew daily; he was so good and so pure and so noble, that by and by his love became a passion, almost a worship.","人民对他的爱与日俱增；因为他非常善良、纯洁和高尚，以至于人民对他的爱渐渐转变成一种狂热的迷恋，几乎成了一种崇拜。"
"Now at his birth the soothsayers had diligently studied the stars and found something written in that shining book to this effect:","话说在小国王出生的时候，占卜家们曾经不辞劳苦地研究过星象，并在那本闪闪发光的预言书上找到了相应的解释，大意如下："
"In Hubert’s fourteenth year a pregnant event will happen; the animal whose singing shall sound sweetest in Hubert’s ear shall save Hubert’s life.","在休伯特十四岁那年，将会发生一件重大的事情：在休伯特听来歌声最甜美的那种动物，将会拯救他的生命。"
"So long as the king and the nation shall honor this animal’s race for this good deed, the ancient dynasty shall not fail of an heir, nor the nation know war or pestilence or poverty.","只要国王和他的国家为那种动物的善举颁发荣誉，这个古老的王朝将世代永存、国泰民安、兴旺发达、永享太平、百病不侵。"
"But beware an erring choice!","但是，可得当心别作错了选择！"
"All through the king’s thirteenth year but one thing was talked of by the soothsayers, the statesmen, the little parliament, and the general people.","在国王十三岁那年，在整整一年的时间里，占卜家、政府官员、小议会议员以及普通百姓，他们都只谈论一件事情。"
"That one thing was this: How is the last sentence of the prophecy to be understood?","那就是：该怎样理解预言中的最后一句话？"
"What goes before seems to mean that the saving animal will choose itself at the proper time; but the closing sentence seems to mean that the king must choose beforehand, and say what singer among the animals pleases him best, and that if he choose wisely the chosen animal will save his life, his dynasty, his people, but that if he should make “an erring choice”—beware!","预言前面的话好像意味着那个将拯救国王生命的动物会在合适的时机自动现身，但结尾部分又仿佛暗示着国王必须事先作出选择，并指明是什么动物的歌声最能让他满意。假如他作出了明智的选择，那个被选择的动物将拯救他的生命、他的王朝以及他的子民，一旦他作出了“错误的选择”——那可得小心了！"
"By the end of the year there were as many opinions about this matter as there had been in the beginning; but a majority of the wise and the simple were agreed that the safest plan would be for the little king to make choice beforehand, and the earlier the better.","到了年底，人们对于此事的看法还是没有统一，还是和年初一样，众说纷纭。但是，这些聪明淳朴的人民中的绝大多数人都认为，最保险的办法还是由年轻的国王提前作出选择，并且越早越好。"
"So an edict was sent forth commanding all persons who owned singing creatures to bring them to the great hall of the palace in the morning of the first day of the new year.","于是，国王下了一道圣旨，命令国中凡是拥有会唱歌的生灵的百姓，必须在新年第一天早上把它们带到王宫大殿来。"
"This command was obeyed.","全国上下无不照办。"
"When everything was in readiness for the trial, the king made his solemn entry with the great officers of the crown, all clothed in their robes of state.","当这次挑选准备就绪之后，国王在朝中重臣们的蜂拥之下，庄严地走进了大殿，这些重臣们都穿着国袍。"
"The king mounted his golden throne and prepared to give judgment.","国王登上他金色的宝座，准备着作出判断。"
"But he presently said:","但他随即说道："
"“These creatures all sing at once; the noise is unendurable; no one can choose in such a turmoil.","“假如所有动物一起开唱，其噪声将难以忍受，没有人能在一片嘈杂声中作出正确的判断。"
"Take them all away, and bring back one at a time.”","把它们都带出去，一次只带一个进来。”"
"This was done.","手下人照办了。"
"One sweet warbler after another charmed the young king’s ear and was removed to make way for another candidate.","一个又一个歌声甜美的动物被带进来，它们用各自美妙的歌声来取悦小国王，然后，又被带出去，为下一位选手腾出场地。"
"The precious minutes slipped by; among so many bewitching songsters he found it hard to choose, and all the harder because the promised penalty for an error was so terrible that it unsettled his judgment and made him afraid to trust his own ears.","宝贵的时间一分一分地溜走，国王发现他很难在这么多迷人的歌声中作出选择，更让他感到棘手的是，万一他作出了错误的选择，后果将十分可怕，这让他怀疑自己的判断力，不敢相信自己的耳朵。"
"He grew nervous and his face showed distress.","他越来越紧张，面露难色。"
"His ministers saw this, for they never took their eyes from him a moment.","他的大臣们看出了这一点，因为他们的眼睛从未离开过国王。"
"Now they began to say in their hearts:","于是，他们开始在心中默念道："
"“He has lost courage—the cool head is gone—he will err—he and his dynasty and his people are doomed!”","“他已失去勇气了，他已不再冷静了；他会犯错误的，他和他的王朝，还有他的子民都在劫难逃了！”"
"At the end of an hour the king sat silent awhile, and then said:","一个小时后，国王静静地坐了一会儿，然后说道："
"“Bring back the linnet.”","“再把红雀带进来。”"
"The linnet trilled forth her jubilant music.","红雀兴高采烈，大展歌喉，歌声动人。"
"In the midst of it the king was about to uplift his scepter in sign of choice, but checked himself and said:","在红雀的歌声中，国王准备举起节杖，作出选择，但他迟疑了，说道："
"“But let us be sure.","“还是让我们再慎重一点儿吧。"
"Bring back the thrush; let them sing together.”","再把画眉也带进来，让它和红雀一起唱唱看。”"
"The thrush was brought, and the two birds poured out their marvels of song together.","画眉被带了进来，它和红雀都各自使出浑身解数，竭尽全力，唱出了最动听的歌声。"
"The king wavered, then his inclination began to settle and strengthen—one could see it in his countenance.","国王犹豫着，然后他有了主意，并下定了决心，这些都写在他的脸上。"
"Hope budded in the hearts of the old ministers, their pulses began to beat quicker, the scepter began to rise slowly, when: There was a hideous interruption!","希望的火苗又开始在老臣们心中蹿动起来，他们开始心跳加速，他们看见节杖被缓缓地举了起来。令人惊骇的是，事情就在这一刻被打断了！"
"It was a sound like this—just at the door:","那是一种这样的声音——就在大门口："
"“Waw...he! waw...he! waw-he!-waw he!-waw-he!”","“噢……哧！噢……哧！——噢——哧！——噢——哧！——噢——哧！”"
"Everybody was sorely startled—and enraged at himself for showing it.","每个人都被狠狠地吓了一跳——但又对自己表现出的惊恐而感到恼火。"
"The next instant the dearest, sweetest, prettiest little peasant-maid of nine years came tripping in, her brown eyes glowing with childish eagerness; but when she saw that august company and those angry faces she stopped and hung her head and put her poor coarse apron to her eyes.","出现在大家眼前的是一个他们见过的最可爱、最甜美、最漂亮的九岁乡村小女孩，她步履轻盈地朝大家走来，褐色的眼睛里流露出小孩子特有的热忱的光芒。但当她看到严肃的人群以及他们脸上恼怒的表情时，她停下脚步，低下头，将她粗糙的围裙拉起来遮住她的眼睛。"
"Nobody gave her welcome, none pitied her.","没有人对她表示欢迎，也没有人可怜她。"
"Presently she looked up timidly through her tears, and said:","过了一会儿，她胆怯地抬起泪汪汪的眼睛，说道："
"“My lord the king, I pray you pardon me, for I meant no wrong.","“国王陛下，我恳请您饶恕我，因为我本没有冒犯您的意思。"
"I have no father and no mother, but I have a goat and a donkey, and they are all in all to me.","我无父无母，但是我有一只山羊和一头驴子，它们就是我的全部。"
"My goat gives me the sweetest milk, and when my dear good donkey brays it seems to me there is no music like to it.","我的山羊能给我最香甜的羊奶喝；而当我听到亲爱的驴子叫的时候，我感觉我听到了世间最美妙的音乐。"
"So when my lord the king’s jester said the sweetest singer among all the animals should save the crown and nation, and moved me to bring him here—”","所以，当国王您的大臣说，在所有动物中歌声最美的动物能够拯救王室，拯救国家的时候，我就想到了我的驴子，于是我把它带了过来——”"
"All the court burst into a rude laugh, and the child fled away crying, without trying to finish her speech.","整个大殿都爆发出一阵无礼的笑声，小女孩哭着冲出了殿堂，连话都还没说完。"
"The chief minister gave a private order that she and her disastrous donkey be flogged beyond the precincts of the palace and commanded to come within them no more.","首席大臣下了一道密令：将她和她那头可恶的驴子赶出王宫，永远不得再踏入半步。"
"Then the trial of the birds was resumed.","接着，挑选的活动继续进行。"
"The two birds sang their best, but the scepter lay motionless in the king’s hand.","红雀和画眉都全力以赴，但是国王手中的节杖却没有动静。"
"Hope died slowly out in the breasts of all.","所有人心中的希望之火都慢慢地熄灭了。"
"An hour went by; two hours, still no decision.","一个小时过去了，两个小时过去了，还是没有结果。"
"The day waned to its close, and the waiting multitudes outside the palace grew crazed with anxiety and apprehension.","傍晚来临，等在王宫外面的人群开始变得焦躁不安起来。"
"The twilight came on, the shadows fell deeper and deeper.","夜幕降临了，影子拉得越来越长。"
