书名尼亚加拉（马克·吐温经典短篇小说）短简介故事介绍了主人公前往尼亚加拉瀑布探寻真正的印第安人的故事。那些在书本中被描述得友善、睿智、自由而高尚的人，结果却是一群满嘴污言秽语、粗暴野蛮的人。主人公最终落得一个悲惨的下场，遭到辱骂和殴打，不幸跌入了瀑布之中，差点儿没命。长简介故事以马克·吐温一贯的幽默和讽刺手法，介绍了主人公前往尼亚加拉瀑布探寻真正的印第安人的故事。那些在书本中被描述得友善、睿智、自由而高尚的人，结果却是一群满嘴污言秽语、粗暴野蛮的人。主人公最终落得一个悲惨的下场，遭到辱骂和殴打，不幸跌入了瀑布之中，差点没命。在作者笔下，印第安人成了窃贼、野蛮人和无恶不作的暴徒，他们对旁人没有一丝友善，甚至见死不救。最后，作者指出了他们恶劣品行的根源，也就是他们的故乡所在。关键字尼亚加拉；马克·吐温；外研社编译组；短篇；幽默；讽刺；印第安人；北美作者（美）马克·吐温作者简介马克·吐温（1835—1910），美国的幽默大师、小说家、作家，也是著名演说家，19世纪后期美国现实主义文学的杰出代表。他站在人道主义立场上，尖锐地揭露了美国民主与自由掩盖下的虚伪，批判了美国作为发达资本主义国家固有的社会弊端。其代表作品有《百万英镑》、《哈克贝利·费恩历险记》、《汤姆·索亚历险记》、《王子与贫儿》等等。书评“第一位真正的美国作家，我们都是继承他而来”——威廉·福克纳 
Niagara	尼亚加拉
by Mark Twain	作者：马克·吐温
Niagara Falls is a most enjoyable place of resort.	尼亚加拉瀑布是一个极其令人心旷神怡的度假胜地。
The hotels are excellent, and the prices not at all exorbitant.	旅馆很不错，价格也合适。
The opportunities for fishing are not surpassed in the country; in fact, they are not even equaled elsewhere.	在乡下，钓鱼的条件并不优越，实际上，它们还不如别的地方。
Because, in other localities, certain places in the streams are much better than others; but at Niagara one place is just as good as another, for the reason that the fish do not bite anywhere, and so there is no use in your walking five miles to fish, when you can depend on being just as unsuccessful nearer home.	因为，在别的地方，河里的某些地段要比别的地段好得多；但在尼亚加拉河，哪里都一样，因为，鱼根本就不会咬钩，所以，要是你以为是因为离住处太近而钓不到鱼，而走去五英里外钓，那依然是枉费心机。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
The advantages of this state of things have never heretofore been properly placed before the public.	迄今为止，对公众而言，这种情况一直不存在什么真正的优越性。
The weather is cool in summer, and the walks and drives are all pleasant and none of them fatiguing.	夏天天气凉爽，步行和开车旅行都很愉快，也不会让人觉得疲劳。
When you start out to “do” the Falls you first drive down about a mile, and pay a small sum for the privilege of looking down from a precipice into the narrowest part of the Niagara River.	当你想要出去“游”这座瀑布时，你得先驱车行驶大约一英里，付一点儿钱，就可以从一处悬崖上俯瞰尼亚加拉河最狭窄的部分。
A railway “cut” through a hill would be as comely if it had the angry river tumbling and foaming through its bottom.	一条铁路把小山拦腰斩断，如果有条愤怒的河流从山下汹涌咆哮而过，那景象一定会很迷人。
You can descend a staircase here a hundred and fifty feet down, and stand at the edge of the water.	从那边的一个楼梯往下走150英尺，你就在水边了。
After you have done it, you will wonder why you did it; but you will then be too late.	这样做了后，你会想为什么要这样做呢，然而，为时已晚。
The guide will explain to you, in his blood-curdling way, how he saw the little steamer, Maid of the Mist, descend the fearful rapids—how first one paddle-box was out of sight behind the raging billows and then the other, and at what point it was that her smokestack toppled overboard, and where her planking began to break and part asunder—and how she did finally live through the trip, after accomplishing the incredible feat of traveling seventeen miles in six minutes, or six miles in seventeen minutes, I have really forgotten which.	导游会用他那令人心惊胆战的方式向你解释，他是如何看到那艘小帆船，雾中女郎号，随急流而下——开始时它的一个明轮是如何在汹涌的巨浪后消失，接着另一个也随之隐没，它的烟囱在哪一刻弃船而栽入水中，它的舢板在什么地方碎裂——最后，它在取得不可思议的成绩后怎样完成航行，它在6分内驶过17英里或是在17分钟内驶过6英里，我真的记不清是哪个了。
But it was very extraordinary, anyhow.	但不管怎样，这真是非同寻常。
It is worth the price of admission to hear the guide tell the story nine times in succession to different parties, and never miss a word or alter a sentence or a gesture.	这笔入场费值得听这位导游在一连串不同的宴会上将这个故事讲上九次，并且每次都字句不差，未曾改变过一个手势。
