书名跛子（莫泊桑短篇小说）短简介“我”在火车上重遇有过一面之缘的雷瓦利尔中尉。战争夺去了他的双腿，也让他无法与深爱的女友共谐连理，她最终另嫁他人。《跛子》通过一段火车上的偶遇，引出了一段令人扼腕的爱情往事，而故事的结尾则令人感到无限欣慰。长简介“短篇小说之王”莫泊桑的短篇小说《跛子》以第一人称视角讲述了“我”的一次旅途奇遇。“我”在火车上意外重遇有过一面之缘的雷瓦利尔中尉。残酷的战争夺去了他的双腿，也让他无法与深爱的女友共谐连理。他随身携带的几个包裹引起了“我”强烈的好奇心，他究竟成家与否，又是否已为人父呢？提及往事，他言语间并无憎恨和抱怨，却仍极力维护着当年的爱人，即使她已另嫁他人。没想到，火车到站之后，等待他的却是……关键字跛子；莫泊桑；外研社编译组；短篇；社会；爱情；杜撰作者（法）莫泊桑作者简介莫泊桑（1850—1893），19世纪后半期法国优秀的批判现实主义作家，与契诃夫、欧·亨利并称世界三大短篇小说巨匠，对后世产生极大影响，被誉为“短篇小说之王”。他的短篇小说构思别具匠心，情节变化多端，描写生动细致，刻画人情世态惟妙惟肖，令人读后回味无穷。他的作品深受叔本华的影响，渗透了浓厚的悲观主义。代表作品有：《羊脂球》、《项链》、《我的叔叔于勒》。书评“读他的作品的时候，可以是笑或是哭，但永远是发人深思的。”——左拉     本篇的三个主题：残破的身躯、高尚的品格、伟大的爱情。
The Cripple	跛子
by Guy de Maupassant	作者：莫泊桑
The following adventure happened to me about 1882.	大约是在1882年，我偶然经历了下面这段奇遇。
I had just taken the train and settled down in a corner, hoping that I should be left alone, when the door suddenly opened again and I heard a voice say: “Take care, monsieur, we are just at a crossing; the step is very high.”	为了不被打扰，我一上火车就找了一个角落里的位置坐下。我刚安顿好，车门突然又开了，然后我听到一个声音说：“小心一点儿，先生，我们正在交叉路口上，这个台阶很高。”
Another voice answered: “That’s all right, Laurent, I have a firm hold on the handle.”	另一个声音回答道：“没问题的，洛朗，我牢牢地抓着扶手呢。”
Then a head appeared, and two hands seized the leather straps hanging on either side of the door and slowly pulled up an enormous body, whose feet striking on the step, sounded like two canes.	然后一个脑袋出现了，那人两只手抓着挂在门两边上的皮带，慢慢地支撑起一个庞大的身躯，双脚打在台阶上的声音听起来就像是两根手杖打在地上。
When the man had hoisted his torso into the compartment I noticed, at the loose edge of his trousers, the end of a wooden leg, which was soon followed by its mate.	当那个男人支撑着自己的身体进入车厢时，我注意到他宽松的裤脚下露出一截木腿的末端，紧跟着它的是另一截木腿。
A head appeared behind this traveller and asked; “Are you all right, monsieur?”	这个旅客的身后冒出一个脑袋，问道：“您还好吧，先生？”
“Yes, my boy.”	“嗯，没事的，小伙子。”
“Then here are your packages and crutches.”	“那这是您的包裹和拐杖。”
And a servant, who looked like an old soldier, climbed in, carrying in his arms a stack of bundles wrapped in black and yellow papers and carefully tied; he placed one after the other in the net over his master’s head.	一个看起来像退伍军人的仆人爬进了车厢，手里抱着一堆用黑色和黄色包装纸包着且被仔细捆好的包裹。他把那些包裹一个接一个地放进他主人头顶上方的网兜里。
Then he said: “There, monsieur, that is all. There are five of them—the candy, the doll, the drum, the gun, and the pate de foies gras.”	然后他说：“行了，就这些了，先生。一共有五样——糖果、洋娃娃、鼓、电子枪，还有菰鹅肝酱。”
“Very well, my boy.”	“干得不错，小伙子。”
“Thank you, Laurent; good health!”	“谢谢您，洛朗，祝您身体健康。”
The man closed the door and walked away, and I looked at my neighbor.	那个人关上门离开了，我打量着我的邻座。
He was about thirty-five, although his hair was almost white; he wore the ribbon of the Legion of Honor; he had a heavy mustache and was quite stout, with the stoutness of a strong and active man who is kept motionless on account of some infirmity.	他大约三十五岁，尽管头发近乎花白了；他佩戴着军队的荣誉勋章绶带，有着浓密的胡须，而且相当肥胖，是那种强壮又好动的人由于患病而不得不保持不动而引起的肥胖。
He wiped his brow, sighed, and, looking me full in the face, he asked: “Does smoking annoy you, monsieur?”	他擦了擦额头，叹了口气，直视着我，问道：“介意我吸烟吗，先生？”
“No, monsieur.”	“不介意，先生。”
Surely I knew that eye, that voice, that face.	我确定我认识那眼睛、那声音以及那张脸。
But when and where had I seen them?	但是，是什么时候，在什么地方见过它们呢？
I had certainly met that man, spoken to him, shaken his hand.	我确实遇到过这个人，跟他说过话，握过手。
That was a long, long time ago. It was lost in the haze wherein the mind seems to feel around blindly for memories and pursues them like fleeing phantoms without being able to seize them.	那是很久很久以前的事了。往事已迷失在雾霭中，而在那雾霭中，思绪似乎为追寻记忆而盲目地游荡，那记忆就像是无法抓住的、消散中的幻影一样。
He, too, was observing me, staring me out of countenance, with the persistence of a man who remembers slightly but not completely.	他也在观察着我，凝视着我，既觉得有些不好意思但又很固执，就像一个人稍微想起什么事却又完全想不起来那样。
Our eyes, embarrassed by this persistent contact, turned away; then, after a few minutes, drawn together again by the obscure and tenacious will of working memory, they met once more, and I said: “Monsieur, instead of staring at each other for an hour or so, would it not be better to try to discover where we have known each other?”	我们的眼睛，因这样长久的互视而尴尬，转向别处；然后，过了一会儿，它们被运转着的记忆那种模糊而顽强的意志所牵引，又聚到一起。于是我说：“先生，与其在这里互相盯上个把小时，不如设法去想想我们曾在哪里见过对方，不是更好吗？”
My neighbor answered graciously: “You are quite right, monsieur.”	我的邻座和蔼地说：“先生，您说的太对了。”
I named myself: “I am Henri Bonclair, a magistrate.”	我自我介绍道：“我叫亨利·邦克莱尔，是一个地方法官。”
He hesitated for a few minutes; then, with the vague look and voice which accompany great mental tension, he said: “Oh, I remember perfectly.	他踌躇了一会儿，随后带着飘忽的眼神以及情绪异常激动后声音，他说道：“哦，我完全想起来了。
I met you twelve years ago, before the war, at the Poincels!”	十二年前，战争前夕，我在普安赛尔家见过您！”
“Yes, monsieur.	“是的，先生。
Ah! Ah!	没错！没错！
You are Lieutenant Revaliere?”	您是雷瓦利尔中尉？”
“Yes.	“是的。
I was Captain Revaliere even up to the time when I lost my feet —both of them together from one cannon ball.”	我也是雷瓦利尔上尉，一直到我失去两条腿——一发炮弹，两条腿都没了。”
Now that we knew each other’s identity we looked at each other again.	由于知道了对方的身份，我们再一次看了看对方。
I remembered perfectly the handsome, slender youth who led the cotillons with such frenzied agility and gracefulness that he had been nicknamed “the fury.” Going back into the dim, distant past, I recalled a story which I had heard and forgotten, one of those stories to which one listens but forgets, and which leave but a faint impression upon the memory.	我清楚地记得那个帅气、身材修长的年轻人，他领起舞来既灵活又优雅的狂热劲头，因此人们给他起了个绰号“复仇精灵”。回望模糊遥远的过去，我回想起一个我曾听过却已经遗忘的故事，那是一个让人听了就忘、只在记忆中留下一缕微弱印象的故事。
There was something about love in it. Little by little the shadows cleared up, and the face of a young girl appeared before my eyes.	那其中有一段爱情故事。阴影一点儿一点儿地消除，一个年轻女孩的脸浮现在我眼前。
Then her name struck me with the force of an explosion: Mademoiselle de Mandel.	然后，她的名字就一下子撞进我的脑海：德曼德尔小姐。
I remembered everything now.	此刻我记起了所有的事情。
It was indeed a love story, but quite commonplace.	那的确是一个爱情故事，但是再平常不过了。
The young girl loved this young man, and when I had met them there was already talk of the approaching wedding.	那个年轻的女孩爱着这个年轻的小伙子，而且当我见到他们的时候，他们已经谈婚论嫁了。
The youth seemed to be very much in love, very happy.	这对年轻人看起来十分相爱，非常幸福。
