"书名白猿（约翰·高尔斯华绥《现代喜剧》三部曲之一）短简介迈克尔和弗勒，一个是贵族子弟，一个是名门望族的大小姐，他们的婚姻表面上令人称羡，实际却是暗潮汹涌。小说中的那幅中国名画《白猿》恰好是外表光鲜、内在腐朽的上层社会的写照——他们目光贪婪、恐惧，不顾一切地想把一切都攥在手中。长简介约翰·高尔斯华绥的长篇小说《白猿》是《现代喜剧》三部曲的第一部。小说通过对比两对身处不同的社会阶层的夫妻，揭示了在特定社会背景下，上流社会的腐朽虚荣和贫民阶级的痛苦和无奈。迈克尔和弗勒，贵族子弟和名门望族的联姻，表面上丰衣足食、令人称羡，实际却是貌合神离、同床异梦；托尼和维多琳一贫如洗、相濡以沫，却只能牺牲自己换取两人安稳度日的梦想，而那梦想也像蓝色蝴蝶，可望而不可即……小说中的那幅画《白猿》恰好是外表光鲜、内在腐朽的上层社会的写照——他们目光贪婪、恐惧，不顾一切地想把一切都攥在手中。关键字白猿；约翰·高尔斯华绥；外研社编译组；长篇；讽刺；小说；资产阶级作者（英）约翰·高尔斯华绥作者简介约翰·高尔斯华绥（1867-1933），英国小说家、剧作家，生于伦敦，曾在牛津大学读法律，后放弃律师工作从事文学创作。1906年出版长篇小说《有产业的人》，获得广泛好评，他也因此而被公认为英国第一流作家。高尔斯华绥最为人称道的是他的三个三部曲：《福尔赛世家》、《现代喜剧》和《尾声》，其中以《福尔赛世家》最为知名，他也凭此于1932年获得诺贝尔文学奖。书评他的作品语言简练、形象生动、讽刺辛辣。    在一个渐渐走向腐朽的社会，人人都贪婪、虚荣，不顾一切地想把一切都攥在手中。"
"The White Monkey","白猿"
"by John Galsworthy","作者：约翰·高尔斯华绥"
"Contents","目录"
"Part I","第一卷"
"Chapter I Promenade","第一章 散步"
"Chapter II Home","第二章 家"
"Chapter III Musical","第三章 音乐"
"Chapter IV Dining","第四章 晚宴"
"Chapter V  Eve","第五章 夏娃"
"Chapter VI ‘Old Forsyte’ and ‘Old Mont’","第六章 “老福赛特”和“老蒙特”"
"Chapter VII  ‘Old Mont’ and ‘Old Forsyte’","第七章 “老蒙特”和“老福赛特”"
"Chapter VIII Bicket","第八章 比克特"
"Chapter IX Confusion","第九章 混乱"
"Chapter X Passing of a Sportsman","第十章 一个运动员过世了"
"Chapter XI Venture ","第十一章 冒险"
"Chapter XII Figures and Facts","第十二章 数字与事实"
"Chapter XIII Tenterhooks","第十三章 焦虑不安"
"Part II","第二卷"
"Chapter I The Mark Falls","第一章 马克贬值"
"Chapter II Victorine","第二章 维多琳"
"Chapter III Michael Walks and Talks","第三章 迈克尔的游历和言论"
"Chapter IV Fleur’s Body","第四章 弗勒的肉体"
"Chapter V  Fleur’s Soul","第五章 弗勒的灵魂"
"Chapter VI Michael Gets ‘What-For’","第六章 迈克尔受到“惩罚”"
"Chapter VII  The Altogether","第七章 裸体画"
"Chapter VIII Soames Takes the Matter up","第八章 索姆斯着手处理此事"
"Chapter IX Sleuth","第九章 侦探"
"Chapter X Face","第十章 脸"
"Chapter XI Cocked Hat","第十一章 三角帽"
"Chapter XII Going East","第十二章 到东方去"
"Chapter XIII Tenterhooks","第十三章 焦虑不安"
"Part III","第三卷"
"Chapter I Bank Holiday","第一章 公休日"
"Chapter II Office Work","第二章 办公室工作"
"Chapter III ‘Afternoon of a Dryad’","第三章《林中仙女的午后》"
"Chapter IV Bicket's afternoon","第四章 比克特的下午"
"Chapter V  Michael Gives Advice","第五章 迈克尔的劝告"
"Chapter VI Quittance","第六章 赦免"
"Chapter VII  Looking into Elderson","第七章 调查埃尔德森"
"Chapter VIII Levanted","第八章 举债出逃"
"Chapter IX Soames Doesn’t Give a Damn","第九章 索姆斯毫不在乎"
"Chapter X But Takes No Chances","第十章 但是不冒险"
"Chapter XI With a Small ‘n’","第十一章 大自然露出了本来面目"
"Chapter XII Ordeal by Shareholder","第十二章 股东的严峻考验"
"Chapter XIII Soames at Bay","第十三章 索姆斯陷入绝境"
"Chapter XIV On the Rack","第十四章 焦虑不安"
"Chapter XV Calm","第十五章 风平浪静"

"Part I","第一卷"
"“No retreat, no retreat.They must conquer or die Who have no retreat!”","“没有退路，没有退路。没有退路的人必须获胜，否则就是死路一条！”"
"Mr. Gay.","盖伊先生"
"Chapter I","第一章"
"Promenade","散步"
"Coming down the steps of ‘Snooks’ Club, so nicknamed by George Forsyte in the late eighties, on that momentous mid-October afternoon of 1922, Sir Lawrence Mont, ninth baronet, set his fine nose towards the east wind, and moved his thin legs with speed.","1922年10月中旬的那个重要的下午，第九代准男爵劳伦斯·蒙特爵士迎着东风翘着俊美的鼻子，迈着两条细腿疾步走下“轻蔑”俱乐部的台阶——俱乐部这一绰号出自上世纪80年代末乔治·福赛特之口。"
"Political by birth rather than by nature, he reviewed the revolution which had restored his Party to power with a detachment not devoid of humour.","他虽出生于政治世家，却对政治不感兴趣，提起他所在的政党重夺政权的那次革命，他只是轻描淡写。"
"Passing the Remove Club, he thought: ‘Some sweating into shoes, there!","路过利姆夫俱乐部时，他想：“这次麻烦啦！"
"No more confectioned dishes.","再也没有甜点可吃啦。"
"A woodcock—without trimmings, for a change!’","山鹬没有了配料，得变口味喽！”"
"The captains and the kings had departed from ‘Snooks’ before he entered it, for he was not of ‘that catch-penny crew, now paid off, no sir; fellows who turned their tails on the land the moment the war was over. Pah!’","在他进入“轻蔑”俱乐部之前，那些大老板和王公贵族们早已离开，因为他并不属于“想方设法捞钱，而且已经捞个够本的那帮家伙，他绝不是那种人——那帮家伙在战争刚刚结束时就丢弃家园逃之夭夭了。呸！”"
"But for an hour he had listened to echoes, and his lively twisting mind, embedded in deposits of the past, sceptical of the present and of all political protestations and pronouncements, had recorded with amusement the confusion of patriotism and personalities left behind by the fateful gathering.","可是对过去忘事的回忆，他足足听了一个小时。他的大脑活跃地转动着，牢记往事，怀疑当下，也怀疑一切政治主张和声明。他饶有兴致地记录了这次意义重大的集会上所留下的爱国主义和个体攻击的混乱。"
"Like most landowners, he distrusted doctrine.","和大部分地主一样，他不相信教条。"
"If he had a political belief, it was a tax on wheat; and so far as he could see, he was now alone in it—but then he was not seeking election; in other words, his principle was not in danger of extinction from the votes of those who had to pay for bread.","如果非要说他有政治信仰的话，那就是征收小麦税了，并且就他所知，他势单力薄——但是，对他来说，选票不重要；换句话说，平民百姓的选票威胁不到他笃信的原则。"
"Principles—he mused—au fond were pocket; and he wished the deuce people wouldn’t pretend they weren’t!","原则——他沉思着——就是钱罢了。他真希望人们不要再装作不承认这一点了！"
"Pocket, in the deep sense of that word, of course, self-interest as member of a definite community.","当然，从深层含义来讲，钱无非就是特定社会群体成员的个人利益。"
"And how the devil was this definite community, the English nation, to exist, when all its land was going out of cultivation, and all its ships and docks in danger of destruction by aeroplanes?","而当它所有的土地都荒芜，所有的船只和港口都面临被飞机炸毁的危险时，这个特定社会群体——英国民族，倒是有什么办法生存下去啊？"
"He had listened that hour past for a single mention of the land.","在一个小时的倾听中，他希望听到有人谈及土地。"
"Not one!","竟无一人谈及！"
"It was not practical politics!","这根本不是实用政治！"
"Confound the fellows!","这帮该死的家伙！"
"They had to wear their breeches out—keeping seats or getting them.","他们不惜磨破了裤子——就为了保住席位或获得席位。"
"No connection between posteriors and posterity!","丝毫没考虑过子孙后代！"
"No, by George!","的确没有！"
"Thus reminded of posterity, it occurred to him rather suddenly that his son’s wife showed no signs as yet.","说起后代，他突然想起自己的儿媳至今还没有一点点的喜照。"
"Two years!","两年了！"
"Time they were thinking about children.","该是要孩子的时候了。"
"It was dangerous to get into the habit of not having them, when a title and estate depended.","不要孩子如果成为一种习惯，对于那些有爵位或是需要产业继承人的家庭来说是相当可怕的。"
"A smile twisted his lips and eyebrows which resembled spinneys of dark pothooks.","一丝微笑牵动了他的双唇和眉毛，那两道弯眉异常浓密。"
"A pretty young creature, most taking; and knew it, too!","一个漂亮的小孩，非常可爱，而且她也深知这一点啊！"
"Whom was she not getting to know?","有谁她不想去认识呢？"
"Lions and tigers, monkeys and cats—her house was becoming quite a menagerie of more or less celebrities.","狮子、老虎、猴子和猫——她的家成了这些大小名人的动物园了。"
"There was a certain unreality about that sort of thing!","这种事情总是有种不真实的感觉！"
"And opposite a British lion in Trafalgar Square Sir Lawrence thought: ‘She’ll be getting these to her house next!","劳伦斯爵士站在特拉法尔加广场上的一只不列颠之狮的对面，心里想：“下次她会把这些都弄到家里去！"
"She’s got the collecting habit.","她染上收藏的嗜好了。"
"Michael must look out—in a collector’s house there’s always a lumber room for old junk, and husbands are liable to get into it.","迈克尔必须小心了——收藏家的家里肯定有一间专门放置破旧货的储藏室，而丈夫是很容易被关进去的。"
"That reminds me: I promised her a Chinese Minister.","这倒提醒了我：我曾答应给她介绍一位中国公使。"
"Well, she must wait now till after the General Election.’","好吧，如今她得等到大选过后了。”"
"Down Whitehall, under the grey easterly sky, the towers of Westminster came for a second into view.","沿着白厅大街往南走，在东方灰色的天空下，威斯敏斯特教堂的塔楼瞬间映入眼帘。"
"‘A certain unreality in that, too,’ he thought.","“那里面似乎也有种不真实的东西，”他想，"
"‘Michael and his fads!","“迈克尔和他的狂热爱好！"
