"书名插曲（毛姆短篇小说）短简介《插曲》讲述了一个残酷的爱情故事。弗雷德和格雷丝年貌相当，门户却不相对。他们克服了重重阻力之后，他们的爱情得到了原本阻挠的父母的祝福。然后，费雷德由于偷窃锒铛入狱，家庭的阻挠和牢狱之灾他们都勇敢地渡过了，最后时刻，即将出狱的弗雷德却突然觉得自己不爱格雷丝了，并且拒绝见她，原本始终等候他的格雷丝，走投无路只好选择了自杀。长简介《插曲》讲述了一个残酷的爱情故事。弗雷德和格雷丝年貌相当，门户却不相对。他们克服了重重阻力，终于获得了家人的祝福。然而结婚之前弗雷德却因为盗窃而入狱了，格雷丝固执地等待着他，不惜与父母断绝关系。出人意料的是，弗雷德在出狱之前突然觉得自己不爱格雷丝了，对她只剩下了厌恶。走投无路的格雷丝只好选择了自杀。毛姆的笔法细腻深刻，对人物语言和心理的刻画是这部小说的亮点。小说的最后更是出人意料，揭露了人性的丑陋和反复无常。关键字插曲；威廉·萨默赛特·毛姆；外研社编译组；短篇；讽刺；残酷；爱情作者（英）威廉·萨默赛特·毛姆作者简介威廉·萨默赛特·毛姆（1874—1965），英国小说家、戏剧家。原来学医，后转而致力写作。他的作品常以冷静、客观乃至挑剔的态度审视人生，基调超然，带讽刺和怜悯意味，在国内外拥有大量读者。著名作品有戏剧《圈子》，长篇小说《人生的枷锁》、《月亮和六便士》，短篇小说集《叶的震颤》、《卡苏里那树》等。"
"书评毛姆是20世纪用英语写作的最为流行的作家之一。"
"Episode","插曲"
"by William Somerset Maugham","作者：威廉·萨默赛特·毛姆"
"It was quite a small party, because our hostess liked general conversation; we never sat down to dinner more than eight, and generally only six, and after dinner when we went up to the drawing-room the chairs were so arranged that it was impossible for two persons to go into a huddle in a corner and so break things up.","这是一个很小的聚会，因为我们的女主人喜欢大家一起聊天。一起吃晚饭的人通常只有六个，从不超过八个。晚饭后我们前往会客厅，在那里，椅子的摆放方式不会让任何两个人有机会躲到角落里窃窃私语，从而打破一起谈话的氛围。"
"I was glad on arriving to find that I knew everyone.","抵达之后，我发现这里的每个人我都认识，这让我很高兴。"
"There were two nice clever women besides our hostess and two men besides myself.","我们的女主人身边坐着两位聪明漂亮的女士，而我的身边则是两位男士。"
"One was my friend Ned Preston.","其中一个是我的朋友内德·普雷斯顿。"
"Our hostess made it a point never to ask wives with their husbands, because she said each cramped the other’s style and if they didn’t like to come separately they needn’t come at all.","我们的女主人坚决要求妻子和丈夫不要一起来参加聚会，因为她说夫妻双方会压抑彼此的个性，如果他们不愿意单独来参加聚会，倒不如干脆别来。"
"But since her food and her wine were good and the talk almost always entertaining they generally came.","但是由于她提供的食物和酒都很美味，谈话也几乎总是令人愉快，因此大家通常还是愿意来。"
"People sometimes accused her of asking husbands more often than wives, but she defended herself by saying that she couldn’t possibly help it because more men were husbands than women were wives.","人们有时候会指责她，说她邀请已婚男士的次数比邀请太太们的要多，但她辩解说这是没有办法的事，因为成了家的男人比成了家的女人要多。"
"Ned Preston was a Scot, a good-humoured, merry soul, with a gift for telling a story, sometimes too lengthily, for he was uncommonly loquacious, but with dramatic intensity.","内德·普雷斯顿是苏格兰人，为人风趣快活，很有讲故事的天分，但他过于喋喋不休，讲的故事有时候过于冗长了些，但都很有感染力。"
"He was a bachelor with a small income which sufficed for his modest needs, and in this he was lucky since he suffered from that form of chronic tuberculosis which may last for years without killing you, but which prevents you from working for your living.","他是个单身汉，收入不多，却也能满足基本的生活所需。在这一点上，他还算幸运，因为他患有一种慢性肺结核病，这种可能多年不愈的病虽然不会致人死命，却让人无法做事谋生。"
"Now and then he would be ill enough to stay in bed for two or three weeks, but then he would get better and be as gay, cheerful, and talkative as ever.","他时不时会病倒在床上两三个礼拜，之后就会好起来，还和以前一样快活健谈。"
"I doubt whether he had enough money to live in an expensive sanatorium and he certainly hadn’t the temperament to suit himself to its life.","我怀疑他可能住不起昂贵的疗养院。当然，他的脾性也适应不了疗养院的生活。"
"He was worldly.","他是个世俗之人。"
"When he was well he liked to go out, out to lunch, out to dinner, and he liked to sit up late into the night smoking his pipe and drinking a good deal of whisky.","他身体好的时候喜欢出门，出去吃午饭或者吃晚饭。他还喜欢熬夜抽烟斗，喝很多威士忌。"
"If he had been content to live the life of an invalid he might have been alive now, but he wasn’t; and who can blame him?","如果他甘愿作为一个病人生活，那现在可能还活着，但是事实并非如此，而谁又能责备他呢？"
"He died at the age of fifty-five of a haemorrhage which he had one night after coming home from some house where, he may well have flattered himself, he was the success of the party.","他55岁时死于大出血，当天晚上他从某个聚会回家，很有可能还自我吹嘘了一番，成了聚会上的明星人物。"
"He had that febrile vitality that some consumptives have, and was always looking for an occupation to satisfy his desire for activity.","像其他结核病患者一样，他总是精力充沛，并且不断寻求能满足自己好动性情的职业。"
"I don’t know how he heard that at Wormwood Scrubs they were in want of prison visitors, but the idea took his fancy so he went to the Home Office and saw the official in charge of prisons to offer his services.","他不知怎么听说了沃姆伍德·斯克拉比斯监狱需要志愿者，这引起了他的兴趣，于是他跑到内政部，见了专管监狱的官员，并提出要干这份差事。"
"The job is unpaid, and though a number of persons are willing to undertake it, either from compassion or curiosity, they are apt to grow tired of it, or find it takes up too much time, and the prisoners whose problems, interests and future they have been concerned with are left somewhat in the lurch.","这份工作没有报酬，尽管很多人出于同情或好奇干了这份工作，但往往不久就由于厌烦，或是感到占用的时间太多，开始打退堂鼓。他们曾经关心的囚犯以及这些人所面临的问题、利益和未来，都被抛到了脑后。"
"The Home Office people consequently are wary of taking on anyone who does not look as if he would persevere, and they make careful inquiries into the applicant’s antecedents, character, and general suitability.","因此，内政部的官员们不会招募那些看起来不能坚持干下去的人，并会仔细询问申请人的经历、性格和适应能力。"
"Then he is given a trial, is discreetly watched, and if the impression is unfavourable is politely thanked and told that his services are no longer required.","之后他们会对申请人进行试用，并仔细观察。如果印象不佳，他们会很有礼貌地谢绝对方，告诉他们不用再继续工作了。"
"But Ned Preston satisfied the dour and shrewd official who interviewed him that he was in every way reliable, and from the beginning he got on well with the governor, the warders, and the prisoners.","但是内德·普雷斯顿却使面试他的那位脸色阴郁、精明强干的官员非常满意。他认为内德非常可靠，而且打从一开始，内德就与监狱长、看守和囚犯们相处得很好。"
"He was entirely lacking in class-consciousness, so prisoners, whatever their station in life, felt at ease with him.","他完全没有等级观念，因此囚犯们无论处于怎样的社会地位，与内德相处时都感到非常自在。"
"He neither preached nor moralized.","他既不劝诫，也不说教。"
