书名阿斯木得和西格尼(安德鲁·朗格经典棕色童话)短简介邪恶丑陋的女巫即使拥有了美丽的外表，可以迷惑别人一时，也无法掩饰她内心的邪恶与丑陋，而欺骗别人一世。长简介邪恶的女巫用美丽的外表暂时迷惑了远道而来的王子，然而其恶毒丑陋的本性终究会暴露无遗；聪明、善良的阿斯木得王子和西格尼公主兄妹俩揭露了假公主的本来面目，林王子一怒之下下令烧死了女巫，最终林王子与西格尼公主、阿斯木得王子与林王子的妹妹两对年轻人有情人终成眷属，过上了幸福美满的日子。关键字阿斯木得和西格尼；安德鲁·朗格；外研社编译组；善良；邪恶；女巫；王子；公主；皆大欢喜作者（英）安德鲁·朗格作者简介安德鲁·朗格（1844—1912），生于苏格兰，兼有诗人、小说家、文学评论家和民俗学家等多重身份，以收集和整理世界各地的民间传说及故事而闻名。由他编纂并分别以十二种颜色命名的《彩色童话集》（又称《朗格童话》）中，汇集了许多著名的童话故事与来自欧洲、亚洲、美洲、非洲各地的民间传说，为孩子们创造了一个色彩瑰丽的童话世界。书评伟大的儿童经典，都是用爱谱写。童话、寓言、魔幻……展现了人类最丰富的想象力，启发了儿童未来改变世界的创造力。美丽的故事，给孩子们带来温暖，带来阅读的享受。生动迷人，带你走进童话的世界，领路非一般的想象空间，启发更广阔的思维。
Asmund and Signy	阿斯木得和西格尼
by Andrew Lang	作者：安德鲁·朗格
Long, long ago, in the days when fairies, witches, giants and ogres still visited the earth, there lived a king who reigned over a great and beautiful country.	故事发生在很久很久以前，那时仙女们、女巫们、巨人们以及食人魔还在地球上。有一位国王，他统治着一个伟大而美丽的国家。
He was married to a wife whom he dearly loved, and had two most promising children—a son called Asmund, and a daughter who was named Signy.	他娶了一个妻子，并深深地爱着她，后来有了两个前途非常光明的孩子——男孩叫阿斯木得，女孩叫西格尼。
The king and queen were very anxious to bring their children up well, and the young prince and princess were taught everything likely to make them clever and accomplished.	国王与王后非常渴望培养好他们的孩子，因此，年轻的王子与公主被教授了一切可能使他们聪明而又多才多艺的课程。
They lived at home in their father’s palace, and he spared no pains to make their lives happy.	他们住在父亲的宫殿里，而他也不遗余力地让他们生活得幸福。
Prince Asmund dearly loved all outdoor sports and an open-air life, and from his earliest childhood he had longed to live entirely in the forest close by.	阿斯木得王子酷爱一切户外运动以及户外生活。从他还是个孩子的时候开始，他就渴望着能完完全全地生活在附近的森林里。
After many arguments and entreaties he succeeded in persuading the king to give him two great oak trees for his very own.	经过多次的争论和恳求，他终于成功说服国王把两棵大橡树给自己。
‘Now,’ said he to his sister, ‘I will have the trees hollowed out, and then I will make rooms in them and furnish them so that I shall be able to live out in the forest.’	“现在，”他对他的妹妹说，“我要把树挖空，然后在里面做几个房间，再布置好，这样我就可以住在树林里了。”
‘Oh, Asmund!’ exclaimed Signy, ‘what a delightful idea!	“哦，阿斯木得！”西格尼惊呼，“这是个多么棒的主意啊！
Do let me come too, and live in one of your trees.	让我也去吧，住在你的一棵树里。
