"书名刽子手（巴尔扎克经典作品）短简介反抗失败，他本该被杀，而交易的结果，却需要他手刃亲人。围绕着因反抗失败而带来的惩罚，一位法国统治者与他统治下的西班牙贵族做了这笔交易。被贵族女儿救了的法国军官、在兄弟铡刀下伸出脖颈的西班牙女郎……透过《刽子手》，你会在头脑中追问，谁才是真正的刽子手？    长简介巴尔扎克塑造起一个贵族，一个被赐名El Verdugo（刽子手）作为头衔的贵族以及他那“令人钦佩的罪行”——他本该被杀，却手刃亲人。他是那么无奈地接受这一宿命。他被剥夺了死的权利，代之以刽子手的职责……他受到周围人的爱戴，内心却迫不及待地盼望着有天去与那些和他日夜相伴的阴魂团聚。宣称要做社会历史的“书记”的巴尔扎克，立起了这样一个贵族的形象，却没忘了十九世纪上半叶发生的那许许多多杀戮，就像故事中所讲述的，“每个不幸的村落都被包围了，村民们被大批杀害”；“自首的两百名西班牙人被立即处以枪决”；“五百个法国家庭正陷痛苦折磨”……那样的时代，谁能决定自己不成为刽子手呢？关键字刽子手；巴尔扎克；外研社编译组；短篇；爱情；法国军官；西班牙女郎；贵族作者（法）巴尔扎克作者简介巴尔扎克（1799—1850），法国19世纪伟大的批判现实主义作家、欧洲批判现实主义文学的奠基人和杰出代表、法国现实主义文学成就最高者之一。他创作的《人间喜剧》共91部小说，写了两千四百多个人物，充分展示了19世纪上半叶法国社会生活，是人类文学史上罕见的文学丰碑，被称为法国社会的“百科全书”。"
"书评你用3000字的篇幅去触摸的绝不仅仅是一个故事。"
"El Verdugo","刽子手"
"by Honoré de Balzac","作者：巴尔扎克"
"The clock of the little town of Menda had just struck midnight.","芒达小镇的钟声刚刚敲过午夜十二点。"
"At that moment a young French officer, leaning on the parapet of a long terrace which bordered the gardens of the chateau de Menda, seemed buried in thoughts that were deeper than comported with the light-hearted carelessness of military life; though it must be said that never were hour, scene, or night more propitious for meditation.","此刻，一位年轻的法国军官正倚在一座长长的露台上，凭栏而立。这露台与芒达城堡的花园毗邻。他像是陷入深深的思绪中，这和无忧无虑的军队生活很不搭调。但话又说回来，再没有任何时候、任何场景、任何夜晚比现在更适合沉思了。"
"The beautiful sky of Spain spread its dome of azure above his head.","西班牙的天空非常美丽，他头顶就是一片蔚蓝的苍穹。"
"The scintillation of the stars and the soft light of the moon illumined the delightful valley that lay at his feet.","闪耀的群星和柔和的月光照亮了他脚下景色宜人的山谷。"
"Resting partly against an orange-tree in bloom, the young major could see, three hundred feet below him, the town of Menda, at the base of the rock on which the castle is built.","这位年轻的少校半靠在一株花开正艳的桔树上，他脚下三百英尺的是一览无余的芒达城。城堡便是以岩石为基建筑的。"
"Turning his head, he looked down upon the sea, the sparkling waters of which encircled the landscape with a sheet of silver.","他转过头俯视波光粼粼的海水，看着银色波涛环抱着这处美景。"
"The chateau was illuminated.","城堡灯火通明。"
"The joyous uproar of a ball, the sounds of an orchestra, the laughter of the dancers came to him, mingling with the distant murmur of the waves.","舞会上快乐的喧闹声、乐队的演奏声、舞者的笑声，混杂着远处波浪的呢喃声传入他的耳朵。"
"The coolness of the night gave fresh energy to his body, that was tired with the heat of the day.","炎热的白天让他的身体疲惫不堪，清凉的夜晚为身体注入了新鲜的活力。"
