"书名十月和六月（欧·亨利经典短篇小说）短简介爱情可以超越年龄吗？小说讲述了年轻的上尉追求一位少妇却被少妇以两人年龄差距过大为由而拒绝的故事。男主人公不甘心被拒来到少妇面前，少妇的解释让他却明白了年龄差距会给日后生活带来的种种不便。年龄的差距让一段美好的情缘无法展开。长简介一个是晚秋的十月，一个是暑夏的六月。小说一开始对于男主人公的描写，不禁让人联想到他是一位饱经战场风霜洗礼的老上尉，而下文对于女主人公的描写更让人想到她是一位风姿绰约的少妇。两者无可奈何的年龄的差距让少妇拒绝了上尉的求爱。当上尉千里迢迢来到少妇面前希望少妇重新考虑接受他的爱慕时，少妇对于年龄差距过大的解释让他有所顿悟，而小说结尾也出现了最大惊喜，原来拥有暑夏六月一样激情的是年轻的上尉，而有了晚秋十月一样冷静的是年长的少妇。欧亨利式的结尾让人倍感意外的同时，也叹息这一段无法开始的爱情。关键字十月和六月；欧·亨利；外研社编译组；短篇；爱情；追求；激情；理智；年龄；上尉；拒绝作者（美）欧·亨利作者简介欧·亨利（1862—1910），美国著名批判现实主义作家、世界三大短篇小说大师之一，被誉为“曼哈顿桂冠散文作家”和“美国现代短篇小说之父”。他的一生富于传奇性，做过药房学徒、会计、新闻记者、银行出纳等多个工作。其作品构思新颖，语言诙谐，人物众多，富于生活情趣，尤以出人意料的结尾闻名，被誉为“美国生活的幽默百科全书”。书评“君生我未生，我生君已老。恨不生同时，日日与君好。”在错的时间遇到对的人，也许只有一声无奈的叹息。"
" October and June","十月和六月"
"by O. Henry","作者：欧·亨利"
"The Captain gazed gloomily at his sword that hung upon the wall.","上尉郁闷地注视着他那把挂在墙上的佩剑。"
"In the closet near by was stored his faded uniform, stained and worn by weather and service.","旁边的衣橱里放着他穿得太久的、由于日晒雨淋而褪了色的军装。"
"What a long, long time it seemed since those old days of war’s alarms!","那回荡着战斗号角的峥嵘岁月好像已经是很久很久以前的事了！"
"And now, veteran that he was of his country’s strenuous times, he had been reduced to abject surrender by a woman’s soft eyes and smiling lips.","他这个曾经在国家困难时期服役的老兵，如今退了役，却沦为一个女人的柔情目光和含笑唇下可怜兮兮的败将。"
"As he sat in his quiet room he held in his hand the letter he had just received from her—the letter that had caused him to wear that look of gloom.","他坐在寂静的房间里，手里拿着刚收到的她的信——让他变得郁闷的那封信。"
"He re-read the fatal paragraph that had destroyed his hope.","他又读了一遍那段致命的、使他希望破灭的话。"
"In declining the honour you have done me in asking me to be your wife, I feel that I ought to speak frankly.","承蒙厚爱，你提出要和我结婚，但我谢绝了你的好意，我觉得有必要向你坦白我的想法。"
"The reason I have for so doing is the great difference between our ages.","我之所以拒绝你，是因为我们之间的年龄差异太大。"
"I like you very, very much, but I am sure that our marriage would not be a happy one.","我非常、非常喜欢你，然而我确信我们的婚姻不会幸福。"
"I am sorry to have to refer to this, but I believe that you will appreciate my honesty in giving you the true reason.","很抱歉，我不得不谈及这一点，但我相信，你是希望我真诚地告诉你真实原因的。"
"The Captain sighed, and leaned his head upon his hand.","上尉叹了口气，用手撑着头。"
"Yes, there were many years between their ages.","是的，他们的年龄确实相差很大。"
"But he was strong and rugged, he had position and wealth.","但是他身强体壮，又拥有地位和财富。"
"Would not his love, his tender care, and the advantages he could bestow upon her make her forget the question of age?","难道他的爱、他的温柔体贴、他能带给她的种种优越，还不能使她忘记年龄的问题吗？"
"Besides, he was almost sure that she cared for him.","此外，他几乎可以肯定她也很喜欢自己。"
"The Captain was a man of prompt action.","上尉是个雷厉风行的人。"
"In the field he had been distinguished for his decisiveness and energy.","在战场上，他的果断和干劲是有目共睹的。"
"He would see her and plead his cause again in person.","他要亲自去见她并再次向她恳求。"
"Age!—what was it to come between him and the one he loved?","年龄！年龄怎么能成为挡在他和他所爱的人中间的问题呢？"
"In two hours he stood ready, in light marching order, for his greatest battle.","两小时以后，他收拾完毕，轻装上阵，准备投入他人生中一场最伟大的战役。"
"He took the train for the old Southern town in Tennessee where she lived.","他乘上火车，前往她所在的田纳西州南部的那个古老小镇。"
"Theodora Deming was on the steps of the handsome, porticoed old mansion, enjoying the summer twilight, when the Captain entered the gate and came up the gravelled walk.","上尉进了大门，走在布满沙砾的路上时，西奥多拉·戴明正坐在古韵十足的老宅门廊的台阶上，欣赏夏日的暮色。"
"She met him with a smile that was free from embarrassment.","她冲他莞尔一笑，没有丝毫的尴尬。"
"As the Captain stood on the step below her, the difference in their ages did not appear so great.","上尉站在她下面的台阶上，他们的年龄差异并不十分明显。"
"He was tall and straight and clear-eyed and browned.","他高大挺拔，眼睛清澈，皮肤黝黑。"
"She was in the bloom of lovely womanhood.","她风姿绰约，正值女人的大好年华。"
"“I wasn’t expecting you,” said Theodora; “but now that you’ve come you may sit on the step.","“没想到你会来，”西奥多拉说，“既然来了，就上台阶来坐吧。"
"Didn’t you get my letter?”","你没收到我的信吗？”"
"“I did,” said the Captain; “and that’s why I came.","“收到了，”上尉说，“所以我来了。"
"I say, now, Theo, reconsider your answer, won’t you?”","我说，西奥，再考虑一下你的答复，好吗？”"
"Theodora smiled softly upon him.","西奥多拉冲他温柔地笑了笑。"
"He carried his years well.","他确实很成熟。"
"She was really fond of his strength, his wholesome looks, his manliness—perhaps, if—","她确实喜欢他的强壮、健康的模样和男子气概——也许，如果——"
"“No, no,” she said, shaking her head, positively; “it’s out of the question.","“不，不行，”她摇摇头，断然说道，“不能考虑。"
"I like you a whole lot, but marrying won’t do.","我很喜欢你，但结婚却不行。"
