书名鲁贝察尔（安德鲁·朗格经典棕色童话）短简介拥有广袤地下王国的地精王偏偏爱上了一位人类公主，纵使他法力无边，他又能否得到公主的芳心，让公主同他一起生活在雄伟的地下宫殿呢。长简介地精王是众地精的统治者，坐拥广阔的地下王国，当他离开地下王国在大地上探险时，对一位公主一见钟情。他自作主张把公主带到自己的地下宫殿，诉说衷肠，渴望得到公主的爱。他法力无边，能满足公主提出的每一个要求，却也无法得到公主的真心。最后，聪颖的公主在她深爱的拉蒂博王子的帮助下逃出地下王国，留下地精王一人暗自神伤，往地下深处飞去。关键字鲁贝察尔；安德鲁·朗格；外研社编译组；地精王；公主；拉蒂博王子；爱情；地下王国作者（英）安德鲁·朗格作者简介安德鲁·朗格（1844—1912），生于苏格兰，兼有诗人、小说家、文学评论家和民俗学家等多重身份，以收集和整理世界各地的民间传说及故事而闻名。由他编纂并分别以十二种颜色命名的《彩色童话集》（又称《朗格童话》）中，汇集了许多著名的童话故事与来自欧洲、亚洲、美洲、非洲各地的民间传说，为孩子们创造了一个色彩瑰丽的童话世界。书评童话虽然篇幅较长，但是情节引人入胜，从地精王初次接触人类，到偶遇公主，再到求爱失败，公主出逃，都是一气呵成，让人欲罢不能。“如果孩子们的世界里没有那神奇美丽的童话，他们的生活将不可想象；如果这座童话乐园里没有安德鲁·朗格所编写的童话，他们的童心就得不到完美的塑造。” 
Rubezahl	鲁贝察尔
by Andrew Lang	作者：安德鲁·朗格
Over all the vast under-world the mountain Gnome Rubezahl was lord; and busy enough the care of his dominions kept him.	在广阔的地下世界里，地精王鲁贝察尔是这里的国王。为了照料他的领土，他总是忙得团团转。
There were the endless treasure chambers to be gone through, and the hosts of gnomes to be kept to their tasks.	这里有数不清的宝库需要清点，他还要确保地精们各尽其职。
Some built strong barriers to hold back the fiery vapours to change dull stones to precious metal, or were hard at work filling every cranny of the rocks with diamonds and rubies; for Rubezahl loved all pretty things.	有的地精负责建造坚固的炼炉来挡住炽热的水蒸气，将普通的石头炼造成珍贵的金属，有的则辛勤地把墙上的每条裂缝都填满钻石和红宝石，因为鲁贝察尔喜欢一切美丽的东西。
Sometimes the fancy would take him to leave those gloomy regions, and come out upon the green earth for a while, and bask in the sunshine and hear the birds sing.	有时，他也会突发奇想，离开幽暗的地下世界，到绿色的大地上呆一会儿，沐浴阳光，聆听小鸟的歌唱。
And as gnomes live many hundreds of years he saw strange things.	因为地精能活数百年，所以他看到过许多奇怪的事情。
For, the first time he came up, the great hills were covered with thick forests, in which wild animals roamed, and Rubezahl watched the fierce fights between bear and bison, or chased the grey wolves, or amused himself by rolling great rocks down into the desolate valleys, to hear the thunder of their fall echoing among the hills.	当他第一次来到地面上时，他发现大山被茂密的森林覆盖着，还有野兽在林间漫步。鲁贝察尔观察过熊和野牛之间的激烈搏斗，追逐过灰狼，还为了听巨石滚落时山间传来的雷鸣般回音而将几块巨石推进荒无人烟的山谷里，并以此取乐。
But the next time he ventured above ground, what was his surprise to find everything changed!	但当他再次来到地面上时，他却惊奇地发现一切都变了！
The dark woods were hewn down, and in their place appeared blossoming orchards surrounding cosy-looking thatched cottages; for every chimney the blue smoke curled peacefully into the air, sheep and oxen fed in the flowery meadows, while from the shade of the hedges came the music of the shepherd’s pipe.	漆黑的森林被砍伐一空，在它们原来位置上的是一些看起来温暖舒适的茅舍，茅舍周围还遍布着鲜花盛开的果园；蓝色的烟雾盘绕着每一个烟囱，静静地飘向空中；牛羊在开满鲜花的草地上吃草；树篱的暗影里传来了牧羊人吹奏的悠扬笛声。
The strangeness and pleasantness of the sight so delighted the gnome that he never thought of resenting the intrusion of these unexpected guests, who, without saying ‘by your leave’ or ‘with your leave,’ had made themselves so very much at home upon is hills; nor did he wish to interfere with their doings, but left them in quiet possession of their homes, as a good householder leaves in peace the swallows who have built their nests under his eaves.	这景象虽有些陌生，但却令人心情愉悦，这也让地精王感到十分高兴，根本没有想过憎恶这些不速之客的到来，尽管这些不速之客连一声“请原谅”或“对不起”都没有说，就自作主张在这里安了家。他并不想去打扰他们的生活，而是让他们占有这块土地，宁静地过日子，就像一个善良的房主允许燕子在他的屋檐下筑巢一样。
