"书名一只乌龟的故事和一只淘气猴子的故事（安德鲁·朗格经典棕色童话）短简介故事里的乌龟一反人们心中固有的形象，用智慧与勇气一次次冲击着人们的视听，猴子则是一如既往，调皮机警，聪颖活泼，让人爱恨交加。看他们是如何与各种生物周旋，又是如何全身而退，谱写一段又一段的传奇故事。长简介故事中的乌龟与猴子，一个是智慧与谋略的化身，一个集冒险与机智于一身，二者不分伯仲，在森林之中谱写着各自的传奇。在与大象蓝鲸的抗衡之中，乌龟可谓是有勇有谋，将两大生物玩弄于股掌之中；在与牡鹿和狐狸的较量之中，更可见其谋略家的运筹帷幄与足智多谋，将人们心中的固有模型打破重塑，刷新了人们的视听。而猴子则是一如既往的调皮机灵形象，爱冒险，爱生事端，却又总是让别人哑口无言，不知所措，更是让读者爱也不是恨也不是。在与不同森林住户的挑逗之中以及与美洲狮的几番游击战中，猴子的冒险精神可谓是显露无遗，而与美洲狮进行的最后一场生死较量更是将猴子的机警与智慧进行了完美的诠释与展现。关键字一只乌龟的故事和一只淘气猴子的故事；安德鲁·朗格；外研社编译组；大象；鲸鱼；牡鹿； 狐狸；理发师；面包师；小女孩；兔子；美洲狮 作者(英)安德鲁·朗格安德鲁•朗格（1844—1912），英国著名的文学家、历史学家、诗人、民俗学家，以研究神话、民间传说闻名于世，由他编纂并分别以十二种颜色命名的“童话故事集”自1889年问世以来，历久不衰，备受世界各国儿童们的喜爱。书评这个世界有两样东西人们永远不会失去兴趣，一个是宇宙，另一个是森林，二者都充满着神奇与未知。故事将森林与森林里的生物活化在读者眼前，栩栩如生，乍看之下是一个个妙趣横生的故事，实则充满对人生的思索与探讨，堪称“寓教于乐”的典范。 语言没有过多的技巧，通俗易懂，平实却不平淡。故事简单却不肤浅，于笑语之中引发对智慧的赞赏，让思想性更加深入人心。西方一位著名教育家曾这样评价安德鲁·朗编辑的童话：“如果孩子们的世界里没有那神奇美丽的童话，他们的生活将不可想象；如果这座童话乐园里没有安德鲁·朗格所编写的童话，他们的童心就得不到完美的塑造”。"
"Tale of a Tortoise and of a Mischievous Monkey","一只乌龟的故事和一只淘气猴子的故事"
"by Andrew Lang","作者：安德鲁·朗格"
"Once upon a time there was a country where the rivers were larger, and the forests deeper, than anywhere else.","从前有一个国家，那里比其他任何地方的河流更宽广，森林更浓密。"
"Hardly any men came there, and the wild creatures had it all to themselves, and used to play all sorts of strange games with each other.","那里人迹罕至，是野生动物们的天地。动物们常常在一起玩着千奇百怪的游戏。"
"The great trees, chained one to the other by thick flowering plants with bright scarlet or yellow blossoms, were famous hiding-places for the monkeys, who could wait unseen, till a puma or an elephant passed by, and then jump on their backs and go for a ride, swinging themselves up by the creepers when they had had enough.","繁茂的开花植物开满红色和黄色的花，将参天大树彼此链接起来，为猴子们提供了一个极好的隐藏处。猴子们一直躲在里面，等到一头美洲狮或是一头大象经过，就跳到它们背上去兜风，玩够了就攀上匍匐植物，摇荡开去。"
"Near the rivers huge tortoises were to be found, and though to our eyes a tortoise seems a dull, slow thing, it is wonderful to think how clever they were, and how often they outwitted many of their livelier friends.","在河流附近可以看到体型庞大的乌龟。如今乌龟在我们眼中似乎是一种反应迟钝、行动缓慢的生物，但是让人感到奇妙的是，乌龟过去非常聪明，并且靠智慧战胜过很多更加活泼的动物。"
"There was one tortoise in particular that always managed to get the better of everybody, and many were the tales told in the forest of his great deeds.","特别是有这么一只乌龟，它总是比所有的动物都要优秀，很多关于它伟大行为的故事在森林里流传着。"
"They began when he was quite young, and tired of staying at home with his father and mother.","故事最初，乌龟还相当年轻，厌倦了和父母一起一直呆在家里。"
"He left them one day, and walked off in search of adventures.","有一天，它离开父母，出去探险。"
"In a wide open space surrounded by trees he met with an elephant, who was having his supper before taking his evening bath in the river which ran close by.","在一片树木环绕的广袤空地上，它看到一头大象。那头大象在吃晚餐，之后便会去附近的河里沐浴。"
"‘Let us see which of us two is strongest,’ said the young tortoise, marching up to the elephant.","“让我们来看看我们俩当中谁最强。”年轻的乌龟边说边朝着大象走过去。"
"‘Very well,’ replied the elephant, much amused at the impertinence of the little creature; ‘when would you like the trial to be?’","“好啊，”大象被这个鲁莽的小东西逗乐了，答道，“那你准备什么时候开始较量呢？”"
"‘In an hour’s time; I have some business to do first,’ answered the tortoise.","“一个小时之内，不过这之前我有些事要先去处理。”乌龟回答说。"
"And he hastened away as fast as his short legs would carry him.","说完，乌龟就用那几条短腿能跑的最快速度急匆匆地离开了。"
"In a pool of the river a whale was resting, blowing water into the air and making a lovely fountain.","在河流一隅，一头鲸鱼正在休憩，它把水吹到空中，形成一股可爱的喷泉。"
"The tortoise, however, was too young and too busy to admire such things, and he called to the whale to stop, as he wanted to speak to him.","但是这只乌龟年轻气盛，又过于匆忙，无暇欣赏这种美景。它叫鲸鱼停下来，想和鲸鱼谈一谈。"
"‘Would you like to try which of us is the stronger?’ said he.","“你想试试咱俩谁更强吗？”乌龟说道。"
"The whale looked at him, sent up another fountain, and answered: ‘Oh, yes; certainly.","鲸鱼看着乌龟，又射出一股喷泉，然后说道：“哦，想啊，当然想。"
"When do you wish to begin?","你希望什么时候开始呢？"
"I am quite ready.’","我已经准备好了。”"
"‘Then give me one of your longest bones, and I will fasten it to my leg.","“那把你最长的骨头给我一根，我会把它固定在我的腿上。"
