"书名我们庆祝的日子（欧·亨利经典短篇小说）短简介作者在小说《我们庆祝的日子》中以一只只会说“圣诞快乐”的鹦鹉为引子，回忆了瘸子比布和朋友山姆被困在南美洲的一段日子。作者以比布的视角，讲述了当时生活的落魄潦倒。文中反复提到在热带生活容易让人忘记季节和日期，为情节的发展和出人意料的故事结局埋下了伏笔。长简介美国人比布和他的英国朋友山姆在南美洲热带地区的一个小镇上过着贫困潦倒的生活。终日的劳作加上热带的气候让他们很快忘记了季节和时间。一天，比布看到街边挂出了美国国旗，便猜测可能到了国庆日，于是他用自以为正确的方式庆祝了这个日子，可当他知道了真正的日子之后却惊愕不已。小说中形象入微的人物刻画和典型的欧·亨利式结尾让人读后不禁陷入沉思。小说对英美两国人对对方的感受略有体现，但更多的是对社会底层种种现象的披露，着力刻画了底层百姓的真实生活及心理状况。关键字我们庆祝的日子；欧·亨利；外研社编译组；短篇；鹦鹉；热带；节日作者（美）欧·亨利作者简介欧·亨利（1862—1910），美国著名批判现实主义作家，世界三大短篇小说大师之一，被誉为“曼哈顿桂冠散文作家”和“美国现代短篇小说之父”。他的一生富于传奇性，做过药房学徒、会计、新闻记者、银行出纳等多个工作。其作品构思新颖，语言诙谐，人物众多，富于生活情趣，尤以出人意料的结尾闻名，被誉为“美国生活的幽默百科全书”。书评 当我轻松地对待可笑的事物时，我也是严肃地对待它。——马克思在憎恨的深渊中，和平显得尤为神圣。"
"The Day We Celebrate","我们庆祝的日子"
"by O. Henry","作者：欧·亨利"
"“In the tropics” (“Hop-along” Bibb, the bird fancier, was saying to me) “the seasons, months, fortnights, week-ends, holidays, dog-days, Sundays, and yesterdays get so jumbled together in the shuffle that you never know when a year has gone by until you’re in the middle of the next one.”","“在热带地区，”养鸟迷“瘸子”比布对我说，“四季、月份、双周、周末、节日、伏天、周日和昨天就像洗过的牌一样混在一起，只有到了第二年年中，你才会意识到第一年已经过去了。”"
"“Hop-along” Bibb kept his bird store on lower Fourth Avenue.","“瘸子”比布在第四大道南边开了家鸟店。"
"He was an ex-seaman and beachcomber who made regular voyages to southern ports and imported personally conducted invoices of talking parrots and dialectic paroquets.","他以前当过水手，也曾在码头流浪过。他会定期去南部港口，亲自订购会讲话的鹦鹉和会说方言的长尾小鹦鹉。"
"He had a stiff knee, neck, and nerve.","他的膝部和脖子都不灵活，人也很固执。"
"I had gone to him to buy a parrot to present, at Christmas, to my Aunt Joanna.","我曾去他那里买过一只鹦鹉，准备在圣诞节时送给乔安娜姑妈。"
"“This one,” said I, disregarding his homily on the subdivisions of time—“this one that seems all red, white, and blue—to what genus of beasts does he belong?","“这只，”我说，不去理会他关于时间细分的说教，“这只像是有红、白、蓝三色羽毛的鸟属于什么种类呢？"
"He appeals at once to my patriotism and to my love of discord in colour schemes.”","它立刻勾起了我的爱国情怀和对颜色混搭的钟爱。”"
"“That’s a cockatoo from Ecuador,” said Bibb.","“那是厄瓜多尔的凤头鹦鹉。”比布说，"
"“All he has been taught to say is ‘Merry Christmas.’","“它只会说一句‘圣诞快乐’。"
"A seasonable bird.","这是只应景的鸟。"
"He’s only seven dollars; and I’ll bet many a human has stuck you for more money by making the same speech to you.”","它只卖七美金。我敢打赌，许多人对你说相同的话是想让你破费更多。”"
"And then Bibb laughed suddenly and loudly.","之后，比布突然间大笑起来。"
"“That bird,” he explained, “reminds me.","“那只鸟，”他解释说，“让我想起了一件事。"
"He’s got his dates mixed.","它总是把日期搞混。"
"He ought to be saying ‘E pluribus unum,’ to match his feathers, instead of trying to work the Santa Claus graft.","为了和它的羽毛匹配，它应该说‘合众为一’，而不是努力扮成圣诞老人。"
"It reminds me of the time me and Liverpool Sam got our ideas of things tangled up on the coast of Costa Rica on account of the weather and other phenomena to be met with in the tropics.","这让我想到了我和利物浦·萨姆在哥斯达黎加的那段日子。由于天气和热带地区其他现象的原因，我们把很多事情的概念都搞混了。"
"“We were, as it were, stranded on that section of the Spanish main with no money to speak of and no friends that should be talked about either.","“可以说，我们当时被困在了美洲大陆加勒比海沿岸，既没钱可花，也没有朋友可帮忙。"
