"The Diamond of Kali","迦梨女神的钻石","译者注：迦梨是印度教三大主神之一湿婆神妃帕尔瓦蒂产生的化身。是印度神话中最为黑暗和暴虐的黑色地母，她三眼四臂，青面獠牙，带着蛇和骷髅的项链，舌头上滴着血。史上曾用活人献祭。有她的传说总是与杀戮和鲜血相连。"
"by O. Henry","作者：欧·亨利"
"The original news item concerning the diamond of the goddess Kali was handed in to the city editor.","那篇报道迦梨女神钻石的原始新闻稿被提交给了本市新闻版的编辑。"
"He smiled and held it for a moment above the wastebasket.","他笑了笑，本想把它扔进废纸篓里。"
"Then he laid it back on his desk and said: “Try the Sunday people; they might work something out of it.”","但他略微迟疑了一下，又放回到桌子上说：“给周日版的编辑看看，也许他们能弄点儿名堂出来。”"
"The Sunday editor glanced the item over and said: “H’m!”","周日版的编辑扫了一眼稿件后，哼了一声。"
"Afterward he sent for a reporter and expanded his comment.","随后他叫来一名记者，谈了谈他自己的看法。"
"“You might see General Ludlow,” he said, “and make a story out of this if you can.","“你不妨去拜访一下勒德洛将军，”他说，“看看能否在现有材料的基础上，写一篇稿子出来。"
"Diamond stories are a drug; but this one is big enough to be found by a scrubwoman wrapped up in a piece of newspaper and tucked under the corner of the hall linoleum.","有关钻石的报道现在已经无人问津，不过这颗钻石很大，即使包在报纸里藏在门厅的地毯底下，也会被清洁女工找到。"
"Find out first if the General has a daughter who intends to go on the stage.","先搞清楚将军有没有一个想要当演员的女儿。"
"If not, you can go ahead with the story.","如果没有的话，那你就只管去写稿子吧。"
"Run cuts of the Kohinoor and J. P. Morgan’s collection, and work in pictures of the Kimberley mines and Barney Barnato.","查阅一些关于柯伊诺尔钻石以及J. P. 摩根收藏品的剪报，再找几张南非金伯利钻石矿和巴尼·巴尔纳托的照片来。"
"Fill in with a tabulated comparison of the values of diamonds, radium, and veal cutlets since the meat strike; and let it run to a half page.”","绘制一个表格，把钻石、镭锭以及屠宰场罢工后小牛排的价格进行比较，让这些内容占满半个版面。”"
"On the following day the reporter turned in his story.","第二天，记者交上了他的稿子。"
"The Sunday editor let his eye sprint along its lines. “H’m!” he said again.","周日版编辑扫了一眼后，又哼了一声。"
"This time the copy went into the waste-basket with scarcely a flutter.","这回，稿子被毫不犹豫地丢进了废纸篓里。"
"The reporter stiffened a little around the lips; but he was whistling softly and contentedly between his teeth when I went over to talk with him about it an hour later.","记者抿了抿嘴，但是过了大约一个小时后，当我过去找他谈这件事时，他却在志得意满地轻声吹着口哨。"
"“I don’t blame the ‘old man’,” said he, magnanimously, “for cutting it out.","“我一点儿都不埋怨那个‘老男人’毙了我的稿子，”他宽宏大量地说，"
"It did sound like funny business; but it happened exactly as I wrote it.","“这件事听起来确实有点儿蹊跷，但我写的完全是事实呀。"
"Say, why don’t you fish that story out of the wastebasket and use it?","喂，你为什么不从废纸篓里把它翻出来用呢？"
"Seems to me it’s as good as the tommyrot you write.”","我觉得它并不比你写的其他那些无聊的东西差多少。”"
"I accepted the tip, and if you read further you will learn the facts about the diamond of the goddess Kali as vouched for by one of the most reliable reporters on the staff.","我接受了他的这个提议。读者如果继续看下去的话，就会看到关于迦梨女神钻石的真相，它是由我们编辑部最可靠的一个记者报道的。"
"Gen. Marcellus B. Ludlow lives in one of those decaying but venerated old red-brick mansions in the West Twenties.","马塞勒斯·B. 勒德洛将军住在西区二十几街一座虽然破旧但不失庄严的红砖老房子里。"
"The General is a member of an old New York family that does not advertise.","将军出身于一个低调古老的纽约家族。"
"He is a globe-trotter by birth, a gentleman by predilection, a millionaire by the mercy of Heaven, and a connoisseur of precious stones by occupation.","他生性喜欢周游世界，绅士派头十足，蒙上天恩宠而坐拥百万家财，职业是宝石鉴赏家。"
"The reporter was admitted promptly when he made himself known at the General’s residence at about eight thirty on the evening that he received the assignment.","记者在接到任务后，当天晚上八点半左右就到了将军家，表明身份后，随即就被请了进去。"
"In the magnificent library he was greeted by the distinguished traveller and connoisseur, a tall, erect gentleman in the early fifties, with a nearly white moustache, and a bearing so soldierly that one perceived in him scarcely a trace of the National Guardsman.","他在华丽的书房里见到了这位著名的旅行家和宝石鉴赏家，他年过半百，身材高大，身板硬朗，胡子几乎全白了，行为举止很有军人风范，国民警卫队队员的风采依稀可见。"
"His weather-beaten countenance lit up with a charming smile of interest when the reporter made known his errand.","当记者表明来意后，将军那饱经风霜的脸上露出了颇感兴趣的笑容。"
"“Ah, you have heard of my latest find.","“哦，你已经听说我最新的发现了。"
"I shall be glad to show you what I conceive to be one of the six most valuable blue diamonds in existence.”","我很乐意向你展示一下我认为现存最宝贵的六颗蓝色钻石之一。”"
"The General opened a small safe in a corner of the library and brought forth a plush-covered box.","将军打开书房角落里的一个小保险箱，取出了一个长毛绒面的盒子。"
"Opening this, he exposed to the reporter’s bewildered gaze a huge and brilliant diamond—nearly as large as a hailstone.","盒盖一打开，记者就惊奇地看到了一颗光芒四射的硕大钻石——几乎有一粒冰雹那么大。"
"“This stone,” said the General, “is something more than a mere jewel.","“这颗钻石，”将军说，“已经不单单是一颗宝石这么简单了。"
"It once formed the central eye of the three-eyed goddess Kali, who is worshipped by one of the fiercest and most fanatical tribes of India.","它曾经镶在三眼女神迦梨额头中间的那只眼睛上。迦梨是印度最凶残、最狂热的部落所崇拜的女神。"
"If you will arrange yourself comfortably I will give you a brief history of it for your paper.”","坐舒服一些，我给你简要介绍一下它的历史，供你的稿子使用。”"
"General Ludlow brought a decanter of whiskey and glasses from a cabinet, and set a comfortable armchair for the lucky scribe.","勒德洛将军从柜子里取出一瓶威士忌和几个酒杯，让这个幸运的记者坐到一张舒适的扶手椅上。"
"“The Phansigars, or Thugs, of India,” began the General, “are the most dangerous and dreaded of the tribes of North India.","“印度暴徒，或者称为宗教暗杀集团成员，”将军开始讲了起来，“是印度北部最危险、最可怕的部落。"
"They are extremists in religion, and worship the horrid goddess Kali in the form of images.","他们是宗教极端分子，崇拜恐怖的迦梨女神并供奉她的塑像。"
"Their rites are interesting and bloody.","他们的宗教仪式有趣但非常血腥。"
"The robbing and murdering of travellers are taught as a worthy and obligatory deed by their strange religious code.","他们奇怪的宗教法典认为抢劫和杀害旅行者不仅是令人尊敬的行为，而且是义不容辞的事。"
"Their worship of the three-eyed goddess Kali is conducted so secretly that no traveller has ever heretofore had the honour of witnessing the ceremonies.","他们祭祀三眼女神迦梨的仪式十分隐秘，迄今为止，没有任何一个外人得以有幸一见。"
"That distinction was reserved for myself.","但我却有幸能获此殊荣。"
"“While at Sakaranpur, between Delhi and Khelat, I used to explore the jungle in every direction in the hope of learning something new about these mysterious Phansigars.","“在德里和克拉特之间的萨卡兰布尔镇上逗留期间，我常常在附近的丛林里四处探索，希望了解这些神秘的暗杀部落。"
"“One evening at twilight I was making my way through a teakwood forest, when I came upon a deep circular depression in an open space, in the centre of which was a rude stone temple.","“一天傍晚，我借着暮色穿过一片柚木林时，发现林中有一片空旷的圆形洼地，中央有一座简陋的石头庙宇。"
"I was sure that this was one of the temples of the Thugs, so I concealed myself in the undergrowth to watch.","我确定这就是暗杀部落的庙宇之一，于是我就藏在草丛中继续观察。"
"“When the moon rose the depression in the clearing was suddenly filled with hundreds of shadowy, swiftly gliding forms.","“当月亮升起时，洼地里突然出现了几百个影影绰绰、移动敏捷的人形。"
"Then a door opened in the temple, exposing a brightly illuminated image of the goddess Kali, before which a white-robed priest began a barbarous incantation, while the tribe of worshippers prostrated themselves upon the earth.","接着，庙宇的门开了，露出一尊被灯光照得很亮的迦梨女神塑像，塑像前的一个白衣祭司念起原始的咒语，所有的教徒们都匍匐在地。"
"“But what interested me most was the central eye of the huge wooden idol.","“但是，我最感兴趣的是那尊巨大的木质三眼女神雕塑中间的那颗眼睛。"
"I could see by its flashing brilliancy that it was an immense diamond of the purest water.","根据它的闪亮光泽，我判断出它是一颗巨大的、纯度极高的钻石。"
"“After the rites were concluded the Thugs slipped away into the forest as silently as they had come.","“仪式结束后，暗杀部落的信徒们同来时一样悄悄散去了。"
"The priest stood for a few minutes in the door of the temple enjoying the cool of the night before closing his rather warm quarters.","在回到闷热的庙里，关上庙门之前，祭司在门口又呆了几分钟，享受了一下夜晚凉爽的空气。"
"Suddenly a dark, lithe shadow slipped down into the hollow, leaped upon the priest; and struck him down with a glittering knife.","突然，一个黑影敏捷地窜入空地，手持一把明晃晃的刀子扑向祭司，祭司随即中刀倒地。"
"Then the murderer sprang at the image of the goddess like a cat and pried out the glowing central eye of Kali with his weapon.","接着，凶手像猫一样跳到女神像上，用刀将迦梨额头中间那颗闪亮的眼睛撬了出来。"
"Straight toward me he ran with his royal prize.","拿到宝物后，他径直向我藏身的这个方向跑了过来。"
"When he was within two paces I rose to my feet and struck him with all my force between the eyes.","当他跑到离我只有两步远的时候，我站起身来，用尽全力朝他眉心打了一拳。"
"He rolled over senseless and the magnificent jewel fell from his hand.","他当时就失去知觉，倒在地上，手里攥着的那颗巨大的宝石也掉了出来。"
"That is the splendid blue diamond you have just seen—a stone worthy of a monarch’s crown.”","这就是你刚才看到的那颗了不起的蓝色钻石——一颗价值足以和君主皇冠相媲美的宝石。”"
"“That’s a corking story,” said the reporter.","“这个故事太妙了，”记者说道，"
"“That decanter is exactly like the one that John W. Gates always sets out during an interview.”","“那个酒瓶和约翰·W. 盖茨会见客人时常常拿出来的一模一样。”"
"“Pardon me,” said General Ludlow, “for forgetting hospitality in the excitement of my narrative.","“实在抱歉，”勒德洛将军说，“我只顾着讲故事，忘记招待你喝酒了。"
"Help yourself.”","你自己来吧。”"
"“Here’s looking at you,” said the reporter.","“敬您。”记者举杯说。"
"“What I am afraid of now,” said the General, lowering his voice, “is that I may be robbed of the diamond.","“现在我担心的是，”将军压低声音说道，“有人要抢我的钻石。"
"The jewel that formed an eye of their goddess is their most sacred symbol.","这颗宝石是他们女神的一只眼睛，是他们最神圣的标志。"
"Somehow the tribe suspected me of having it; and members of the band have followed me half around the earth.","可不知怎么，那个部落怀疑宝石在我手里；部落成员也跟踪我走了半个地球。"
"They are the most cunning and cruel fanatics in the world, and their religious vows would compel them to assassinate the unbeliever who has desecrated their sacred treasure.","他们是世界上最狡猾、最残忍的狂热分子，而他们许下的宗教誓言迫使他们非要把亵渎神圣宝物的异教徒杀掉不可。"
"“Once in Lucknow three of their agents, disguised as servants in a hotel, endeavoured to strangle me with a twisted cloth.","“有一次在勒克瑙，他们的三个特工伪装成酒店的服务员，企图用绞紧的布条勒死我。"
"Again, in London, two Thugs, made up as street musicians, climbed into my window at night and attacked me.","还有一次在伦敦，两个乔装成街头艺人的暗杀部落成员夜里从窗户爬进来袭击我。"
"They have even tracked me to this country.","他们一直跟踪我到了这个国家。"
"My life is never safe.","我的生命一直都危在旦夕。"
