"书名狐狸与拉普人（安德鲁·朗格经典棕色童话）短简介弱小的狐狸怎能巧妙玩弄一个拉普人？它如何诱骗黑熊去钓鱼？而黑熊又为何要追捕它？可怜的黑熊最后化为一堆骨头，原因何在？狐狸以什么理由骗走了拉普人三只驯鹿，又怎么会弄瞎自己的双眼？最后它又用什么谎言欺骗蛇把眼睛给了自己？本故事讲述了一只狐狸花言巧语欺骗众多受害者，充分体现出狡猾这一经典特征。长简介一只狐狸偷偷上了一个拉普人的车，破坏雪橇偷走了鱼。它骗黑熊到溪边钓鱼，却招来祸端。狐狸逃跑未遂，被熊发现。熊又听信了狐狸的话，恳求它为自己化妆。狐狸让熊听命于自己，最后把熊烧死了。它用熊骨头换了拉普人三只驯鹿。拉普人意识到上当了便去追赶狐狸，岂料屡遭戏弄，只能放弃。狐狸召集众动物帮忙杀鹿，却在大家杀完后大声呼喊吓跑了动物们。它刚要烤肉时，拉普人追来了。狐狸又骗他说是老鼠和白鼬杀死了驯鹿。它自己却趁机逃到了河边。它又号召鱼儿们渡它过河，挑来拣去选中了大马哈鱼。岂料它一上岸就把鱼扔到了锅里煮，可不小心被开水烫瞎了眼睛。它四处求助，最后一条蛇上了它的当，把眼睛借给了它。而狐狸却再也没有回去。关键字狐狸；拉普人；童话；安德鲁·朗格；外研社编译组；雪橇；鱼；黑熊；追捕；鸟儿；化妆；骨头；交换；驯鹿；动物；杀鹿；嫁祸；渡河；开水；眼睛；松鸡；蜜蜂；借眼睛；蛇；逃离作者（英）安德鲁·朗格作者简介安德鲁•朗格(1844—1912)，英国著名的文学家、历史学家、诗人、民俗学家，以研究神话、民间传说闻名于世，由他编纂并分别以十二种颜色命名的“童话故事集”自1889年问世以来，历久不衰，备受世界各国儿童们的喜爱。书评“如果孩子们的世界里没有那神奇美丽的童话，他们的生活将不可想象；如果这座童话乐园里没有安德鲁•朗格所编写的童话，他们的童心就得不到完美的塑造。”语言质朴，通俗易懂，形象鲜明，给人以启迪。"
"The Fox and the Lapp","狐狸和拉普人"
"by Andrew Lang","作者：安德鲁·朗格"
"Once upon a time a fox lay peeping out of his hole, watching the road that ran by at a little distance, and hoping to see something that might amuse him, for he was feeling very dull and rather cross.","从前，有一只狐狸偷偷躲在洞里，觉得非常无聊，甚至有些暴躁。它盯着不远处的路，盼着能看到一些开心有趣的事。"
"For a long while he watched in vain; everything seemed asleep, and not even a bird stirred overhead.","它观望了很久，却什么也没看到；好像一切都在沉睡，头顶上连一声鸟叫都没有。"
"The fox grew crosser than ever, and he was just turning away in disgust from his place when he heard the sound of feet coming over the snow.","狐狸感到前所未有的烦躁，它厌恶地正想要避开这个地方。这时，雪地里突然传来了脚步声。"
"He crouched eagerly down at the edge of the road and said to himself: ‘I wonder what would happen if I were to pretend to be dead!","它急忙蹲在路边，自言自语：“要是我装死的话，不知道会有什么事情发生呢？"
"This is a man driving a reindeer sledge, I know the tinkling of the harness.","这是一个驾着驯鹿雪橇的拉普人，我听得出马具叮叮当当的声音。"
"And at any rate I shall have an adventure, and that is always something!’","好歹我也要冒一次险，总会有所收获的！”"
"So he stretched himself out by the side of the road, carefully choosing a spot where the driver could not help seeing him, yet where the reindeer would not tread on him; and all fell out just as he had expected.","于是，它仔细选了一个地方，伸直身体躺在路边。在那里，拉普人一眼就能看到它，而且驯鹿也不会踩到它。一切都如同它所料的那样发生了。"
"The sledge-driver pulled up sharply, as his eyes lighted on the beautiful animal lying stiffly beside him, and jumping out he threw the fox into the bottom of the sledge, where the goods he was carrying were bound tightly together by ropes.","驾雪橇的拉普人一眼就瞥见旁边一动不动地躺着一只美丽的狐狸，他迅速地勒住缰绳，跳下来，把狐狸扔进了雪橇斗，车斗里的货物用绳子紧紧绑着。"
"The fox did not move a muscle though his bones were sore from the fall, and the driver got back to his seat again and drove on merrily.","狐狸被摔得骨头发麻，却丝毫没有动弹。拉普人又重新回到座位，开开心心地向前赶路。"
"But before they had gone very far, the fox, who was near the edge, contrived to slip over, and when the Laplander saw him stretched out on the snow he pulled up his reindeer and put the fox into one of the other sledges that was fastened behind, for it was market-day at the nearest town, and the man had much to sell.","但还没走多远，狐狸便试图慢慢滑到车斗边缘。拉普人看到狐狸耷拉在雪地上，就勒住驯鹿的缰绳，把狐狸扔进了后面的一辆雪橇。今天拉普人要到附近的集市上去卖货，他有很多要卖的。"
"They drove on a little further, when some noise in the forest made the man turn his head, just in time to see the fox fall with a heavy thump on to the frozen snow.","走了一段路，这时树林里传来一阵声响。拉普人转过头，正好看到狐狸砰的一声重重地摔在结冰的雪地上。"
"‘That beast is bewitched!’ he said to himself, and then he threw the fox into the last sledge of all, which had a cargo of fishes.","“这家伙真是中邪了！”他自言自语。接着，他把狐狸扔到了最后一辆雪橇上，那里面有满满一车的鱼。"
"This was exactly what the cunning creature wanted, and he wriggled gently to the front and bit the cord which tied the sledge to the one before it so that it remained standing in the middle of the road.","这正是狡猾的狐狸想要的。它慢慢地扭动着身体，挪到前面，咬断了系在前后雪橇间的绳索。这样一来，最后一辆雪橇就落在了路中央。"
"Now there were so many sledges that the Lapp did not notice for a long while that one was missing; indeed, he would have entered the town without knowing if snow had not suddenly begun to fall.","由于有很多雪橇，拉普人很长时间都没有注意到丢了一辆；实际上，要不是突然下起了雪，他还会毫不知情地一路走到镇里。"
"Then he got down to secure more firmly the cloths that kept his goods dry, and going to the end of the long row, discovered that the sledge containing the fish and the fox was missing.","他走下来一辆一辆地检查雪橇，确保布把货物盖严了，却发现最后一辆装鱼的雪橇不见了，狐狸也没了踪影。"
"He quickly unharnessed one of his reindeer and rode back along the way he had come, to find the sledge standing safe in the middle of the road; but as the fox had bitten off the cord close to the noose there was no means of moving it away.","他立刻解下缰绳，骑上一只驯鹿按原路返回找，终于发现雪橇安然无恙地立在路中间。但由于狐狸已经咬断了牵引绳，所以根本没办法把雪橇拖走。"
"The fox meanwhile was enjoying himself mightily.","狐狸这时候却在美美地享受着。"
"As soon as he had loosened the sledge, he had taken his favourite fish from among the piles neatly arranged for sale, and had trotted off to the forest with it in his mouth.","它松开雪橇时就已经从那堆放得整整齐齐的待卖鱼当中选了自己最喜欢的一条。它嘴里叼着鱼，小跑着进了森林。"
"By-and-by he met a bear, who stopped and said: ‘Where did you find that fish, Mr. Fox?’","不一会儿，它碰到了一只熊。熊停下来问：“狐狸先生，你从哪儿抓到那条鱼的？”"
"‘Oh, not far off,’ answered he; ‘I just stuck my tail in the stream close by the place where the elves dwell, and the fish hung on to it of itself.’","“噢，不远。”狐狸回答，“附近有一条小溪流，就在小精灵住处的旁边。我把尾巴伸进水里，鱼就咬住尾巴自己上来了。”"
"‘Dear me,’ snarled the bear, who was hungry and not in a good temper, ‘if the fish hung on to your tail, I suppose he will hang on to mine.’","熊饥肠辘辘，脾气也不好，它吼道：“见鬼！要是鱼能咬住你的尾巴，我想应该也能咬住我的。”"
"‘Yes, certainly, grandfather,’ replied the fox, ‘if you have patience to suffer what I suffered.’","“对啊，老祖宗，肯定能，”狐狸回答，“如果您有耐心，肯像我一样吃苦遭罪的话，就一定能。”"
"‘Of course I can,’ replied the bear, ‘what nonsense you talk!","“我当然能了，”熊回答，“不要再说废话了！"
"Show me the way.’","给我带路。”"
"So the fox led him to the bank of a stream, which, being in a warm place, had only lightly frozen in places, and was at this moment glittering in the spring sunshine.","狐狸就把熊带到暖和的小溪边。水面只有一部分结了一层薄薄的冰，在春天温暖的阳光下闪闪发亮。"
"‘The elves bathe here,’ he said, ‘and if you put in your tail the fish will catch hold of it.","“小精灵就在这儿洗澡，”狐狸说，“你把尾巴伸进去，鱼就会自己抓住它的。"
"But it is no use being in a hurry, or you will spoil everything.’","但着急没有用，不然一切都会被你搞砸的。”"
"Then he trotted off, but only went out of sight of the bear, who stood still on the bank with his tail deep in the water.","然后它就一跑一跳地离开了，但只是躲开了熊的视线；熊把尾巴深深浸到水里，一动不动地站在湖边。"
