"书名大科尼岛（欧·亨利经典短篇小说）短简介充满欢乐的大科尼岛缘何在主人公眼里变得暗淡无光？男主人公去参观重建后的大科尼岛，本该愉快，但却心情黯淡，任何事物在他眼中都不再美好，直到邂逅了同样来参观大科尼岛的女友。欧亨利的短篇小说《大科尼岛》以幽默略带温情的笔调讲述了一对因争执而冷战的情侣在大科尼岛偶然相遇的故事。长简介欧·亨利的短篇小说《大科尼岛》讲述了一对因争执而冷战的情侣在大科尼岛偶然相遇的故事。故事借男主人之口，叙述了他的低落情绪以及他在重建后的大科尼岛上的所见所闻。大科尼岛上虽然处处呈现出欢乐的景象，但在他看来却索然无味。他满怀伤感地来到他和恋人曾经来过的海滩，却发现恋人居然也在此寻找着昔日的回忆。此篇小说风趣诙谐却也流露着脉脉温情，小说中的这对情侣平凡但却温馨，故事的结局也是承袭欧·亨利小说一贯的圆满结局，欧·亨利以描写小人物见长，正是这些关于小人物的故事，反而更能引起读者的共鸣。风景只因恋人的存在而美丽，有你的地方才是天堂。关键字大科尼岛；欧·亨利；外研社编译组；短篇；重建；失恋的人；月光；海滩；爱情作者（美）欧·亨利作者简介欧·亨利（1862—1910），美国著名批判现实主义作家、世界三大短篇小说大师之一，被誉为“曼哈顿桂冠散文作家”和“美国现代短篇小说之父”。他的一生富于传奇性，做过药房学徒、会计、新闻记者、银行出纳等多个工作。其作品构思新颖，语言诙谐，人物众多，富于生活情趣，尤以出人意料的结尾闻名，被誉为“美国生活的幽默百科全书”。书评 当我轻松地对待可笑的事物时，我也是严肃地对待它。——马克思充满欢乐的科尼岛，缘何在主人公眼里变得暗淡无光？"
"The Greater Coney","大科尼岛"
"by O. Henry ","作者：欧·亨利"
"“Next Sunday,” said Dennis Carnahan, “I’ll be after going down to see the new Coney Island that’s risen like a phoenix bird from the ashes of the old resort.","“下周日，”丹尼斯·卡纳汉说，“我打算去看看新科尼岛，它像一只凤凰，从旧游乐场的灰烬中重生了。"
"I’m going with Norah Flynn, and we’ll fall victims to all the dry goods deceptions, from the red-flannel eruption of Mount Vesuvius to the pink silk ribbons on the race-suicide problems in the incubator kiosk.”","我要和诺拉·弗林一起去，所有纺织品做的模型总是蒙骗我们：从用红色法兰绒做的维苏威火山爆发，到用粉色丝带做成的展示种族自杀问题的婴儿保育箱。”","译者注：种族自杀（race-suicide）是指人口出生率控制过低，从而造成一个种族的逐渐消亡。"
"Was I there before?","你问我以前去过那里吗？"
"I was.","是的，我去过。"
"I was there last Tuesday.","上星期二我就在那里。"
"Did I see the sights?","问我参观了吗？"
"I did not.","没有。"
"Last Monday I amalgamated myself with the Bricklayers’ Union, and in accordance with the rules I was ordered to quit work the same day on account of a sympathy strike with the Lady Salmon Canners’ Lodge No.2, of Tacoma, Washington.","上周一，我加入了砌砖工人协会，但因为参加了声援华盛顿塔科马罐头女工第二支部的罢工，按照规定我当天就被炒了鱿鱼。"
"Twas disturbed I was in mind and proclivities by losing me job, bein’ already harassed in me soul on account of havin’ quarrelled with Norah Flynn a week before by reason of hard words spoken at the Dairymen and Street-Sprinkler Drivers’ semi-annual ball, caused by jealousy and prickly heat and that divil, Andy Coghlin.","丢了工作让我心里很不好受，而且上周在牛奶工和洒水车工半年一次的舞会上，因为妒忌和燥热，还有安迪·科格林那个混蛋的缘故，我同诺拉·弗林吵了一架，心里更加难过。"
"So, I says, it will be Coney for Tuesday; and if the chutes and the short change and the green-corn silk between the teeth don’t create diversions and get me feeling better, then I don’t know at all.","所以，我说周二去科尼岛，如果那里的滑道、骗局和塞牙的玉米须之类的游乐项目，都不能让我分分心，使我感觉好转的话，我就真不知道该怎么办了。"
"Ye will have heard that Coney has received moral reconstruction.","你可能听说了，科尼岛在道德方面上经历了重建。"
"The old Bowery, where they used to take your tintype by force and give ye knockout drops before having your palm read, is now called the Wall Street of the island.","以前的鲍厄里街上，常有人强行给你照相，或者在看手相之前先给你吃蒙汗药，而现在，那里被称为岛上的华尔街。"
"The wienerwurst stands are required by law to keep a news ticker in ’em; and the doughnuts are examined every four years by a retired steamboat inspector.","法律规定，卖法兰克福香肠的摊位必须配备新闻播报机；每隔四年，就会有退休的轮船监察员来检查炸面包圈的质量。"
"The nigger man’s head that was used by the old patrons to throw baseballs at is now illegal; and, by order of the Police Commissioner the image of a man drivin’ an automobile has been substituted.","以前棒球击打黑人头像的游戏现在是非法的了；并且，根据警察局局长的命令，图像换成了一个驾驶汽车的人像。"
"I hear that the old immoral amusements have been suppressed.","我听说，那些不道德的娱乐项目已经被取缔了。"
"People who used to go down from New York to sit in the sand and dabble in the surf now give up their quarters to squeeze through turnstiles and see imitations of city fires and floods painted on canvas.","以前从纽约来的人或是坐在沙滩上，或是冲浪戏水，而现在他们会花25美分买门票，从旋转栅栏门挤到里面去看绘制在画布上的城市火灾和洪水。"
"The reprehensible and degradin’ resorts that disgraced old Coney are said to be wiped out.","据说老科尼岛上那些受人谴责、伤风败俗的场所已经全部被取缔了。"
"The wipin’-out process consists of raisin’ the price from 10 cents to 25 cents, and hirin’ a blonde named Maudie to sell tickets instead of Micky, the Bowery Bite.","取缔的步骤包括把票价从10美分提高到25美分，雇佣了一个名叫莫蒂的金发女郎来代替鲍厄里街叫米基的那个刺儿头。"
"That’s what they say—I don’t know.","人们是这么说的——我不清楚。"
"But to Coney I goes a-Tuesday.","但是星期二我去了科尼岛。"
"I gets off the ‘L’ and starts for the glitterin’ show.","从高架铁路一下来，我就直奔灯光璀璨的表演。"
"’Twas a fine sight.","演出确实精彩。"
"The Babylonian towers and the Hindoo roof gardens was blazin’ with thousands of electric lights, and the streets was thick with people.","成千上万的电灯把巴比伦塔和印度屋顶花园照得亮如白昼，街上人山人海。"
"’Tis a true thing they say that Coney levels all rank.","人们说科尼岛上人人平等，这是真的。"
"I see millionaires eatin’ popcorn and trampin’ along with the crowd; and I see eight-dollar-a-week clothin’-store clerks in red automobiles fightin’ one another for who’d squeeze the horn when they come to a corner.","我看见百万富翁吃着爆米花在人群中闲逛，我看见周薪八美元的服装店售货员开着红车在拐弯处互不相让，使劲按喇叭。"
"“‘I made a mistake,’” I says to myself.","“‘我错了。’我暗忖道。"
"Twas not Coney I needed.","我需要的不是科尼岛。"
"When a man’s sad ’tis not scenes of hilarity he wants.","对于一个伤心的人来说，他要的不是欢乐的景象。"
"Twould be far better for him to meditate in a graveyard or to attend services at the Paradise Roof Gardens.","他最好是去墓地冥想，或者到屋顶花园教堂中做礼拜。"
"Tis no consolation when a man’s lost his sweetheart to order hot corn and have the waiter bring him the powdered sugar cruet instead of salt and then conceal himself, or to have Zozookum, the gipsy palmist, tell him that he has three children and to look out for another serious calamity; price twenty-five cents.","失恋的人点一份热玉米，向服务员要糖粉瓶而不是盐瓶，然后躲起来，或者花25美分请那个吉普赛人佐索昆来算命，听他说你命里有三个孩子，提醒你要谨防另一次大灾难。但所有这一切都不会给你带来任何慰藉。"
"I walked far away down on the beach, to the ruins of an old pavilion near one corner of this new private park, Dreamland.","我沿着海滩走了很远，一直走到一个废弃的亭子，它就在这个‘梦幻世界’新游乐场的一角。"
"A year ago that old pavilion was standin’ up straight and the old-style waiters was slammin’ a week’s supply of clam chowder down in front of you for a nickel and callin’ you ‘cully’ friendly, and vice was rampant, and you got back to New York with enough change to take a car at the bridge.","一年前，这个旧亭子还好好地伫立在那里，你付上五分钱，衣着老派的侍者就会把一盘够吃一个星期的蛤肉杂烩“砰”地放在你面前，还会友好地称呼你为“朋友”，诸如此类，等到在桥边等车回纽约时，你还有足够的零钱乘车。"
"Now they tell me that they serve Welsh rabbits on Surf Avenue, and you get the right change back in the movin’-picture joints.","现在听说海浪大街供应的是威尔士干酪，找回来的零钱恰好只够你在小影院看场电影。"
"I sat down at one side of the old pavilion and looked at the surf spreadin’ itself on the beach, and thought about the time me and Norah Flynn sat on that spot last summer.","我坐在破旧的亭子边，望着海滩上的浪花，回忆起去年夏天我和诺拉·弗林就坐在那个地方的情景。"
"’Twas before reform struck the island; and we were happy.","那时岛上还没开始改造，我们很快活。"
"We had tintypes and chowder in the ribald dives, and the Egyptian Sorceress of the Nile told Norah out of her hand, while I was waitin’ in the door, that ’twould be the luck of her to marry a red-headed gossoon with two crooked legs, and I was overrunnin’ with joy on account of the allusion.","我们在举止粗鲁的人群中照了相，吃完杂烩，来自尼罗河的埃及女巫师看了诺拉的手相说，她命中注定要和一个红头发、罗圈腿的小伙子结婚，在门外等候的我听到这些时，不禁为描绘的这个画面欣喜若狂。"
"And ’twas there that Norah Flynn put her two hands in mine a year before and we talked of flats and the things she could cook and the love business that goes with such episodes.","同样是一年前，就是在那里，诺拉·弗林把她的手交到了我的手中，我们谈到公寓，谈到她会做什么吃的，谈到和爱情相关的事情。"
"And that was Coney as we loved it, and as the hand of Satan was upon it, friendly and noisy and your money’s worth, with no fence around the ocean and not too many electric lights to show the sleeve of a black serge coat against a white shirtwaist.","那是我们喜爱的，同时也有撒旦插手的科尼岛，一个友好、喧嚣而又物有所值的地方。海边没有篱笆，电灯也不多，黑哔叽上衣的袖子同白衬衫的对比也不那么扎眼。"
"I sat with my back to the parks where they had the moon and the dreams and the steeples corralled, and longed for the old Coney.","如今新的游乐场把月亮、梦想以及尖塔都围了起来，我背对着它，怀念曾经的科尼岛。"
"There wasn’t many people on the beach.","海滩上少有人来。"
