书名恺撒遇刺事件的“本地报道” （马克·吐温经典短篇小说）短简介众所周知，恺撒大帝是罗马共和国末期杰出的军事统帅、政治家。他雄才大略，于公元前49年率军占领罗马，打败庞培，集大权于一身。但在五年之后，恺撒却遭到以布鲁图所领导的元老院成员的暗杀身亡。他的遇难经过究竟是怎样的呢？背后又有着什么样的阴谋？长简介众所周知，恺撒大帝是罗马共和国末期杰出的军事统帅、政治家。他雄才大略，于公元前49年率军占领罗马，打败庞培，集大权于一身。但在五年之后，恺撒却遭到以布鲁图所领导的元老院成员的暗杀身亡。马克·吐温在莎士比亚剧作《恺撒大帝》的基础之上，创作了《恺撒遇刺事件的“本地报道”》这篇短篇小说，对恺撒遇刺的经过及场景进行了生动细致的描绘，语言简洁凝练，使得众多历史人物的形象跃然纸上，尤其凸显了恺撒大帝的勇猛威武，令读者读后唏嘘不已。关键字恺撒遇刺事件的“本地报道”；马克·吐温；外研社编译组；刺杀；阴谋；罗马帝国；布鲁图作者（美）马克·吐温作者简介马克·吐温是19世纪美国批判现实主义文学的优秀代表，擅长写讽刺小说。作品融幽默与讽刺一体，既富于独特的个人机智与妙语，又不乏深刻的社会洞察与剖析。他站在人道主义立场上，尖锐地揭露了美国民主与自由掩盖下的虚伪，批判了美国作为发达资本主义国家固有的社会弊端。书评海伦·凯勒曾言：“我喜欢马克·吐温——谁会不喜欢他呢？即使是上帝，亦会钟爱他，赋予其智慧，并于其心灵里绘画出一道爱与信仰的彩虹。”威廉·福克纳称马克·吐温为“第一位真正的美国作家，我们都是继承他而来”。
The Killing of Julius Caesar “Localized”	尤利乌斯·恺撒之死的“本地报道”
by Mark Twain	作者：马克·吐温
Being the only true and reliable account ever published; taken from the Roman “Daily Evening Fasces,” of the date of that tremendous occurrence.	这是所有已发表报道中唯一真实可靠的报道，摘自这一骇人事件发生当日的罗马《法西斯晚报》。
Nothing in the world affords a newspaper reporter so much satisfaction as gathering up the details of a bloody and mysterious murder and writing them up with aggravating circumstantiality.	先是收集一起血腥又神秘的谋杀案的细节，再极为详尽地写成报道，这给一名新闻记者带来的成就感，远远超越了世上其他任何事情。
He takes a living delight in this labor of love—for such it is to him, especially if he knows that all the other papers have gone to press, and his will be the only one that will contain the dreadful intelligence.	新闻记者爱做这种事情，并从中获得极大的乐趣——尤其是当他知道其他报纸都已付印，他的报道将是对这桩惊天秘闻的独家报道的时候。
A feeling of regret has often come over me that I was not reporting in Rome when Caesar was killed—reporting on an evening paper, and the only one in the city, and getting at least twelve hours ahead of the morning-paper boys with this most magnificent “item” that ever fell to the lot of the craft.	恺撒遇刺之时，我没能在罗马报道，这常常让我感到遗憾——我没能在城中唯一的晚报上报道此事，至少没能提前12个小时，赶在送晨报那帮孩子之前，报道我们这一行难得一遇的最重量级的“头条”。
Other events have happened as startling as this, but none that possessed so peculiarly all the characteristics of the favorite “item” of the present day, magnified into grandeur and sublimity by the high rank, fame, and social and political standing of the actors in it.	同样震撼人心的事件也发生过，但从来都没有一件如此奇特，能包含所有当今最受欢迎“头条”新闻所具有的要素，加上事件中的人物身居高位、声名远扬，社会、政治地位显赫，更令这一事件显得异常轰动。
However, as I was not permitted to report Caesar’s assassination in the regular way, it has at least afforded me rare satisfaction to translate the following able account of it from the original Latin of the Roman Daily Evening Fasces of that date—second edition:	然而，虽说我没能获得按常规方式报道恺撒遇刺一事的许可，但是有机会把这篇刊载在当天罗马《法西斯晚报》第二版上的精彩拉丁文报道翻译过来，仅仅是这样我也觉得有一种特别的满足感。以下为译文：
Our usually quiet city of Rome was thrown into a state of wild excitement yesterday by the occurrence of one of those bloody affrays which sicken the heart and fill the soul with fear, while they inspire all thinking men with forebodings for the future of a city where human life is held so cheaply and the gravest laws are so openly set at defiance.	昨天，一场令人憎恶和恐惧的血腥残杀使平日宁静的罗马城顿时慌乱躁动起来，这使所有善于思考的人预见到这座城市的未来：视人命如草芥，最为庄重威严的法律遭到公然挑衅。
As the result of that affray, it is our painful duty, as public journalists, to record the death of one of our most esteemed citizens—a man whose name is known wherever this paper circulates, and where fame it has been our pleasure and our privilege to extend, and also to protect from the tongue of slander and falsehood, to the best of our poor ability.	杀戮过后，作为记者，我们那让人痛苦的职责就是要将我们最可敬的一位市民的遇刺过程记录下来——他的名字在这份报纸所发行的地区人人皆知，我们乐意并怀着极大的荣耀去宣扬他的声名，同时为保护他免遭恶意诋毁和谣言诬陷贡献我们的微薄之力。
We refer to Mr. J. Caesar, the Emperor-elect.	我们说的就是当选的君主——J. 恺撒先生。
