"作品德意志军团里忧郁的轻骑兵（托马斯·哈代经典悲情小说）短简介英俊的德国轻骑兵为何面带忧郁？英国少女菲利斯和德国士兵之间发生了怎样的故事？菲利斯死后埋在了两位德意志军团轻骑兵的墓冢边？她与他们之间的悲情往事也随之尘封在岁月中。长简介《德意志军团里忧郁的轻骑兵》选自哈代短篇小说集《威塞克斯故事集》，作者采用回忆的形式讲述了英国乡村女孩菲利斯和德意志军团里一位轻骑兵之间哀婉动人的爱情故事。菲利斯在自家的花园墙边与德国士兵马托伊斯相识相爱，两人决定一起私奔回马托伊斯的故乡。但在离开的前夕，菲利斯误信了悔婚的未婚夫的话，放弃了先前的计划，而马托伊斯也因逃跑被军队处决。一对有情人因为命运的捉弄而终于生死两隔，这反映了哈代作品中一贯出现的主题——人物和环境的冲突以及命运的偶然性和悲剧性。关键词德意志军团里忧郁的轻骑兵；托马斯·哈代；外研社编译组；短篇；爱情；私奔；悲剧作者（英）托马斯·哈代作者简介托马斯·哈代（1840—1928），英国诗人和小说家，一生共发表了近20部长篇小说，其中最著名的作品有《德伯家的苔丝》、《无名的裘德》、《还乡》和《卡斯特桥市长》，此外还有许多以“威塞克斯故事”为总名的中短篇小说以及长篇史诗剧《列王》。书评这不是悲观主义者的叹息，而是博爱主义者的呐喊和对爱的召唤。他的小说没有那种直射人心的光芒，他的小说中的光芒是向外投射的，照亮的是荒野和树木，而他笔下的人物越远离人群而变得孤苦伶仃时，他们的个性便越鲜明、越突出。——弗吉尼亚·伍尔夫"

"The Melancholy Hussar of the German Legion","德意志军团里忧郁的轻骑兵"
"by Thomas Hardy","作者：托马斯·哈代"
"Content","目录"
"Chapter I","第一章"
"Chapter  II","第二章"
"Chapter  III","第三章"
"Chapter  IV","第四章"
"Chapter  V","第五章"

"Chapter I","第一章"
"Here stretch the downs, high and breezy and green, absolutely unchanged since those eventful days.","这里绵延起伏的丘陵高高耸立，芳草萋萋，微风徐徐，在经历了世事无常的岁月之后也未曾改变。"
"A plough has never disturbed the turf, and the sod that was uppermost then is uppermost now.","没有人拿着耕犁来开垦过这片土地，原来露在上面的草皮依然在那里。"
"Here stood the camp; here are distinct traces of the banks thrown up for the horses of the cavalry, and spots where the midden-heaps lay are still to be observed.","这里曾经是军营。现在还留下了土垄的清晰痕迹，那是当年骑兵团搭建起来圈养马匹的，马粪堆积过的地方如今还依然清晰可辨。"
"At night, when I walk across the lonely place, it is impossible to avoid hearing, amid the scourings of the wind over the grass-bents and thistles, the old trumpet and bugle calls, the rattle of the halters; to help seeing rows of spectral tents and the impedimenta of the soldiery.","夜晚，当我踱步穿过这片孤寂的地方时，总能在风拂过野蓟草和小糠草的摩挲声中，听见昔日的喇叭声、军号声，还有给马匹套上缰绳的声音；眼前也不由得浮现出幻影一般成排的军营帐篷和军队辎重。"
"From within the canvases come guttural syllables of foreign tongues, and broken songs of the fatherland; for they were mainly regiments of the King’s German Legion that slept round the tent-poles hereabout at that time.","从帐篷中传来士兵们粗犷的外国口音，他们断断续续地唱着祖国的歌曲。因为当时睡在帐篷柱附近的军人，大多来自皇家德意志兵团。"
"It was nearly ninety years ago.","故事发生在大约90年前。"
"The British uniform of the period, with its immense epaulettes, queer cocked-hat, breeches, gaiters, ponderous cartridge-box, buckled shoes, and what not, would look strange and barbarous now.","那时的英国军装有宽大的肩纤毛带、古怪的三角帽、马裤和绑腿，还配有笨重的弹药筒和排扣靴，即便当时看上去没什么，现在一看也会觉得这装束奇怪而野蛮。"
"Ideas have changed; invention has followed invention.","观念在改变，新发明一件接着一件。"
"Soldiers were monumental objects then.","士兵在当时是不朽的象征。"
"A divinity still hedged kings here and there; and war was considered a glorious thing.","国王身上依然笼罩着神性的光环，而战争则被看成神圣的事业。"
"Secluded old manor-houses and hamlets lie in the ravines and hollows among these hills, where a stranger had hardly ever been seen till the King chose to take the baths yearly at the sea-side watering-place a few miles to the south; as a consequence of which battalions descended in a cloud upon the open country around.","与世隔绝的古老庄园和村庄，坐落在山间峡谷中，自从国王选择每年到此地以南几英里的海滨浴场沐浴后，这里就很少有外人出入了。因此，这些军队的到来犹如从天而降，落脚在这片空旷的荒野上。"
"Is it necessary to add that the echoes of many characteristic tales, dating from that picturesque time, still linger about here in more or less fragmentary form, to be caught by the attentive ear?","从那个绚丽如画的年代起，就有许多独具特色的故事，虽说情节或多或少已经变得有些支离破碎了，却至今仍在这里流传，传到了有心人的耳朵里。是否还有必要这样补充一句呢？"
"Some of them I have repeated; most of them I have forgotten; one I have never repeated, and assuredly can never forget.","有些故事我已经反复讲过了，大部分故事我都忘记了，只剩一个故事，我从来没有讲过，也永远不会忘记。"
"Phyllis told me the story with her own lips.","菲利斯亲口对我讲了这个故事。"
"She was then an old lady of seventy-five, and her auditor a lad of fifteen.","那时，她是75岁的老妇，她的听众只是一个15岁的少年。"
"She enjoined silence as to her share in the incident, till she should be ‘dead, buried, and forgotten.’","她要求不许将这个故事里有关她的事情说出去，直到她“与世长辞、深埋地下、为人遗忘”之后。"
"Her life was prolonged twelve years after the day of her narration, and she has now been dead nearly twenty.","讲完这个故事后，她又活了12个年头。如今距离她逝世，已经有20个年头了。"
"The oblivion which in her modesty and humility she courted for herself has only partially fallen on her, with the unfortunate result of inflicting an injustice upon her memory; since such fragments of her story as got abroad at the time, and have been kept alive ever since, are precisely those which are most unfavourable to her character.","她谦卑地渴望着自己被人们忘记，却没有被完全遗忘，这样不幸的结果对于她的回忆来说不太公平。因为关于她的故事的只言片语那时已经传到了海外，并且自那以后就一直广为流传，而这些正是她最不想看到的。"
"It all began with the arrival of the York Hussars, one of the foreign regiments above alluded to.","故事是以约克轻骑兵的到来而开始的，这支部队隶属于上文提到的那个外国兵团。"
"Before that day scarcely a soul had been seen near her father’s house for weeks.","在那一天到来之前，她父亲的屋前已经好几个礼拜几乎看不到一个人影了。"
"When a noise like the brushing skirt of a visitor was heard on the doorstep, it proved to be a scudding leaf; when a carriage seemed to be nearing the door, it was her father grinding his sickle on the stone in the garden for his favourite relaxation of trimming the box-tree borders to the plots.","有时门阶上似乎传来了来访者衣摆摩擦的声响，结果却是一片随风飘落的树叶；有时门前似乎传来了马车的辘辘声，结果却是她父亲在花园里磨镰刀的霍霍声；用磨好的镰刀来修建黄杨树的边角，将它们切成一块一块的，这是她父亲最喜欢的休闲活动。"
