"书名普鲁士军官（D. H. 劳伦斯经典短篇小说）短简介残酷的战争和军队的压抑扭曲了普鲁士上尉的性格，专横跋扈的他看到年轻、充满活力的勤务兵与自己僵硬的身体和抑郁的性格形成的鲜明对比，诱发他变得暴戾残忍，于是他千方百计、略带病态地对勤务兵施尽各种折磨。最终勤务兵忍无可忍，亲手杀死了上尉，可也无法抵住精神上的折磨，死在了逃亡的路上。长简介劳伦斯的小说因善于描写性爱曾饱受诟病。短篇小说《普鲁士军官》中，虽然没有露骨的性爱描写，但却同样描述了畸形的情感纠纷。表面上描写的是普鲁士上尉与年轻勤务兵之间的阶级冲突，但劳伦斯通过细致的人物内心描写，同时向我们揭示了两个男人之间，因为战争的残酷和军队内的压抑，产生的一种扭曲了的互相憎恶，又互相吸引的感情。这种畸形的感情对立不断升级，最终只能以悲剧收尾，令人唏嘘不已。关键词普鲁士军官；D. H.  劳伦斯；短篇；军队；阶级冲突；同性恋；生与死作者（英）D. H. 劳伦斯 作者简介D. H. 劳伦斯 （1885—1930），这位出生于诺丁汉矿工家庭的作家是20世纪英国最有成就，也是最具争议的作家之一。男女之间的情爱，和对工业社会的批判是他的主要创作主题。他深受弗洛伊德的影响，作品中善于运用象征手法，小说人物内心刻画十分细腻。在他近20年的创作生涯中为世人留下了10多部小说、3本游记、3卷短篇小说集，数本诗集、散文集、书信集，另有多幅美术作品。书评劳伦斯是我们这一代最伟大的富于想象力的小说家。他在他的作品中创造了光辉灿烂的世界的形形色色的人事物态。——E. M. 福斯特"
"The Prussian Officer","普鲁士军官"
"by D. H. Lawrence","作者：Ｄ. Ｈ. 劳伦斯"
"Content","目录"
"Chapter I","第一章"
"Chapter II","第二章"
"Chapter III","第三章"
"Chapter IV","第四章"

"Chapter I","第一章"
"They had marched more than thirty kilometres since dawn, along the white, hot road where occasional thickets of trees threw a moment of shade, then out into the glare again.","自黎明开始，他们沿着白晃晃的、炽热的大路已经行进了三十多公里。一路上他们偶有享受着灌木丛林投下的片刻阴凉，接着便又走进刺眼的阳光里了。"
"On either hand, the valley, wide and shallow, glittered with heat; dark green patches of rye, pale young corn, fallow and meadow and black pine woods spread in a dull, hot diagram under a glistening sky.","大路两旁的山谷绵延和缓，在阳光的炙烤下闪闪发光。几片深绿色的黑麦田、浅色的嫩玉米田、休耕地、草地和黑松林，在目眩的天空下延伸开来，呈现出一幅单调而又令人燥热的图画。"
"But right in front the mountains ranged across, pale blue and very still, snow gleaming gently out of the deep atmosphere.","但是在正前方，山岭绵延不断，透露出浅淡的蓝色，十分静谧。白雪在深邃的背景下散发出轻柔的光辉。"
"And towards the mountains, on and on, the regiment marched between the rye fields and the meadows, between the scraggy fruit trees set regularly on either side the high road.","这支步兵团朝着群山的方向前行，片刻不停。他们走过黑麦田和草地，穿过大路两旁栽种整齐的、光秃秃的果林。"
"The burnished, dark green rye threw off a suffocating heat, the mountains drew gradually nearer and more distinct.","深绿色的黑麦闪闪发光，散发出一阵令人窒息的热气。群山逐渐靠近，愈发清晰可见。"
"While the feet of the soldiers grew hotter, sweat ran through their hair under their helmets, and their knapsacks could burn no more in contact with their shoulders, but seemed instead to give off a cold, prickly sensation.","士兵们的脚越走越热，汗水顺着压在头盔下的头发流下。他们的背包与肩膀摩擦过多，已不再感到灼热，反而是一阵冰凉刺骨了。"
