书名马丁·伯尼的转变（欧·亨利经典短篇小说）短简介只为一口烟草，竟能萌生杀人的念头。马丁·伯尼嗜烟如命，然而连续五天远离烟草居然让他开始憎恨并谋划杀死分包工头克里根。欧·亨利的短篇小说《马丁·伯尼的转变》讲述了嗜烟如命的劳工马丁·伯尼在没有烟草的数日中所经历的故事，笔调辛辣嘲讽。长简介欧·亨利的短篇小说《马丁·伯尼的转变》讲述了嗜烟如命的劳工马丁·伯尼在没有烟草的数日中所经历的故事。马丁·伯尼因包工头克里根不再赊账卖给他烟草，而心生恨意，数日接触不到烟草令他心情烦躁，甚至萌生了杀死克里根的念头，他找到了一个同谋，并计划马上实施行动，然而这时，同谋却递来了一根雪茄烟。他会做出怎样的反应？《马丁·伯尼的转变》中的故事极具戏剧性，马丁·伯尼经历了从顺从到心生反抗直至最后重新回到顺从的心理变化，而这一切都只因烟草的得与失。作者借此篇小说讽刺了美国社会中一些具有奴性的人，这些人只有被触及底线的时候才会产生反抗心理，一旦得到了适当的抚慰，就马上又会回归了奴性。关键字马丁·伯尼的转变；欧·亨利；外研社编译组；短篇；工作；辛苦；烟斗；烟草；烟雾；报复；包工头；计划；内心的平静作者（美）欧·亨利作者简介欧·亨利（1862—1910），美国著名批判现实主义作家、世界三大短篇小说大师之一，被誉为“曼哈顿桂冠散文作家”和“美国现代短篇小说之父”。他的一生富于传奇性，做过药房学徒、会计、新闻记者、银行出纳等多个工作。其作品构思新颖，语言诙谐，人物众多，富于生活情趣，尤以出人意料的结尾闻名，被誉为“美国生活的幽默百科全书”。书评当我轻松地对待可笑的事物时，我也是严肃地对待它。——马克思只为一口烟草，竟能萌生杀人的念头。
Transformation of Martin Burney	马丁·伯尼的转变
by O. Henry	作者：欧·亨利
In behalf of Sir Walter’s soothing plant let us look into the case of Martin Burney.	我们代表沃尔特爵士的具有镇静作用的植物调查一下马丁·伯尼的案子。
They were constructing the Speedway along the west bank of the Harlem River.	哈勒姆河西岸正在铺设一条高速公路。
The grub-boat of Dennis Corrigan, sub-contractor, was moored to a tree on the bank.	分包商丹尼斯·科里根的伙食船系在岸边的一棵树上。
Twenty-two men belonging to the little green island toiled there at the sinew-cracking labour.	来自小绿岛的22个人在那里干着令人筋疲力尽的工作。
One among them, who wrought in the kitchen of the grub-boat was of the race of the Goths.	其中一个人在伙食船厨房里干活，他是个哥特人。
Over them all stood the exorbitant Corrigan, harrying them like the captain of a galley crew.	指挥他们的是飞扬跋扈的科里根，他像苦役船的船长似的折磨他们。
He paid them so little that most of the gang, work as they might, earned little more than food and tobacco; many of them were in debt to him.	他付给大家的工资少得可怜，他们拼命干活，挣的也只够吃饭和买烟草，许多人都欠他的债。
Corrigan boarded them all in the grub-boat, and gave them good grub, for he got it back in work.	科里根让大家在伙食船里吃饭，给他们提供很好的伙食，因为他可以从他们干的活里捞回来。
Martin Burney was furthest behind of all.	马丁·伯尼排在这帮人的最后。
He was a little man, all muscles and hands and feet, with a gray-red, stubbly beard.	他是一个肌肉结实、四肢发达的小个子男人，长着粗短的灰红色胡子。
He was too light for the work, which would have glutted the capacity of a steam shovel.	对他来说，干这种蒸汽挖掘机似的活似乎还单薄了些。
The work was hard.	工作非常辛苦。
Besides that, the banks of the river were humming with mosquitoes.	除此之外，河岸上的蚊子成群。
As a child in a dark room fixes his regard on the pale light of a comforting window, these toilers watched the sun that brought around the one hour of the day that tasted less bitter.	这些劳工就像黑屋子里的小孩子，盯着从窗口射来的苍白光线，以此寻求慰藉，盼着太阳给他们带来一天中不那么苦涩的一小时。
After the sundown supper they would huddle together on the river bank, and send the mosquitoes whining and eddying back from the malignant puffs of twenty-three reeking pipes.	晚饭后，他们拥坐在河边，点起23支烟斗，吞云吐雾，熏得蚊子嗡嗡直叫，如潮水般退去。
Thus socially banded against the foe, they wrenched out of the hour a few well-smoked drops from the cup of joy.	于是他们同仇敌忾，从那一小时中挤出几滴烟雾缭绕的欢乐。
Each week Burney grew deeper in debt.	伯尼欠的债一周比一周多。
Corrigan kept a small stock of goods on the boat, which he sold to the men at prices that brought him no loss.	科里根在船上备置了一些货物，以有赚无赔的价格卖给工人们。
Burney was a good customer at the tobacco counter.	伯尼是烟草柜台的老顾客。
One sack when he went to work in the morning and one when he came in at night, so much was his account swelled daily.	他早晨出工时抽一袋，晚上收工时再抽一袋，赊账的数额与日俱增。
Burney was something of a smoker.	伯尼可说得上是个烟民。
Yet it was not true that he ate his meals with a pipe in his mouth, which had been said of him.	有人说他吃饭时也叼着烟斗，这当然是夸大其词。
The little man was not discontented.	这个小个子并没有感到不满。
