书名《法西诺·卡内》（巴尔扎克短篇小说）短简介《法西诺·卡内》这篇文章通过一位与众不同的盲人老人的回忆讲述了一个由无尽贪欲引发的故事。对于金钱的狂热和痴迷，放荡不羁生活，情人之间的种种欺骗，即便是曾经享受过炫目的豪奢也终究敌不过繁华终归散场的命运。长简介法国现实主义作家巴尔扎克在他的中篇小说《法西诺·卡内》中，通过一位与众不同的盲人老人的回忆讲述了一个由无尽贪欲引发的故事。对于金钱的狂热和痴迷，放荡不羁生活，情人之间的种种欺骗，即便是曾经享受过炫目的豪奢也终究敌不过繁华终归散场的命运。巴尔扎克对现实主义文学最大的贡献在于他对典型人物形象和社会风俗的细致刻画，并表达人物性格在社会环境中的变化和发展。他以编年史的方式描绘了上升中的资产阶级对贵族社会日甚一日的冲击。这篇文章对精神现象有具体、显豁的说明：“在我身上，观察已经变成直觉的了，它深入灵魂却不忽视形体，或更可以说，它一下子抓住外部细节，随即超越之；它赋予我一种能力，使我亲历它所及的个人的生活，使我代替了他，就像《一千零一夜》中的苦行僧，他向那些人说几句话，就得到了他们的灵魂和肉体。”其观察力和批判力都显得鞭辟入里，内容深刻。关键字法西诺·卡内；巴尔扎克；外研社编译组；黄金；情人；逃犯；盲人；婚礼；单簧管；威尼斯；贪欲作者（法）巴尔扎克作者简介巴尔扎克（1799年5月20日—1850年8月18日），法国19世纪著名作家，法国现实主义文学成就最高者之一。他创作的《人间喜剧》共91部小说，写了两千四百多个人物，是人类文学史上罕见的文学丰碑，被称为法国社会的“百科全书”。
书评一个能思考的人，才真是一个力量无边的人。
——巴尔扎克贪婪的欲望，执着的欲念，是一位年迈老人纵然双目失明也无法摆脱的命运桎梏。
Facino Cane	法西诺·卡内
by Honoré de Balzac	作者：巴尔扎克
I once used to live in a little street which probably is not known to you—the Rue de Lesdiguieres.	我曾经住在一条小巷——莱斯迪吉埃尔街上，您大概不熟悉这条街。
It is a turning out of the Rue Saint-Antoine, beginning just opposite a fountain near the Place de la Bastille, and ending in the Rue de la Cerisaie.	它从圣安东尼街开始，面对巴士底广场附近的喷水池，一直通到樱桃园街。
Love of knowledge stranded me in a garret; my nights I spent in work, my days in reading at the Bibliotheque d’Orleans, close by.	出于对知识的热爱，我别无他法，只能住在一间阁楼里，晚上在家用功，白天在附近的奥尔良国家图书馆度过。
I lived frugally; I had accepted the conditions of the monastic life, necessary conditions for every worker, scarcely permitting myself a walk along the Boulevard Bourdon when the weather was fine.	我过着粗茶淡饭的日子。修道士一样的生活对发奋图强的人是不可避免的，我事先已经对这种生活条件有心理准备了。即使在晴好的天气里，我也难得在布尔东大街漫步。
One passion only had power to draw me from my studies; and yet, what was that passion but a study of another kind?	唯有一种激情使我能从勤奋的习惯中抽身，然而，这难道不也是一种研究吗？
I used to watch the manners and customs of the Faubourg, its inhabitants, and their characteristics.	我常去观察郊区的生活方式、地方风俗、当地居民和他们的性格。
As I dressed no better than a working man, and cared nothing for appearances, I did not put them on their guard; I could join a group and look on while they drove bargains or wrangled among themselves on their way home from work.	我穿得和工人差不多，根本不关心外表，绝不会让他们对我存有戒心。我可以混到他们当中，看他们讨价还价，或者是干完活以后吵嘴骂街。
Even then observation had come to be an instinct with me; a faculty of penetrating to the soul without neglecting the body; or rather, a power of grasping external details so thoroughly that they never detained me for a moment, and at once I passed beyond and through them.	在我身上，观察甚至已经变成了一种本能，既不忽略外表，又能鞭辟入里；更确切地说，我能够全面抓住外部细节，一眼看透它们，使它们丝毫阻止不了我的深入分析。
I could enter into the life of the human creatures whom I watched, just as the dervish in the Arabian Nights could pass into any soul or body after pronouncing a certain formula.	当我观察人的时候，我进入那个人的生活，就像《一千零一夜》中的苦行僧一样，念出某种咒语之后就能附在别人的身体和灵魂上。
